gene	target_chembl_id	molecule_chembl_id	canonical_smiles	standard_type	standard_relation	standard_value_nM	assay_type	document_chembl_id	bao_label
CTSH	CHEMBL4160	CHEMBL113948	CCCC[C@@H](C=O)NC(=O)O[C@H](Cc1ccccc1)C(C)C	IC50	=	18.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL114161	CCCC[C@@H](C=O)NC(=O)O[C@@H](C)Cc1ccccc1	IC50	=	40.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL212521	CC[C@H](N)C(=O)N[C@H](C#N)Cc1ccc(-c2ccccc2)cc1	IC50	>	10000.0	B	CHEMBL1138912	single protein format
CTSH	CHEMBL4160	CHEMBL212604	C[C@@H](CNc1ccc(OC(F)(F)F)cc1)NC(=O)[C@H](CS(=O)(=O)Cc1ccccc1)NC(=O)N1CCOCC1	Ki	>	30000.0	B	CHEMBL1149524	single protein format
CTSH	CHEMBL4160	CHEMBL230473	Cc1cccc(O[C@H]2CCN3C[C@@H]2OC3=O)c1C	IC50	>	30000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL397972	O=C1O[C@H]2CN1CC[C@@H]2Br	IC50	>	100000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL230478	CC(C)CO[C@H]1CCN2C[C@H]1OC2=O	IC50	>	10000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL390475	O=C1O[C@@H]2CN1CC[C@@H]2OCc1ccccc1	IC50	>	10000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL230474	O=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1	IC50	=	6591.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL390643	S=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1	IC50	>	100000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL390474	Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C	IC50	=	2653.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL230479	Cc1cccc(O[C@@H]2CCNC[C@H]2O)c1C	IC50	>	100000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL397973	Cc1cccc(OCC2CN(C)C(=O)O2)c1C	IC50	>	100000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL441907	Cc1cccc(O[C@@H]2CCNC[C@@H]2O)c1C	IC50	>	100000.0	B	CHEMBL1144593	single protein format
CTSH	CHEMBL4160	CHEMBL481611	CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1	IC50	>	10.0	B	CHEMBL1141480	single protein format
CTSH	CHEMBL4160	CHEMBL448143	[N-]=[N+]=CC(=O)[C@H](Cc1ccccc1)NC(=O)CN	IC50	=	29000.0	B	CHEMBL1156470	single protein format
CTSH	CHEMBL4160	CHEMBL478737	N#C[C@]1(NC(=O)[C@H](N)Cc2cccs2)C[C@H]1c1ccccc1.O=C(O)C(F)(F)F	IC50	>	50000.0	B	CHEMBL1156470	single protein format
CTSH	CHEMBL4160	CHEMBL516292	N#C[C@@]1(NC(=O)[C@@H](N)Cc2cccs2)C[C@@H]1c1ccccc1.O=C(O)C(F)(F)F	IC50	>	50000.0	B	CHEMBL1156470	single protein format
CTSH	CHEMBL4160	CHEMBL374508	CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N	IC50	=	190.0	B	CHEMBL1156470	single protein format
CTSH	CHEMBL4160	CHEMBL450997	[N-]=[N+]=CC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)CN	IC50	=	9800.0	B	CHEMBL1156470	single protein format
CTSH	CHEMBL4160	CHEMBL400387	CS(=O)(=O)C[C@H](N[C@@H](c1ccc(Br)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1	IC50	>	50000.0	B	CHEMBL1156470	single protein format
CTSH	CHEMBL4160	CHEMBL515494	N#C[C@@]1(NC(=O)C(N)Cc2sccc2F)C[C@@H]1c1ccccc1.O=C(O)C(F)(F)F	IC50	>	50000.0	B	CHEMBL1156470	single protein format
CTSH	CHEMBL4160	CHEMBL461619	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1	Ki	>	10000.0	B	CHEMBL1140079	single protein format
CTSH	CHEMBL4160	CHEMBL514348	CCC[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1	Ki	=	137.0	B	CHEMBL1140981	single protein format
CTSH	CHEMBL4160	CHEMBL486232	CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1	Ki	=	1400.0	B	CHEMBL1140981	single protein format
CTSH	CHEMBL4160	CHEMBL212521	CC[C@H](N)C(=O)N[C@H](C#N)Cc1ccc(-c2ccccc2)cc1	Ki	=	3700.0	B	CHEMBL1140981	single protein format
CTSH	CHEMBL4160	CHEMBL492175	CC(=O)c1c(Nc2ccc(Cl)cc2)[nH]c2c(Cl)cc([N+](=O)[O-])cc2c1=O	IC50	=	145.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL521636	CC(=O)c1c(Nc2ccc(C(C)(C)C)cc2)[nH]c2c(Cl)cc([N+](=O)[O-])cc2c1=O	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL521771	CC(=O)c1c(Nc2ccc(C)cc2Cl)[nH]c2c([N+](=O)[O-])cc(Cl)cc2c1=O	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL491348	CC(=O)c1c(Nc2ccc(Cl)cc2Cl)[nH]c2c([N+](=O)[O-])cc(Cl)cc2c1=O	IC50	=	32570.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL470707	CC(=O)c1c(Nc2ccc(Br)cc2)[nH]c2c(Br)ccc(Br)c2c1=O	IC50	=	91760.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL513042	CC(=O)c1c(Nc2ccc(Cl)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL471915	CC(=O)c1c(Nc2ccc(Cl)cc2Cl)[nH]c2c(Cl)ccc(Cl)c2c1=O	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL523822	CC(=O)c1c(Nc2ccc(Br)cc2Br)[nH]c2c(Cl)ccc(C)c2c1=O	IC50	=	66520.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL423112	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL490920	CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)O)[C@@H](C)CC	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL2368566	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CF)OCc1ccccc1	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL296588	CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C	IC50	>	100000.0	B	CHEMBL1138527	assay format
CTSH	CHEMBL4160	CHEMBL567785	N#Cc1nc(Nc2cccc(Cl)c2)nc(NC2CCCC2)n1	IC50	=	14454.4	B	CHEMBL1156759	single protein format
CTSH	CHEMBL4160	CHEMBL568171	N#Cc1nc(Nc2cc(F)cc(F)c2)nc(NC2CCCC2)n1	IC50	=	16218.1	B	CHEMBL1156759	single protein format
CTSH	CHEMBL4160	CHEMBL567341	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(C#N)nc21	IC50	=	125.89	B	CHEMBL1156759	single protein format
CTSH	CHEMBL4160	CHEMBL567134	CCNc1nc(C#N)nc2c1ncn2-c1cc(F)cc(F)c1	IC50	=	645.65	B	CHEMBL1156759	single protein format
CTSH	CHEMBL4160	CHEMBL567893	COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O	IC50	=	10000.0	B	CHEMBL1156023	single protein format
CTSH	CHEMBL4160	CHEMBL1078411	N#C[C@@]1(NC(=O)[C@@H](N)Cc2cccs2)C[C@@H]1c1ccccc1	IC50	>	50000.0	B	CHEMBL1154218	single protein format
