tissue_analysis	myeloid_analysis	dataset_path	disease_name	tissue_compartment	gene	myeloid_module	n_paired_donors	spearman_rho_all	spearman_p_all	n_case_paired_donors	spearman_rho_case	spearman_p_case	sender_tissue_delta	sender_tissue_p	sender_tissue_up_trend	sender_tissue_down_trend	all_link_positive	case_link_positive	bridge_link_positive	upregulated_bridge_link
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2A	c15_mocci_costate	6	-0.08571428571428573	0.8717434402332361	3			0.06326110774048328	0.058586108376119626	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2A	lipid_loader_repair	12	-0.04367131467411468	0.8928004481276263	6	-0.39279220242478635	0.4411128091213039	0.00011111404428961248	0.36321746764912244	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2A	lysosomal_apc	12	0.04367131467411468	0.8928004481276263	6	-0.13093073414159545	0.8047261622231062	0.00011111404428961248	0.36321746764912244	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2A	c15_mocci_costate	12	0.04367131467411468	0.8928004481276263	6	-0.6546536707079772	0.15830242337545788	0.00011111404428961248	0.36321746764912244	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2A	lipid_loader_repair	12			6			0.0	1.0	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2A	lysosomal_apc	12			6			0.0	1.0	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2A	c15_mocci_costate	12			6			0.0	1.0	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2A	inflammatory_nfkb	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2A	lipid_loader_repair	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2A	lysosomal_apc	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2A	c15_mocci_costate	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2A	inflammatory_nfkb	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2A	lipid_loader_repair	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2A	lysosomal_apc	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2A	c15_mocci_costate	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2A	inflammatory_nfkb	12			6			0.0	1.0	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2B	lipid_loader_repair	12	0.7240873929099331	0.007748709308521884	6	0.7142857142857143	0.11078717201166179	0.3205795613500232	0.1380866990805937	False	False	True	False	True	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2B	inflammatory_nfkb	12	0.6783925574350345	0.01530251574214066	6	0.5428571428571429	0.26570262390670546	0.3205795613500232	0.1380866990805937	False	False	True	False	True	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2B	inflammatory_nfkb	12	0.6596376411971161	0.019604266421649977	6	0.550782483869826	0.2573693316225746	0.17856046867988315	0.16624189370928136	False	False	True	False	True	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2B	lysosomal_apc	12	-0.6503496503496504	0.022034190932365322	6	-0.48571428571428577	0.3287230320699708	-0.01695955525990765	0.6128723985376998	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2B	c15_mocci_costate	12	0.6432426839928047	0.02403629910961002	6	0.6	0.208	0.3205795613500232	0.1380866990805937	False	False	True	False	True	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2B	lipid_loader_repair	12	0.6208354270090505	0.031213914574405328	6	0.5217939320872036	0.2883432338003935	0.17856046867988315	0.16624189370928136	False	False	True	False	True	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2B	c15_mocci_costate	12	0.5961431088893723	0.040778449590573605	6	0.6377481392176932	0.17307111024125982	0.17856046867988315	0.16624189370928136	False	False	True	False	True	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2B	lipid_loader_repair	12	-0.5314685314685316	0.07536233505348361	6	-0.7714285714285715	0.07239650145772594	0.06046132013499746	0.40515929970602593	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2B	inflammatory_nfkb	22	0.3424246010936308	0.11877083483526181	9	0.22594340036404525	0.5588463751684138	-0.03301556122109175	0.3394203182860703	False	False	False	False	False	False
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2B	lipid_loader_repair	6	-0.6571428571428573	0.1561749271137024	3			0.05245018767923544	0.3308532138363099	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2B	inflammatory_nfkb	22	-0.29671693103566643	0.17994639419916073	9	-0.21666666666666667	0.5755148957119259	-0.030305561337618678	0.6860789514149659	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2B	lysosomal_apc	6	-0.6	0.208	3			-0.16664353987360628	0.2455174125451279	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2B	lysosomal_apc	12	-0.32867132867132864	0.2969041156887641	6	-0.3142857142857143	0.5440932944606415	0.06046132013499746	0.40515929970602593	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ADORA2B	lysosomal_apc	12	0.3268938230127368	0.29968036431149164	6	-0.2571428571428572	0.6227871720116619	0.3205795613500232	0.1380866990805937	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2B	c15_mocci_costate	22	0.22771519906889875	0.30810645861888636	9	0.217575126276488	0.5738746583219766	-0.03301556122109175	0.3394203182860703	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2B	c15_mocci_costate	12	-0.3076923076923077	0.33058925941210965	6	-0.8285714285714287	0.04156268221574335	0.06046132013499746	0.40515929970602593	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2B	c15_mocci_costate	6	-0.3714285714285715	0.4684781341107872	3			-0.16664353987360628	0.2455174125451279	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2B	lysosomal_apc	22	0.15843526319257545	0.4812976237861595	9	-0.19247030401381632	0.6198061390079386	-0.03301556122109175	0.3394203182860703	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2B	c15_mocci_costate	22	-0.15515350974002404	0.4905411865133859	9	-0.35	0.35581957250178897	-0.030305561337618678	0.6860789514149659	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2B	lipid_loader_repair	12	-0.1958041958041958	0.5419358857313173	6	0.48571428571428577	0.3287230320699708	-0.01695955525990765	0.6128723985376998	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2B	lysosomal_apc	22	0.11268448335133133	0.617581789611015	9	0.25	0.5164895523012261	-0.030305561337618678	0.6860789514149659	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2B	c15_mocci_costate	12	-0.15384615384615385	0.6330906812462617	6	0.48571428571428577	0.3287230320699708	-0.01695955525990765	0.6128723985376998	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ADORA2B	inflammatory_nfkb	12	-0.1328671328671329	0.6805975082860817	6	-0.942857142857143	0.004804664723032055	0.06046132013499746	0.40515929970602593	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2B	lipid_loader_repair	6	-0.2	0.7040000000000001	3			-0.16664353987360628	0.2455174125451279	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2B	inflammatory_nfkb	12	0.0979020979020979	0.7621216559962992	6	0.6	0.208	-0.01695955525990765	0.6128723985376998	False	False	False	False	False	False
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2B	inflammatory_nfkb	6	-0.14285714285714288	0.7871720116618076	3			0.05245018767923544	0.3308532138363099	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2B	lipid_loader_repair	22	0.05849043766607624	0.7959813339345858	9	-0.2008385781013735	0.6043593545214949	-0.03301556122109175	0.3394203182860703	False	False	False	False	False	False
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2B	lysosomal_apc	6	-0.08571428571428573	0.8717434402332361	3			0.05245018767923544	0.3308532138363099	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ADORA2B	lysosomal_apc	12	0.04938463623935628	0.8788618284640329	6	-0.7826908981308054	0.06570384807158905	0.17856046867988315	0.16624189370928136	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2B	lipid_loader_repair	22	0.028312684259128477	0.9004672436813214	9	0.31666666666666665	0.406397014486386	-0.030305561337618678	0.6860789514149659	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2B	inflammatory_nfkb	6	-0.028571428571428574	0.9571545189504373	3			-0.16664353987360628	0.2455174125451279	False	False	False	False	False	False
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2B	c15_mocci_costate	6	0.028571428571428574	0.9571545189504373	3			0.05245018767923544	0.3308532138363099	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ALOX5	lipid_loader_repair	12	-0.6433566433566434	0.024003191200713647	6	-0.14285714285714288	0.7871720116618076	-0.039023642829743785	0.6202961864197191	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ALOX5	lipid_loader_repair	12	-0.6258825454464104	0.029477994342282897	6			-0.04075533992529531	0.36321746764912244	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ALOX5	c15_mocci_costate	12	-0.38065371185044844	0.2221960338978237	6			-0.04075533992529531	0.36321746764912244	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ALOX5	inflammatory_nfkb	12	-0.3733334481610167	0.23195322936414642	6			-0.04075533992529531	0.36321746764912244	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ALOX5	lysosomal_apc	12	-0.3216783216783217	0.30790987618065263	6	-0.08571428571428573	0.8717434402332361	-0.03530080119377822	0.7012994240739459	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ALOX5	inflammatory_nfkb	22	-0.20383963862224735	0.36288120211175257	9	-0.2833333333333333	0.46003032896572005	-0.020598073099874437	0.7973673247242563	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ALOX5	inflammatory_nfkb	22	-0.17913973246124418	0.42505765554412595	9	-0.5333333333333333	0.13922686754397814	0.012515685028623021	0.7063216874350577	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ALOX5	lysosomal_apc	12	0.22157659360148105	0.48886841606719295	6	0.27322953332351235	0.6003545904291114	0.10736424891725249	0.36196060157989557	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ALOX5	c15_mocci_costate	12	0.22157659360148105	0.48886841606719295	6	0.27322953332351235	0.6003545904291114	0.10736424891725249	0.36196060157989557	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ALOX5	c15_mocci_costate	12	-0.1958041958041958	0.5419358857313173	6	0.4285714285714286	0.3965014577259473	-0.039023642829743785	0.6202961864197191	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ALOX5	lipid_loader_repair	12	-0.1958041958041958	0.5419358857313173	6	0.3714285714285715	0.4684781341107872	-0.03530080119377822	0.7012994240739459	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ALOX5	lipid_loader_repair	22	-0.13378790145839753	0.5527998694448745	9	-0.11666666666666665	0.765007942926146	0.012515685028623021	0.7063216874350577	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ALOX5	inflammatory_nfkb	12	0.18525256186353334	0.5643320103363538	6	0.09107651110783746	0.8637629700202578	0.10736424891725249	0.36196060157989557	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ALOX5	c15_mocci_costate	12	-0.17482517482517487	0.5868236643627043	6	0.2571428571428572	0.6227871720116619	-0.03530080119377822	0.7012994240739459	False	False	False	False	False	False
ibd_uc_epithelial	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	ALOX5	inflammatory_nfkb	12	-0.16083916083916086	0.6175234895401425	6	0.3714285714285715	0.4684781341107872	-0.03530080119377822	0.7012994240739459	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ALOX5	c15_mocci_costate	22	-0.10559006211180126	0.6400256218947228	9	-0.15	0.7000942309691418	-0.020598073099874437	0.7973673247242563	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ALOX5	lysosomal_apc	22	0.101072840203275	0.6544778869223145	9	0.2833333333333333	0.46003032896572005	-0.020598073099874437	0.7973673247242563	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ALOX5	lipid_loader_repair	12	-0.1380313206042013	0.6687961497679967	6	0.15179418517972906	0.7740575031656568	0.10736424891725249	0.36196060157989557	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ALOX5	inflammatory_nfkb	12	-0.1328671328671329	0.6805975082860817	6	0.48571428571428577	0.3287230320699708	-0.039023642829743785	0.6202961864197191	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ALOX5	c15_mocci_costate	22	-0.08333398946773067	0.7123532330082009	9	-0.13333333333333333	0.7323675052362973	0.012515685028623021	0.7063216874350577	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ALOX5	lysosomal_apc	12	-0.10489510489510491	0.7456094809807079	6	0.6571428571428573	0.1561749271137024	-0.039023642829743785	0.6202961864197191	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ALOX5	lysosomal_apc	22	0.05895738030370062	0.794386226890732	9	0.31666666666666665	0.406397014486386	0.012515685028623021	0.7063216874350577	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ALOX5	lipid_loader_repair	22	-0.03896103896103897	0.8633265562067404	9	0.4666666666666666	0.2053863511058121	-0.020598073099874437	0.7973673247242563	False	False	False	False	False	False
ibd_crohn_stromal	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	ALOX5	lysosomal_apc	12	-0.02562092291301095	0.9370036627543376	6			-0.04075533992529531	0.36321746764912244	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ANGPT1	lysosomal_apc	12	-0.7412587412587414	0.005801150474478245	6	-0.2571428571428572	0.6227871720116619	-0.1863363366736059	0.010334819244072365	False	False	False	False	False	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ANGPT1	c15_mocci_costate	12	-0.7202797202797203	0.008239768712338436	6	-0.3142857142857143	0.5440932944606415	-0.1863363366736059	0.010334819244072365	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ANGPT1	lysosomal_apc	12	0.6659502298759983	0.01806865482505865	6	0.9258200997725515	0.008049893100837697	-0.006957396078446029	0.5984096181117102	False	False	True	True	True	False
ibd_uc_stromal	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	ANGPT1	inflammatory_nfkb	12	-0.6083916083916086	0.035805997052029234	6	-0.14285714285714288	0.7871720116618076	-0.1863363366736059	0.010334819244072365	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ANGPT1	lipid_loader_repair	22	0.4466403162055336	0.03717677297482656	9	0.5	0.1704706607870538	-0.040369560663340964	0.48511579270574345	False	False	False	False	False	False
