gene	bridge_link_count	bridge_link_disease_count	bridge_link_diseases	upregulated_bridge_link_count	upregulated_bridge_link_disease_count	upregulated_bridge_link_diseases	raw_up_tissue_disease_count	raw_down_tissue_disease_count	case_link_count	best_bridge_link	wave30_axis_count	best_wave30_axis	best_wave30_call	best_wave30_centrality	best_wave30_intervention_score	wave30_prior_blocking	best_wave30_gate_failures	bridge_score	wave103_call	wave103_call_priority
CD74	5	2	Crohn disease;ulcerative colitis	3	2	Crohn disease;ulcerative colitis	4	0	2	ibd_uc_epithelial->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.713|p_all=0.0092|rho_case=0.486|p_case=0.329|sender_delta=0.77|sender_p=0.0173	2	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	17.824	PARK_BRIDGE_PRIOR_OR_DIRECTION_REVIEW	1
CCL20	6	2	Crohn disease;ulcerative colitis	5	2	Crohn disease;ulcerative colitis	4	0	0	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.867|p_all=0.00026|rho_case=0.371|p_case=0.468|sender_delta=0.429|sender_p=0.000619	0					False		16.0	PARK_BRIDGE_PRIOR_OR_DIRECTION_REVIEW	1
CXCL2	3	2	Crohn disease;ulcerative colitis	2	2	Crohn disease;ulcerative colitis	3	1	0	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.769|p_all=0.00345|rho_case=0.257|p_case=0.623|sender_delta=0.574|sender_p=0.00899	0					False		13.0	PARK_BRIDGE_PRIOR_OR_DIRECTION_REVIEW	1
CXCL3	4	2	Crohn disease;ulcerative colitis	4	2	Crohn disease;ulcerative colitis	3	1	0	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.783|p_all=0.00259|rho_case=0.543|p_case=0.266|sender_delta=0.427|sender_p=0.00768	0					False		13.0	PARK_BRIDGE_PRIOR_OR_DIRECTION_REVIEW	1
ANGPT2	5	3	Crohn disease;Sjogren syndrome;ulcerative colitis	3	1	ulcerative colitis	2	0	4	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.545|p_all=0.00873|rho_case=0.833|p_case=0.00527|sender_delta=-0.0207|sender_p=0.78	0					False		16.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
EREG	5	3	Crohn disease;Sjogren syndrome;ulcerative colitis	1	1	ulcerative colitis	2	0	4	ibd_crohn_stromal->ibd_crohn_myeloid|inflammatory_nfkb|rho_all=0.777|p_all=0.00292|rho_case=0.829|p_case=0.0416|sender_delta=1.93|sender_p=0.113	0					False		16.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
JAK1	7	3	Crohn disease;Sjogren syndrome;ulcerative colitis	4	1	ulcerative colitis	1	0	5	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.673|p_all=0.000606|rho_case=0.95|p_case=8.76e-05|sender_delta=-0.0822|sender_p=0.48	2	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	15.824000000000002	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
IL33	6	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1	1	ulcerative colitis	1	0	2	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.614|p_all=0.00238|rho_case=0.717|p_case=0.0298|sender_delta=-0.00397|sender_p=0.97	0					False		15.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
SERPINE1	7	3	Crohn disease;Sjogren syndrome;ulcerative colitis	3	1	ulcerative colitis	2	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.677|p_all=0.000539|rho_case=0.75|p_case=0.0199|sender_delta=-0.055|sender_p=0.292	0					False		13.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
NPC1	7	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		1	0	4	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.687|p_all=0.000411|rho_case=0.85|p_case=0.0037|sender_delta=-0.0419|sender_p=0.45	1	NPC1_NPC2_CHOLESTEROL_EGRESS	NO_GO_NICHE_DRIVER	10.1	1.0	False	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate	12.209999999999999	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
HBEGF	6	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		1	0	5	ibd_uc_stromal->ibd_uc_myeloid|lipid_loader_repair|rho_all=0.725|p_all=0.00759|rho_case=0.841|p_case=0.0361|sender_delta=0.016|sender_p=0.901	0					False		12.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
SLC15A4	6	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		1	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.726|p_all=0.000133|rho_case=0.933|p_case=0.000236|sender_delta=-0.0796|sender_p=0.155	1	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	False	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	11.8	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
ICAM1	3	3	Crohn disease;Sjogren syndrome;psoriasis	0	0		3	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.755|p_all=4.89e-05|rho_case=0.767|p_case=0.0159|sender_delta=-0.0383|sender_p=0.627	0					False		10.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
TGFB3	7	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		0	0	4	ibd_uc_stromal->ibd_uc_myeloid|lysosomal_apc|rho_all=0.769|p_all=0.00345|rho_case=0.943|p_case=0.0048|sender_delta=0.172|sender_p=0.144	0					False		10.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
TNFSF10	5	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		1	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.715|p_all=0.000182|rho_case=0.6|p_case=0.0876|sender_delta=-0.113|sender_p=0.274	0					False		10.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
ANXA1	5	3	Crohn disease;psoriasis;ulcerative colitis	2	1	ulcerative colitis	2	2	1	ibd_uc_epithelial->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.797|p_all=0.0019|rho_case=0.0857|p_case=0.872|sender_delta=1.01|sender_p=0.0122	0					False		9.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
CD40	8	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		2	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.659|p_all=0.000853|rho_case=0.5|p_case=0.17|sender_delta=-0.00936|sender_p=0.901	1	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	True	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	8.950556995395143	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
IL6ST	5	3	Crohn disease;Sjogren syndrome;psoriasis	0	0		0	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.757|p_all=4.51e-05|rho_case=0.85|p_case=0.0037|sender_delta=-0.135|sender_p=0.292	1	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	8.052	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
VEGFB	7	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		0	1	4	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.602|p_all=0.003|rho_case=0.95|p_case=8.76e-05|sender_delta=-0.105|sender_p=0.291	0					False		8.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
TRAF6	5	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		0	0	4	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.671|p_all=0.000624|rho_case=0.867|p_case=0.0025|sender_delta=-0.0297|sender_p=0.539	1	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	True	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	7.950556995395143	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
LIF	6	3	Crohn disease;psoriasis;ulcerative colitis	0	0		0	0	1	ibd_uc_stromal->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.788|p_all=0.00235|rho_case=0.371|p_case=0.468|sender_delta=0.0448|sender_p=0.0403	0					False		7.0	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
TRAF3	5	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	0		0	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.703|p_all=0.000263|rho_case=0.9|p_case=0.000943|sender_delta=0.00304|sender_p=0.951	1	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	True	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	6.950556995395143	PARK_CORRELATION_ONLY_NOT_DISEASE_UP	2
S100A9	5	2	Crohn disease;ulcerative colitis	1	1	Crohn disease	3	0	4	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.748|p_all=0.00512|rho_case=0.714|p_case=0.111|sender_delta=0.675|sender_p=0.0591	0					False		15.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
ITGB1	5	2	Crohn disease;Sjogren syndrome	2	1	Crohn disease	1	0	4	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.574|p_all=0.00519|rho_case=0.867|p_case=0.0025|sender_delta=-0.143|sender_p=0.215	1	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	False	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	14.011000000000001	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCL11	5	1	ulcerative colitis	3	1	ulcerative colitis	1	0	5	ibd_uc_stromal->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.832|p_all=0.000785|rho_case=0.771|p_case=0.0724|sender_delta=0.688|sender_p=0.0519	1	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	12.514	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCL8	9	2	Crohn disease;ulcerative colitis	6	1	ulcerative colitis	2	0	2	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.853|p_all=0.000418|rho_case=0.486|p_case=0.329|sender_delta=0.552|sender_p=0.00113	0					False		12.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MIF	4	1	Crohn disease	2	1	Crohn disease	2	0	4	ibd_crohn_epithelial->ibd_crohn_myeloid|inflammatory_nfkb|rho_all=0.65|p_all=0.022|rho_case=0.943|p_case=0.0048|sender_delta=1.22|sender_p=0.0544	1	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	True	selectivity_window_gate;prior_art_not_blocking_gate	11.433	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD24	6	2	psoriasis;ulcerative colitis	2	1	ulcerative colitis	3	0	0	ibd_uc_stromal->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.741|p_all=0.0058|rho_case=-0.0857|p_case=0.872|sender_delta=0.248|sender_p=0.0349	1	CD24_SIGLEC10_DAMP_CHECKPOINT	NO_GO_NICHE_DRIVER	7.3	-1.5	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	11.43	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TNFRSF1B	7	2	Sjogren syndrome;ulcerative colitis	0	0		2	0	7	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.608|p_all=0.00268|rho_case=0.933|p_case=0.000236|sender_delta=-0.0333|sender_p=0.702	1	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	True	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	11.33205158803859	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
HLA-DRB1	2	1	ulcerative colitis	0	0		4	0	2	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.462|p_all=0.131|rho_case=0.771|p_case=0.0724|sender_delta=0.131|sender_p=0.577	1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	False	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	10.077	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
S100A12	5	2	Crohn disease;ulcerative colitis	0	0		2	0	4	ibd_uc_stromal->ibd_uc_myeloid|lipid_loader_repair|rho_all=0.819|p_all=0.00112|rho_case=0.883|p_case=0.0198|sender_delta=0.164|sender_p=0.305	0					False		10.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
PTPN2	2	2	Crohn disease;psoriasis	0	0		2	0	1	psoriasis_skin_stromal->psoriasis_skin_apc|lysosomal_apc|rho_all=0.829|p_all=0.0416|rho_case=nan|p_case=nan|sender_delta=0.0714|sender_p=0.28	1	PTPN2_TCPTP_RESTORATION	NO_GO_NICHE_DRIVER	14.64	5.1	False	cross_disease_support_gate;residual_or_state_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	9.464	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD44	3	1	Crohn disease	3	1	Crohn disease	2	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.727|p_all=0.00736|rho_case=0.543|p_case=0.266|sender_delta=0.311|sender_p=0.0102	2	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	True	selectivity_window_gate;prior_art_not_blocking_gate	9.433	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TREM1	4	2	Crohn disease;ulcerative colitis	0	0		2	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.766|p_all=0.00371|rho_case=0.812|p_case=0.0499|sender_delta=0.00282|sender_p=0.0735	1	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	9.165527637502574	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
HLA-DRA	2	1	ulcerative colitis	0	0		3	0	2	ibd_uc_stromal->ibd_uc_myeloid|lipid_loader_repair|rho_all=0.35|p_all=0.265|rho_case=0.886|p_case=0.0188|sender_delta=0.199|sender_p=0.509	1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	False	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	9.077	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
OSMR	4	2	Crohn disease;Sjogren syndrome	0	0		1	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.673|p_all=0.000606|rho_case=0.9|p_case=0.000943|sender_delta=-0.0898|sender_p=0.278	1	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	9.052	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CSF3	5	2	Crohn disease;ulcerative colitis	4	1	ulcerative colitis	1	0	0	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.895|p_all=8.37e-05|rho_case=0.6|p_case=0.208|sender_delta=1.12|sender_p=0.0119	0					False		9.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL18	4	2	Crohn disease;ulcerative colitis	2	1	ulcerative colitis	1	0	0	ibd_uc_epithelial->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.762|p_all=0.00395|rho_case=-0.0857|p_case=0.872|sender_delta=0.307|sender_p=0.00902	0					False		9.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
S100A8	3	2	Crohn disease;ulcerative colitis	0	0		3	0	2	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.635|p_all=0.0265|rho_case=0.771|p_case=0.0724|sender_delta=0.475|sender_p=0.223	0					False		9.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IRF5	3	2	Crohn disease;Sjogren syndrome	0	0		0	0	3	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.676|p_all=0.0158|rho_case=0.771|p_case=0.0724|sender_delta=0.0149|sender_p=0.635	1	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	False	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	8.8	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LILRB3	2	1	Crohn disease	0	0		2	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.51|p_all=0.0899|rho_case=0.943|p_case=0.0048|sender_delta=0.0186|sender_p=0.494	1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	False	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	8.077	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
OSM	2	2	Crohn disease;ulcerative colitis	0	0		2	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.691|p_all=0.0129|rho_case=0.6|p_case=0.208|sender_delta=0.173|sender_p=0.157	1	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	8.052	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
AREG	3	2	Crohn disease;ulcerative colitis	0	0		1	0	3	ibd_crohn_epithelial->ibd_crohn_myeloid|lysosomal_apc|rho_all=0.427|p_all=0.167|rho_case=0.829|p_case=0.0416|sender_delta=0.112|sender_p=0.247	0					False		8.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCL3	4	2	Crohn disease;ulcerative colitis	0	0		1	0	3	ibd_crohn_epithelial->ibd_crohn_myeloid|inflammatory_nfkb|rho_all=0.671|p_all=0.0168|rho_case=0.714|p_case=0.111|sender_delta=0.123|sender_p=0.195	0					False		8.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL1A	3	2	Crohn disease;Sjogren syndrome	0	0		1	0	3	ibd_crohn_stromal->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.65|p_all=0.022|rho_case=0.845|p_case=0.0341|sender_delta=0.00578|sender_p=0.294	0					False		8.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
P2RX7	4	2	Crohn disease;Sjogren syndrome	0	0		1	0	3	sjogren_gland_epithelial->sjogren_gland_apc|lipid_loader_repair|rho_all=0.563|p_all=0.00638|rho_case=0.517|p_case=0.154|sender_delta=-0.0653|sender_p=0.103	0					False		8.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TYRO3	4	2	Crohn disease;Sjogren syndrome	0	0		0	0	4	sjogren_gland_stromal->sjogren_gland_apc|lipid_loader_repair|rho_all=0.693|p_all=0.000351|rho_case=0.767|p_case=0.0159|sender_delta=-0.055|sender_p=0.148	0					False		8.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
VEGFA	4	2	Crohn disease;Sjogren syndrome	0	0		1	0	3	ibd_crohn_stromal->ibd_crohn_myeloid|inflammatory_nfkb|rho_all=0.685|p_all=0.0139|rho_case=0.714|p_case=0.111|sender_delta=0.282|sender_p=0.157	0					False		8.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
NPC2	2	2	Crohn disease;Sjogren syndrome	0	0		1	0	1	sjogren_gland_stromal->sjogren_gland_apc|c15_mocci_costate|rho_all=0.587|p_all=0.00411|rho_case=0.267|p_case=0.488|sender_delta=-0.00565|sender_p=0.943	1	NPC1_NPC2_CHOLESTEROL_EGRESS	NO_GO_NICHE_DRIVER	10.1	1.0	False	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate	7.21	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
