n_requested	event_probability_before_dropout	molecular_hazard_ratio_per_latent_sd	dropout_probability	assignment_strength	source_hazard_ratio	treatment_hazard_ratio	measurement_reliability	missing_rate	alpha	source_treatment_stratified	unadjusted	stratified_minus_unadjusted_probability
80	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.32	0.32133333333333336	-0.001333333333333353
80	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.24	0.492	-0.252
80	0.3	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.7053333333333334	0.7133333333333334	-0.008000000000000007
80	0.3	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.5653333333333334	0.8493333333333334	-0.28400000000000003
80	0.3	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.6386666666666667	0.644	-0.005333333333333301
80	0.3	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.516	0.8226666666666667	-0.30666666666666664
120	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.05733333333333333	0.05733333333333333	0.0
120	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.050666666666666665	0.064	-0.013333333333333336
120	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.042666666666666665	0.044	-0.0013333333333333322
120	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.042666666666666665	0.07333333333333333	-0.03066666666666667
120	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.2773333333333333	0.2693333333333333	0.008000000000000007
120	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.18933333333333333	0.4013333333333333	-0.212
120	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.21333333333333335	0.216	-0.0026666666666666505
120	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.17333333333333334	0.35733333333333334	-0.184
120	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.5653333333333334	0.5853333333333334	-0.020000000000000018
120	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.44666666666666666	0.7346666666666667	-0.28800000000000003
120	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.476	0.49066666666666664	-0.014666666666666661
120	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.39866666666666667	0.6453333333333333	-0.24666666666666665
120	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.052	0.05466666666666667	-0.0026666666666666713
120	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.04933333333333333	0.10666666666666667	-0.05733333333333334
120	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.050666666666666665	0.048	0.0026666666666666644
120	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.042666666666666665	0.092	-0.04933333333333333
120	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.43866666666666665	0.43466666666666665	0.0040000000000000036
120	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.33466666666666667	0.6813333333333333	-0.3466666666666667
120	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.42533333333333334	0.43066666666666664	-0.005333333333333301
120	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.316	0.6293333333333333	-0.3133333333333333
120	0.3	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.8733333333333333	0.8733333333333333	0.0
120	0.3	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.7426666666666667	0.9493333333333334	-0.20666666666666667
120	0.3	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.8013333333333333	0.824	-0.022666666666666613
120	0.3	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.7186666666666667	0.9386666666666666	-0.21999999999999997
160	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.048	0.050666666666666665	-0.0026666666666666644
160	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.04533333333333334	0.068	-0.02266666666666667
160	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.048	0.044	0.0040000000000000036
160	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.044	0.072	-0.027999999999999997
160	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.3546666666666667	0.3626666666666667	-0.008000000000000007
160	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.22933333333333333	0.5186666666666667	-0.2893333333333334
160	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.26266666666666666	0.2733333333333333	-0.010666666666666658
160	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.21466666666666667	0.472	-0.2573333333333333
160	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.72	0.7173333333333334	0.002666666666666595
160	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.6093333333333333	0.8813333333333333	-0.272
160	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.656	0.664	-0.008000000000000007
160	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.5493333333333333	0.82	-0.2706666666666666
160	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.04933333333333333	0.05466666666666667	-0.005333333333333336
160	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.058666666666666666	0.12266666666666666	-0.064
160	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.042666666666666665	0.042666666666666665	0.0
160	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.032	0.12	-0.088
160	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.5773333333333334	0.5706666666666667	0.00666666666666671
160	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.4653333333333333	0.8253333333333334	-0.36000000000000004
160	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.4826666666666667	0.48533333333333334	-0.0026666666666666505
160	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.4226666666666667	0.7573333333333333	-0.3346666666666666
160	0.3	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.9386666666666666	0.9373333333333334	0.0013333333333332975
160	0.3	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.8706666666666667	0.9853333333333333	-0.11466666666666658
160	0.3	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.9333333333333333	0.9426666666666667	-0.009333333333333305
160	0.3	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.8106666666666666	0.9773333333333334	-0.16666666666666674
240	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.04	0.048	-0.008
240	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.03866666666666667	0.08533333333333333	-0.04666666666666666
240	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.06266666666666666	0.064	-0.0013333333333333391
240	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.03866666666666667	0.076	-0.03733333333333333
240	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.5013333333333333	0.496	0.005333333333333301
240	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.348	0.7	-0.352
240	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.408	0.4066666666666667	0.0013333333333332975
240	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.33866666666666667	0.6413333333333333	-0.30266666666666664
240	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.8893333333333333	0.8973333333333333	-0.008000000000000007
240	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.7266666666666667	0.9573333333333334	-0.2306666666666667
240	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.848	0.8466666666666667	0.0013333333333332975
240	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.6973333333333334	0.9453333333333334	-0.248
240	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.04133333333333333	0.048	-0.006666666666666668
240	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.05466666666666667	0.14266666666666666	-0.088
240	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.04933333333333333	0.04533333333333334	0.003999999999999997
240	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.05466666666666667	0.12933333333333333	-0.07466666666666666
240	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.7466666666666667	0.7453333333333333	0.0013333333333334085
240	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.6173333333333333	0.944	-0.32666666666666666
240	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.7266666666666667	0.728	-0.0013333333333332975
240	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.5546666666666666	0.92	-0.3653333333333334
240	0.3	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.9946666666666667	0.996	-0.0013333333333332975
240	0.3	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.964	1.0	-0.03600000000000003
240	0.3	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.9853333333333333	0.988	-0.002666666666666706
240	0.3	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.9493333333333334	1.0	-0.05066666666666664
320	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.052	0.056	-0.0040000000000000036
320	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.04933333333333333	0.104	-0.05466666666666666
320	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.05466666666666667	0.05333333333333334	0.0013333333333333322
320	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.030666666666666665	0.092	-0.06133333333333334
320	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.6013333333333334	0.6146666666666667	-0.013333333333333308
320	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.46266666666666667	0.8013333333333333	-0.33866666666666667
320	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.5493333333333333	0.5426666666666666	0.00666666666666671
320	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.4146666666666667	0.784	-0.36933333333333335
320	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.936	0.9426666666666667	-0.006666666666666599
320	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.884	0.9893333333333333	-0.10533333333333328
320	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.9453333333333334	0.948	-0.002666666666666595
320	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.8173333333333334	0.984	-0.16666666666666663
320	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.04533333333333334	0.050666666666666665	-0.005333333333333329
320	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.05466666666666667	0.168	-0.11333333333333334
320	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.042666666666666665	0.04666666666666667	-0.0040000000000000036
320	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.044	0.19066666666666668	-0.14666666666666667
320	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.8666666666666667	0.868	-0.0013333333333332975
320	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.744	0.9826666666666667	-0.2386666666666667
320	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.8253333333333334	0.8173333333333334	0.008000000000000007
320	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.6853333333333333	0.964	-0.2786666666666666
320	0.3	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	1.0	0.9986666666666667	0.0013333333333332975
320	0.3	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.9933333333333333	1.0	-0.00666666666666671
320	0.3	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.996	0.9933333333333333	0.002666666666666706
320	0.3	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.9866666666666667	1.0	-0.013333333333333308
