seed	cluster_size	within_cluster_correlation	beta_shape	n_sequences	cluster_arrivals	bonferroni_ever_crossing	cluster_e_ever_crossing	cluster_e_final_q90	cluster_e_maximum_q95	cluster_e_minus_bonferroni_crossing
57161	4	0.5	1.0	50000	3	0.00288	0.00276	1.483761705893782	3.0902753545571824	-0.00012000000000000031
57161	4	0.5	0.5	50000	3	0.20486	0.22144	85.75959007733697	397.66263547193415	0.01658000000000001
57161	4	0.5	0.25	50000	3	0.77956	0.79374	6670912.807735889	161883648.13682404	0.01417999999999997
57161	4	0.75	1.0	50000	3	0.00234	0.00344	1.456147854755652	3.176874490870738	0.0010999999999999998
57161	4	0.75	0.5	50000	3	0.14594	0.18188	51.36088341845971	248.27032662763128	0.03594
57161	4	0.75	0.25	50000	3	0.66194	0.69548	1051746.947930417	28016816.90303139	0.033540000000000014
57162	2	0.25	1.0	50000	6	0.00538	0.00542	1.2821429800306068	3.962073438646132	4.0000000000000105e-05
57162	2	0.25	0.5	50000	6	0.38886	0.42036	756.7133255020926	6327.991775420071	0.03150000000000003
57162	2	0.25	0.25	50000	6	0.9509	0.95888	28970149826.402836	1603010243970.1267	0.007979999999999987
57162	2	0.5	1.0	50000	6	0.00478	0.00594	1.2934533459823494	4.172296092554715	0.0011599999999999996
57162	2	0.5	0.5	50000	6	0.3392	0.38198	545.0030106824822	4413.153358156491	0.042779999999999985
57162	2	0.5	0.25	50000	6	0.92352	0.93744	10439163725.03096	586931380338.7924	0.013920000000000043
57162	2	0.75	1.0	50000	6	0.00386	0.0063	1.264724810641023	4.182886492266449	0.00244
57162	2	0.75	0.5	50000	6	0.27984	0.34122	318.8052428636376	2727.9799581959696	0.061380000000000046
57162	2	0.75	0.25	50000	6	0.87868	0.90512	1835397868.0050874	113218713057.0106	0.02644000000000002
57162	3	0.25	1.0	50000	4	0.00384	0.00354	1.4438879490110585	3.320342344810716	-0.0002999999999999999
57162	3	0.25	0.5	50000	4	0.31246	0.32968	272.9557884557733	1488.4772228149886	0.017219999999999958
57162	3	0.25	0.25	50000	4	0.9116	0.9219	444355614.88133264	14355006962.13607	0.010300000000000087
57162	3	0.5	1.0	50000	4	0.00354	0.0039	1.4293724549542142	3.5350016130479935	0.00035999999999999964
57162	3	0.5	0.5	50000	4	0.25678	0.28774	186.7429776783169	1106.1873678342697	0.030959999999999988
57162	3	0.5	0.25	50000	4	0.85042	0.86886	119654337.34977715	4065054744.5719166	0.018440000000000012
57162	3	0.75	1.0	50000	4	0.00278	0.00448	1.398788607169283	3.564699240413869	0.0016999999999999997
57162	3	0.75	0.5	50000	4	0.19114	0.24036	104.7240694384361	647.007341281196	0.049219999999999986
57162	3	0.75	0.25	50000	4	0.76112	0.79772	16429918.360873159	602741622.1140989	0.036599999999999966
57162	4	0.25	1.0	50000	3	0.0032	0.00238	1.4626146836148026	2.9375969177441554	-0.00082
57162	4	0.25	0.5	50000	3	0.25834	0.2579	131.98123815350286	587.099682993764	-0.00043999999999999595
57162	4	0.25	0.25	50000	3	0.8657	0.87278	24554632.45047194	633953890.5670598	0.007079999999999975
57162	4	0.5	1.0	50000	3	0.00284	0.00272	1.4867547793571287	3.1226982906744176	-0.00011999999999999988
57162	4	0.5	0.5	50000	3	0.2053	0.22214	91.60116519746099	447.3679213045568	0.016839999999999994
57162	4	0.5	0.25	50000	3	0.78284	0.79686	6229722.124403226	161835435.7629053	0.014020000000000032
57162	4	0.75	1.0	50000	3	0.00156	0.0031	1.4425094821804405	3.1617995272316484	0.00154
57162	4	0.75	0.5	50000	3	0.14342	0.1788	50.98059135829532	249.02971672081966	0.035379999999999995
57162	4	0.75	0.25	50000	3	0.6597	0.69502	1144444.7169078104	27344709.115421906	0.03532000000000002
57163	2	0.25	1.0	50000	6	0.00564	0.00598	1.300245374661379	3.983865154923259	0.00034
57163	2	0.25	0.5	50000	6	0.38912	0.421	768.8895296812588	5990.469075776754	0.031879999999999964
57163	2	0.25	0.25	50000	6	0.95214	0.96088	37184125532.16273	1833000114976.933	0.00873999999999997
57163	2	0.5	1.0	50000	6	0.00442	0.00552	1.2743282495750254	4.000272911612757	0.0010999999999999994
57163	2	0.5	0.5	50000	6	0.34388	0.38594	564.134103119423	4320.637796136436	0.042059999999999986
57163	2	0.5	0.25	50000	6	0.92274	0.93724	12242348686.873133	698385628338.3368	0.014499999999999957
57163	2	0.75	1.0	50000	6	0.00348	0.0062	1.281493961214168	4.218407270589524	0.0027199999999999998
57163	2	0.75	0.5	50000	6	0.27788	0.34224	323.6481482750498	2675.1873017987127	0.06435999999999997
57163	2	0.75	0.25	50000	6	0.87914	0.90578	2110833015.9692369	117937188482.54767	0.026639999999999997
57163	3	0.25	1.0	50000	4	0.00404	0.0038	1.4423318820644615	3.3660050174812035	-0.0002400000000000002
57163	3	0.25	0.5	50000	4	0.314	0.3311	279.71463035976655	1472.4397579598353	0.017100000000000004
57163	3	0.25	0.25	50000	4	0.90886	0.92024	400956412.2596585	12013273777.689726	0.011379999999999946
57163	3	0.5	1.0	50000	4	0.00382	0.0045	1.4452096403035402	3.6043079554954267	0.0006799999999999996
57163	3	0.5	0.5	50000	4	0.25752	0.2861	183.6770773190975	1119.9919829330277	0.028579999999999994
57163	3	0.5	0.25	50000	4	0.85464	0.8731	112855377.054297	3712984335.26498	0.018460000000000032
57163	3	0.75	1.0	50000	4	0.00234	0.00414	1.3953436571758768	3.6207935114290226	0.0017999999999999995
57163	3	0.75	0.5	50000	4	0.19292	0.2428	107.54772702725217	662.4428752394621	0.04987999999999998
57163	3	0.75	0.25	50000	4	0.7592	0.79652	16214025.831805099	560406040.2335327	0.03732000000000002
57163	4	0.25	1.0	50000	3	0.00358	0.0031	1.4862226568047683	2.9147280674574394	-0.00047999999999999996
57163	4	0.25	0.5	50000	3	0.26006	0.26044	135.94283757615167	627.48112077301	0.00037999999999999146
57163	4	0.25	0.25	50000	3	0.86914	0.87548	25778834.35699471	645834895.1552421	0.006340000000000012
57163	4	0.5	1.0	50000	3	0.00278	0.00298	1.4967577689917435	3.111658937160275	0.0002000000000000001
57163	4	0.5	0.5	50000	3	0.2075	0.22462	88.65512252788417	419.07507969469617	0.017119999999999996
57163	4	0.5	0.25	50000	3	0.78032	0.79448	6415165.520395293	166090695.08027756	0.01415999999999995
57163	4	0.75	1.0	50000	3	0.00204	0.00338	1.4665574595841877	3.1944938248470653	0.00134
57163	4	0.75	0.5	50000	3	0.14146	0.17606	50.78672223508213	235.3741491619704	0.03459999999999999
57163	4	0.75	0.25	50000	3	0.66272	0.69726	1237357.2564071028	29506128.388467405	0.034540000000000015
