evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_04_lipid_lysosomal_multiple_sclerosis_2	axis_04_lipid_lysosomal	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.5131; hedges_g=0.947; support=supportive	module=lysosomal_apc; p=0.04134; fdr=0.09645; supportive	0.041336474	axis-local FDR=0.096451773	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_1	axis_04_lipid_lysosomal	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=0.01256; hedges_g=0.2628; support=positive_null	module=lipid_loader_repair; p=0.4258; fdr=0.5514; positive_null	0.42576943	axis-local FDR=0.55139816	case=18; control=18	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_2	axis_04_lipid_lysosomal	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=-0.008564; hedges_g=-0.06682; support=null_or_negative	module=lysosomal_apc; p=0.8388; fdr=0.8753; null_or_negative	0.83882706	axis-local FDR=0.8752978	case=18; control=18	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Crohn_disease_1	axis_04_lipid_lysosomal	Crohn disease	colon epithelial	single_cell_or_single_nucleus_h5ad	ibd_crohn_epithelial	delta=0.06556; hedges_g=1.522; support=trend	module=lipid_loader_repair; p=0.03256; fdr=0.1192; trend	0.032555821	axis-local FDR=0.11918741	case=6; control=6	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Crohn_disease_2	axis_04_lipid_lysosomal	Crohn disease	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_crohn_myeloid	delta=0.1325; hedges_g=0.9274; support=positive_null	module=lysosomal_apc; p=0.1265; fdr=0.276; positive_null	0.12651038	axis-local FDR=0.27602264	case=6; control=6	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_ulcerative_colitis_1	axis_04_lipid_lysosomal	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.2479; hedges_g=1.66; support=supportive	module=lysosomal_apc; p=0.01493; fdr=0.08718; supportive	0.014934283	axis-local FDR=0.087183925	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_ulcerative_colitis_2	axis_04_lipid_lysosomal	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.1202; hedges_g=0.9067; support=positive_null	module=lipid_loader_repair; p=0.1213; fdr=0.2674; positive_null	0.1213084	axis-local FDR=0.26737363	case=6; control=6	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_psoriasis_1	axis_04_lipid_lysosomal	psoriasis	skin keratinocyte	single_cell_or_single_nucleus_h5ad	psoriasis_keratinocyte	delta=0.2035; hedges_g=2.519; support=trend	module=lysosomal_apc; p=0.0555; fdr=0.1557; trend	0.055496712	axis-local FDR=0.15567909	case=3; control=3	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_psoriasis_2	axis_04_lipid_lysosomal	psoriasis	skin keratinocyte	single_cell_or_single_nucleus_h5ad	psoriasis_keratinocyte	delta=0.1616; hedges_g=1.154; support=positive_null	module=lipid_loader_repair; p=0.1767; fdr=0.3279; positive_null	0.17674909	axis-local FDR=0.32786143	case=3; control=3	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_1	axis_04_lipid_lysosomal	type 1 diabetes mellitus	pancreatic acinar cell	single_cell_or_single_nucleus_h5ad	t1d_acinar_cell	delta=0.2053; hedges_g=2.003; support=supportive	module=lipid_loader_repair; p=0.0212; fdr=0.09158; supportive	0.021198453	axis-local FDR=0.091577315	case=5; control=18	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_2	axis_04_lipid_lysosomal	type 1 diabetes mellitus	pancreatic ductal cell	single_cell_or_single_nucleus_h5ad	t1d_ductal_cell	delta=0.2112; hedges_g=1.455; support=trend	module=lysosomal_apc; p=0.06568; fdr=0.1701; trend	0.06568023	axis-local FDR=0.17009107	case=5; control=19	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Sjogren_syndrome_1	axis_04_lipid_lysosomal	Sjogren syndrome	salivary gland APC	single_cell_or_single_nucleus_h5ad	sjogren_gland_apc	delta=-0.1294; hedges_g=-0.774; support=negative_trend	module=lipid_loader_repair; p=0.05542; fdr=0.1557; negative_trend	0.055418741	axis-local FDR=0.15567909	case=9; control=13	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Sjogren_syndrome_2	axis_04_lipid_lysosomal	Sjogren syndrome	salivary gland epithelial	single_cell_or_single_nucleus_h5ad	sjogren_gland_epithelial	delta=-0.0166; hedges_g=-0.2024; support=null_or_negative	module=lipid_loader_repair; p=0.6037; fdr=0.6973; null_or_negative	0.6036991	axis-local FDR=0.69732088	case=11; control=14	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Hashimoto_thyroiditis_1	axis_04_lipid_lysosomal	Hashimoto thyroiditis	thyroid tissue spots	spatial_visium	GSE248205	delta=0.4907; hedges_g=2.926; support=supportive	module=lysosomal_apc; p=0.02756; fdr=0.08881; supportive	0.027561406	axis-local FDR=0.088808974	case=3; control=2	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Graves_disease_1	axis_04_lipid_lysosomal	Graves disease	thyroid tissue spots	spatial_visium	GSE248205	delta=0.3662; hedges_g=1.308; support=positive_null	module=lysosomal_apc; p=0.1249; fdr=0.2683; positive_null	0.12490051	axis-local FDR=0.26830481	case=3; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_celiac_disease_1	axis_04_lipid_lysosomal	celiac disease	myeloid_apc_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.1358; hedges_g=1.172; support=trend	module=lipid_loader_repair; p=0.08447; fdr=0.7809; trend	0.084466545	axis-local FDR=0.78093292	case=4; control=2	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_celiac_disease_2	axis_04_lipid_lysosomal	celiac disease	b_plasma_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.03091; hedges_g=0.8081; support=positive_null	module=lipid_loader_repair; p=0.1795; fdr=0.7809; positive_null	0.17952411	axis-local FDR=0.78093292	case=4; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_07_treatment_GSE12051_rheumatoid_arthritis	axis_07_treatment_response	rheumatoid arthritis	blood	locked_validation_or_followon	GSE12051	AUC=0.382; hedges_g=-0.339; feature=baseline_IFN_APC	locked V7 fail; n=44	0.38496482	locked V7 thresholds	44	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE16879_Crohn_disease	axis_07_treatment_response	Crohn disease	intestinal mucosa	locked_validation_or_followon	GSE16879	AUC=0.754; hedges_g=0.985; feature=-delta_IFN_APC	locked V7 pass; n=60	0.00036466563	locked V7 thresholds	60	treatment_perturbation	near	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE16879_ulcerative_colitis	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	locked_validation_or_followon	GSE16879	AUC=0.754; hedges_g=0.985; feature=-delta_IFN_APC	locked V7 pass; n=60	0.00036466563	locked V7 thresholds	60	treatment_perturbation	near	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE12251_ulcerative_colitis	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	locked_validation_or_followon	GSE12251	AUC=0.250; hedges_g=-1.043; feature=baseline_IFN_APC	locked V7 fail; n=22	0.019474874	locked V7 thresholds	22	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE138746_CD14_rheumatoid_arthritis	axis_07_treatment_response	rheumatoid arthritis	blood	locked_validation_or_followon	GSE138746_CD14	AUC=0.485; hedges_g=-0.099; feature=baseline_IFN_APC	locked V7 fail; n=78	0.65471517	locked V7 thresholds	78	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE73661_IFX_ulcerative_colitis	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	locked_validation_or_followon	GSE73661_IFX	AUC=0.825; hedges_g=1.390; feature=-delta_IFN_APC	locked V7 pass; n=23	0.012650764	locked V7 thresholds	23	treatment_perturbation	near	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE8350_rheumatoid_arthritis	axis_07_treatment_response	rheumatoid arthritis	blood	locked_validation_or_followon	GSE8350	AUC=0.450; hedges_g=-0.356; feature=-delta_IFN_APC	locked V7 fail; n=18	0.44296429	locked V7 thresholds	18	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE73661_VDZ_UC	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	exploratory_treatment_perturbation	GSE73661_VDZ_W6_exploratory	AUC=0.889; hedges_g=1.286; feature=-delta_IFN_APC	exploratory Class C; not locked V7 validation	0.1622	not counted in V7 locked validation	24	treatment_perturbation	intermediate	Suggests mucosal healing/plasticity rather than anti-TNF specificity.	analysis/v7_hyp_v7_001_specificity/gse73661_vdz_w6_result.json
