feedback_strength	intervention	R_ifngr_availability	S_jak_stat_activity	H_hla_cd74_state	G_ifi30_activity	C_ctss_activity	ifn_apc_readout	hla_ii_cd74_readout	gilt_lysosomal_readout
0.25	ifi30_plus_ctss_70pct_suppression	0.8275127751722089	0.9838686336947797	1.0757672143416694	0.23628160323238281	0.2452816032313408	1.0252229949858802	1.0757672143416694	0.5328015671203206
0.5	control	1.1148430654255321	1.06549317911031	1.0961940787617668	0.8027363547284213	0.8327363547089613	1.0793085839534655	1.0961940787617668	0.9144465581342542
0.5	ifngr_jak_70pct_suppression	1.0439130238121481	0.31454148327912596	0.7189834424795991	0.5233210685077858	0.5533210685068392	0.49654036491933884	0.7189834424795991	0.6008028993976364
0.5	ifi30_70pct_suppression	0.9227167402460215	1.0149968132373692	1.0838453466226345	0.23807674371718418	0.8235891456528637	1.0459786532607387	1.0838453466226345	0.7097494753147956
0.5	ifi30_95pct_suppression	0.7742013789530409	0.9641350308649236	1.070447908008702	0.039183255872808034	0.8136651170481454	1.0119758255796238	1.070447908008702	0.632470442472972
0.5	ctss_70pct_suppression	1.1148430655488668	1.0654931802897651	1.0961940774587078	0.8027363538161194	0.24982090649593494	1.0793085840157894	1.0961940774587078	0.7395719228949699
0.5	ifi30_plus_ctss_70pct_suppression	0.9227167394767753	1.0149968145247132	1.083845348184156	0.23807674406871543	0.24707674406807695	1.0459786546714624	1.083845348184156	0.536795755508928
1.0	control	1.5010377199706864	1.135283623687424	1.1118789383514252	0.8143547691947266	0.8443547691848943	1.1247515152862246	1.1118789383514252	0.9274882283966213
1.0	ifngr_jak_70pct_suppression	1.363975001748576	0.33423445424619025	0.7394472349903007	0.5384794333372875	0.5684794333348818	0.51658020558104	0.7394472349903007	0.6178181639151205
1.0	ifi30_70pct_suppression	1.1152206515701137	1.065579388003743	1.0962144004450034	0.24082542237837093	0.8327514077529584	1.0793651436023102	1.0962144004450034	0.7177893603140685
1.0	ifi30_95pct_suppression	0.8153713517630603	0.9795331689079795	1.0746120984739682	0.0393374851420195	0.8167497025763233	1.0223186872126746	1.0746120984739682	0.6349072650384927
1.0	ctss_70pct_suppression	1.5010377197679954	1.1352836232341161	1.1118789389643937	0.8143547696357999	0.25330643097065697	1.1247515153127412	1.1118789389643937	0.7501737273012649
1.0	ifi30_plus_ctss_70pct_suppression	1.115220650727244	1.065579385449077	1.0962144037930943	0.24082542311000213	0.24982542310897105	1.079365143703885	1.0962144037930943	0.542911566348775
1.5	control	1.8891044707405276	1.1811625127809793	1.121410938926452	0.8214155103655401	0.851415510354812	1.1542743045464419	1.121410938926452	0.9354139103586406
1.5	ifngr_jak_70pct_suppression	1.6884799207943442	0.3478874425253773	0.7529567252160891	0.5484864631243176	0.5784864631240394	0.5301686197361977	0.7529567252160891	0.6290510548563542
1.5	ifi30_70pct_suppression	1.3095452813039647	1.1047383983403423	1.1051993320681532	0.24282207380578755	0.8394069126466531	1.1049458185178573	1.1051993320681532	0.7236295658498751
1.5	ifi30_95pct_suppression	0.8568053400008778	0.993969313144108	1.0784294702432622	0.03947886927774144	0.8195773853675213	1.0319763838387275	1.0784294702432622	0.6371411344426077
1.5	ctss_70pct_suppression	1.8891044689470766	1.181162513583322	1.1214109400459982	0.8214155112553745	0.2554246536470838	1.1542743054915263	1.1214109400459982	0.7566166540496057
1.5	ifi30_plus_ctss_70pct_suppression	1.3095452807242196	1.1047383978538465	1.1051993331111536	0.24282207403344697	0.2518220740332459	1.1049458187196348	1.1051993331111536	0.5473541147105839
2.0	control	2.2780991054106066	1.2135534655942604	1.127803733605226	0.8261509140785228	0.8561509140143931	1.1749660861991948	1.127803733605226	0.94072940089363
2.0	ifngr_jak_70pct_suppression	2.0153747657815306	0.3578533996375325	0.762488901998839	0.5555473348156853	0.5855473348153114	0.5399393757001204	0.762488901998839	0.636976883329677
2.0	ifi30_70pct_suppression	1.505014030766457	1.1358510567498905	1.112000426303001	0.24433342807921649	0.8444447602277484	1.1251182730487903	1.112000426303001	0.7280502771021006
2.0	ifi30_95pct_suppression	0.8984711170384644	1.0075199545894302	1.0819388177441696	0.03960884510387155	0.8221769020332232	1.041008443009063	1.0819388177441696	0.6391947526067813
2.0	ctss_70pct_suppression	2.2780991032947777	1.2135534572342594	1.127803740601586	0.8261509190362974	0.25684527588798156	1.1749660847495564	1.127803740601586	0.7609377136396536
2.0	ifi30_plus_ctss_70pct_suppression	1.5050140320420968	1.13585105616369	1.1120004254996887	0.24433342789807846	0.2533334278978657	1.1251182723648894	1.1120004254996887	0.5507168770585782
5.0	control	4.618466750269213	1.3013780259810077	1.1438753280374827	0.838055798609978	0.8680557985962198	1.2305018119064215	1.1438753280374827	0.9540926339054772
5.0	ifngr_jak_70pct_suppression	3.9944764366183887	0.38616393260508813	0.7881592604171226	0.5745624151509792	0.6045624151451084	0.5670618301205037	0.7881592604171226	0.658321310992368
5.0	ifi30_70pct_suppression	2.688068527127127	1.2387133158884935	1.132589514151884	0.24890878093063257	0.8596959364110248	1.1909576051070194	1.132589514151884	0.7414331842021882
5.0	ifi30_95pct_suppression	1.1520378625903385	1.0737765288545142	1.0981361267561784	0.04020874544076497	0.8341749087094971	1.0847383479102632	1.0981361267561784	0.6486731778817794
5.0	ctss_70pct_suppression	4.618466749517571	1.3013780261712073	1.1438753281282439	0.8380557986785075	0.26041673976313334	1.230501812051874	1.1438753281282439	0.771800916311303
5.0	ifi30_plus_ctss_70pct_suppression	2.6880685212307696	1.2387133192450057	1.1325895142907902	0.24890878098281585	0.2579087809821425	1.190957607015609	1.1325895142907902	0.5608970376404048
10.0	control	8.524520885412064	1.3447857495843603	1.1512036978021207	0.8434842207099104	0.8734842206849067	1.2576738262823524	1.1512036978021207	0.9601860376846829
10.0	ifngr_jak_70pct_suppression	7.308967097047138	0.4008068105543879	0.8006769938070404	0.5838348104775103	0.6138348104235005	0.5807483930180816	0.8006769938070404	0.6687295746266428
10.0	ifi30_70pct_suppression	4.671001111723059	1.302409893155904	1.1440540013442333	0.25145644490389596	0.868188149188563	1.2311497418406523	1.1440540013442333	0.7488851009434141
10.0	ifi30_95pct_suppression	1.5823787902272632	1.1464265264181785	1.1142477809650457	0.04080547337059758	0.846109467381857	1.131946090964269	1.1142477809650457	0.6581014792320322
10.0	ctss_70pct_suppression	8.524520902522731	1.3447857314129492	1.1512037050833648	0.8434842270158265	0.26204527062868344	1.2576738195646362	1.1512037050833648	0.776754357423322
10.0	ifi30_plus_ctss_70pct_suppression	4.671001122935539	1.3024098870284688	1.144054002228846	0.2514564452322824	0.26045644522555905	1.2311497388686385	1.144054002228846	0.5665655901790626
