gene	modules	n_primary_contexts	n_primary_overlap_groups	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	weighted_mean_hedges_g_responder_minus_non	median_auc_high_score_nonresponse	min_p	best_context	best_context_p	best_context_effect	meta_rank_score	call
SPP1	lipid_loader_repair	4	4	4	0	2	2	-1.2339279904417342	0.7854166666666667	8.237265150149616e-05	GSE16879_Crohn_colitis_Leuven_baseline	8.237265150149616e-05	-1.5727510965374503	20.5193446571084	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
LAMP3	lysosomal_apc	4	4	4	0	2	2	-1.0965849531171696	0.7588541666666666	0.005744371504188618	GSE16879_Crohn_colitis_Leuven_baseline	0.005744371504188618	-1.4613218073945797	20.355439119783835	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
CXCL10	ifn_apc	4	4	4	0	2	2	-0.8555808106223287	0.7279761904761906	0.0044056013660049125	GSE14580_UC_Leuven_baseline	0.0044056013660049125	-1.074679211872763	20.08355700109852	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
GBP1	ifn_apc	4	4	4	0	2	2	-0.8449835988760043	0.7319568452380952	0.007832560124890486	GSE12251_UC_ACT1_baseline	0.007832560124890486	-1.1316035822416626	20.0769404441141	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
CXCR4	mif_cd74_receptor_state	4	4	4	0	2	1	-0.7992404720915058	0.7138020833333334	0.013399274517414453	GSE16879_Crohn_colitis_Leuven_baseline	0.013399274517414453	-1.176728350563892	18.51304255542484	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
STAT1	ifn_apc	4	4	4	0	2	1	-0.6551686375677531	0.64453125	0.03486390916917012	GSE14580_UC_Leuven_baseline	0.03486390916917012	-0.9198802796023724	18.299699887567755	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
C1QB	complement_phagocytosis	4	4	4	0	0	0	-0.5141032493783735	0.6375	0.11728522001962308	GSE16879_Crohn_colitis_Leuven_baseline	0.11728522001962308	-0.8740674959028856	12.651603249378372	NO_GENE_LEVEL_CONVERGENCE
GPNMB	lipid_loader_repair	4	4	4	0	0	0	-0.4940102664867415	0.6546875	0.05939929254290574	GSE16879_Crohn_colitis_Leuven_baseline	0.05939929254290574	-0.8689147936457917	12.648697766486741	NO_GENE_LEVEL_CONVERGENCE
HLA-DPA1	hla_ii_apc;mif_cd74_receptor_state	4	4	4	0	0	0	-0.47785596522766643	0.655952380952381	0.23325159449982816	GSE14580_UC_Leuven_baseline	0.23325159449982816	-0.6402070764371259	12.633808346180048	NO_GENE_LEVEL_CONVERGENCE
HLA-DPB1	hla_ii_apc;mif_cd74_receptor_state	4	4	4	0	0	0	-0.4443536584357904	0.6460193452380952	0.13442432645123484	GSE12251_UC_ACT1_baseline	0.13442432645123484	-0.619749406630768	12.590373003673886	NO_GENE_LEVEL_CONVERGENCE
C1QA	complement_phagocytosis	4	4	4	0	0	0	-0.4291323781586215	0.5967261904761905	0.214451637777752	GSE14580_UC_Leuven_baseline	0.214451637777752	-0.540676257119825	12.525858568634812	NO_GENE_LEVEL_CONVERGENCE
C1QC	complement_phagocytosis	4	4	4	0	0	0	-0.3736325378854154	0.5859375	0.11899138340151769	GSE16879_Crohn_colitis_Leuven_baseline	0.11899138340151769	-0.8715557989891458	12.459570037885415	NO_GENE_LEVEL_CONVERGENCE
CD36	lipid_loader_repair	4	4	4	0	0	0	-0.24500064440473263	0.4979166666666666	0.16374932865620878	GSE16879_Crohn_colitis_Leuven_baseline	0.16374932865620878	-0.7390257214714145	12.245000644404733	NO_GENE_LEVEL_CONVERGENCE
HLA-DRA	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	4	4	3	1	0	0	-0.5248950736751484	0.7089285714285714	0.11236255905754046	GSE12251_UC_ACT1_baseline	0.11236255905754046	-0.6356765730938259	7.733823645103719	NO_GENE_LEVEL_CONVERGENCE
CD74	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	4	4	3	1	0	0	-0.3013469828903419	0.5924479166666666	0.21759697107271075	GSE16879_Crohn_colitis_Leuven_baseline	0.21759697107271075	-0.4979822627926457	7.393794899557008	NO_GENE_LEVEL_CONVERGENCE
RFX5	hla_ii_apc	4	4	3	1	0	0	-0.24147210985667625	0.5476190476190476	0.22831436872477612	GSE14580_UC_Leuven_baseline	0.22831436872477612	-0.5325100907665292	7.289091157475724	NO_GENE_LEVEL_CONVERGENCE
LPL	lipid_loader_repair	4	4	3	1	0	0	-0.2044930888200467	0.5470238095238096	0.25080455283827324	GSE14580_UC_Leuven_baseline	0.25080455283827324	-0.6349741249300442	7.251516898343857	NO_GENE_LEVEL_CONVERGENCE
PLIN2	lipid_loader_repair	4	4	3	1	0	0	-0.15789725522651665	0.528125	0.0952038842349049	GSE16879_Crohn_colitis_Leuven_baseline	0.0952038842349049	-0.813311763008611	7.186022255226517	NO_GENE_LEVEL_CONVERGENCE
LIPA	lipid_loader_repair	4	4	2	2	0	0	-0.2766827407534235	0.5708333333333333	0.09023001596490815	GSE14580_UC_Leuven_baseline	0.09023001596490815	-0.6256078328954706	2.347516074086757	NO_GENE_LEVEL_CONVERGENCE
CD68	complement_phagocytosis	4	4	2	2	0	0	-0.06509342185363291	0.4854166666666666	0.26781287662997266	GSE12251_UC_ACT1_baseline	0.26781287662997266	-0.4712588216804372	2.065093421853633	NO_GENE_LEVEL_CONVERGENCE
TREM2	complement_phagocytosis;lipid_loader_repair	4	4	2	2	0	0	0.03190676233145671	0.5174107142857143	0.2145821933512254	GSE14580_UC_Leuven_baseline	0.2145821933512254	0.4860478029199611	2.017410714285714	NO_GENE_LEVEL_CONVERGENCE
LAMP1	lysosomal_apc	4	4	2	2	0	0	0.060235278112647034	0.5041666666666667	0.2563028454128979	GSE14580_UC_Leuven_baseline	0.2563028454128979	0.5667551655714416	2.0041666666666664	NO_GENE_LEVEL_CONVERGENCE
FABP5	lipid_loader_repair	4	4	2	2	0	0	0.19222297051060655	0.43333333333333335	0.13669843150896538	GSE12251_UC_ACT1_baseline	0.13669843150896538	0.6694371591223387	2.0	NO_GENE_LEVEL_CONVERGENCE
CIITA	hla_ii_apc	4	4	1	3	0	0	0.1525285178746905	0.41220238095238093	0.09206025165418534	GSE12251_UC_ACT1_baseline	0.09206025165418534	-0.7099093953524422	-3.0	NO_GENE_LEVEL_CONVERGENCE
MSR1	complement_phagocytosis;lipid_loader_repair	4	4	1	3	0	0	0.2555285854339548	0.44166666666666665	0.14551294061177958	GSE14580_UC_Leuven_baseline	0.14551294061177958	0.6789808223623423	-3.0	NO_GENE_LEVEL_CONVERGENCE
CTSD	lysosomal_apc	4	4	1	3	0	0	0.5166167799292993	0.3794642857142857	0.015313555454760775	GSE14580_UC_Leuven_baseline	0.015313555454760775	1.0520580091115106	-3.0	NO_GENE_LEVEL_CONVERGENCE
LAMP2	lysosomal_apc	4	4	3	1	3	3	-1.0678931204417523	0.8350074404761905	0.00026905958422354523	GSE12251_UC_ACT1_baseline	0.00026905958422354523	-1.4048683498865855	18.902900560917942	PARK_DIRECTIONAL_NONRESPONSE_GENE
TNF	inflammatory_nfkb	4	4	4	0	1	1	-0.69030184630918	0.7105654761904762	0.033628705660784776	GSE12251_UC_ACT1_baseline	0.033628705660784776	-0.9464441197395668	16.400867322499654	PARK_DIRECTIONAL_NONRESPONSE_GENE
CTSB	lysosomal_apc	4	4	4	0	1	1	-0.7231919653792506	0.6583333333333333	0.008665911503524066	GSE16879_Crohn_colitis_Leuven_baseline	0.008665911503524066	-1.2363795666700663	16.381525298712585	PARK_DIRECTIONAL_NONRESPONSE_GENE
NFKBIA	inflammatory_nfkb	4	4	4	0	1	1	-0.6614932551524805	0.66875	0.007913020012033135	GSE12251_UC_ACT1_baseline	0.007913020012033135	-1.1419381442433005	16.330243255152478	PARK_DIRECTIONAL_NONRESPONSE_GENE
IRF1	ifn_apc	4	4	4	0	1	1	-0.5843905657803538	0.6434151785714286	0.02650942891247882	GSE12251_UC_ACT1_baseline	0.02650942891247882	-0.9581280899818365	16.22780574435178	PARK_DIRECTIONAL_NONRESPONSE_GENE
HLA-DRB1	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	4	4	4	0	1	1	-0.5088992011453852	0.6981770833333334	0.04318104929709319	GSE12251_UC_ACT1_baseline	0.04318104929709319	-0.7991823992753071	16.20707628447872	PARK_DIRECTIONAL_NONRESPONSE_GENE
APOE	lipid_loader_repair	4	4	3	1	1	1	-0.47444093945970656	0.625	0.024946099541531475	GSE16879_Crohn_colitis_Leuven_baseline	0.024946099541531475	-0.9415390511558315	11.099440939459706	PARK_DIRECTIONAL_NONRESPONSE_GENE
MERTK	complement_phagocytosis;lipid_loader_repair	4	4	3	1	1	1	-0.3858509746932523	0.5264136904761905	0.01339315123928205	GSE12251_UC_ACT1_baseline	0.01339315123928205	-1.047153121091177	10.912264665169442	PARK_DIRECTIONAL_NONRESPONSE_GENE
CTSS	lysosomal_apc	4	4	3	1	1	1	-0.3122179821290525	0.5363095238095239	0.00701859632360031	GSE12251_UC_ACT1_baseline	0.00701859632360031	-1.0877524921276471	10.848527505938577	PARK_DIRECTIONAL_NONRESPONSE_GENE
