comparator	region	nominal_PP.H4	nominal_PP.H3	min_sensitivity_PP.H4	median_sensitivity_PP.H4	n_shared_snps	top_genes_by_landscape_score
Crohn	6:31128397-32626002	1.2884627800883145e-07	0.99999633141308	7.250486486726884e-09	1.316301138710997e-07	2511	HLA-B;AGER;GPSM3;DDAH2;HLA-DRB1;AGPAT1;HLA-DRA;HLA-C
Crohn	6:31035539-32087042	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1257	HLA-B;LST1;LTB;DDAH2;HLA-C;LTA;AIF1;CLIC1
Crohn	6:31035539-32128397	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1257	HLA-B;LST1;LTB;DDAH2;HLA-C;LTA;AIF1;CLIC1
Crohn	6:30793436-32087042	1.0953450270320575e-07	0.9999963505657178	6.163987254306239e-09	1.2954142963492642e-07	1267	HLA-B;LST1;LTB;DDAH2;HLA-C;LTA;AIF1;CLIC1
Crohn	6:30793436-32128397	1.0953450270320575e-07	0.9999963505657178	6.163987254306239e-09	1.2954142963492642e-07	1267	HLA-B;LST1;DDAH2;HLA-C;LTA;AIF1;CLIC1;C2
UC	6:30793436-32128397	2.2225357563275267e-15	1.0	2.7817225471731686e-17	2.7817225471734318e-15	1267	HLA-B;LST1;DDAH2;HLA-C;LTA;AIF1;CLIC1;C2
UC	6:31035539-32128397	2.2225357563275267e-15	1.0	2.7817225471731686e-17	2.7817225471734318e-15	1257	HLA-B;LST1;LTB;DDAH2;HLA-C;LTA;AIF1;CLIC1
UC	6:32106385-33110947	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2303	AGER;PSMB8;PSMB9;GPSM3;TAP2;PBX2;TAP1;HLA-DRB1
UC	6:32109453-33110947	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2303	AGER;PSMB8;PSMB9;GPSM3;TAP2;PBX2;TAP1;HLA-DRB1
UC	6:31128397-32626002	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2511	HLA-B;AGER;GPSM3;DDAH2;HLA-DRB1;AGPAT1;HLA-DRA;HLA-C
UC	6:31626002-32985467	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2562	AGER;GPSM3;DDAH2;HLA-DRB1;AGPAT1;HLA-DRA;HLA-DOA;CLIC1
UC	6:31626002-33106385	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2581	AGER;GPSM3;DDAH2;HLA-DRB1;AGPAT1;HLA-DRA;HLA-DOA;HLA-DPA1
UC	6:31626002-33109453	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2582	AGER;GPSM3;DDAH2;HLA-DRB1;AGPAT1;HLA-DRA;HLA-DOA;HLA-DPA1
UC	6:31983611-32985467	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2381	AGER;PSMB8;PSMB9;GPSM3;TAP2;PBX2;TAP1;HLA-DRB1
UC	6:31983611-33106385	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2400	AGER;PSMB8;PSMB9;GPSM3;TAP2;PBX2;TAP1;HLA-DRB1
UC	6:31983611-33109453	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2401	AGER;PSMB8;PSMB9;GPSM3;TAP2;PBX2;TAP1;HLA-DRB1
UC	6:31985467-33110947	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2401	AGER;PSMB8;PSMB9;GPSM3;TAP2;PBX2;TAP1;HLA-DRB1
