analysis	disease_name	compartment	gene	module	group	gene_metric	module_metric	n	spearman_r	spearman_p	relationship
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	case_only	detection_fraction	high_fraction	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	all_donors	mean_log_norm	mean_score	12	0.8321678321678322	0.0007854416778536134	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	all_donors	mean_log_norm	high_fraction	12	0.8671328671328673	0.00025981184986148103	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	all_donors	detection_fraction	mean_score	12	0.8881118881118882	0.00011413359814618024	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	all_donors	detection_fraction	high_fraction	12	0.8881118881118882	0.00011413359814618024	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	case_only	mean_log_norm	mean_score	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	case_only	mean_log_norm	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	case_only	detection_fraction	mean_score	6	1.0	0.0	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	ifn_apc	case_only	detection_fraction	high_fraction	6	1.0	0.0	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	all_donors	mean_log_norm	mean_score	12	0.027972027972027972	0.9312343512018807	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	all_donors	mean_log_norm	high_fraction	12	0.09090909090909093	0.7787253962454419	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	all_donors	detection_fraction	mean_score	12	0.07692307692307693	0.8121826980280591	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	all_donors	detection_fraction	high_fraction	12	0.1258741258741259	0.696683109395766	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	case_only	mean_log_norm	mean_score	6	-0.14285714285714288	0.7871720116618076	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	case_only	mean_log_norm	high_fraction	6	0.14285714285714288	0.7871720116618076	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	case_only	detection_fraction	mean_score	6	0.2571428571428572	0.6227871720116619	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	lysosomal_apc	case_only	detection_fraction	high_fraction	6	0.5428571428571429	0.26570262390670546	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	all_donors	mean_log_norm	mean_score	12	0.8741258741258742	0.00020071307332423182	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	all_donors	mean_log_norm	high_fraction	12	0.8671328671328673	0.00025981184986148103	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	all_donors	detection_fraction	mean_score	12	0.8951048951048951	8.366586429091719e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	all_donors	detection_fraction	high_fraction	12	0.8951048951048951	8.366586429091719e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	case_only	mean_log_norm	mean_score	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	case_only	mean_log_norm	high_fraction	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	case_only	detection_fraction	mean_score	6	1.0	0.0	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mif_cd74_receptor_state	case_only	detection_fraction	high_fraction	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	all_donors	mean_log_norm	mean_score	12	0.8321678321678322	0.0007854416778536134	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	all_donors	mean_log_norm	high_fraction	12	0.8251748251748254	0.0009513628555555001	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	all_donors	detection_fraction	mean_score	12	0.8531468531468532	0.00041811794041499677	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	all_donors	detection_fraction	high_fraction	12	0.8461538461538463	0.0005211337004810047	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	case_only	mean_log_norm	mean_score	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	case_only	mean_log_norm	high_fraction	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	case_only	detection_fraction	mean_score	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	mixscale_validated_ifng_readout	case_only	detection_fraction	high_fraction	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	all_donors	mean_log_norm	mean_score	12	0.7692307692307694	0.00344645026182745	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	all_donors	mean_log_norm	high_fraction	12	0.7482517482517484	0.005124081698753055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	all_donors	detection_fraction	mean_score	12	0.3846153846153847	0.21702022575997731	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	all_donors	detection_fraction	high_fraction	12	0.5454545454545455	0.06661188226688902	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	case_only	mean_log_norm	mean_score	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	case_only	mean_log_norm	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	case_only	detection_fraction	mean_score	6	0.5428571428571429	0.26570262390670546	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	hla_ii_apc	case_only	detection_fraction	high_fraction	6	0.7142857142857143	0.11078717201166179	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	all_donors	mean_log_norm	mean_score	12	0.7482517482517484	0.005124081698753055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	all_donors	mean_log_norm	high_fraction	12	0.7832167832167832	0.00258621483336259	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	all_donors	detection_fraction	mean_score	12	0.3706293706293707	0.23562100351264567	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	all_donors	detection_fraction	high_fraction	12	0.44055944055944063	0.1517350357167303	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	case_only	mean_log_norm	mean_score	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	case_only	mean_log_norm	high_fraction	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	case_only	detection_fraction	mean_score	6	0.5428571428571429	0.26570262390670546	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	ifn_apc	case_only	detection_fraction	high_fraction	6	0.5428571428571429	0.26570262390670546	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	all_donors	mean_log_norm	mean_score	12	0.2377622377622378	0.45680085263992326	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	all_donors	mean_log_norm	high_fraction	12	0.25874125874125875	0.41677476889913817	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	all_donors	detection_fraction	mean_score	12	0.7062937062937064	0.010245193941127849	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	all_donors	detection_fraction	high_fraction	12	0.7412587412587414	0.005801150474478245	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	case_only	mean_log_norm	mean_score	6	0.4285714285714286	0.3965014577259473	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	case_only	mean_log_norm	high_fraction	6	0.6571428571428573	0.1561749271137024	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	case_only	detection_fraction	mean_score	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	lysosomal_apc	case_only	detection_fraction	high_fraction	6	1.0	0.0	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	all_donors	mean_log_norm	mean_score	12	0.7272727272727274	0.00735502885780513	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	all_donors	mean_log_norm	high_fraction	12	0.7412587412587414	0.005801150474478245	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	all_donors	detection_fraction	mean_score	12	0.32867132867132864	0.2969041156887641	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	all_donors	detection_fraction	high_fraction	12	0.37762237762237766	0.22620604493502647	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	case_only	mean_log_norm	mean_score	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	case_only	mean_log_norm	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	case_only	detection_fraction	mean_score	6	0.5428571428571429	0.26570262390670546	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mif_cd74_receptor_state	case_only	detection_fraction	high_fraction	6	0.7142857142857143	0.11078717201166179	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	all_donors	mean_log_norm	mean_score	12	0.7552447552447553	0.004508435484294224	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	all_donors	mean_log_norm	high_fraction	12	0.7412587412587414	0.005801150474478245	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	all_donors	detection_fraction	mean_score	12	0.5384615384615385	0.07089431754922311	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	all_donors	detection_fraction	high_fraction	12	0.49650349650349657	0.10060263183225476	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	case_only	mean_log_norm	mean_score	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	case_only	mean_log_norm	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	case_only	detection_fraction	mean_score	6	0.7142857142857143	0.11078717201166179	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CLEC16A	mixscale_validated_ifng_readout	case_only	detection_fraction	high_fraction	6	0.7142857142857143	0.11078717201166179	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	all_donors	mean_log_norm	mean_score	12	0.06993006993006995	0.8290236405313092	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	all_donors	mean_log_norm	high_fraction	12	0.25874125874125875	0.41677476889913817	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	all_donors	detection_fraction	mean_score	12	-0.04895104895104895	0.8799185788786748	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	all_donors	detection_fraction	high_fraction	12	0.15384615384615385	0.6330906812462617	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	case_only	mean_log_norm	mean_score	6	0.2571428571428572	0.6227871720116619	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	case_only	mean_log_norm	high_fraction	6	0.48571428571428577	0.3287230320699708	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	case_only	detection_fraction	mean_score	6	0.028571428571428574	0.9571545189504373	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	hla_ii_apc	case_only	detection_fraction	high_fraction	6	0.3142857142857143	0.5440932944606415	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	all_donors	mean_log_norm	mean_score	12	0.10489510489510491	0.7456094809807079	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	all_donors	mean_log_norm	high_fraction	12	0.16083916083916086	0.6175234895401425	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	all_donors	detection_fraction	mean_score	12	-0.034965034965034975	0.9140933424107599	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	all_donors	detection_fraction	high_fraction	12	0.006993006993006993	0.9827917689028476	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	case_only	mean_log_norm	mean_score	6	0.2571428571428572	0.6227871720116619	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	case_only	mean_log_norm	high_fraction	6	0.2571428571428572	0.6227871720116619	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	case_only	detection_fraction	mean_score	6	0.028571428571428574	0.9571545189504373	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	ifn_apc	case_only	detection_fraction	high_fraction	6	0.028571428571428574	0.9571545189504373	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	all_donors	mean_log_norm	mean_score	12	0.8601398601398602	0.00033166833912692107	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	all_donors	mean_log_norm	high_fraction	12	0.9300699300699302	1.1702227928659685e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	all_donors	detection_fraction	mean_score	12	0.8531468531468532	0.00041811794041499677	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	all_donors	detection_fraction	high_fraction	12	0.9160839160839163	2.842804534854714e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	case_only	mean_log_norm	mean_score	6	1.0	0.0	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	case_only	mean_log_norm	high_fraction	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	case_only	detection_fraction	mean_score	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	lysosomal_apc	case_only	detection_fraction	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	all_donors	mean_log_norm	mean_score	12	0.11188811188811189	0.729194990751066	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	all_donors	mean_log_norm	high_fraction	12	0.14685314685314685	0.6487957097846665	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	all_donors	detection_fraction	mean_score	12	-0.04895104895104895	0.8799185788786748	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	all_donors	detection_fraction	high_fraction	12	0.013986013986013986	0.9655902689187796	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	case_only	mean_log_norm	mean_score	6	0.2571428571428572	0.6227871720116619	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	case_only	mean_log_norm	high_fraction	6	0.48571428571428577	0.3287230320699708	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	case_only	detection_fraction	mean_score	6	0.028571428571428574	0.9571545189504373	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mif_cd74_receptor_state	case_only	detection_fraction	high_fraction	6	0.3142857142857143	0.5440932944606415	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mixscale_validated_ifng_readout	all_donors	mean_log_norm	mean_score	12	0.3076923076923077	0.33058925941210965	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mixscale_validated_ifng_readout	all_donors	mean_log_norm	high_fraction	12	0.2797202797202798	0.37856866966230307	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mixscale_validated_ifng_readout	all_donors	detection_fraction	mean_score	12	0.16783216783216784	0.6020994277865379	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mixscale_validated_ifng_readout	all_donors	detection_fraction	high_fraction	12	0.1328671328671329	0.6805975082860817	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mixscale_validated_ifng_readout	case_only	mean_log_norm	mean_score	6	0.48571428571428577	0.3287230320699708	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	mixscale_validated_ifng_readout	case_only	mean_log_norm	high_fraction	6	0.48571428571428577	0.3287230320699708	weak_positive
