samplegroup	module	term	coef_vs_reference_timepoint	p	n	r2
SNRA	hla_ii_only	C(timepoint_cat)[T.2]	-0.2055899091298964	0.6840150460324623	48	0.06048585381638483
SNRA	hla_ii_only	C(timepoint_cat)[T.3]	0.1474623185281141	0.7794567580331849	48	0.06048585381638483
SNRA	hla_ii_only	C(timepoint_cat)[T.4]	0.04073785129527252	0.9346499711186902	48	0.06048585381638483
SNRA	hla_ii_only	C(timepoint_cat)[T.5]	-0.3401637436921139	0.5094398714554644	48	0.06048585381638483
SNRA	hla_ii_only	C(timepoint_cat)[T.6]	-0.5273111604233023	0.4129209708949828	48	0.06048585381638483
SNRA	ifn_apc	C(timepoint_cat)[T.1]	-0.13995943566891222	0.7999275332644384	48	0.09366929457835349
SNRA	ifn_apc	C(timepoint_cat)[T.2]	0.06963608376296877	0.895330546802898	48	0.09366929457835349
SNRA	ifn_apc	C(timepoint_cat)[T.3]	0.4808691409527248	0.38589840632999955	48	0.09366929457835349
SNRA	ifn_apc	C(timepoint_cat)[T.4]	0.36330292207124737	0.48693533359799385	48	0.09366929457835349
SNRA	ifn_apc	C(timepoint_cat)[T.5]	-0.21810933177598124	0.6862098778035294	48	0.09366929457835349
SNRA	ifn_apc	C(timepoint_cat)[T.6]	-0.20709882516708866	0.7583094912353434	48	0.09366929457835349
SNRA	lysosomal_apc	C(timepoint_cat)[T.1]	0.2029944477806498	0.679581766009511	48	0.05640125954775399
SNRA	lysosomal_apc	C(timepoint_cat)[T.2]	0.22536089792462524	0.6325766569833153	48	0.05640125954775399
SNRA	lysosomal_apc	C(timepoint_cat)[T.3]	0.3531152529938071	0.4733956421934413	48	0.05640125954775399
SNRA	lysosomal_apc	C(timepoint_cat)[T.4]	0.05952343228964985	0.8978043062269921	48	0.05640125954775399
SNRA	lysosomal_apc	C(timepoint_cat)[T.5]	-0.14765528473098888	0.7583494215532913	48	0.05640125954775399
SNRA	lysosomal_apc	C(timepoint_cat)[T.6]	-0.20236796114144795	0.7353418814289817	48	0.05640125954775399
SNRA	mif_cd74_receptor_state	C(timepoint_cat)[T.1]	-0.18893874956074241	0.7072643493121188	48	0.04230505912315574
SNRA	mif_cd74_receptor_state	C(timepoint_cat)[T.2]	-0.1346383056309775	0.7800688576808396	48	0.04230505912315574
SNRA	mif_cd74_receptor_state	C(timepoint_cat)[T.3]	0.10233852863075499	0.8387193453960534	48	0.04230505912315574
SNRA	mif_cd74_receptor_state	C(timepoint_cat)[T.4]	0.028936750179139548	0.9513706917288006	48	0.04230505912315574
SNRA	mif_cd74_receptor_state	C(timepoint_cat)[T.5]	-0.2742206394277811	0.5773351554008649	48	0.04230505912315574
SNRA	mif_cd74_receptor_state	C(timepoint_cat)[T.6]	-0.44170114065414534	0.47226433004129953	48	0.04230505912315574
SPRA	hif_nampt_metabolic	C(timepoint_cat)[T.1]	0.09026183791690534	0.7585976414617613	93	0.040060014094073004
SPRA	hif_nampt_metabolic	C(timepoint_cat)[T.2]	-0.04630589514971528	0.8784963455301273	93	0.040060014094073004
SPRA	hif_nampt_metabolic	C(timepoint_cat)[T.3]	-0.2442168043207255	0.42093825970021514	93	0.040060014094073004
SPRA	hif_nampt_metabolic	C(timepoint_cat)[T.4]	-0.22043137923211825	0.4475255809786559	93	0.040060014094073004
SPRA	hif_nampt_metabolic	C(timepoint_cat)[T.5]	-0.009036979936256628	0.9761971218607046	93	0.040060014094073004
SPRA	hif_nampt_metabolic	C(timepoint_cat)[T.6]	0.3533946798734684	0.39410875729000533	93	0.040060014094073004
SPRA	hla_ii_only	C(timepoint_cat)[T.1]	-0.1996092858910159	0.553948791441535	93	0.1346392470809724
SPRA	hla_ii_only	C(timepoint_cat)[T.2]	-0.4581548635671391	0.18963098866320752	93	0.1346392470809724
SPRA	hla_ii_only	C(timepoint_cat)[T.3]	-0.6457936633424126	0.06578903374224737	93	0.1346392470809724
SPRA	hla_ii_only	C(timepoint_cat)[T.4]	-0.15246899527579916	0.6467021592009223	93	0.1346392470809724
SPRA	hla_ii_only	C(timepoint_cat)[T.5]	0.19820430600854544	0.5688331841327111	93	0.1346392470809724
SPRA	hla_ii_only	C(timepoint_cat)[T.6]	0.7485475024894015	0.11753610138707613	93	0.1346392470809724
SPRA	ifn_apc	C(timepoint_cat)[T.1]	-0.3517521654302709	0.3382985409267413	93	0.10682117470544572
SPRA	ifn_apc	C(timepoint_cat)[T.2]	-0.48538097238244116	0.20116855627397257	93	0.10682117470544572
SPRA	ifn_apc	C(timepoint_cat)[T.3]	-0.5513304775594599	0.14708299454260593	93	0.10682117470544572
SPRA	ifn_apc	C(timepoint_cat)[T.4]	-0.4140834517191045	0.2538348302535896	93	0.10682117470544572
SPRA	ifn_apc	C(timepoint_cat)[T.5]	0.09991427574398404	0.7915282137163904	93	0.10682117470544572
SPRA	ifn_apc	C(timepoint_cat)[T.6]	0.7153393319408811	0.16828254497918324	93	0.10682117470544572
SPRA	lysosomal_apc	C(timepoint_cat)[T.1]	-0.11548025348973545	0.6936786198985636	93	0.0744221092962164
SPRA	lysosomal_apc	C(timepoint_cat)[T.2]	-0.35440542184673424	0.24293019319547232	93	0.0744221092962164
SPRA	lysosomal_apc	C(timepoint_cat)[T.3]	-0.5662370859013716	0.06369475072222937	93	0.0744221092962164
SPRA	lysosomal_apc	C(timepoint_cat)[T.4]	-0.2568565166387865	0.37550512347217924	93	0.0744221092962164
SPRA	lysosomal_apc	C(timepoint_cat)[T.5]	-0.07012525439039674	0.8165882207084437	93	0.0744221092962164
SPRA	lysosomal_apc	C(timepoint_cat)[T.6]	0.26865415362911405	0.5159126765654456	93	0.0744221092962164
SPRA	mif_cd74_receptor_state	C(timepoint_cat)[T.1]	-0.23382968419993544	0.4491091204569795	93	0.12618397456567132
SPRA	mif_cd74_receptor_state	C(timepoint_cat)[T.2]	-0.45140815386282396	0.15833966645509262	93	0.12618397456567132
SPRA	mif_cd74_receptor_state	C(timepoint_cat)[T.3]	-0.6424432741594273	0.045939598466043396	93	0.12618397456567132
SPRA	mif_cd74_receptor_state	C(timepoint_cat)[T.4]	-0.11668966861595202	0.701512573668998	93	0.12618397456567132
SPRA	mif_cd74_receptor_state	C(timepoint_cat)[T.5]	0.13808010589858122	0.6644404846188037	93	0.12618397456567132
SPRA	mif_cd74_receptor_state	C(timepoint_cat)[T.6]	0.519520560486042	0.23392755033922044	93	0.12618397456567132
