samplegroup	module	contrast	test_timepoint	reference_timepoint	n_test	n_reference	mean_test	mean_reference	delta_test_minus_reference
SLE	mif_cd74_receptor_state	late_pregnancy_t3_vs_pre_t0	3	0	16	5	11.160072939327224	10.949577317091912	0.21049562223531204
SLE	mif_cd74_receptor_state	postpartum_6wk_t4_vs_late_t3	4	3	17	16	10.804532516902654	11.160072939327224	-0.3555404224245695
SLE	mif_cd74_receptor_state	postpartum_6mo_t5_vs_late_t3	5	3	17	16	10.95616125207159	11.160072939327224	-0.20391168725563347
SLE	mif_cd74_receptor_state	postpartum_12mo_t6_vs_late_t3	6	3	12	16	10.823812607181537	11.160072939327224	-0.3362603321456863
SLE	mif_cd74_receptor_state	late_t3_vs_early_t1	3	1	16	16	11.160072939327224	11.17647162438102	-0.016398685053795603
SNRA	hif_nampt_metabolic	late_pregnancy_t3_vs_pre_t0	3	0	7	4	11.595997996279976	11.10227483268613	0.49372316359384705
SNRA	hif_nampt_metabolic	postpartum_6wk_t4_vs_late_t3	4	3	10	7	11.147468910947893	11.595997996279976	-0.44852908533208335
SNRA	hif_nampt_metabolic	postpartum_6mo_t5_vs_late_t3	5	3	8	7	11.009824306616203	11.595997996279976	-0.5861736896637737
SNRA	hif_nampt_metabolic	postpartum_12mo_t6_vs_late_t3	6	3	3	7	11.027619462323342	11.595997996279976	-0.5683785339566345
SNRA	hif_nampt_metabolic	late_t3_vs_early_t1	3	1	7	7	11.595997996279976	11.475151727286617	0.12084626899335937
SNRA	hla_ii_only	late_pregnancy_t3_vs_pre_t0	3	0	7	4	11.280359571466207	11.13289725293808	0.1474623185281274
SNRA	hla_ii_only	postpartum_6wk_t4_vs_late_t3	4	3	10	7	11.17363510423336	11.280359571466207	-0.10672446723284601
SNRA	hla_ii_only	postpartum_6mo_t5_vs_late_t3	5	3	8	7	10.792733509245977	11.280359571466207	-0.48762606222022953
SNRA	hla_ii_only	postpartum_12mo_t6_vs_late_t3	6	3	3	7	10.605586092514779	11.280359571466207	-0.6747734789514279
SNRA	hla_ii_only	late_t3_vs_early_t1	3	1	7	7	11.280359571466207	10.90837644820758	0.3719831232586266
SNRA	ifn_apc	late_pregnancy_t3_vs_pre_t0	3	0	7	4	10.094086650196038	9.613217509243302	0.4808691409527359
SNRA	ifn_apc	postpartum_6wk_t4_vs_late_t3	4	3	10	7	9.976520431314558	10.094086650196038	-0.11756621888148011
SNRA	ifn_apc	postpartum_6mo_t5_vs_late_t3	5	3	8	7	9.395108177467332	10.094086650196038	-0.6989784727287063
SNRA	ifn_apc	postpartum_12mo_t6_vs_late_t3	6	3	3	7	9.406118684076217	10.094086650196038	-0.687967966119821
SNRA	ifn_apc	late_t3_vs_early_t1	3	1	7	7	10.094086650196038	9.4732580735744	0.6208285766216388
SNRA	lysosomal_apc	late_pregnancy_t3_vs_pre_t0	3	0	7	4	11.39473966056538	11.041624407571557	0.3531152529938222
SNRA	lysosomal_apc	postpartum_6wk_t4_vs_late_t3	4	3	10	7	11.101147839861216	11.39473966056538	-0.29359182070416345
SNRA	lysosomal_apc	postpartum_6mo_t5_vs_late_t3	5	3	8	7	10.893969122840582	11.39473966056538	-0.5007705377247973
SNRA	lysosomal_apc	postpartum_12mo_t6_vs_late_t3	6	3	3	7	10.839256446430115	11.39473966056538	-0.5554832141352648
SNRA	lysosomal_apc	late_t3_vs_early_t1	3	1	7	7	11.39473966056538	11.244618855352217	0.15012080521316307
SNRA	mif_cd74_receptor_state	late_pregnancy_t3_vs_pre_t0	3	0	7	4	11.043736988578063	10.941398459947296	0.1023385286307672
SNRA	mif_cd74_receptor_state	postpartum_6wk_t4_vs_late_t3	4	3	10	7	10.970335210126446	11.043736988578063	-0.07340177845161655
SNRA	mif_cd74_receptor_state	postpartum_6mo_t5_vs_late_t3	5	3	8	7	10.667177820519527	11.043736988578063	-0.3765591680585363
SNRA	mif_cd74_receptor_state	postpartum_12mo_t6_vs_late_t3	6	3	3	7	10.499697319293155	11.043736988578063	-0.5440396692849081
SNRA	mif_cd74_receptor_state	late_t3_vs_early_t1	3	1	7	7	11.043736988578063	10.752459710386562	0.29127727819150095
SPRA	hif_nampt_metabolic	late_pregnancy_t3_vs_pre_t0	3	0	14	13	11.416018336630453	11.66023514095118	-0.24421680432072712
SPRA	hif_nampt_metabolic	postpartum_6wk_t4_vs_late_t3	4	3	17	14	11.43980376171906	11.416018336630453	0.023785425088608037
SPRA	hif_nampt_metabolic	postpartum_6mo_t5_vs_late_t3	5	3	14	14	11.651198161014923	11.416018336630453	0.2351798243844705
SPRA	hif_nampt_metabolic	postpartum_12mo_t6_vs_late_t3	6	3	5	14	12.013629820824647	11.416018336630453	0.5976114841941946
SPRA	hif_nampt_metabolic	late_t3_vs_early_t1	3	1	14	16	11.416018336630453	11.750496978868087	-0.33447864223763446
SPRA	hla_ii_only	late_pregnancy_t3_vs_pre_t0	3	0	14	13	10.867056532348206	11.512850195690618	-0.6457936633424115
SPRA	hla_ii_only	postpartum_6wk_t4_vs_late_t3	4	3	17	14	11.360381200414817	10.867056532348206	0.49332466806661124
SPRA	hla_ii_only	postpartum_6mo_t5_vs_late_t3	5	3	14	14	11.711054501699165	10.867056532348206	0.8439979693509585
SPRA	hla_ii_only	postpartum_12mo_t6_vs_late_t3	6	3	5	14	12.261397698180021	10.867056532348206	1.3943411658318148
SPRA	hla_ii_only	late_t3_vs_early_t1	3	1	14	16	10.867056532348206	11.313240909799603	-0.44618437745139694
SPRA	ifn_apc	late_pregnancy_t3_vs_pre_t0	3	0	14	13	9.8555535183631	10.40688399592256	-0.5513304775594587
SPRA	ifn_apc	postpartum_6wk_t4_vs_late_t3	4	3	17	14	9.992800544203455	9.8555535183631	0.1372470258403542
SPRA	ifn_apc	postpartum_6mo_t5_vs_late_t3	5	3	14	14	10.506798271666543	9.8555535183631	0.6512447533034429
SPRA	ifn_apc	postpartum_12mo_t6_vs_late_t3	6	3	5	14	11.122223327863441	9.8555535183631	1.2666698095003408
SPRA	ifn_apc	late_t3_vs_early_t1	3	1	14	16	9.8555535183631	10.05513183049229	-0.19957831212918897
SPRA	lysosomal_apc	late_pregnancy_t3_vs_pre_t0	3	0	14	13	11.210755502413425	11.7769925883148	-0.5662370859013741
SPRA	lysosomal_apc	postpartum_6wk_t4_vs_late_t3	4	3	17	14	11.520136071676012	11.210755502413425	0.3093805692625864
SPRA	lysosomal_apc	postpartum_6mo_t5_vs_late_t3	5	3	14	14	11.706867333924404	11.210755502413425	0.49611183151097826
SPRA	lysosomal_apc	postpartum_12mo_t6_vs_late_t3	6	3	5	14	12.045646741943914	11.210755502413425	0.8348912395304886
SPRA	lysosomal_apc	late_t3_vs_early_t1	3	1	14	16	11.210755502413425	11.661512334825066	-0.4507568324116402
SPRA	mif_cd74_receptor_state	late_pregnancy_t3_vs_pre_t0	3	0	14	13	10.761911169967957	11.404354444127385	-0.6424432741594277
SPRA	mif_cd74_receptor_state	postpartum_6wk_t4_vs_late_t3	4	3	17	14	11.287664775511432	10.761911169967957	0.5257536055434748
SPRA	mif_cd74_receptor_state	postpartum_6mo_t5_vs_late_t3	5	3	14	14	11.542434550025968	10.761911169967957	0.7805233800580105
SPRA	mif_cd74_receptor_state	postpartum_12mo_t6_vs_late_t3	6	3	5	14	11.92387500461343	10.761911169967957	1.1619638346454728
SPRA	mif_cd74_receptor_state	late_t3_vs_early_t1	3	1	14	16	10.761911169967957	11.170524759927453	-0.40861358995949537
