level	check	subject	sample_id	detail
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_18	GSM7119018	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_19	GSM7119019	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_20	GSM7119020	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_21	GSM7119021	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_22	GSM7119022	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_23	GSM7119023	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_24	GSM7119024	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_25	GSM7119025	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_26	GSM7119026	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_27	GSM7119027	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_28	GSM7119028	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_29	GSM7119029	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_30	GSM7119030	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_31	GSM7119031	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_32	GSM7119032	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_33	GSM7119033	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_34	GSM7119034	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_35	GSM7119035	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_36	GSM7119036	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_37	GSM7119037	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_38	GSM7119038	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_39	GSM7119039	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_40	GSM7119040	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_41	GSM7119041	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_42	GSM7119042	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_43	GSM7119043	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_44	GSM7119044	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_01	GSM7119001	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_02	GSM7119002	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_03	GSM7119003	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_04	GSM7119004	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_05	GSM7119005	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_06	GSM7119006	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_07	GSM7119007	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_08	GSM7119008	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_09	GSM7119009	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_10	GSM7119010	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_11	GSM7119011	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_12	GSM7119012	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_13	GSM7119013	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_14	GSM7119014	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_15	GSM7119015	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_16	GSM7119016	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_17	GSM7119017	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_18	GSM7119018	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_19	GSM7119019	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_20	GSM7119020	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_21	GSM7119021	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_22	GSM7119022	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_23	GSM7119023	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_24	GSM7119024	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_25	GSM7119025	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_26	GSM7119026	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_27	GSM7119027	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_28	GSM7119028	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_29	GSM7119029	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_30	GSM7119030	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_31	GSM7119031	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_32	GSM7119032	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_33	GSM7119033	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_34	GSM7119034	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_35	GSM7119035	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_36	GSM7119036	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_37	GSM7119037	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_38	GSM7119038	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_39	GSM7119039	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_40	GSM7119040	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_41	GSM7119041	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_42	GSM7119042	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_43	GSM7119043	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	unverified_pairing_status	UNVERIFIED_PUBLIC_ORDER_44	GSM7119044	pairing_status indicates unverified/inferred map: inferred_unverified
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_01	GSM7119001	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_02	GSM7119002	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_03	GSM7119003	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_04	GSM7119004	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_05	GSM7119005	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_06	GSM7119006	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_07	GSM7119007	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_08	GSM7119008	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_09	GSM7119009	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_10	GSM7119010	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_11	GSM7119011	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_12	GSM7119012	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_13	GSM7119013	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_14	GSM7119014	subject has no on-treatment/nonbaseline sample
FAIL	subject_no_nonbaseline	UNVERIFIED_PUBLIC_ORDER_15	GSM7119015	subject has no on-treatment/nonbaseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_16	GSM7119016	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_17	GSM7119017	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_18	GSM7119018	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_19	GSM7119019	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_20	GSM7119020	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_21	GSM7119021	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_22	GSM7119022	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_23	GSM7119023	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_24	GSM7119024	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_25	GSM7119025	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_26	GSM7119026	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_27	GSM7119027	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_28	GSM7119028	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_29	GSM7119029	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_30	GSM7119030	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_31	GSM7119031	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_32	GSM7119032	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_33	GSM7119033	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_34	GSM7119034	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_35	GSM7119035	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_36	GSM7119036	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_37	GSM7119037	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_38	GSM7119038	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_39	GSM7119039	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_40	GSM7119040	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_41	GSM7119041	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_42	GSM7119042	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_43	GSM7119043	subject has no baseline sample
FAIL	subject_missing_baseline	UNVERIFIED_PUBLIC_ORDER_44	GSM7119044	subject has no baseline sample
FAIL	insufficient_paired_subjects			usable paired subjects 0 < required 2
