dataset	arm	time_h	module	mean_log2_cpm_plus_0_5	delta_vs_arm_0h	n_genes_present	genes_present
GSE294918	IFNy_memory_rux_LPS	0	ifn_core	5.178256673504522	0.0	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	1	ifn_core	5.621281683634458	0.44302501012993645	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	3	ifn_core	8.337196368318056	3.158939694813534	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	6	ifn_core	7.936743353296588	2.7584866797920666	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	0	apc_mhcii	8.88381422135877	0.0	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_rux_LPS	1	apc_mhcii	8.916453556800763	0.032639335441992046	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_rux_LPS	3	apc_mhcii	8.496002688430275	-0.38781153292849524	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_rux_LPS	6	apc_mhcii	8.618028730941203	-0.26578549041756716	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_rux_LPS	0	pyroptosis_noncanonical	4.5727750804073555	0.0	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	1	pyroptosis_noncanonical	5.45859934052995	0.885824260122595	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	3	pyroptosis_noncanonical	7.101816951599956	2.5290418711926	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	6	pyroptosis_noncanonical	7.0806751183360985	2.507900037928743	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_rux_LPS	0	stress_branch_targets	7.813452876901959	0.0	2	LITAF;CASP4
GSE294918	IFNy_memory_rux_LPS	1	stress_branch_targets	7.812590570848963	-0.0008623060529959758	2	LITAF;CASP4
GSE294918	IFNy_memory_rux_LPS	3	stress_branch_targets	8.71073795758642	0.8972850806844619	2	LITAF;CASP4
GSE294918	IFNy_memory_rux_LPS	6	stress_branch_targets	8.926006635956888	1.1125537590549293	2	LITAF;CASP4
GSE294918	PBS_rux_LPS	0	mocci_c15_ndufa4	6.286848051246404	0.0	2	C15ORF48;NDUFA4
GSE294918	PBS_rux_LPS	1	mocci_c15_ndufa4	6.1963872160795255	-0.09046083516687808	2	C15ORF48;NDUFA4
GSE294918	PBS_rux_LPS	3	mocci_c15_ndufa4	6.914569130329244	0.62772107908284	2	C15ORF48;NDUFA4
GSE294918	PBS_rux_LPS	6	mocci_c15_ndufa4	7.4089930872254675	1.122145035979064	2	C15ORF48;NDUFA4
GSE294918	PBS_rux_LPS	0	nfkb_lps	3.9357274960099176	0.0	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_rux_LPS	1	nfkb_lps	9.208690200827357	5.27296270481744	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_rux_LPS	3	nfkb_lps	9.45630614724235	5.520578651232432	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_rux_LPS	6	nfkb_lps	9.636988082727473	5.701260586717556	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_rux_LPS	0	ifn_core	5.021720144995617	0.0	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	1	ifn_core	5.758481358963684	0.7367612139680677	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	3	ifn_core	8.376549490945969	3.3548293459503524	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	6	ifn_core	8.014572618658399	2.992852473662782	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	0	apc_mhcii	8.960573046080302	0.0	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_rux_LPS	1	apc_mhcii	9.069325546709619	0.10875250062931663	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_rux_LPS	3	apc_mhcii	8.538072523342624	-0.42250052273767835	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_rux_LPS	6	apc_mhcii	8.562286376610537	-0.39828666946976554	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_rux_LPS	0	pyroptosis_noncanonical	4.639359846993101	0.0	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	1	pyroptosis_noncanonical	5.640872786542973	1.0015129395498716	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	3	pyroptosis_noncanonical	6.961253043367924	2.3218931963748224	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	6	pyroptosis_noncanonical	7.076450938879449	2.437091091886348	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_rux_LPS	0	stress_branch_targets	7.8482723134374694	0.0	2	LITAF;CASP4
GSE294918	PBS_rux_LPS	1	stress_branch_targets	7.813106295410939	-0.03516601802653074	2	LITAF;CASP4
GSE294918	PBS_rux_LPS	3	stress_branch_targets	8.771033290327267	0.9227609768897977	2	LITAF;CASP4
GSE294918	PBS_rux_LPS	6	stress_branch_targets	8.877215018129155	1.0289427046916853	2	LITAF;CASP4
