dataset	kind	contrast	gene	present	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	hedges_g	welch_p	fdr_within_contrast_focus_genes
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Litaf	True	3	3	12.811018550313042	12.871570518516656	-0.060551968203613526	-0.18512494135671284	0.8030764889632777	0.8604390953177975
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Ndufa4	True	3	3	11.991224369616921	12.28642878820409	-0.2952044185871685	-0.7562472284750994	0.35998194752686485	0.435297521807628
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Nfkbia	True	3	3	11.499730411772573	10.956646740531463	0.54308367124111	1.5849017176559075	0.1328396954846621	0.2656793909693242
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Nlrp3	True	3	3	11.14596371339703	11.177588112434186	-0.03162439903715608	-0.08684143450307706	0.9057334640175182	0.9057334640175182
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Rfx5	True	3	3	9.764291295330285	9.962062826583253	-0.1977715312529682	-0.5214578338638781	0.5027910337737405	0.5801435005081621
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Stat1	True	3	3	13.33939436816672	14.728168109092389	-1.388773740925668	-3.9353100446784923	0.02163249775619648	0.07210832585398827
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Tnf	True	3	3	11.316826487300125	11.368651119504918	-0.051824632204793275	-0.1375322125792835	0.852264530201141	0.8816529622770424
GSE162464	gene	Gsk3b_US_vs_NTC_US	Casp1	True	3	3	11.745564805423724	10.947025428859524	0.7985393765642002	5.300175815326757	0.005267382792939384	0.02204414657653786
GSE162464	gene	Gsk3b_US_vs_NTC_US	Casp4	True	3	3	9.165512415660537	8.627783938956021	0.5377284767045154	2.7675033407397467	0.01348742663671162	0.03371856659177905
GSE162464	gene	Gsk3b_US_vs_NTC_US	Ccl2	True	3	3	13.197741273948928	10.46897948334895	2.728761790599979	14.0713697792512	2.775461927795122e-05	0.0008326385783385366
GSE162464	gene	Gsk3b_US_vs_NTC_US	Ccl20	True	3	3	0.0	0.3333333333333333	-0.3333333333333333	-0.6531972647421809	0.4226497308103743	0.4372238594590079
GSE162464	gene	Gsk3b_US_vs_NTC_US	Cd74	True	3	3	12.171295059698496	10.220430944667466	1.9508641150310293	10.058305074060947	0.0003032397095324969	0.003032397095324969
GSE162464	gene	Gsk3b_US_vs_NTC_US	Ciita	True	3	3	2.163951032109891	3.3974309381569223	-1.2334799060470312	-2.381582699336015	0.03498035344429862	0.06173003548993874
GSE162464	gene	Gsk3b_US_vs_NTC_US	Ctss	True	3	3	12.807562591579696	13.536115054249754	-0.7285524626700575	-4.746263360974672	0.0027002942235229187	0.01620176534113751
GSE162464	gene	Gsk3b_US_vs_NTC_US	Cxcl10	True	3	3	4.00722468095279	4.5380832425631334	-0.5308585616103434	-0.7075357300910081	0.3515487191968093	0.3906096879964548
GSE162464	gene	Gsk3b_US_vs_NTC_US	Cxcl2	True	3	3	9.749276052786866	6.9940341023189205	2.755241950467946	17.845149049634497	0.00019548862755771354	0.0029323294133657032
GSE162464	gene	Gsk3b_US_vs_NTC_US	Gbp2	True	3	3	8.021028101259335	7.384510334489054	0.6365177667702806	4.394619669481272	0.006613243972961358	0.02204414657653786
GSE162464	gene	Gsk3b_US_vs_NTC_US	Gbp5	True	3	3	3.4406426982957874	3.8737120377582137	-0.4330693394624263	-0.9538179832903799	0.2787507422705447	0.34843842783818085
GSE162464	gene	Gsk3b_US_vs_NTC_US	Gsdmd	True	3	3	11.003184994067318	10.452589254596644	0.5505957394706744	3.6574171447054478	0.006187349823436063	0.02204414657653786
GSE162464	gene	Gsk3b_US_vs_NTC_US	H2-Aa	True	3	3	2.7799500009615414	3.7097610056483217	-0.9298110046867802	-2.164743497265952	0.02959281260807655	0.06173003548993874
GSE162464	gene	Gsk3b_US_vs_NTC_US	H2-Ab1	True	3	3	6.672764187184028	5.805511220066528	0.8672529671175004	2.471767580473831	0.02939988418851515	0.06173003548993874
GSE162464	gene	Gsk3b_US_vs_NTC_US	H2-DMa	True	3	3	5.820719582699215	6.194870079083176	-0.3741504963839617	-1.7477878420483925	0.09170129162907306	0.13755193744360958
GSE162464	gene	Gsk3b_US_vs_NTC_US	H2-DMb1	True	3	3	6.780723394084201	6.87801331550176	-0.0972899214175591	-0.452157235638319	0.5547676519065323	0.5547676519065323
GSE162464	gene	Gsk3b_US_vs_NTC_US	H2-Eb1	True	3	3	2.6356301985361728	3.2604532378415527	-0.62482303930538	-0.5900095927083797	0.417487482855752	0.4372238594590079
GSE162464	gene	Gsk3b_US_vs_NTC_US	Ifi30	True	3	3	11.91947739881409	12.062189256690589	-0.14271185787649898	-0.8197607305468724	0.2969338809343096	0.35632065712117156
GSE162464	gene	Gsk3b_US_vs_NTC_US	Ifit1	True	3	3	1.861654166907052	3.2134149787407815	-1.3517608118337294	-1.117635660158112	0.16344425466166332	0.22287852908408634
GSE162464	gene	Gsk3b_US_vs_NTC_US	Il18	True	3	3	6.421022475374958	6.189199878130193	0.23182259724476495	0.8421270633058399	0.3203443885431987	0.3696281406267677
GSE162464	gene	Gsk3b_US_vs_NTC_US	Il1b	True	3	3	6.175244965791723	4.594878281852507	1.580366683939216	4.978811475512513	0.012910532080945373	0.03371856659177905
GSE162464	gene	Gsk3b_US_vs_NTC_US	Irf1	True	3	3	9.153686934895196	9.413378378647463	-0.25969144375226705	-1.1858952550480506	0.1591667461827573	0.22287852908408634
GSE162464	gene	Gsk3b_US_vs_NTC_US	Isg15	True	3	3	2.8629048785274214	4.431683808519203	-1.5687789299917818	-2.995300320890081	0.033617438929672096	0.06173003548993874
GSE162464	gene	Gsk3b_US_vs_NTC_US	Litaf	True	3	3	12.362955364924332	12.697403201972973	-0.334447837048641	-2.488522560135869	0.031205639229600145	0.06173003548993874
GSE162464	gene	Gsk3b_US_vs_NTC_US	Ndufa4	True	3	3	12.215155476340898	12.345687727785249	-0.13053225144435032	-0.9524278069701838	0.231106586166062	0.30144337326008086
GSE162464	gene	Gsk3b_US_vs_NTC_US	Nfkbia	True	3	3	11.181521865851835	10.156586140376923	1.0249357254749114	6.133759509763491	0.000870143058406639	0.006526072938049792
GSE162464	gene	Gsk3b_US_vs_NTC_US	Nlrp3	True	3	3	10.57030289241704	10.259034671161144	0.3112682212558955	1.9090044171757428	0.05808040424967536	0.09680067374945894
GSE162464	gene	Gsk3b_US_vs_NTC_US	Rfx5	True	3	3	9.044394825033805	9.74777202840932	-0.7033772033755152	-4.170397920987108	0.007531525401685714	0.022594576205057143
GSE162464	gene	Gsk3b_US_vs_NTC_US	Stat1	True	3	3	10.398148557321845	10.151947233550155	0.24620132377168957	2.0664395163447913	0.07067928405918965	0.11159886956714155
GSE162464	gene	Gsk3b_US_vs_NTC_US	Tnf	True	3	3	10.540109390024034	9.636181369770904	0.9039280202531295	6.211872367371124	0.0033509211653773314	0.01675460582688666
GSE162464	gene	Med16_US_vs_NTC_US	Casp1	True	3	3	11.512074849900756	10.947025428859524	0.5650494210412322	1.366709051236474	0.16600438341802573	0.44242823444159707
GSE162464	gene	Med16_US_vs_NTC_US	Casp4	True	3	3	9.577477596532109	8.627783938956021	0.9496936575760877	2.5761861759659817	0.03829553969062375	0.2297732381437425
GSE162464	gene	Med16_US_vs_NTC_US	Ccl2	True	3	3	10.789508910980706	10.46897948334895	0.3205294276317563	0.8175380021536981	0.3141382394027047	0.5680550224636701
GSE162464	gene	Med16_US_vs_NTC_US	Ccl20	True	3	3	0.3333333333333333	0.3333333333333333	0.0	0.0	1.0	1.0
GSE162464	gene	Med16_US_vs_NTC_US	Cd74	True	3	3	12.002237840266183	10.220430944667466	1.7818068955987165	4.446556592628959	0.01461806706315164	0.18421134254767357
GSE162464	gene	Med16_US_vs_NTC_US	Ciita	True	3	3	3.095134072954083	3.3974309381569223	-0.30229686520283927	-0.5459091163984584	0.466744765575748	0.6171396088131045
GSE162464	gene	Med16_US_vs_NTC_US	Ctss	True	3	3	13.252502328742823	13.536115054249754	-0.28361272550693073	-0.6818406562863242	0.3976589667358263	0.5850613101897404
GSE162464	gene	Med16_US_vs_NTC_US	Cxcl10	True	3	3	4.39122571210114	4.5380832425631334	-0.14685753046199324	-0.37305634560674417	0.6231706336777757	0.7300780105683342
GSE162464	gene	Med16_US_vs_NTC_US	Cxcl2	True	3	3	8.00199817960504	6.9940341023189205	1.00796407728612	2.6385462991684965	0.03513283793922192	0.2297732381437425
GSE162464	gene	Med16_US_vs_NTC_US	Gbp2	True	3	3	7.831253232269876	7.384510334489054	0.44674289778082166	0.8256449505430249	0.32189784606274635	0.5680550224636701
GSE162464	gene	Med16_US_vs_NTC_US	Gbp5	True	3	3	3.3912257121011398	3.8737120377582137	-0.48248632565707394	-0.9819408908685825	0.2691194744037458	0.5382389488074916
GSE162464	gene	Med16_US_vs_NTC_US	Gsdmd	True	3	3	11.124005709575476	10.452589254596644	0.6714164549788322	1.7307669936366192	0.1051974830667495	0.39449056150031064
GSE162464	gene	Med16_US_vs_NTC_US	H2-Aa	True	3	3	2.8691101045832035	3.7097610056483217	-0.8406509010651182	-1.1727381220253015	0.17472268785808265	0.44242823444159707
GSE162464	gene	Med16_US_vs_NTC_US	H2-Ab1	True	3	3	5.742551181480725	5.805511220066528	-0.06296003858580246	-0.12244487431932716	0.8611850087825584	0.9226982236955984
GSE162464	gene	Med16_US_vs_NTC_US	H2-DMa	True	3	3	6.567858040334571	6.194870079083176	0.3729879612513951	1.1290568028509496	0.21471152097089563	0.49548812531745146
GSE162464	gene	Med16_US_vs_NTC_US	H2-DMb1	True	3	3	6.783968480492315	6.87801331550176	-0.09404483500944494	-0.1947970647218936	0.7857069010681172	0.8730076678534636
GSE162464	gene	Med16_US_vs_NTC_US	H2-Eb1	True	3	3	2.566813239380364	3.2604532378415527	-0.6936399984611885	-0.6023283142247327	0.40954291713281826	0.5850613101897404
GSE162464	gene	Med16_US_vs_NTC_US	Ifi30	True	3	3	12.559413735546583	12.062189256690589	0.4972244788559941	1.2851240824311985	0.17697129377663884	0.44242823444159707
GSE162464	gene	Med16_US_vs_NTC_US	Ifit1	True	3	3	2.6024516406858678	3.2134149787407815	-0.6109633380549138	-0.660104506768119	0.3817407741244956	0.5850613101897404
GSE162464	gene	Med16_US_vs_NTC_US	Il18	True	3	3	7.288018333605126	6.189199878130193	1.098818455474933	4.346230038926837	0.01842113425476736	0.18421134254767357
GSE162464	gene	Med16_US_vs_NTC_US	Il1b	True	3	3	6.5153162056268075	4.594878281852507	1.9204379237743003	4.061119306443421	0.0036321353064026813	0.10896405919208044
GSE162464	gene	Med16_US_vs_NTC_US	Irf1	True	3	3	9.84521835478217	9.413378378647463	0.43183997613470737	1.0434807717736854	0.23408724045110765	0.5016155152523736
GSE162464	gene	Med16_US_vs_NTC_US	Isg15	True	3	3	3.43077387760068	4.431683808519203	-1.0009099309185232	-1.3370522836461352	0.1685093652391929	0.44242823444159707
GSE162464	gene	Med16_US_vs_NTC_US	Litaf	True	3	3	12.673976374913737	12.697403201972973	-0.023426827059235933	-0.06099182247351692	0.9337243716786298	0.9659217638054791
GSE162464	gene	Med16_US_vs_NTC_US	Ndufa4	True	3	3	12.590226370243078	12.345687727785249	0.24453864245782952	0.5600250866263315	0.47730141243255425	0.6171396088131045
GSE162464	gene	Med16_US_vs_NTC_US	Nfkbia	True	3	3	11.080975143652118	10.156586140376923	0.9243890032751949	2.452038875626487	0.05017051201200234	0.2508525600600117
GSE162464	gene	Med16_US_vs_NTC_US	Nlrp3	True	3	3	10.497217306006226	10.259034671161144	0.2381826348450815	0.5356598325885883	0.49371168705048357	0.6171396088131045
GSE162464	gene	Med16_US_vs_NTC_US	Rfx5	True	3	3	10.47412318580966	9.74777202840932	0.7263511574003392	1.6522735029107871	0.10174110219178187	0.39449056150031064
GSE162464	gene	Med16_US_vs_NTC_US	Stat1	True	3	3	9.984886644337015	10.151947233550155	-0.16706058921313982	-0.3641468688631879	0.6327342758258896	0.7300780105683342
