dataset	arm	kind	name	first_time_delta_ge_0_5h	time_of_max_delta_h	max_delta_log2	min_delta_log2	delta_auc_0_to_last	baseline_log2	last_log2
GSE294918	IFNy_memory_LPS	gene	CXCL8	1.0	12.0	4.8185674525065485	0.0	48.920753697423166	6.655421150733756	11.473988603240304
GSE294918	IFNy_memory_LPS	gene	GBP1	3.0	6.0	2.6368111699782357	0.0	24.560835060030563	10.262271910047433	12.268474485329316
GSE294918	IFNy_memory_LPS	gene	GBP2	3.0	6.0	0.9892246555922863	0.0	7.985838519563467	9.653718017258997	10.13907433365725
GSE294918	IFNy_memory_LPS	gene	GBP5	3.0	3.0	0.5011452573251791	-0.042566720348455434	3.1931570346004214	12.133740956887992	12.091174236539537
GSE294918	IFNy_memory_LPS	gene	GSDMD		12.0	0.4675485976926712	-0.11370679972126396	1.5246266575747565	6.165229418325955	6.6327780160186265
GSE294918	IFNy_memory_LPS	gene	HLA-DPA1		0.0	0.0	-0.3800619682864923	-3.3020403801530964	11.85634573308825	11.476283764801758
GSE294918	IFNy_memory_LPS	gene	HLA-DPB1		0.0	0.0	-0.46398772263152566	-4.2357874182102595	10.454069677064938	9.990081954433412
GSE294918	IFNy_memory_LPS	gene	HLA-DQA1		1.0	0.011899321771618787	-0.24914406339515516	-2.1485151809190937	10.972057890809586	10.72291382741443
GSE294918	IFNy_memory_LPS	gene	HLA-DQB1		1.0	0.16907929300442248	-0.7940800164040391	-4.783315894007373	8.677336545912082	7.883256529508043
GSE294918	IFNy_memory_LPS	gene	HLA-DRA		3.0	0.06621269523624385	-0.046780915018718616	0.028143709735626743	12.717971742026947	12.704634793624383
GSE294918	IFNy_memory_LPS	gene	IFI30		12.0	0.3820059627693908	-0.33964546175052646	1.9400504768967353	2.049592854664369	2.43159881743376
GSE294918	IFNy_memory_LPS	gene	IFIT1	3.0	12.0	2.831714309622069	0.0	27.11547985566912	7.7511659189997895	10.582880228621859
GSE294918	IFNy_memory_LPS	gene	IL18	3.0	6.0	3.048287492118023	0.0	28.611827567639406	4.754899560906288	7.150090251143109
GSE294918	IFNy_memory_LPS	gene	IL1B	1.0	3.0	7.025195544651597	0.0	67.36277514382468	2.9617723263589437	7.250909739956264
GSE294918	IFNy_memory_LPS	gene	IRF1	1.0	3.0	0.9591068738954274	-0.06414287985667322	4.4301214690073145	8.837890689758154	8.773747809901481
GSE294918	IFNy_memory_LPS	gene	ISG15	1.0	6.0	4.461441103190602	0.0	44.9971651590828	6.606364787057537	10.873821980683061
GSE294918	IFNy_memory_LPS	gene	LITAF	3.0	6.0	1.5408054363929278	-0.1644210253300784	12.15179663327909	9.347441430135003	10.008975091280679
GSE294918	IFNy_memory_LPS	gene	NDUFA4		1.0	0.009687918204630996	-0.3291181537757577	-2.806213187946706	6.09820692889943	5.769088775123672
GSE294918	IFNy_memory_LPS	gene	NFKBIA	1.0	3.0	4.325938443605668	0.0	42.951870544161864	5.814132538416412	9.099727138825182
GSE294918	IFNy_memory_LPS	gene	NLRP3	1.0	1.0	0.5651938806402828	-1.5293229462665718	-9.985646473768133	2.4264217545933056	0.8970988083267336
GSE294918	IFNy_memory_LPS	gene	RFX5		1.0	0.052513610335920724	-0.5643414576087951	-4.500893005439632	6.845682252791949	6.533295022943031
GSE294918	IFNy_memory_LPS	gene	STAT1		0.0	0.0	-1.0797283265932744	-8.476666829562284	11.670219573511618	10.962085210613436
GSE294918	IFNy_memory_LPS	gene	TNF	1.0	1.0	5.776140602900562	0.0	49.09687497870965	4.8534934205817875	7.359536147763477
GSE294918	IFNy_memory_LPS	module	mocci_c15_ndufa4	3.0	12.0	1.6070942620373039	-0.22928802837615958	12.298271620092729	5.952560121218281	7.559654383255585
GSE294918	IFNy_memory_LPS	module	nfkb_lps	1.0	3.0	4.264522622057878	0.0	42.9657732063617	4.842239088046099	7.899351123223391
GSE294918	IFNy_memory_LPS	module	ifn_core	1.0	3.0	2.085557437055023	0.0	18.98331353994522	9.201402281299806	10.793954804760867
GSE294918	IFNy_memory_LPS	module	apc_mhcii		1.0	0.0036747137088681825	-0.5181872932108895	-4.691118319405305	9.888871239227047	9.390272496730345
GSE294918	IFNy_memory_LPS	module	pyroptosis_noncanonical	1.0	3.0	1.6603247278728617	0.0	14.501309239965938	6.577169783778773	7.436713129540737
GSE294918	IFNy_memory_LPS	module	stress_branch_targets	3.0	3.0	0.9277230572839077	0.0	7.666695268713236	8.46205037831547	8.842424444626193
GSE294918	IFNy_memory_rux_LPS	gene	C15ORF48	3.0	6.0	2.3556627603966414	0.0	7.807282031130677	5.979888315418367	8.335551075815008
GSE294918	IFNy_memory_rux_LPS	gene	CASP1	6.0	6.0	0.5189830861847433	-0.1008883374306313	0.5369539015026135	5.657470652364631	6.176453738549374
GSE294918	IFNy_memory_rux_LPS	gene	CASP4	3.0	6.0	1.1619340435257692	0.0	3.2376227745266575	6.020728506042864	7.182662549568633
GSE294918	IFNy_memory_rux_LPS	gene	CASP5	3.0	3.0	2.1623553951170282	-0.08371886236289461	8.421740780315687	0.7495065230360524	2.843793580414358
GSE294918	IFNy_memory_rux_LPS	gene	CCL2	1.0	6.0	2.5156240542383186	0.0	7.188746282991604	5.923930537470606	8.439554591708925
GSE294918	IFNy_memory_rux_LPS	gene	CCL20	1.0	3.0	7.112457900471901	0.0	35.00903787813773	1.2113109867507712	7.609062015142837
GSE294918	IFNy_memory_rux_LPS	gene	CD74		1.0	0.050138093201177014	-0.2401982678787391	-0.6902653823214955	12.861066797323568	12.751082229039293
GSE294918	IFNy_memory_rux_LPS	gene	CIITA		1.0	0.18579759033662402	-2.1271401356340247	-7.6017584338083815	6.866773642543929	5.158370655725093
GSE294918	IFNy_memory_rux_LPS	gene	CTSS		0.0	0.0	-0.21499955991587605	-0.8253785866303236	12.579016262941394	12.364016703025518
GSE294918	IFNy_memory_rux_LPS	gene	CXCL10	3.0	3.0	2.145235422863891	0.0	6.381277026089034	2.370068777664775	2.687131149278746
GSE294918	IFNy_memory_rux_LPS	gene	CXCL8	1.0	6.0	6.8322987859374384	0.0	33.23759003658027	5.633971543765896	12.466270329703335
GSE294918	IFNy_memory_rux_LPS	gene	GBP1	1.0	3.0	4.763054385609754	0.0	19.95602356524236	5.190627275155272	9.878532304661732
GSE294918	IFNy_memory_rux_LPS	gene	GBP2	3.0	6.0	2.9258844510417825	0.0	11.481716952840571	6.5952139097968105	9.521098360838593
GSE294918	IFNy_memory_rux_LPS	gene	GBP5	3.0	3.0	4.058818235337599	0.0	16.25797950702563	5.661350225165014	9.61862915984898
GSE294918	IFNy_memory_rux_LPS	gene	GSDMD		0.0	0.0	-0.21406628032545783	-0.7647830001644165	5.448848505518781	5.382497236747352
GSE294918	IFNy_memory_rux_LPS	gene	HLA-DPA1		1.0	0.02816692769515683	-0.19940489191314192	-0.5676994704682583	10.670226228281573	10.595934473462814
GSE294918	IFNy_memory_rux_LPS	gene	HLA-DPB1		1.0	0.019100093034657206	-0.2971794213914798	-1.0375633626137013	9.490365305996702	9.274855340205377
GSE294918	IFNy_memory_rux_LPS	gene	HLA-DQA1		1.0	0.15677625873462553	-0.07126466070388382	0.10889041094061902	9.442320640341775	9.476912423407368
GSE294918	IFNy_memory_rux_LPS	gene	HLA-DQB1		1.0	0.15426033030934772	-0.25117367637087806	-0.5057046508846561	7.426481354908068	7.17530767853719
GSE294918	IFNy_memory_rux_LPS	gene	HLA-DRA		6.0	0.22814629742640058	0.0	0.6013828651021695	11.819537002248524	12.047683299674924
GSE294918	IFNy_memory_rux_LPS	gene	IFI30		0.0	0.0	-0.6065988605253805	-2.481673034359572	1.646604620613428	1.408320077824797
GSE294918	IFNy_memory_rux_LPS	gene	IFIT1	3.0	3.0	3.407680918026643	0.0	12.229952640266948	4.5777540071764635	7.05122096649607
GSE294918	IFNy_memory_rux_LPS	gene	IL18	3.0	3.0	2.894656328821223	0.0	10.850897801777435	4.976891671796707	7.259446169720158
GSE294918	IFNy_memory_rux_LPS	gene	IL1B	1.0	3.0	8.790794873681289	0.0	45.48339159792283	3.0444567432050835	11.811016852736362
GSE294918	IFNy_memory_rux_LPS	gene	IRF1	1.0	3.0	3.3090612849120973	0.0	14.351321653703511	4.889183557970025	7.079568642238916
GSE294918	IFNy_memory_rux_LPS	gene	ISG15	3.0	3.0	4.991654697914424	0.0	20.06442817591804	3.8263183231008977	8.70372411696852
GSE294918	IFNy_memory_rux_LPS	gene	LITAF	3.0	3.0	1.2385119008504866	-0.07144198406727043	4.583876987901446	9.606177247761055	10.669350722345145
GSE294918	IFNy_memory_rux_LPS	gene	NDUFA4		0.0	0.0	-0.2350989520102269	-0.9089349575122365	6.629945376130712	6.56699657870105
GSE294918	IFNy_memory_rux_LPS	gene	NFKBIA	1.0	1.0	4.310578151636878	0.0	19.302640337605034	6.0377415060736235	8.783285633916872
GSE294918	IFNy_memory_rux_LPS	gene	NLRP3	1.0	1.0	0.8380280225308847	-1.250035561716888	-1.329632630404258	2.382656791992336	1.1326212302754481
GSE294918	IFNy_memory_rux_LPS	gene	RFX5		1.0	0.10857695750210894	-0.10794592987909368	-0.1927110028024619	6.035750358388745	5.927804428509651
GSE294918	IFNy_memory_rux_LPS	gene	STAT1	6.0	6.0	0.6385048140342331	-0.06827176540300961	0.8742346542486281	8.315537312006915	8.954042126041148
GSE294918	IFNy_memory_rux_LPS	gene	TNF	1.0	1.0	7.513614185676755	0.0	35.362164315496074	3.0523572073021787	8.424705148798349
GSE294918	IFNy_memory_rux_LPS	module	mocci_c15_ndufa4	3.0	6.0	1.1463569814834909	0.0	3.449173536809224	6.304916845774539	7.45127382725803
GSE294918	IFNy_memory_rux_LPS	module	nfkb_lps	1.0	3.0	5.46240210589578	0.0	29.26392840812226	4.150628087428027	9.588982428667782
GSE294918	IFNy_memory_rux_LPS	module	ifn_core	3.0	3.0	3.158939694813534	0.0	12.69961677191684	5.178256673504522	7.936743353296588
GSE294918	IFNy_memory_rux_LPS	module	apc_mhcii		1.0	0.032639335441992046	-0.38781153292849524	-1.3192480647846008	8.88381422135877	8.618028730941203
GSE294918	IFNy_memory_rux_LPS	module	pyroptosis_noncanonical	1.0	3.0	2.5290418711926	0.0	11.413191125058507	4.5727750804073555	7.0806751183360985
GSE294918	IFNy_memory_rux_LPS	module	stress_branch_targets	3.0	6.0	1.1125537590549293	-0.0008623060529959758	3.9107498812140546	7.813452876901959	8.926006635956888
GSE294918	PBS_rux_LPS	gene	C15ORF48	3.0	6.0	2.4111583898568547	-0.028624434993224313	7.501186665841728	5.732973093604496	8.14413148346135
GSE294918	PBS_rux_LPS	gene	CASP1	6.0	6.0	0.736219708359906	-0.11017765518557354	1.1624850674360814	5.893982062430174	6.63020177079008
GSE294918	PBS_rux_LPS	gene	CASP4	6.0	6.0	1.0330477050388511	-0.03734842205935074	2.7282323286911896	6.10104956104345	7.134097266082301
GSE294918	PBS_rux_LPS	gene	CASP5	3.0	6.0	2.2505625957681783	0.0	8.607417364739232	0.7820448710282294	3.032607466796408
GSE294918	PBS_rux_LPS	gene	CCL2	1.0	6.0	1.3325660648066275	-0.7982881781256541	0.9366280898982526	6.4023119629639424	7.73487802777057
GSE294918	PBS_rux_LPS	gene	CCL20	1.0	3.0	7.288788419528845	0.0	36.83907684439092	0.8885436301824141	7.784916796512265
GSE294918	PBS_rux_LPS	gene	CD74		1.0	0.07178088472704225	-0.24986354249189446	-0.818998755386815	12.912777158213824	12.711436340715396
GSE294918	PBS_rux_LPS	gene	CIITA		1.0	0.24742925354013146	-2.456793583613578	-9.121717124079712	6.964080133209057	4.507286549595479
GSE294918	PBS_rux_LPS	gene	CTSS		0.0	0.0	-0.2440793072960492	-0.999111141272353	12.529775713758474	12.361099691678813
GSE294918	PBS_rux_LPS	gene	CXCL10	1.0	3.0	2.9608744447160995	0.0	11.466964141364022	2.3129990830970564	3.032607466796408
GSE294918	PBS_rux_LPS	gene	CXCL8	1.0	6.0	8.589701186184058	0.0	41.34347158199033	3.9549723413743036	12.544673527558363
GSE294918	PBS_rux_LPS	gene	GBP1	3.0	6.0	4.261729834483053	0.0	17.5319912764285	5.411389867725931	9.673119702208984
GSE294918	PBS_rux_LPS	gene	GBP2	3.0	6.0	3.0845195187962435	0.0	11.933850612632845	6.412760056962151	9.497279575758395
GSE294918	PBS_rux_LPS	gene	GBP5	3.0	3.0	3.9338872237730724	0.0	15.771210442438706	5.350581939990696	9.086529228780273
GSE294918	PBS_rux_LPS	gene	GSDMD		6.0	0.06575665621482774	-0.5146727273023437	-1.4741167669410165	5.18282097286652	5.248577629081348
GSE294918	PBS_rux_LPS	gene	HLA-DPA1		1.0	0.10152977161762777	-0.2518756976574892	-0.817782317571675	10.920246068208408	10.69332091430548
GSE294918	PBS_rux_LPS	gene	HLA-DPB1		1.0	0.1037338688591749	-0.3830668589519455	-1.2417312398366347	9.595085550449712	9.212018691497766
GSE294918	PBS_rux_LPS	gene	HLA-DQA1		1.0	0.25437706635344703	0.0	0.4551728866917939	9.488788721810872	9.497398682324054
GSE294918	PBS_rux_LPS	gene	HLA-DQB1		1.0	0.3205401641298904	-0.19767225704343439	0.08786674501945013	7.561310948663157	7.363638691619722
GSE294918	PBS_rux_LPS	gene	HLA-DRA		1.0	0.1520341045458089	0.0	0.5801177060373215	11.935786523137933	12.07408584431446
GSE294918	PBS_rux_LPS	gene	IFI30		0.0	0.0	-0.5586108778871861	-1.832474169676741	1.6638933758477403	1.5809716515285024
GSE294918	PBS_rux_LPS	gene	IFIT1	3.0	3.0	4.184644153602765	0.0	16.274025834861057	4.16731649863965	7.645700247985259
GSE294918	PBS_rux_LPS	gene	IL18	3.0	3.0	1.9503960799714015	-0.08051727315262625	6.7488244787106915	5.629275791627236	6.958349250634654
GSE294918	PBS_rux_LPS	gene	IL1B	1.0	6.0	8.620248591033308	0.0	44.80967701079555	3.4224740209764284	12.042722612009737
GSE294918	PBS_rux_LPS	gene	IRF1	1.0	3.0	3.4570837881724685	0.0	15.63946436142787	4.6661220169771145	7.202905817104817
GSE294918	PBS_rux_LPS	gene	ISG15	3.0	3.0	5.207507748472297	0.0	21.398341204811192	3.7676620275831496	8.857951814148775
GSE294918	PBS_rux_LPS	gene	LITAF	3.0	3.0	1.3516485920908181	-0.03298361399371075	4.8669026157532596	9.59549506583149	10.62033277017601
GSE294918	PBS_rux_LPS	gene	NDUFA4		0.0	0.0	-0.31551213525283206	-1.2675286679909643	6.84072300888831	6.673854690989584
GSE294918	PBS_rux_LPS	gene	NFKBIA	1.0	1.0	4.2902175589194025	0.0	18.91444108667857	6.303907812421303	8.939639299695857
GSE294918	PBS_rux_LPS	gene	NLRP3	1.0	1.0	2.002142005946973	-0.7461944386278978	1.806818565982026	2.2072193252802004	1.4610248866523026
GSE294918	PBS_rux_LPS	gene	RFX5		1.0	0.13440871144848288	-0.41237955897814516	-1.1968681909733174	6.033986267503846	5.621606708525701
GSE294918	PBS_rux_LPS	gene	STAT1	6.0	6.0	1.0355574274950854	-0.017074982923993787	1.8361032966130386	8.084929668989185	9.12048709648427
GSE294918	PBS_rux_LPS	gene	TNF	1.0	1.0	7.911382391576561	0.0	38.73339477854782	2.6421552081411135	8.775098232818054
GSE294918	PBS_rux_LPS	module	mocci_c15_ndufa4	3.0	6.0	1.122145035979064	-0.09046083516687808	3.116828998925379	6.286848051246404	7.4089930872254675
GSE294918	PBS_rux_LPS	module	nfkb_lps	1.0	6.0	5.701260586717556	0.0	30.262781565383573	3.9357274960099176	9.636988082727473
GSE294918	PBS_rux_LPS	module	ifn_core	1.0	3.0	3.3548293459503524	0.0	13.981493896322155	5.021720144995617	8.014572618658399
GSE294918	PBS_rux_LPS	module	apc_mhcii		1.0	0.10875250062931663	-0.42250052273767835	-1.4905525601048693	8.960573046080302	8.562286376610537
GSE294918	PBS_rux_LPS	module	pyroptosis_noncanonical	1.0	6.0	2.437091091886348	0.0	10.962639038091385	4.639359846993101	7.076450938879449
GSE294918	PBS_rux_LPS	module	stress_branch_targets	3.0	6.0	1.0289427046916853	-0.03516601802653074	3.797567472222226	7.8482723134374694	8.877215018129155
