dataset	kind	name	time_h	rux_vs_matched_ifny_lps_log2fc	note
GSE294918	gene	GBP1	1	-4.871057417729888	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP1	3	-2.692961384509598	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP1	6	-3.0205507753639367	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP1	mean_0_6h	-3.914053553123896	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	GBP2	0	-3.058504107462187	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP2	1	-2.8647456027055593	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP2	3	-1.1689065478863725	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP2	6	-1.1218443120126906	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP2	mean_0_6h	-2.053500142516702	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	GBP5	0	-6.472390731722978	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP5	1	-6.517701653052862	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP5	3	-2.9147177537105584	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP5	6	-2.920670053412863	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GBP5	mean_0_6h	-4.706370047974815	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	GSDMD	0	-0.7163809128071739	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GSDMD	1	-0.8654389970170016	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GSDMD	3	-0.8167403934113677	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GSDMD	6	-0.8522324335072229	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	GSDMD	mean_0_6h	-0.8126981841856915	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	HLA-DPA1	0	-1.186119504806678	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPA1	1	-1.1300635860451482	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPA1	3	-1.1609373774817175	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPA1	6	-0.9140660506034806	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPA1	mean_0_6h	-1.097796629734256	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	HLA-DPB1	0	-0.9637043710682356	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPB1	1	-0.8656453820328256	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPB1	3	-0.9207566927599888	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPB1	6	-0.7625325241783969	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DPB1	mean_0_6h	-0.8781597425098617	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	HLA-DQA1	0	-1.5297372504678108	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQA1	1	-1.384860313504804	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQA1	3	-1.4568480238501742	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQA1	6	-1.259912744049494	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQA1	mean_0_6h	-1.4078395829680708	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	HLA-DQB1	0	-1.250855191004014	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQB1	1	-1.2656741536990888	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQB1	3	-1.110279117970089	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQB1	6	-1.0702688740582884	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DQB1	mean_0_6h	-1.17426933418287	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	HLA-DRA	0	-0.8984347397784234	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DRA	1	-0.7615918269271109	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DRA	3	-0.915019266129196	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DRA	6	-0.6642427066588645	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	HLA-DRA	mean_0_6h	-0.8098221348733987	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	IFI30	0	-0.4029882340509412	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFI30	1	-0.9994316646230352	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFI30	3	-0.6699416328257952	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFI30	6	-0.9426572581662191	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFI30	mean_0_6h	-0.7537546974164977	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	IFIT1	0	-3.173411911823326	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFIT1	1	-3.6042541078857475	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFIT1	3	-2.5717329897624595	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFIT1	6	-3.135171338409032	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IFIT1	mean_0_6h	-3.1211425869701412	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	IL18	0	0.2219921108904197	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL18	1	0.18974331810110012	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL18	3	0.12858309556177794	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL18	6	-0.5437408833041522	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL18	mean_0_6h	-0.0008555896877135982	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	IL1B	0	0.08268441684613981	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL1B	1	1.2176940653513828	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL1B	3	1.8482837458758326	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL1B	6	2.5651724675465513	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IL1B	mean_0_6h	1.4284586739049767	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	IRF1	0	-3.9487071317881295	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IRF1	1	-2.672622338063886	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IRF1	3	-1.5987527207714596	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IRF1	6	-2.057393002942616	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	IRF1	mean_0_6h	-2.569368798391523	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	ISG15	0	-2.780046463956639	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	ISG15	1	-3.5819766802245985	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	ISG15	3	-2.046883985688627	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	ISG15	6	-2.3640817732796187	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	ISG15	mean_0_6h	-2.6932472257873705	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	LITAF	0	0.2587358176260519	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	LITAF	1	0.3517148588888599	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	LITAF	3	0.10516662884893613	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	LITAF	6	-0.2188961441827857	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	LITAF	mean_0_6h	0.12418029029526556	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	NDUFA4	0	0.531738447231282	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NDUFA4	1	0.37087427479853297	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NDUFA4	3	0.5489210477994062	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NDUFA4	6	0.7360533659083988	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NDUFA4	mean_0_6h	0.546896783934405	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	NFKBIA	0	0.22360896765721172	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NFKBIA	1	0.37773897130286294	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NFKBIA	3	-0.6149467085945179	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NFKBIA	6	-0.5965287738183278	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NFKBIA	mean_0_6h	-0.15253188586319277	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	NLRP3	0	-0.043764962600969515	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NLRP3	1	0.22906917928963244	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NLRP3	3	-0.15165229813641545	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NLRP3	6	-0.004119308064034266	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	NLRP3	mean_0_6h	0.007383152622053302	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	RFX5	0	-0.8099318944032046	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	RFX5	1	-0.7538685472370164	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	RFX5	3	-0.44620884323512566	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	RFX5	6	-0.3535363666735032	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	RFX5	mean_0_6h	-0.5908864128872124	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	STAT1	0	-3.3546822615047027	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	STAT1	1	-3.2308722274238466	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	STAT1	3	-2.8649828001951043	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	STAT1	6	-1.6364491208771952	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	STAT1	mean_0_6h	-2.771746602500212	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	TNF	0	-1.8011362132796087	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	TNF	1	-0.06366263050341558	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	TNF	3	-0.706029945167499	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	TNF	6	-0.7885839247517321	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	TNF	mean_0_6h	-0.8398531784255638	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	module	mocci_c15_ndufa4	0	0.352356724556258	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	mocci_c15_ndufa4	1	0.6226999708560639	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	mocci_c15_ndufa4	3	0.21797403385067593	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	mocci_c15_ndufa4	6	0.20606728113250838	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	mocci_c15_ndufa4	mean_0_6h	0.34977450259887655	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	module	nfkb_lps	0	-0.6916110006180718	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	nfkb_lps	1	0.10770449198214926	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	nfkb_lps	3	0.5062684832198308	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	nfkb_lps	6	0.9952517510522867	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	nfkb_lps	mean_0_6h	0.22940343140904873	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	module	ifn_core	0	-4.023145607795285	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	ifn_core	1	-4.271473288593866	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	ifn_core	3	-2.9497633500367737	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	ifn_core	6	-3.032377448121375	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	ifn_core	mean_0_6h	-3.569189923636825	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	module	apc_mhcii	0	-1.0050570178682765	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	apc_mhcii	1	-0.9760923961351526	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	apc_mhcii	3	-1.045272013584972	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	apc_mhcii	6	-0.7526552150749541	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	apc_mhcii	mean_0_6h	-0.9447691606658388	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	module	pyroptosis_noncanonical	0	-2.0043947033714176	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	pyroptosis_noncanonical	1	-1.8983534737242849	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	pyroptosis_noncanonical	3	-1.135677560051679	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	pyroptosis_noncanonical	6	-0.9636486292837185	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	pyroptosis_noncanonical	mean_0_6h	-1.500518591607775	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	module	stress_branch_targets	0	-0.6485975014135104	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	stress_branch_targets	1	-0.6737388397352273	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	stress_branch_targets	3	-0.6790354780129562	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	stress_branch_targets	6	-0.4626763819515176	single processed CPM column per condition/timepoint; descriptive only
GSE294918	module	stress_branch_targets	mean_0_6h	-0.6160120502783029	mean across 0/1/3/6h descriptive ruxolitinib contrasts
