definition	physical_dataset	context	module	effect	p	n_genes_present	genes_present
globally_disjoint	GSE111972	MS white-matter microglia	lysosomal_apc	0.4151027841886308	0.1160220778573712	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
globally_disjoint	GSE111972	MS white-matter microglia	ifn_apc	0.4608789682928579	0.1169282980284122	4	STAT1,IRF1,CXCL10,GBP1
globally_disjoint	GSE111972	MS white-matter microglia	hla_ii_apc	-0.1169645296654235	0.7351753795059434	2	CIITA,RFX5
globally_disjoint	GSE248205	Hashimoto thyroiditis_vs_control	hla_ii_apc	0.1614688084859491	0.0639755395702195	sample_specific	see source-run sample score table
globally_disjoint	GSE248205	Hashimoto thyroiditis_vs_control	ifn_apc	0.3348165394983216	0.0069951631742211	sample_specific	see source-run sample score table
globally_disjoint	GSE248205	Hashimoto thyroiditis_vs_control	lysosomal_apc	0.3790602613458644	0.0639252110407786	sample_specific	see source-run sample score table
globally_disjoint	GSE248205	Hashimoto thyroiditis_vs_control	mif_cd74_receptor_state	0.4825364194342808	0.0642996985773968	sample_specific	see source-run sample score table
globally_disjoint	GSE248205	Graves disease_vs_control	hla_ii_apc	0.0517690120483681	0.2227015580965872	sample_specific	see source-run sample score table
globally_disjoint	GSE248205	Graves disease_vs_control	ifn_apc	0.1445798292171754	0.2793725491648932	sample_specific	see source-run sample score table
globally_disjoint	GSE248205	Graves disease_vs_control	lysosomal_apc	0.3690712854111841	0.134306377792373	sample_specific	see source-run sample score table
globally_disjoint	GSE248205	Graves disease_vs_control	mif_cd74_receptor_state	0.1332956154736884	0.1153307348028951	sample_specific	see source-run sample score table
globally_disjoint	GSE315138	celiac b_plasma_like	hla_ii_apc	0.3067329277905314	0.2315878545220843	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac b_plasma_like	ifn_apc	0.0358687373207877	0.8277882609529169	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac b_plasma_like	lysosomal_apc	0.0214016349361435	0.7438658640743272	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac b_plasma_like	mif_cd74_receptor_state	0.2761719271698443	0.273517871424961	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac epithelial_like	hla_ii_apc	0.2721241681583726	0.147116800002564	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac epithelial_like	ifn_apc	0.2965891067429928	0.4302150298740175	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac epithelial_like	lysosomal_apc	0.0368938935215443	0.8214072957229251	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac epithelial_like	mif_cd74_receptor_state	0.109341779892971	0.5371129103605157	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac myeloid_apc_like	hla_ii_apc	0.1986645590710567	0.183186955947399	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac myeloid_apc_like	ifn_apc	0.0641593634479402	0.8052398233063892	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac myeloid_apc_like	lysosomal_apc	0.0960897097888134	0.4608695175526184	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac myeloid_apc_like	mif_cd74_receptor_state	0.4368527183097899	0.1652041197188454	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac stromal_endothelial_like	hla_ii_apc	0.0893972481262639	0.4942396657409705	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac stromal_endothelial_like	ifn_apc	0.0587295007989155	0.8574181544968276	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac stromal_endothelial_like	lysosomal_apc	0.0330837522920827	0.8391733381803557	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac stromal_endothelial_like	mif_cd74_receptor_state	0.0181865909169438	0.8187555601625922	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac t_cell_like	hla_ii_apc	-0.0174465095409537	0.814523793313159	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac t_cell_like	ifn_apc	-0.2579974128145204	0.5422167223414602	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac t_cell_like	lysosomal_apc	-0.0954359226762567	0.6021948937558218	compartment_specific	see source-run module coverage table
globally_disjoint	GSE315138	celiac t_cell_like	mif_cd74_receptor_state	-0.1511838077963219	0.7070345161033519	compartment_specific	see source-run module coverage table
