candidate	gene	evidence_tier	gate	passed	wave61_call
KO-143	ABCG2	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
BRD-K20168484	ALOX5AP	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
SB-218078	CHEK1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
miglitol	GAA	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
dexamethasone;flumetasone;fluticasone	NR3C1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
calyculin	PPP1CA	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
CGP-57380	MKNK1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
MG-132	PSMB1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
WAY-213613	SLC1A2	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
GW-843682X	PLK3	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
BMY-45778	PTGIR	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
PK-11195	TSPO	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
angiogenesis-inhibitor	EGFR	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
alprazolam	GABRA1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
manumycin-a	FNTA	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
estradiol	ESR1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
SB-216641	HTR1B	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
XMD-1150	LRRK2	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
zileuton	ALOX5	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
LY-294002	MTOR	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
dexamethasone-acetate	NR3C1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
AS-605240	PIK3CG	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
tubocurarine	CHRNA2	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
tozasertib	FLT3	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
cediranib	FLT1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
oligomycin-a	ATP5F1A	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
berbamine	CALM1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
epothilone	TUBB	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
SKF-81297	DRD1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
clobenpropit	HRH3	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
dovitinib	EGFR	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
rotenone	ND1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
LY-2183240	FAAH	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
PD-0325901	MAP2K1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
ICI-199441	OPRK1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
MK-1775	WEE1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
NVP-AUY922	HSP90AA1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
thapsigargin	ATP2A1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
radicicol	NAN	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
SB-225002	CXCR2	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
vincristine	TUBB	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
flavokavain-b	IKBKB	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
BI-2536	PLK1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
7b-cis	XPO1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
PNU-74654	CTNNB1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
BRD-K30351863	APEX1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
GW-6471	PPARA	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
prednisolone-acetate	NR3C1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
CA-074-Me	CTSB	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
PU-H71	HSP90AA1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
tanespimycin	HSP90AA1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
BRD-K20168484	ALOX5AP	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
withaferin-a	NAMPT	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
BRD-K89329876	KIF11	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
geldanamycin	HSP90AA1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
ryuvidine	CDK4	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
calyculin	PPP1CA	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
flumetasone	NR3C1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
SB-218078	CHEK1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
dexamethasone	NR3C1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
fluticasone	NR3C1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
dexamethasone	NR3C1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
zileuton	ALOX5	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
dexamethasone-acetate	NR3C1	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
epothilone	TUBB	l1000_reversal_support_only	count	False	NO_GO_L1000_ONLY
Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_Basal_vs_WT_Basal	TREM2	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_Basal_vs_WT_Basal	TREM2	resolution_perturbation_guardrail	lipid_apc_reduced	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_Basal_vs_WT_Basal	TREM2	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_Basal_vs_WT_Basal	TREM2	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_Basal_vs_WT_Basal	TREM2	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_Basal_vs_WT_Basal	TREM2	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_Basal_vs_WT_Basal	TREM2	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	resolution_perturbation_guardrail	lipid_apc_reduced	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	resolution_perturbation_guardrail	lipid_apc_reduced	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	True	NO_GO_RESOLUTION_GUARDRAIL
IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
IL10_Treg_phago_vs_IL10_nonphago	IL10	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
IL10_Treg_phago_vs_IL10_nonphago	IL10	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
IL10_Treg_phago_vs_IL10_nonphago	IL10	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
IL10_Treg_phago_vs_IL10_nonphago	IL10	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
IL10_Treg_phago_vs_IL10_nonphago	IL10	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
IL10_Treg_phago_vs_IL10_nonphago	IL10	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
IL10_Treg_phago_vs_IL10_nonphago	IL10	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	True	NO_GO_RESOLUTION_GUARDRAIL
WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	False	NO_GO_RESOLUTION_GUARDRAIL
MF_AC_vs_MF	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
MF_AC_vs_MF	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
MF_AC_vs_MF	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
MF_AC_vs_MF	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
MF_AC_vs_MF	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
MF_AC_vs_MF	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
MF_AC_vs_MF	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
LipaOE_vs_Control_PM	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
LipaOE_vs_Control_PM	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
LipaOE_vs_Control_PM	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
LipaOE_vs_Control_PM	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
LipaOE_vs_Control_PM	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
LipaOE_vs_Control_PM	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
LipaOE_vs_Control_PM	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
AC_180min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
AC_180min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
AC_180min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	False	NO_GO_RESOLUTION_GUARDRAIL
AC_180min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
AC_180min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
AC_180min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
AC_180min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
AC_45min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
AC_45min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
AC_45min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
AC_45min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
AC_45min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
AC_45min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
AC_45min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
AC_90min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
AC_90min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
AC_90min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
AC_90min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	stress_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
AC_90min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	resolution_gain	False	NO_GO_RESOLUTION_GUARDRAIL
AC_90min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
AC_90min_vs_Alone	UNRESOLVED	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	resolution_perturbation_guardrail	stress_not_increased	False	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	resolution_perturbation_guardrail	profibrosis_not_increased	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	resolution_perturbation_guardrail	replicated_or_statistical	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_OxLDL_vs_WT_OxLDL	GPNMB	resolution_perturbation_guardrail	count	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_OxLDL_vs_WT_OxLDL	GPNMB	resolution_perturbation_guardrail	lipid_apc_reduced	False	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_OxLDL_vs_WT_OxLDL	GPNMB	resolution_perturbation_guardrail	ifn_not_collapsed	True	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_OxLDL_vs_WT_OxLDL	GPNMB	resolution_perturbation_guardrail	stress_not_increased	False	NO_GO_RESOLUTION_GUARDRAIL
GpnmbR150X_OxLDL_vs_WT_OxLDL	GPNMB	resolution_perturbation_guardrail	resolution_gain	True	NO_GO_RESOLUTION_GUARDRAIL
