evidence_tier	candidate	gene	source	dataset	system	perturbation_type	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	selectivity_score	stress_induction	manual_blocker	gate_count	direct_priority_score	wave61_call	gate_real_perturbation	gate_selective_over_ifn	gate_not_generic_collapse	gate_stress_guardrail	gate_primary_or_relevant_system	gate_repair_or_efferocytosis_guardrail	gate_cross_disease_recurrence	gate_ms_nominal_anchor	gate_residual_support	gate_genetic_support	gate_druggable_or_modality	gate_no_manual_blocker	positive_disease_count	negative_disease_count	positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_max_genetic_association	opentargets_disease_count	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	wave34_call	gwas_catalog_trait_count	chembl_target_id	chembl_best_nM	druggable_activity_count	efferocytosis_screen_call	efferocytosis_median_efficient_minus_noneater_lfc	efferocytosis_contrast_fdr	geneformer_model_support_pass	wave57_call	l1000_wave24_call	l1000_promotion_gate	l1000_opposite_queries	l1000_best_rank	l1000_min_qval	l1000_contradicted_by_similar_hit	gate_lipid_apc_reduced	gate_ifn_not_collapsed	gate_stress_not_increased	gate_resolution_gain	gate_profibrosis_not_increased	gate_replicated_or_statistical
l1000_mechanism_summary_support_only	calyculin	PPP1CA	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		12.0	0.800757396434433							
l1000_mechanism_summary_support_only	CGP-57380	MKNK1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		13.0	5.87567820342275e-05							
l1000_mechanism_summary_support_only	MG-132	PSMB1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		16.0	0.843182058232008							
l1000_mechanism_summary_support_only	WAY-213613	SLC1A2	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		16.0	6.03624873173514e-05							
l1000_mechanism_summary_support_only	GW-843682X	PLK3	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		17.0	5.87567820342275e-05							
l1000_mechanism_summary_support_only	BMY-45778	PTGIR	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		20.0	6.03624873173514e-05							
l1000_mechanism_summary_support_only	PK-11195	TSPO	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		20.0	1.0							
l1000_mechanism_summary_support_only	angiogenesis-inhibitor	EGFR	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		21.0	6.03624873173514e-05							
l1000_mechanism_summary_support_only	alprazolam	GABRA1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		21.0	1.0							
l1000_mechanism_summary_support_only	manumycin-a	FNTA	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		25.0	0.909831846556634							
l1000_mechanism_summary_support_only	estradiol	ESR1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		28.0	1.0							
l1000_mechanism_summary_support_only	SB-216641	HTR1B	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		29.0	5.87567820342275e-05							
l1000_mechanism_summary_support_only	XMD-1150	LRRK2	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		30.0	9.36227738231777e-06							
l1000_mechanism_summary_support_only	zileuton	ALOX5	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO_PRIOR	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO_PRIOR	NO_GO		32.0	1.0							
l1000_mechanism_summary_support_only	LY-294002	MTOR	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		32.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	dexamethasone-acetate	NR3C1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO_PRIOR	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO_PRIOR	NO_GO		33.0	1.0							
l1000_mechanism_summary_support_only	AS-605240	PIK3CG	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		33.0	6.09760480042738e-05							
l1000_mechanism_summary_support_only	tubocurarine	CHRNA2	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		34.0	1.0							
l1000_mechanism_summary_support_only	tozasertib	FLT3	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		35.0	6.09760480042738e-05							
l1000_mechanism_summary_support_only	cediranib	FLT1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		38.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	oligomycin-a	ATP5F1A	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		39.0	8.92001488176717e-06							
l1000_mechanism_summary_support_only	berbamine	CALM1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		39.0	0.0005871982494016							
l1000_mechanism_summary_support_only	epothilone	TUBB	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		39.0	1.0							
l1000_mechanism_summary_support_only	SKF-81297	DRD1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		40.0	1.0							
l1000_mechanism_summary_support_only	clobenpropit	HRH3	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		42.0	0.0005871982494016							
l1000_mechanism_summary_support_only	dovitinib	EGFR	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		43.0	1.0							
l1000_mechanism_summary_support_only	rotenone	ND1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		44.0	0.0002426697405796							
l1000_mechanism_summary_support_only	LY-2183240	FAAH	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		45.0	0.0002426697405796							
l1000_mechanism_summary_support_only	PD-0325901	MAP2K1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		45.0	1.0							
l1000_mechanism_summary_support_only	ICI-199441	OPRK1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		46.0	0.0002426697405796							
l1000_mechanism_summary_support_only	MK-1775	WEE1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		50.0	1.0							
l1000_reversal_support_only	NVP-AUY922	HSP90AA1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				14.607758850456218	7.878573645422091		oncology/cell-cycle/stress target HSP90AA1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150;ifn_lysosomal_apc_state;mif_cd74_receptor_state	20.0	8.83733908701768e-06	False						
l1000_reversal_support_only	thapsigargin	ATP2A1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				12.782452707189144	6.21253948390488		high-risk cytotoxic/steroid/stress compound	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	2.0	3.33468284702094e-07	False						
l1000_reversal_support_only	radicicol	NAN	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				25.436513674297142	6.162537775359829		high-risk cytotoxic/steroid/stress compound	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	5.0	3.08543314439944e-07	True						
l1000_reversal_support_only	SB-225002	CXCR2	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				12.830082394918492	6.07969555152332		generic/prior-art inflammatory target CXCR2	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	7.0	4.7161861024928e-06	False						
l1000_reversal_support_only	vincristine	TUBB	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				19.51984664751406	6.047982254032058		high-risk cytotoxic/steroid/stress compound	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	11.0	4.70712929556801e-06	False						
l1000_reversal_support_only	flavokavain-b	IKBKB	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				-14.079995561909795	6.046290013956983		oncology/cell-cycle/stress target IKBKB	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	12.0	4.71443193564889e-06	False						
l1000_reversal_support_only	BI-2536	PLK1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				20.839945176805728	6.026094179349034		oncology/cell-cycle/stress target PLK1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	8.0	4.88465195996193e-06	True						
l1000_reversal_support_only	7b-cis	XPO1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	5.9878655160599195		oncology/cell-cycle/stress target XPO1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	15.0	8.83733908701768e-06	False						
l1000_reversal_support_only	PNU-74654	CTNNB1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				19.32263013487157	5.959333489001663		oncology/cell-cycle/stress target CTNNB1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	16.0	8.83733908701768e-06	False						
l1000_reversal_support_only	BRD-K30351863	APEX1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	5.885089546664504		oncology/cell-cycle/stress target APEX1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	22.0	9.03442048884882e-06	False						
l1000_reversal_support_only	GW-6471	PPARA	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	5.813485220392177		generic/prior-art inflammatory target PPARA	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	26.0	8.83733908701768e-06	False						
l1000_reversal_support_only	prednisolone-acetate	NR3C1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				13.01085262890902	5.7834487958524425		high-risk cytotoxic/steroid/stress compound	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	34.0	8.83733908701768e-06	False						
l1000_reversal_support_only	CA-074-Me	CTSB	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				16.993630126263277	5.734401462886022		generic/prior-art inflammatory target CTSB	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	ifn_lysosomal_apc_state;mif_cd74_receptor_state	41.0	8.83733908701768e-06	False						
l1000_reversal_support_only	PU-H71	HSP90AA1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	5.494739392826881		oncology/cell-cycle/stress target HSP90AA1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150;mif_cd74_receptor_state	47.0	0.0002426697405796	False						
l1000_reversal_support_only	tanespimycin	HSP90AA1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				19.454917654309323	4.19655047929212		high-risk cytotoxic/steroid/stress compound	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	mif_cd74_receptor_state	4.0	3.08543314439944e-07	False						
l1000_reversal_support_only	BRD-K20168484	ALOX5AP	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	4.027074049642177		generic/prior-art inflammatory target ALOX5AP	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	mif_cd74_receptor_state	9.0	8.83733908701768e-06	False						
l1000_reversal_support_only	withaferin-a	NAMPT	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.773590843259027		high-risk cytotoxic/steroid/stress compound	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150	2.0	0.596745389998244	False						
l1000_reversal_support_only	BRD-K89329876	KIF11	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.7079547706823206		oncology/cell-cycle/stress target KIF11	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150	5.0	0.74950198399974	False						
l1000_reversal_support_only	geldanamycin	HSP90AA1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				12.04076155157386	3.6876645097637177		oncology/cell-cycle/stress target HSP90AA1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	mif_cd74_receptor_state	40.0	8.83733908701768e-06	False						
l1000_reversal_support_only	ryuvidine	CDK4	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.6603491877872543		oncology/cell-cycle/stress target CDK4	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150	6.0	0.768581834015827	False						
l1000_reversal_support_only	calyculin	PPP1CA	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.648231833009372		oncology/cell-cycle/stress target PPP1CA	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150	12.0	0.800757396434433	False						
l1000_reversal_support_only	flumetasone	NR3C1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.645134120718432		generic/prior-art inflammatory target NR3C1	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	gse111972_ms_wm_full_top150	11.0	0.805603902146875	False						
l1000_reversal_support_only	SB-218078	CHEK1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.5993093078822955		oncology/cell-cycle/stress target CHEK1	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150	9.0	0.869167133307089	False						
l1000_reversal_support_only	dexamethasone	NR3C1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.515459421802964		generic/prior-art inflammatory target NR3C1	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	gse111972_ms_wm_full_top150	15.0	0.879621510318152	False						
l1000_reversal_support_only	fluticasone	NR3C1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.493018337742864		generic/prior-art inflammatory target NR3C1	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	gse111972_ms_wm_full_top150	14.0	0.988109102987716	False						
l1000_reversal_support_only	dexamethasone	NR3C1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.296277312873718		generic/prior-art inflammatory target NR3C1	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	gse111972_ms_wm_full_top150	26.0	1.0	False						
l1000_reversal_support_only	zileuton	ALOX5	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.2716588318909565		generic/prior-art inflammatory target ALOX5	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	gse111972_ms_wm_full_top150	32.0	1.0	False						
l1000_reversal_support_only	dexamethasone-acetate	NR3C1	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.247635960113996		generic/prior-art inflammatory target NR3C1	0		NO_GO_L1000_ONLY																																		NO_GO_PRIOR	NO_GO	gse111972_ms_wm_full_top150	33.0	1.0	False						
l1000_reversal_support_only	epothilone	TUBB	L1000FWD	LINCS/L1000FWD	cell-line transcriptomic reversal				0.0	3.116629982585241		oncology/cell-cycle/stress target TUBB	0		NO_GO_L1000_ONLY																																		NO_GO	NO_GO	gse111972_ms_wm_full_top150	39.0	1.0	False						
resolution_perturbation_guardrail	Aged_BEX_vs_Aged_vehicle	RXR_LXR_PPAR	wave35_resolution_perturbation	GSE287142_RXR_bexarotene_CNS_myeloid	RXR agonist bexarotene CNS myeloid		-0.0244313531119451	0.0939006593517016	-0.11833201246364669	0.75	-0.341876104704202		5		NO_GO_RESOLUTION_GUARDRAIL																																								False	True	True	True	True	True
