seed	effect_scale	true_noise_multiplier	method	abstention_probability	mean_donors_per_context	prob_any_uniform_rescue	prob_any_context_harm	prob_any_other_false	uniform_rescue_recall	selection_precision	mean_n_selected	undersize_vs_oracle_probability	oversize_vs_oracle_probability
57401	1.00	1.25	blinded_adaptive	0.092000	24.744000	0.864000	0.000000	0.000000	0.491500	1.000000	1.966000	0.034000	0.762000
57401	1.00	1.25	oracle	0.000000	20.000000	0.940000	0.000000	0.000000	0.525000	1.000000	2.100000		
57401	1.00	1.50	fixed_12	0.000000	12.000000	0.288000	0.000000	0.000000	0.082500	1.000000	0.330000		
57401	1.00	1.50	blinded_adaptive	0.712000	8.880000	0.272000	0.000000	0.000000	0.159000	1.000000	0.636000	0.040000	0.000000
57401	1.00	1.50	oracle	0.000000	32.000000	0.950000	0.000000	0.000000	0.539000	1.000000	2.156000		
57402	0.80	0.75	fixed_12	0.000000	12.000000	0.930000	0.000000	0.000000	0.503000	1.000000	2.012000		
57402	0.80	0.75	blinded_adaptive	0.000000	12.240000	0.930000	0.000000	0.000000	0.503500	1.000000	2.014000	0.000000	0.060000
57402	0.80	0.75	oracle	0.000000	12.000000	0.930000	0.000000	0.000000	0.503000	1.000000	2.012000		
57402	0.80	1.00	fixed_12	0.000000	12.000000	0.880000	0.000000	0.000000	0.408500	1.000000	1.634000		
57402	0.80	1.00	blinded_adaptive	0.000000	17.944000	0.918000	0.000000	0.000000	0.488000	1.000000	1.952000	0.000000	0.900000
57402	0.80	1.00	oracle	0.000000	12.000000	0.880000	0.000000	0.000000	0.408500	1.000000	1.634000		
57402	0.80	1.25	fixed_12	0.000000	12.000000	0.540000	0.000000	0.000000	0.190500	1.000000	0.762000		
57402	0.80	1.25	blinded_adaptive	0.122000	24.008000	0.806000	0.000000	0.000000	0.435000	1.000000	1.740000	0.022000	0.722000
57402	0.80	1.25	oracle	0.000000	20.000000	0.916000	0.000000	0.000000	0.477500	1.000000	1.910000		
57402	0.80	1.50	fixed_12	0.000000	12.000000	0.128000	0.000000	0.000000	0.032000	1.000000	0.128000		
57402	0.80	1.50	blinded_adaptive	0.728000	8.424000	0.250000	0.000000	0.000000	0.133000	1.000000	0.532000	0.032000	0.000000
57402	0.80	1.50	oracle	0.000000	32.000000	0.926000	0.000000	0.000000	0.497500	1.000000	1.990000		
57402	1.00	0.75	fixed_12	0.000000	12.000000	0.956000	0.000000	0.000000	0.541500	1.000000	2.166000		
57402	1.00	0.75	blinded_adaptive	0.000000	12.248000	0.956000	0.000000	0.000000	0.541500	1.000000	2.166000	0.000000	0.062000
57402	1.00	0.75	oracle	0.000000	12.000000	0.956000	0.000000	0.000000	0.541500	1.000000	2.166000		
57402	1.00	1.00	fixed_12	0.000000	12.000000	0.910000	0.000000	0.000000	0.453500	1.000000	1.814000		
57402	1.00	1.00	blinded_adaptive	0.000000	17.936000	0.942000	0.000000	0.000000	0.527000	1.000000	2.108000	0.000000	0.898000
57402	1.00	1.00	oracle	0.000000	12.000000	0.910000	0.000000	0.000000	0.453500	1.000000	1.814000		
57402	1.00	1.25	fixed_12	0.000000	12.000000	0.688000	0.000000	0.000000	0.261500	1.000000	1.046000		
57402	1.00	1.25	blinded_adaptive	0.086000	25.080000	0.864000	0.000000	0.000000	0.488500	1.000000	1.954000	0.022000	0.778000
57402	1.00	1.25	oracle	0.000000	20.000000	0.946000	0.000000	0.000000	0.519500	1.000000	2.078000		
57402	1.00	1.50	fixed_12	0.000000	12.000000	0.290000	0.000000	0.000000	0.085000	1.000000	0.340000		
57402	1.00	1.50	blinded_adaptive	0.696000	9.256000	0.286000	0.000000	0.000000	0.161500	1.000000	0.646000	0.050000	0.000000
57402	1.00	1.50	oracle	0.000000	32.000000	0.952000	0.000000	0.000000	0.532000	1.000000	2.128000		
57403	0.80	0.75	fixed_12	0.000000	12.000000	0.934000	0.000000	0.000000	0.494500	1.000000	1.978000		
57403	0.80	0.75	blinded_adaptive	0.000000	12.216000	0.934000	0.000000	0.000000	0.494500	1.000000	1.978000	0.000000	0.054000
57403	0.80	0.75	oracle	0.000000	12.000000	0.934000	0.000000	0.000000	0.494500	1.000000	1.978000		
57403	0.80	1.00	fixed_12	0.000000	12.000000	0.878000	0.000000	0.000000	0.403000	1.000000	1.612000		
57403	0.80	1.00	blinded_adaptive	0.000000	18.128000	0.926000	0.000000	0.000000	0.477000	1.000000	1.908000	0.000000	0.880000
57403	0.80	1.00	oracle	0.000000	12.000000	0.878000	0.000000	0.000000	0.403000	1.000000	1.612000		
57403	0.80	1.25	fixed_12	0.000000	12.000000	0.502000	0.000000	0.000000	0.161500	1.000000	0.646000		
57403	0.80	1.25	blinded_adaptive	0.110000	24.392000	0.826000	0.000000	0.000000	0.436000	1.000000	1.744000	0.032000	0.716000
57403	0.80	1.25	oracle	0.000000	20.000000	0.916000	0.000000	0.000000	0.467000	1.000000	1.868000		
57403	0.80	1.50	fixed_12	0.000000	12.000000	0.132000	0.000000	0.000000	0.038500	1.000000	0.154000		
57403	0.80	1.50	blinded_adaptive	0.666000	10.376000	0.312000	0.000000	0.000000	0.155000	1.000000	0.620000	0.034000	0.000000
57403	0.80	1.50	oracle	0.000000	32.000000	0.924000	0.000000	0.000000	0.482000	1.000000	1.928000		
57403	1.00	0.75	fixed_12	0.000000	12.000000	0.952000	0.000000	0.000000	0.542000	1.000000	2.168000		
57403	1.00	0.75	blinded_adaptive	0.000000	12.320000	0.952000	0.000000	0.000000	0.542500	1.000000	2.170000	0.000000	0.078000
57403	1.00	0.75	oracle	0.000000	12.000000	0.952000	0.000000	0.000000	0.542000	1.000000	2.168000		
57403	1.00	1.00	fixed_12	0.000000	12.000000	0.900000	0.000000	0.000000	0.449500	1.000000	1.798000		
57403	1.00	1.00	blinded_adaptive	0.000000	17.904000	0.952000	0.000000	0.000000	0.529000	1.000000	2.116000	0.000000	0.896000
57403	1.00	1.00	oracle	0.000000	12.000000	0.900000	0.000000	0.000000	0.449500	1.000000	1.798000		
57403	1.00	1.25	fixed_12	0.000000	12.000000	0.706000	0.000000	0.000000	0.264500	1.000000	1.058000		
57403	1.00	1.25	blinded_adaptive	0.084000	24.944000	0.868000	0.000000	0.000000	0.491500	1.000000	1.966000	0.024000	0.756000
57403	1.00	1.25	oracle	0.000000	20.000000	0.934000	0.000000	0.000000	0.514500	1.000000	2.058000		
57403	1.00	1.50	fixed_12	0.000000	12.000000	0.312000	0.000000	0.000000	0.087000	1.000000	0.348000		
57403	1.00	1.50	blinded_adaptive	0.680000	9.920000	0.304000	0.000000	0.000000	0.170500	1.000000	0.682000	0.038000	0.000000
57403	1.00	1.50	oracle	0.000000	32.000000	0.944000	0.000000	0.000000	0.530000	1.000000	2.120000		
