dataset	cell_state	endpoint	comparison	module	n	response_coef	response_p	model_status	formula	response_fdr	generic_response_coef	generic_response_p	target_generic_abs_ratio
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	moderate_good_vs_none	inflammatory_nfkb	42	0.208766085422718	0.06816847649861915	ok	y ~ moderate_good_response + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	0.208766085422718	0.06816847649861915	1.0
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	moderate_good_vs_none	inflammatory_nfkb	42	-0.079015406160577	0.573982806544975	ok	y ~ moderate_good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	-0.079015406160577	0.573982806544975	1.0
GSE282122_IBD_myeloid_antiTNF	DC	baseline_pre	remission_vs_nonremission	lysosomal_apc	29	0.2604335826905438	0.03685687037603123	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.5048053278164863	0.15353886961371588	0.4256848924411299	1.6962062007214285
GSE282122_IBD_myeloid_antiTNF	DC	delta_post_minus_pre	remission_vs_nonremission	lysosomal_apc	29	-0.20348939517742498	0.08690992965476209	ok	y ~ remission + pre_score_lysosomal_apc + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.5048053278164863	-0.0195858074376295	0.899415727113397	10.389635240999471
GSE282122_IBD_myeloid_antiTNF	DC	baseline_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite	29	0.19594385862878597	0.10817257024638993	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.5048053278164863	0.15353886961371588	0.4256848924411299	1.2761840641510231
GSE282122_IBD_myeloid_antiTNF	DC	delta_post_minus_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite	29	-0.12840668322648613	0.2898499628175977	ok	y ~ remission + pre_score_ifn_lysosomal_apc_composite + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.0195858074376295	0.899415727113397	6.556108735133535
GSE282122_IBD_myeloid_antiTNF	DC	baseline_pre	remission_vs_nonremission	ifn_apc	29	0.13145413456702826	0.44572796275115484	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6933546087240186	0.15353886961371588	0.4256848924411299	0.8561619275806186
GSE282122_IBD_myeloid_antiTNF	DC	delta_post_minus_pre	remission_vs_nonremission	ifn_apc	29	-0.03783159071666585	0.8074564321244193	ok	y ~ remission + pre_score_ifn_apc + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.9043512039793513	-0.0195858074376295	0.899415727113397	1.9315818782115355
GSE282122_IBD_myeloid_antiTNF	DC	baseline_pre	remission_vs_nonremission	lysosomal_apc__resid_inflammatory_nfkb	29	0.26043358269054373	0.03685687037603121	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.5048053278164863	0.15353886961371588	0.4256848924411299	1.696206200721428
GSE282122_IBD_myeloid_antiTNF	DC	delta_post_minus_pre	remission_vs_nonremission	lysosomal_apc__resid_inflammatory_nfkb	29	-0.20348939517742465	0.08690992965476227	ok	y ~ remission + pre_score_lysosomal_apc__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.5048053278164863	-0.0195858074376295	0.899415727113397	10.389635240999453
GSE282122_IBD_myeloid_antiTNF	DC	baseline_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	29	0.19594385862878602	0.10817257024638983	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.5048053278164863	0.15353886961371588	0.4256848924411299	1.2761840641510236
GSE282122_IBD_myeloid_antiTNF	DC	delta_post_minus_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	29	-0.12840668322648618	0.289849962817598	ok	y ~ remission + pre_score_ifn_lysosomal_apc_composite__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.0195858074376295	0.899415727113397	6.556108735133538
GSE282122_IBD_myeloid_antiTNF	DC	baseline_pre	remission_vs_nonremission	ifn_apc__resid_inflammatory_nfkb	29	0.13145413456702829	0.44572796275115456	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6933546087240186	0.15353886961371588	0.4256848924411299	0.8561619275806188
GSE282122_IBD_myeloid_antiTNF	DC	delta_post_minus_pre	remission_vs_nonremission	ifn_apc__resid_inflammatory_nfkb	29	-0.037831590716665586	0.8074564321244209	ok	y ~ remission + pre_score_ifn_apc__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.9043512039793513	-0.0195858074376295	0.899415727113397	1.9315818782115222
GSE282122_IBD_myeloid_antiTNF	DC	baseline_pre	remission_vs_nonremission	inflammatory_nfkb	29	0.15353886961371588	0.4256848924411299	ok	y ~ remission + C(Disease) + baseline_inflammation_score	0.6933546087240186	0.15353886961371588	0.4256848924411299	1.0
GSE282122_IBD_myeloid_antiTNF	DC	delta_post_minus_pre	remission_vs_nonremission	inflammatory_nfkb	29	-0.0195858074376295	0.899415727113397	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.968601552275966	-0.0195858074376295	0.899415727113397	1.0
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline_pre	remission_vs_nonremission	lysosomal_apc	29	0.15712632008105148	0.28539273942920884	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.11196754765992899	0.6641026240899978	1.4033201884378141
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	lysosomal_apc	29	-0.13959280617081557	0.20546860165726977	ok	y ~ remission + pre_score_lysosomal_apc + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.3388644715630795	0.16683528579530413	0.41194287948487524
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite	29	0.0007994359529486517	0.9950665746337414	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.9950665746337414	-0.11196754765992899	0.6641026240899978	0.0071398898132226775
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite	29	-0.03999120844131799	0.7326080126730442	ok	y ~ remission + pre_score_ifn_lysosomal_apc_composite + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.8918706241237094	-0.3388644715630795	0.16683528579530413	0.11801534771954883
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline_pre	remission_vs_nonremission	ifn_apc	29	-0.15552744817515396	0.3215093160538692	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.11196754765992899	0.6641026240899978	1.3890404088113668
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	ifn_apc	29	0.06792801675962287	0.6830087633153492	ok	y ~ remission + pre_score_ifn_apc + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.8918706241237094	-0.3388644715630795	0.16683528579530413	0.2004577713511583
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline_pre	remission_vs_nonremission	lysosomal_apc__resid_inflammatory_nfkb	29	0.15712632008105146	0.28539273942920884	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.11196754765992899	0.6641026240899978	1.403320188437814
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	lysosomal_apc__resid_inflammatory_nfkb	29	-0.1395928061708141	0.20546860165727307	ok	y ~ remission + pre_score_lysosomal_apc__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.3388644715630795	0.16683528579530413	0.41194287948487085
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	29	0.0007994359529487627	0.9950665746337407	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.9950665746337414	-0.11196754765992899	0.6641026240899978	0.00713988981322367
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	29	-0.0399912084413176	0.732608012673047	ok	y ~ remission + pre_score_ifn_lysosomal_apc_composite__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.8918706241237094	-0.3388644715630795	0.16683528579530413	0.11801534771954768
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline_pre	remission_vs_nonremission	ifn_apc__resid_inflammatory_nfkb	29	-0.15552744817515396	0.3215093160538692	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.11196754765992899	0.6641026240899978	1.3890404088113668
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	ifn_apc__resid_inflammatory_nfkb	29	0.06792801675962307	0.683008763315348	ok	y ~ remission + pre_score_ifn_apc__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.8918706241237094	-0.3388644715630795	0.16683528579530413	0.2004577713511589
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline_pre	remission_vs_nonremission	inflammatory_nfkb	29	-0.11196754765992899	0.6641026240899978	ok	y ~ remission + C(Disease) + baseline_inflammation_score	0.8918706241237094	-0.11196754765992899	0.6641026240899978	1.0
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	inflammatory_nfkb	29	-0.3388644715630795	0.16683528579530413	ok	y ~ remission + pre_score_inflammatory_nfkb + C(Disease) + baseline_inflammation_score	0.6001507233005559	-0.3388644715630795	0.16683528579530413	1.0
