predictor	predictor_type	n_contexts	n_diseases	diseases	positive_context_fraction	nominal_positive_contexts	combined_fisher_z	combined_p	leave_one_disease_min_z	best_context	best_abs_rho	top_positive_contexts	combined_fdr	predictor_up_nominal_contexts	predictor_up_nominal_diseases	predictor_up_nominal_disease_list	max_case_control_delta_z	gene	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	in_lipid_lysosomal_myeloid_neighborhood	existing_prior_flag	retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	ms_microglia_gene_delta_log2	ms_microglia_gene_hedges_g	ms_microglia_gene_p	ms_microglia_gene_fdr	median_efficient_minus_noneater_lfc	contrast_fdr	screen_call	support_contexts	strong_support_contexts	best_context_geneformer	best_n_disease_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	wave57_call	ms_microglia_module_delta_log2	ms_microglia_module_p	ms_microglia_module_fdr	highlight	passes_circuit_coupling	passes_disease_up	passes_ms_anchor	passes_perturbation_hint	wave60_call
gene:SPP1	gene	16	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.75	4	2.5488729122654346	0.010807167533631703	1.2593525307106632	psoriasis_skin_apc	1.0	psoriasis_skin_apc:1,p=0;t1d_endothelial_cell:0.9,p=0.037;psoriasis_keratinocyte:0.866,p=0.33;t1d_stellate_cell:0.8,p=0.2;ibd_uc_stromal:0.771,p=0.072;t1d_acinar_cell:0.7,p=0.19	0.0481093264400379	2	1	type 1 diabetes mellitus	2.007766025387379	SPP1	2.0	0.0	type 1 diabetes mellitus;ulcerative colitis		0.0019111874426158	0.994792495277153	0.9992380443970746			True		0.0	0.0		0.0019111874426158	0.00274370793029	0.994792495277153	0.9992380443970746	-0.528272280070524	0.920009505703422	UNRESOLVED											False	True	False	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:AGRN	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5882352941176471	4	2.411827359385771	0.01587279544463203	0.7942157688457164	t1d_endothelial_cell	0.9999999999999999	t1d_endothelial_cell:1,p=1.4e-24;ibd_uc_stromal:0.886,p=0.019;t1d_stellate_cell:0.8,p=0.2;ibd_crohn_myeloid:0.771,p=0.072;ibd_crohn_stromal:0.657,p=0.16;sjogren_gland_epithelial:0.655,p=0.029	0.06349118177852812	4	3	Crohn disease;psoriasis;ulcerative colitis	1.6141437276733	AGRN	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.1994784498572919	0.5354048479004957	0.9369525137394764			False		2.0	0.0		-0.1994784498572919	-0.2733984445517583	0.5354048479004957	0.9369525137394764	-0.0396916290966388	0.9971256078463696	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:JAK3	gene	16	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.625	3	2.3590095173162013	0.018323785817652143	0.5782085389924078	psoriasis_keratinocyte	1.0	psoriasis_skin_apc:1,p=0;t1d_endothelial_cell:1,p=1.4e-24;ibd_crohn_stromal:0.943,p=0.0048;t1d_ductal_cell:0.8,p=0.1;t1d_stellate_cell:0.8,p=0.2;ibd_uc_stromal:0.543,p=0.27	0.07224806979531416	4	3	Crohn disease;psoriasis;ulcerative colitis	1.7906528952570766	JAK3	5.0	1.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	type 1 diabetes mellitus	-1.2743341179086656	0.0149902470163362	0.8372898579012464			False		3.0	0.0		-1.2743341179086656	-1.1157412146530312	0.0149902470163362	0.8372898579012464	-0.0664720072714192	0.9971256078463696	UNRESOLVED											False	False	True	True	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:POMP	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5882352941176471	3	2.3212091310676946	0.020275559615347168	0.19771471398111568	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;psoriasis_skin_apc:1,p=0;sjogren_gland_epithelial:0.718,p=0.013;ibd_crohn_epithelial:0.543,p=0.27;psoriasis_skin_stromal:0.5,p=0.67;t1d_endothelial_cell:0.5,p=0.39	0.07772297852549748	5	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.7021332502943511	POMP	5.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.0430089608388559	0.762824900529835	0.9720939505346544			False		2.0	0.0		-0.0430089608388559	-0.129192857817032	0.762824900529835	0.9720939505346544	-0.1068293891822373	0.9971256078463696	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:PPARG	gene	16	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6875	4	2.29752124355737	0.021589052625609152	1.3016647829903831	psoriasis_skin_apc	1.0	psoriasis_skin_apc:1,p=0;t1d_ductal_cell:0.975,p=0.0048;t1d_endothelial_cell:0.9,p=0.037;sjogren_gland_epithelial:0.6,p=0.051;ibd_uc_myeloid:0.58,p=0.23;sjogren_gland_stromal:0.527,p=0.12	0.07944771366224168	1	1	Crohn disease	1.0514946737508095	PPARG	1.0	2.0	ulcerative colitis	psoriasis;ulcerative colitis	1.33861418076643	0.0023372069061631	0.8344760564031432			True		0.0	0.0		1.33861418076643	1.4721350014716328	0.0023372069061631	0.8344760564031432	-0.9775030223770492	0.920009505703422	UNRESOLVED											False	True	False	True	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:CDV3	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.4117647058823529	1	-2.2733365032463513	0.023005909381119648	-3.8949336145347955	t1d_beta_cell	1.0	sjogren_gland_apc:0.75,p=0.02;ibd_crohn_epithelial:0.657,p=0.16;psoriasis_skin_apc:0.5,p=0.67;psoriasis_skin_stromal:0.5,p=0.67;sjogren_gland_epithelial:0.473,p=0.14;sjogren_gland_stromal:0.382,p=0.28	0.08246274011933795	3	2	Crohn disease;ulcerative colitis	1.3809475864655736	CDV3	2.0	0.0	Crohn disease;ulcerative colitis		0.225039193551547	0.0365906398331607	0.8506970233122761			False		1.0	0.0		0.225039193551547	0.9366039360543924	0.0365906398331607	0.8506970233122761	-0.0419357731540352	1.0	UNRESOLVED											False	False	True	True	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:TFE3	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	2	2.212907457764645	0.026904026437264708	1.358935528714394	t1d_stellate_cell	1.0	t1d_stellate_cell:1,p=0;sjogren_gland_epithelial:0.809,p=0.0026;t1d_endothelial_cell:0.8,p=0.1;ibd_uc_epithelial:0.657,p=0.16;ibd_uc_stromal:0.6,p=0.21;sjogren_gland_stromal:0.539,p=0.11	0.09399381388208936	1	1	Crohn disease	1.111547959148078	TFE3	0.0	1.0		Sjogren syndrome	0.0200878545803053	0.9102984423769684	0.9868578527887908			False		0.0	0.0		0.0200878545803053	0.0493324209683517	0.9102984423769684	0.9868578527887908	-0.0854466887569045	0.9971256078463696	UNRESOLVED											False	False	False	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:HSP90B1	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	4	2.198067568849699	0.02794429121068663	0.23095296255803205	psoriasis_skin_apc	1.0	psoriasis_skin_apc:1,p=0;psoriasis_skin_stromal:1,p=0;sjogren_gland_apc:0.8,p=0.0096;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_epithelial:0.718,p=0.013;t1d_ductal_cell:0.6,p=0.28	0.09640780467686887	4	3	Crohn disease;psoriasis;ulcerative colitis	1.6007998888025377	HSP90B1	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		-0.4248553428823154	0.0451922162426832	0.8720558158456704			False		2.0	0.0		-0.4248553428823154	-0.8921395278907878	0.0451922162426832	0.8720558158456704	-0.4780680284310693	0.920009505703422	UNRESOLVED											False	False	True	True	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:ANGPTL4	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5294117647058824	2	2.1625272191131035	0.030577561374633754	0.6958015866847884	psoriasis_skin_apc	1.0	psoriasis_skin_apc:1,p=0;t1d_beta_cell:1,p=0;t1d_endothelial_cell:0.8,p=0.1;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_epithelial:0.518,p=0.1;sjogren_gland_stromal:0.321,p=0.37	0.102919596821938	3	3	Crohn disease;psoriasis;ulcerative colitis	1.732203044692271	ANGPTL4	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.2766540208550863	0.777588841282817	0.9737243919138366			False		2.0	0.0		-0.2766540208550863	-0.1177430492511188	0.777588841282817	0.9737243919138366	-0.0686033639779919	1.0	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:CD300LF	gene	13	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6923076923076923	2	2.1390580288375998	0.03243096901330517	0.9559740055267832	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;t1d_ductal_cell:0.894,p=0.041;ibd_crohn_myeloid:0.714,p=0.11;ibd_uc_myeloid:0.543,p=0.27;sjogren_gland_stromal:0.522,p=0.12;psoriasis_skin_apc:0.5,p=0.67	0.10784274033340033	2	2	psoriasis;ulcerative colitis	1.749817990962268	CD300LF	1.0	0.0	psoriasis		-0.0991212524448474	0.7089814372180329	0.9669212366619434			False		1.0	0.0		-0.0991212524448474	-0.1661163850359562	0.7089814372180329	0.9669212366619434	-0.1802260625574201	0.9971256078463696	UNRESOLVED											True	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:S100A11	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.7647058823529411	2	2.132694764612612	0.032949773672640646	0.6565737445000461	t1d_beta_cell	1.0	t1d_beta_cell:1,p=0;t1d_endothelial_cell:0.8,p=0.1;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_epithelial:0.609,p=0.047;ibd_crohn_myeloid:0.543,p=0.27;psoriasis_keratinocyte:0.5,p=0.67	0.10826354206724784	9	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.7376161839045348	S100A11	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.1429402669372077	0.5904902998605951	0.9466965949245808			False		2.0	0.0		0.1429402669372077	0.2329751383732517	0.5904902998605951	0.9466965949245808	-0.0402836607472425	1.0	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:PDPN	gene	16	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5625	3	2.113393237840828	0.03456712426521538	-0.08582057744742075	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;psoriasis_skin_stromal:1,p=0;sjogren_gland_epithelial:0.6,p=0.051;ibd_crohn_stromal:0.543,p=0.27;psoriasis_skin_apc:0.5,p=0.67;ibd_crohn_myeloid:0.232,p=0.66	0.11224148584940524	5	3	Crohn disease;psoriasis;ulcerative colitis	1.734692707681234	PDPN	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.1646831166015037	0.49717795424805	0.927698641490189			False		2.0	1.0	ibd_uc_stromal:ulcerative colitis	0.1646831166015037	0.2972665130185128	0.49717795424805	0.927698641490189	0.0431779820209298	1.0	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:DYNLT1	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5882352941176471	3	2.101964841117137	0.03555635577734334	0.7239256379356053	t1d_beta_cell	1.0	t1d_beta_cell:1,p=0;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_apc:0.65,p=0.058;ibd_crohn_epithelial:0.6,p=0.21;ibd_uc_stromal:0.6,p=0.21;t1d_ductal_cell:0.6,p=0.28	0.11411109528542747	4	2	psoriasis;ulcerative colitis	1.7149722714562312	DYNLT1	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0988216463745192	0.7211931205756285	0.9677414401546712			False		2.0	0.0		0.0988216463745192	0.1490689407885298	0.7211931205756285	0.9677414401546712														False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:MAGIX	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.35294117647058826	1	-2.0912293452627693	0.03650750995207363	-2.9948588940694107	psoriasis_skin_apc	1.0	sjogren_gland_epithelial:0.727,p=0.011;t1d_beta_cell:0.5,p=0.67;t1d_acinar_cell:0.4,p=0.5;ibd_crohn_myeloid:0.371,p=0.47;ibd_uc_stromal:0.27,p=0.6;ibd_crohn_epithelial:0.257,p=0.62	0.1145008266678673	5	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.7061983206347557	MAGIX	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.5739478296305318	0.4787906548422233	0.926038761164836			False		0.0	0.0		-0.5739478296305318	-0.318418628739153	0.4787906548422233	0.926038761164836	-0.278460498341389	0.9971256078463696	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:TFEB	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.35294117647058826	2	-2.0917993689795873	0.03645646684520501	-3.5405148426788275	psoriasis_skin_apc	1.0	ibd_uc_myeloid:0.943,p=0.0048;sjogren_gland_epithelial:0.582,p=0.06;ibd_uc_stromal:0.486,p=0.33;sjogren_gland_apc:0.483,p=0.19;sjogren_gland_stromal:0.394,p=0.26;ibd_crohn_epithelial:0.143,p=0.79	0.1145008266678673	0	0		0.5815782180882696	TFEB	0.0	1.0		ulcerative colitis	0.2616412793437703	0.1677365293947767	0.8989378106274888			False		0.0	0.0		0.2616412793437703	0.5900602434302097	0.1677365293947767	0.8989378106274888	-0.3122197133128273	0.920009505703422	UNRESOLVED											False	False	False	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:FXYD5	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.7058823529411765	2	2.0817809895887858	0.03736247895709566	0.690459944565652	t1d_beta_cell	1.0	t1d_beta_cell:1,p=0;t1d_endothelial_cell:0.8,p=0.1;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_epithelial:0.627,p=0.039;ibd_crohn_stromal:0.543,p=0.27;psoriasis_keratinocyte:0.5,p=0.67	0.11457826880176002	5	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.6710300904917856	FXYD5	4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	0.3524746864413863	0.0587113391653537	0.8989378106274888			False		2.0	0.0		0.3524746864413863	0.8521804117551859	0.0587113391653537	0.8989378106274888	-0.2178873508531571	1.0	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:PTPN2	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	3	2.084708514756471	0.037095767288036686	1.0920600720069433	psoriasis_skin_apc	1.0	psoriasis_skin_apc:1,p=0;t1d_ductal_cell:0.9,p=0.037;sjogren_gland_epithelial:0.827,p=0.0017;t1d_stellate_cell:0.6,p=0.4;ibd_crohn_epithelial:0.6,p=0.21;t1d_endothelial_cell:0.6,p=0.28	0.11457826880176002	5	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.7883451472081422	PTPN2	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.0059418057306839	0.9843569990044077	0.998541739884114			False		3.0	0.0		-0.0059418057306839	-0.0082627624468498	0.9843569990044077	0.998541739884114	-0.0753878253768604	0.9971256078463696	UNRESOLVED	0.0	0.0	t1d_ductal	1.0	2.9829385647041784	0.0085931875154427	NO_GO_MODEL_SCREEN				True	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
osmr_receptor_core	module	18	6	Crohn disease;Sjogren syndrome;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0.7222222222222222	4	2.072280256981834	0.03823931252280309	1.041637091021298	psoriasis_keratinocyte	1.0	psoriasis_skin_stromal:1,p=0;t1d_beta_cell:1,p=0;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_epithelial:0.764,p=0.0062;sjogren_gland_apc:0.717,p=0.03;ibd_uc_stromal:0.6,p=0.21	0.11495084452204354	1	1	Crohn disease	1.171655322668435																																	True	False	False	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
