gene	mean_tweak	mean_vehicle	delta_log2	hedges_g	p_value	q_value_bh
PSME2	11.344380707816223	9.53589528399524	1.8084854238209829	15.036770469410975	4.8387523079873045e-05	0.019682150964076186
DDX26B	9.839810672551017	7.211308461680837	2.62850221087018	12.121354093015043	5.3220749078761356e-05	0.020605332099300683
UAP1	11.19462270673201	10.388249092942488	0.806373613789523	12.083156255267554	5.346296419204875e-05	0.020605332099300683
SECTM1	10.713019801468386	11.23739360150993	-0.5243738000415448	-16.568269162032944	5.3960839766219526e-05	0.020605332099300683
NFE2L1	13.980407088544746	12.771664416164299	1.2087426723804473	21.14156537850956	5.8092629095491356e-05	0.02060552200782663
SLC2A1-AS1	4.220740256804048	5.4891273675372325	-1.268387110733184	-11.804566209664111	6.060292276321538e-05	0.02060552200782663
CYP27A1	10.102268257730929	9.553589168781592	0.5486790889493367	13.941245059423009	6.0818955381382234e-05	0.02060552200782663
TRAF2	8.842114206555882	7.298302961065226	1.543811245490656	11.492712876933593	6.264729252614081e-05	0.02060552200782663
GJD3	8.339232294899192	7.641427734886942	0.6978045600122504	12.079581746397412	6.285762072471223e-05	0.02060552200782663
FZD1	10.246836701415289	11.607975660860982	-1.361138959445693	-13.979198671202532	6.302397386799254e-05	0.02060552200782663
SGMS1	8.86059319970562	9.433439011161797	-0.5728458114561761	-16.74211072646521	6.310276839285574e-05	0.02060552200782663
P2RY6	4.532510108254726	0.0	4.532510108254726	81.32773225077005	6.450143389386569e-05	0.02060552200782663
CD3EAP	7.1293973568019515	6.295593293384544	0.8338040634174071	13.417290089240765	6.520076605480833e-05	0.02060552200782663
ETS1	11.159610819689332	10.311153630082606	0.8484571896067266	19.771061393319563	6.585946163965835e-05	0.02060552200782663
SEPP1	10.714250469483174	11.784208964543367	-1.0699584950601935	-19.302678681185583	6.60751066468707e-05	0.02060552200782663
NFE2L3	10.698055722429984	8.392403240144668	2.305652482285316	29.841802109393253	6.717772576461706e-05	0.02060594142265164
SLC16A1	10.580163378575755	9.950827607186705	0.6293357713890497	10.990437392823246	7.34488658802308e-05	0.022116059589448005
MAP7D1	11.800072288803648	11.288538081955634	0.5115342068480135	10.965730644785852	7.446484710251853e-05	0.022116059589448005
NECAP2	11.538912980490082	10.9972927931614	0.5416201873286823	10.934204245140752	7.934508677290777e-05	0.02319727997824808
GDPD5	9.049228081828273	10.214960857691159	-1.1657327758628853	-10.825455727008189	8.813430946027848e-05	0.024153922436557465
FURIN	11.571182707229212	11.631744139515412	-0.06056143228619959	-11.410005934178207	8.869569239649728e-05	0.024153922436557465
RAB13	12.017443170612799	11.172304606648543	0.8451385639642552	12.419516799999304	8.998832945909688e-05	0.024153922436557465
LOC101928433	6.584433022701734	7.152638219272287	-0.5682051965705535	-10.484380452725281	9.002770966767862e-05	0.024153922436557465
ARMC9	10.004766425792544	10.785117667735072	-0.7803512419425278	-11.587120277740903	9.208783758227598e-05	0.024153922436557465
HNRNPAB	11.253003748778802	10.600322030711295	0.6526817180675071	11.023601006369887	9.252288003306944e-05	0.024153922436557465
TRIM16	8.877436894792337	7.031917049513086	1.8455198452792514	12.068625660643495	9.255555357078613e-05	0.024153922436557465
DDHD2	9.773725633436515	10.24978813585118	-0.4760625024146652	-16.398566914269328	9.361255785175258e-05	0.024153922436557465
RELB	10.243823281217784	7.238983676939907	3.004839604277877	19.24967796160031	9.423528073692987e-05	0.024153922436557465
TNFRSF11B	13.289328778698904	11.431881045666204	1.8574477330327	32.801459094451424	9.637659028209557e-05	0.0243523129877335
TMEM132A	12.393594959508013	10.247335853530805	2.146259105977208	10.979203525632528	9.761228550478394e-05	0.0243523129877335
KCNG1	7.482362640463944	6.58369101223759	0.8986716282263547	10.978859848326778	0.00010012702762620727	0.024651010709394267
NCEH1	10.150593697569015	7.861675698230585	2.2889179993384294	31.180475760325834	0.00010218849315851078	0.024688290787111537
C9ORF3	8.382599471012734	9.11347559123242	-0.730876120219687	-14.20772257862759	0.00010479986786809341	0.024688290787111537
RRAD	8.371860747070183	6.435241931247415	1.9366188158227686	12.128549399647454	0.00010480069414167253	0.024688290787111537
CAND2	8.147473649511044	8.852341045791093	-0.7048673962800489	-10.04961263266803	0.00010555626438827015	0.024688290787111537
COL4A1	15.676683423357597	14.642000541791683	1.0346828815659137	12.75326079809921	0.00010850125284269913	0.024895464398066027
LOC102723998	0.0	1.5788591092409694	-1.5788591092409694	-62.19212278455231	0.00011029253015768176	0.024895464398066027
CAB39L	8.769509124124012	9.718673868449	-0.9491647443249889	-10.050381831035898	0.00011043362434073435	0.024895464398066027
MTMR11	7.719607437269371	8.502438536097882	-0.7828310988285114	-9.871164131964008	0.00011398273926135796	0.025389655170467488
CLSPN	4.54108909753645	3.114467506008363	1.4266215915280873	11.535910039384028	0.0001212324672079213	0.026417429623887215
PPFIBP2	9.429708371721686	8.049432342214784	1.380276029506902	15.698501227375159	0.00012142049851180058	0.026417429623887215
NLGN3	3.755776171815336	4.846906861375821	-1.0911306895604849	-11.976079500284625	0.00012417014003741572	0.02643203074466026
ZMIZ2	11.76023470400434	10.400981574511283	1.359253129493057	22.724153075964963	0.00012431290179734395	0.02643203074466026
MFSD12	9.287359355798243	8.846935610190373	0.4404237456078697	10.069472466630401	0.00012774274318690188	0.02671928225016918
ARL1	11.548425380106076	10.832292365222388	0.7161330148836882	25.28787518910304	0.00012895892607298371	0.02671928225016918
LIF	10.758489862419758	8.636820697708993	2.121669164710765	11.380073566711198	0.00012994787476700313	0.02671928225016918
L1CAM	8.350169180497803	7.083566482614494	1.2666026978833083	12.412699527773263	0.00014876701006782505	0.030256299188902984
FGL2	8.323386189989082	9.591266040323069	-1.267879850333987	-12.84559304401684	0.00015330387402679544	0.030499419114886805
TNFSF4	7.42368529961755	4.468794348510149	2.9548909511074015	9.26059079044179	0.00015559022631301994	0.030499419114886805
FAM65A	11.531204622044804	10.694025412309827	0.8371792097349768	14.820057756808687	0.00015591075527481894	0.030499419114886805
WWC1	8.5421949655109	6.601617815564182	1.9405771499467184	9.91295740250701	0.00015720857313075568	0.030499419114886805
SYPL2	11.46496161549843	12.265141403776175	-0.8001797882777453	-9.88148726839993	0.0001614649666693536	0.030499419114886805
DRAM1	12.855913504497899	11.501078317073278	1.3548351874246212	10.136716935664705	0.00016320060430762806	0.030499419114886805
PVRL1	8.819744558182592	8.373011006205848	0.44673355197674347	10.730840294212909	0.0001662186720133516	0.030499419114886805
HLCS	9.419560569450702	9.690006053240749	-0.27044548379004674	-9.612213022141011	0.0001666857847514427	0.030499419114886805
IGBP1P1	0.0	0.9954683953783162	-0.9954683953783162	-50.5507963483004	0.00016692598921380858	0.030499419114886805
IL6	8.216823314284875	5.066348444092433	3.1504748701924425	9.226995895651289	0.00016908639696698412	0.030499419114886805
ROBO1	11.194455185666166	9.958777515119554	1.2356776705466128	10.435574627843653	0.00016982740073469196	0.030499419114886805
COL4A2	16.054814301504166	15.457233389259224	0.5975809122449416	11.365183761386104	0.00017249671574509772	0.030499419114886805
SOCS2-AS1	1.0047838128077915	0.0	1.0047838128077915	49.301197850053086	0.00017549285418202523	0.030499419114886805
FAM210B	10.355646986047795	10.85608756192581	-0.5004405758780148	-9.727193232107233	0.0001783513633989429	0.030499419114886805
ANKRD18A	0.0	1.5789170883164905	-1.5789170883164905	-48.78954076933241	0.00017919195551151728	0.030499419114886805
LOC100506047	0.0	0.9954767968729744	-0.9954767968729744	-48.693620394103704	0.00017989843189444887	0.030499419114886805
NFKBIE	9.247364517959396	6.719598631386205	2.5277658865731905	23.85901252673109	0.00018296325353856548	0.030499419114886805
NAMPT	11.213017263006632	10.200706576316563	1.0123106866900695	10.108751697651677	0.00018447280598350789	0.030499419114886805
CAV2	11.359160400173222	12.315874180279993	-0.9567137801067709	-9.05014131825385	0.00018615375421386556	0.030499419114886805
LOC102724537	0.0	0.9954826889007231	-0.9954826889007231	-47.530346618466105	0.00018880945565929292	0.030499419114886805
FBLN5	13.290358281301907	14.086033985818025	-0.7956757045161176	-8.613279992426602	0.00019173802158446542	0.030499419114886805
FXR2	10.490606227913634	9.814184578132782	0.6764216497808526	8.708780547682808	0.0001923458098559672	0.030499419114886805
SMAD6	8.526640212046967	9.65837914107239	-1.1317389290254223	-9.77358803616154	0.00019435935463101375	0.030499419114886805
CTSS	7.730197972198121	2.8593674302318797	4.8708305419662405	11.060551392435334	0.00019859055890853437	0.030499419114886805
KIAA0040	7.560813006490881	8.677627849751202	-1.1168148432603209	-8.551876417353927	0.00019874734052616457	0.030499419114886805
HSP90B1	14.204149078268244	13.824707672509973	0.37944140575827134	8.764286905199002	0.00020055785470253748	0.030499419114886805
PTRF	15.389218405538628	14.995671311740638	0.3935470937979897	9.886288256998881	0.00020264782631881795	0.030499419114886805
EAF1	9.332268265939213	9.051956082421034	0.28031218351817877	10.337977836988745	0.00020679720529435236	0.030499419114886805
CCER2	0.0	0.9954963278903656	-0.9954963278903656	-45.15003107642429	0.0002092359408230857	0.030499419114886805
POMGNT1	11.03455446955991	10.590446280901851	0.444108188658058	9.075781453741598	0.0002168441090465539	0.030499419114886805
CORT	0.0	0.9955023301603624	-0.9955023301603624	-44.21460981012575	0.00021818001724859275	0.030499419114886805
LOC101929796	0.0	0.995502624870008	-0.995502624870008	-44.17021985585983	0.0002186186245393252	0.030499419114886805
CASP6	7.664748837265994	8.131837015794181	-0.4670881785281873	-12.166426686434207	0.00022124271356049253	0.030499419114886805
NKD1	2.854776342092413	5.090098282197494	-2.2353219401050812	-8.353833436557744	0.00022158062286736085	0.030499419114886805
LOC100996492	1.5913686870748431	0.0	1.5913686870748431	43.73769463031264	0.0002229624217199269	0.030499419114886805
BAIAP2-AS1	8.760766728362482	9.104848486620233	-0.3440817582577509	-10.880739589257713	0.00022571295301787356	0.030499419114886805
GNL3	9.879701967149806	9.322581408985483	0.557120558164323	9.063511159855375	0.00022715780519488092	0.030499419114886805
C9ORF47	4.683435856901627	3.4050017644030657	1.2784340924985615	8.6599542969499	0.00022777720317859322	0.030499419114886805
TRAF4	9.147374903731878	8.346239969901506	0.8011349338303724	8.706177827737063	0.00022850066362023873	0.030499419114886805
LOC101928054	3.5454656391323964	4.614940799452831	-1.0694751603204344	-8.315325162186845	0.00023011210341890396	0.030499419114886805
