pathology	cell_type	n_genes_present	mean_pct_detected	mean_expr	module
chronic_inactive_MS_lesion_edge	vascular_cells	8	0.010223048327137546	0.010687732	complement_phagocytosis
control_white_matter	astrocytes	8	0.008765243902439025	0.009527438	complement_phagocytosis
control_white_matter	immune	8	0.291522491349481	0.5384948	complement_phagocytosis
control_white_matter	lymphocytes	8	0.0	0.0	complement_phagocytosis
control_white_matter	neurons	8	0.003676470588235294	0.0036764706	complement_phagocytosis
control_white_matter	oligodendrocytes	8	0.002286585365853659	0.002374531	complement_phagocytosis
control_white_matter	opc	8	0.000847457627118644	0.0008474576	complement_phagocytosis
control_white_matter	vascular_cells	8	0.0057692307692307696	0.005769231	complement_phagocytosis
MS_lesion_core	astrocytes	8	0.10603141671606402	0.19198282	lipid_repair
MS_lesion_core	immune	8	0.1879800307219662	0.46889403	lipid_repair
MS_lesion_core	lymphocytes	8	0.020833333333333332	0.020833334	lipid_repair
MS_lesion_core	neurons	8	0.04800658376005852	0.05340161	lipid_repair
MS_lesion_core	oligodendrocytes	8	0.1381578947368421	0.35526314	lipid_repair
MS_lesion_core	opc	8	0.11553030303030302	0.13731061	lipid_repair
MS_lesion_core	vascular_cells	8	0.12200435729847495	0.24291939	lipid_repair
MS_periplaque_white_matter	astrocytes	8	0.1748400852878465	0.6385928	lipid_repair
MS_periplaque_white_matter	immune	8	0.25841968911917096	1.2357513	lipid_repair
MS_periplaque_white_matter	lymphocytes	8	0.05246913580246913	0.058641974	lipid_repair
MS_periplaque_white_matter	neurons	8	0.04583333333333334	0.06041667	lipid_repair
MS_periplaque_white_matter	oligodendrocytes	8	0.11659454535102204	0.21806496	lipid_repair
MS_periplaque_white_matter	opc	8	0.0939922480620155	0.12868217	lipid_repair
MS_periplaque_white_matter	vascular_cells	8	0.12916666666666668	0.26875	lipid_repair
chronic_active_MS_lesion_edge	astrocytes	8	0.16927212061295105	0.48226643	lipid_repair
chronic_active_MS_lesion_edge	immune	8	0.3213974939088061	1.6902628	lipid_repair
chronic_active_MS_lesion_edge	lymphocytes	8	0.05878995433789954	0.10901826	lipid_repair
chronic_active_MS_lesion_edge	neurons	8	0.04326923076923077	0.05666209	lipid_repair
chronic_active_MS_lesion_edge	oligodendrocytes	8	0.11782074577342393	0.22483805	lipid_repair
chronic_active_MS_lesion_edge	opc	8	0.11816578483245149	0.15718696	lipid_repair
chronic_active_MS_lesion_edge	vascular_cells	8	0.14150943396226415	0.24433963	lipid_repair
chronic_inactive_MS_lesion_edge	astrocytes	8	0.1522903033908388	0.316627	lipid_repair
chronic_inactive_MS_lesion_edge	immune	8	0.21959858323494685	0.7728749	lipid_repair
chronic_inactive_MS_lesion_edge	lymphocytes	8	0.04734848484848485	0.0814394	lipid_repair
chronic_inactive_MS_lesion_edge	neurons	8	0.04507080610021787	0.054602396	lipid_repair
chronic_inactive_MS_lesion_edge	oligodendrocytes	8	0.12234208880550344	0.29890335	lipid_repair
chronic_inactive_MS_lesion_edge	opc	8	0.1238339552238806	0.17677239	lipid_repair
chronic_inactive_MS_lesion_edge	vascular_cells	8	0.13940520446096655	0.24349442	lipid_repair
control_white_matter	astrocytes	8	0.17492378048780488	0.36928353	lipid_repair
control_white_matter	immune	8	0.2772491349480969	1.2971454	lipid_repair
control_white_matter	lymphocytes	8	0.0390625	0.09375	lipid_repair
control_white_matter	neurons	8	0.029411764705882353	0.040441178	lipid_repair
control_white_matter	oligodendrocytes	8	0.12851782363977485	0.25747538	lipid_repair
control_white_matter	opc	8	0.08644067796610169	0.105932206	lipid_repair
control_white_matter	vascular_cells	8	0.09615384615384616	0.16538462	lipid_repair
MS_lesion_core	astrocytes	7	0.024896265560165973	0.027775425	ifn_hla_apc
MS_lesion_core	immune	7	0.2056177309633531	0.41891596	ifn_hla_apc
MS_lesion_core	lymphocytes	7	0.07142857142857142	0.125	ifn_hla_apc
MS_lesion_core	neurons	7	0.019542271919740832	0.020273801	ifn_hla_apc
MS_lesion_core	oligodendrocytes	7	0.03007518796992481	0.030075189	ifn_hla_apc
MS_lesion_core	opc	7	0.018398268398268396	0.022727272	ifn_hla_apc
MS_lesion_core	vascular_cells	7	0.05322128851540616	0.06037971	ifn_hla_apc
MS_periplaque_white_matter	astrocytes	7	0.016448370392933294	0.017666768	ifn_hla_apc
MS_periplaque_white_matter	immune	7	0.1543301258327165	0.3366025	ifn_hla_apc
MS_periplaque_white_matter	lymphocytes	7	0.04409171075837742	0.052910056	ifn_hla_apc
MS_periplaque_white_matter	neurons	7	0.0071428571428571435	0.007142857	ifn_hla_apc
MS_periplaque_white_matter	oligodendrocytes	7	0.014584231460619322	0.016105287	ifn_hla_apc
MS_periplaque_white_matter	opc	7	0.022591362126245847	0.026135104	ifn_hla_apc
MS_periplaque_white_matter	vascular_cells	7	0.049999999999999996	0.06309524	ifn_hla_apc
chronic_active_MS_lesion_edge	astrocytes	7	0.030647553138902623	0.034708	ifn_hla_apc
chronic_active_MS_lesion_edge	immune	7	0.19302869076624732	0.45388094	ifn_hla_apc
chronic_active_MS_lesion_edge	lymphocytes	7	0.04827136333985649	0.056751467	ifn_hla_apc
chronic_active_MS_lesion_edge	neurons	7	0.015698587127158554	0.016091052	ifn_hla_apc
chronic_active_MS_lesion_edge	oligodendrocytes	7	0.01879105252465973	0.019851929	ifn_hla_apc
chronic_active_MS_lesion_edge	opc	7	0.028974552784076592	0.03073822	ifn_hla_apc
chronic_active_MS_lesion_edge	vascular_cells	7	0.05462713387241689	0.06702606	ifn_hla_apc
chronic_inactive_MS_lesion_edge	astrocytes	7	0.01827143706977139	0.020141074	ifn_hla_apc
chronic_inactive_MS_lesion_edge	immune	7	0.18030021926125822	0.40242878	ifn_hla_apc
chronic_inactive_MS_lesion_edge	lymphocytes	7	0.03679653679653679	0.060606062	ifn_hla_apc
chronic_inactive_MS_lesion_edge	neurons	7	0.012605042016806721	0.014005601	ifn_hla_apc
chronic_inactive_MS_lesion_edge	oligodendrocytes	7	0.010593355541090732	0.011308089	ifn_hla_apc
chronic_inactive_MS_lesion_edge	opc	7	0.030383795309168442	0.03438166	ifn_hla_apc
chronic_inactive_MS_lesion_edge	vascular_cells	7	0.06372809346787042	0.078597985	ifn_hla_apc
control_white_matter	astrocytes	7	0.013066202090592336	0.015243902	ifn_hla_apc
control_white_matter	immune	7	0.20761245674740486	0.67770636	ifn_hla_apc
control_white_matter	lymphocytes	7	0.008928571428571428	0.008928572	ifn_hla_apc
control_white_matter	neurons	7	0.004201680672268907	0.004201681	ifn_hla_apc
control_white_matter	oligodendrocytes	7	0.010352452425623158	0.011290538	ifn_hla_apc
control_white_matter	opc	7	0.030508474576271188	0.03535109	ifn_hla_apc
control_white_matter	vascular_cells	7	0.019780219780219783	0.01978022	ifn_hla_apc
