pathology	cell_type	n	pct_detected	mean_expr	gene
MS_periplaque_white_matter	oligodendrocytes	17563	0.0011387576154415532	0.0013095712	C1QA
MS_periplaque_white_matter	opc	645	0.0	0.0	C1QA
MS_periplaque_white_matter	vascular_cells	120	0.0	0.0	C1QA
chronic_active_MS_lesion_edge	astrocytes	4046	0.01532377656945131	0.01705388	C1QA
chronic_active_MS_lesion_edge	immune	2873	0.2206752523494605	0.36999652	C1QA
chronic_active_MS_lesion_edge	lymphocytes	219	0.0136986301369863	0.01369863	C1QA
chronic_active_MS_lesion_edge	neurons	364	0.01098901098901099	0.010989011	C1QA
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.009796176331173962	0.00995418	C1QA
chronic_active_MS_lesion_edge	opc	567	0.01763668430335097	0.017636685	C1QA
chronic_active_MS_lesion_edge	vascular_cells	795	0.012578616352201259	0.013836478	C1QA
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.009518143961927425	0.010707912	C1QA
chronic_inactive_MS_lesion_edge	immune	847	0.21723730814639905	0.2892562	C1QA
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.0	0.0	C1QA
chronic_inactive_MS_lesion_edge	neurons	918	0.008714596949891068	0.008714597	C1QA
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.002769588135441794	0.002769588	C1QA
chronic_inactive_MS_lesion_edge	opc	536	0.007462686567164179	0.0074626864	C1QA
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.01486988847583643	0.01858736	C1QA
control_white_matter	astrocytes	328	0.003048780487804878	0.0030487804	C1QA
control_white_matter	immune	289	0.25259515570934254	0.4083045	C1QA
control_white_matter	lymphocytes	16	0.0	0.0	C1QA
control_white_matter	neurons	34	0.0	0.0	C1QA
control_white_matter	oligodendrocytes	4264	0.0009380863039399625	0.0009380863	C1QA
control_white_matter	opc	295	0.0	0.0	C1QA
control_white_matter	vascular_cells	65	0.015384615384615385	0.015384615	C1QA
MS_lesion_core	astrocytes	1687	0.005334914048606995	0.005334914	C1QC
MS_lesion_core	immune	651	0.21505376344086022	0.29032257	C1QC
MS_lesion_core	lymphocytes	24	0.0	0.0	C1QC
MS_lesion_core	neurons	1367	0.002926115581565472	0.0029261156	C1QC
MS_lesion_core	oligodendrocytes	19	0.0	0.0	C1QC
MS_lesion_core	opc	132	0.007575757575757576	0.007575758	C1QC
MS_lesion_core	vascular_cells	459	0.004357298474945534	0.0043572984	C1QC
MS_periplaque_white_matter	astrocytes	469	0.0021321961620469083	0.0021321962	C1QC
MS_periplaque_white_matter	immune	772	0.13989637305699482	0.22150259	C1QC
MS_periplaque_white_matter	lymphocytes	81	0.0	0.0	C1QC
MS_periplaque_white_matter	neurons	120	0.0	0.0	C1QC
MS_periplaque_white_matter	oligodendrocytes	17563	0.0009110060923532426	0.00091100606	C1QC
MS_periplaque_white_matter	opc	645	0.0	0.0	C1QC
MS_periplaque_white_matter	vascular_cells	120	0.0	0.0	C1QC
chronic_active_MS_lesion_edge	astrocytes	4046	0.012357884330202669	0.013593673	C1QC
chronic_active_MS_lesion_edge	immune	2873	0.2607030978071702	0.49530107	C1QC
chronic_active_MS_lesion_edge	lymphocytes	219	0.0091324200913242	0.00913242	C1QC
chronic_active_MS_lesion_edge	neurons	364	0.0027472527472527475	0.0027472528	C1QC
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.008848159266866804	0.00884816	C1QC
chronic_active_MS_lesion_edge	opc	567	0.010582010582010581	0.01058201	C1QC
chronic_active_MS_lesion_edge	vascular_cells	795	0.00880503144654088	0.008805032	C1QC
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.000594883997620464	0.000594884	C1QC
chronic_inactive_MS_lesion_edge	immune	847	0.2526564344746163	0.38961038	C1QC
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.0	0.0	C1QC
chronic_inactive_MS_lesion_edge	neurons	918	0.006535947712418301	0.006535948	C1QC
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.0025015634771732333	0.0025015634	C1QC
chronic_inactive_MS_lesion_edge	opc	536	0.005597014925373134	0.005597015	C1QC
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.0037174721189591076	0.003717472	C1QC
control_white_matter	astrocytes	328	0.006097560975609756	0.0060975607	C1QC
control_white_matter	immune	289	0.28719723183391005	0.56747407	C1QC
control_white_matter	lymphocytes	16	0.0	0.0	C1QC
control_white_matter	neurons	34	0.0	0.0	C1QC
control_white_matter	oligodendrocytes	4264	0.0016416510318949344	0.001641651	C1QC
control_white_matter	opc	295	0.0	0.0	C1QC
control_white_matter	vascular_cells	65	0.015384615384615385	0.015384615	C1QC
MS_lesion_core	astrocytes	1687	0.011855364552459988	0.011855365	C1QB
MS_lesion_core	immune	651	0.3778801843317972	0.562212	C1QB
MS_lesion_core	lymphocytes	24	0.0	0.0	C1QB
MS_lesion_core	neurons	1367	0.008046817849305048	0.008046818	C1QB
MS_lesion_core	oligodendrocytes	19	0.0	0.0	C1QB
MS_lesion_core	opc	132	0.022727272727272728	0.022727273	C1QB
MS_lesion_core	vascular_cells	459	0.013071895424836602	0.015250545	C1QB
MS_periplaque_white_matter	astrocytes	469	0.01279317697228145	0.012793177	C1QB
MS_periplaque_white_matter	immune	772	0.27331606217616583	0.496114	C1QB
MS_periplaque_white_matter	lymphocytes	81	0.0	0.0	C1QB
MS_periplaque_white_matter	neurons	120	0.016666666666666666	0.016666668	C1QB
MS_periplaque_white_matter	oligodendrocytes	17563	0.003245459204008427	0.0034162728	C1QB
MS_periplaque_white_matter	opc	645	0.0015503875968992248	0.0015503876	C1QB
MS_periplaque_white_matter	vascular_cells	120	0.0	0.0	C1QB
chronic_active_MS_lesion_edge	astrocytes	4046	0.030400395452298567	0.0338606	C1QB
chronic_active_MS_lesion_edge	immune	2873	0.3647754959972154	0.9418726	C1QB
chronic_active_MS_lesion_edge	lymphocytes	219	0.045662100456621	0.05479452	C1QB
chronic_active_MS_lesion_edge	neurons	364	0.013736263736263736	0.013736264	C1QB
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.01809132564386159	0.019829357	C1QB
chronic_active_MS_lesion_edge	opc	567	0.019400352733686066	0.019400353	C1QB
chronic_active_MS_lesion_edge	vascular_cells	795	0.013836477987421384	0.01509434	C1QB
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.007733491969066032	0.007733492	C1QB
chronic_inactive_MS_lesion_edge	immune	847	0.3152302243211334	0.5914994	C1QB
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.0	0.0	C1QB
chronic_inactive_MS_lesion_edge	neurons	918	0.008714596949891068	0.008714597	C1QB
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.005628517823639775	0.005628518	C1QB
chronic_inactive_MS_lesion_edge	opc	536	0.016791044776119403	0.016791046	C1QB
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.01486988847583643	0.014869888	C1QB
control_white_matter	astrocytes	328	0.0	0.0	C1QB
control_white_matter	immune	289	0.3737024221453287	1.0138408	C1QB
control_white_matter	lymphocytes	16	0.0	0.0	C1QB
control_white_matter	neurons	34	0.0	0.0	C1QB
control_white_matter	oligodendrocytes	4264	0.003517823639774859	0.0037523452	C1QB
control_white_matter	opc	295	0.0	0.0	C1QB
control_white_matter	vascular_cells	65	0.0	0.0	C1QB
MS_lesion_core	astrocytes	1687	0.06639004149377593	0.076467104	STAT1
MS_lesion_core	immune	651	0.11213517665130568	0.14285715	STAT1
MS_lesion_core	lymphocytes	24	0.08333333333333333	0.125	STAT1
MS_lesion_core	neurons	1367	0.05779078273591807	0.060716897	STAT1
MS_lesion_core	oligodendrocytes	19	0.0	0.0	STAT1
MS_lesion_core	opc	132	0.030303030303030304	0.030303031	STAT1
MS_lesion_core	vascular_cells	459	0.13071895424836602	0.1633987	STAT1
MS_periplaque_white_matter	astrocytes	469	0.042643923240938165	0.04904051	STAT1
MS_periplaque_white_matter	immune	772	0.06217616580310881	0.07253886	STAT1
MS_periplaque_white_matter	lymphocytes	81	0.07407407407407407	0.086419754	STAT1
MS_periplaque_white_matter	neurons	120	0.025	0.025	STAT1
MS_periplaque_white_matter	oligodendrocytes	17563	0.06399817798781529	0.072424985	STAT1
MS_periplaque_white_matter	opc	645	0.12093023255813953	0.14263566	STAT1
MS_periplaque_white_matter	vascular_cells	120	0.10833333333333334	0.15	STAT1
chronic_active_MS_lesion_edge	astrocytes	4046	0.04127533366287692	0.045724172	STAT1
chronic_active_MS_lesion_edge	immune	2873	0.08806126000696136	0.102332056	STAT1
chronic_active_MS_lesion_edge	lymphocytes	219	0.0593607305936073	0.06849315	STAT1
chronic_active_MS_lesion_edge	neurons	364	0.03571428571428571	0.03846154	STAT1
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.04645283615105072	0.050639912	STAT1
chronic_active_MS_lesion_edge	opc	567	0.09876543209876543	0.105820104	STAT1
chronic_active_MS_lesion_edge	vascular_cells	795	0.0779874213836478	0.09811321	STAT1
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.04045211183819155	0.04283165	STAT1
chronic_inactive_MS_lesion_edge	immune	847	0.06139315230224321	0.064935066	STAT1
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.09090909090909091	0.121212125	STAT1
chronic_inactive_MS_lesion_edge	neurons	918	0.0392156862745098	0.044662308	STAT1
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.03350308228357009	0.036451355	STAT1
chronic_inactive_MS_lesion_edge	opc	536	0.12686567164179105	0.1511194	STAT1
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.09293680297397769	0.111524165	STAT1
control_white_matter	astrocytes	328	0.0701219512195122	0.085365854	STAT1
control_white_matter	immune	289	0.08304498269896193	0.09342561	STAT1
control_white_matter	lymphocytes	16	0.0	0.0	STAT1
control_white_matter	neurons	34	0.029411764705882353	0.029411765	STAT1
control_white_matter	oligodendrocytes	4264	0.052063789868667915	0.05792683	STAT1
control_white_matter	opc	295	0.15593220338983052	0.18983051	STAT1
control_white_matter	vascular_cells	65	0.015384615384615385	0.015384615	STAT1
MS_lesion_core	astrocytes	1687	0.0005927682276229994	0.00059276825	CXCL10
MS_lesion_core	immune	651	0.004608294930875576	0.0061443932	CXCL10
MS_lesion_core	lymphocytes	24	0.0	0.0	CXCL10
MS_lesion_core	neurons	1367	0.0	0.0	CXCL10
MS_lesion_core	oligodendrocytes	19	0.0	0.0	CXCL10
MS_lesion_core	opc	132	0.0	0.0	CXCL10
MS_lesion_core	vascular_cells	459	0.002178649237472767	0.0021786492	CXCL10
MS_periplaque_white_matter	astrocytes	469	0.0	0.0	CXCL10
MS_periplaque_white_matter	immune	772	0.0	0.0	CXCL10
MS_periplaque_white_matter	lymphocytes	81	0.0	0.0	CXCL10
MS_periplaque_white_matter	neurons	120	0.0	0.0	CXCL10
MS_periplaque_white_matter	oligodendrocytes	17563	0.0	0.0	CXCL10
MS_periplaque_white_matter	opc	645	0.0	0.0	CXCL10
MS_periplaque_white_matter	vascular_cells	120	0.0	0.0	CXCL10
chronic_active_MS_lesion_edge	astrocytes	4046	0.0	0.0	CXCL10
chronic_active_MS_lesion_edge	immune	2873	0.0	0.0	CXCL10
chronic_active_MS_lesion_edge	lymphocytes	219	0.0	0.0	CXCL10
chronic_active_MS_lesion_edge	neurons	364	0.0	0.0	CXCL10
chronic_active_MS_lesion_edge	oligodendrocytes	12658	7.900142202559646e-05	7.9001424e-05	CXCL10
chronic_active_MS_lesion_edge	opc	567	0.0	0.0	CXCL10
chronic_active_MS_lesion_edge	vascular_cells	795	0.005031446540880503	0.010062893	CXCL10
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.0	0.0	CXCL10
chronic_inactive_MS_lesion_edge	immune	847	0.0	0.0	CXCL10
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.0	0.0	CXCL10
chronic_inactive_MS_lesion_edge	neurons	918	0.0	0.0	CXCL10
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.0	0.0	CXCL10
chronic_inactive_MS_lesion_edge	opc	536	0.0	0.0	CXCL10
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.0	0.0	CXCL10
control_white_matter	astrocytes	328	0.0	0.0	CXCL10
control_white_matter	immune	289	0.0	0.0	CXCL10
control_white_matter	lymphocytes	16	0.0	0.0	CXCL10
control_white_matter	neurons	34	0.0	0.0	CXCL10
control_white_matter	oligodendrocytes	4264	0.0	0.0	CXCL10
control_white_matter	opc	295	0.0	0.0	CXCL10
control_white_matter	vascular_cells	65	0.0	0.0	CXCL10
MS_lesion_core	astrocytes	1687	0.021932424422050976	0.02667457	SPP1
MS_lesion_core	immune	651	0.3210445468509985	1.5698925	SPP1
MS_lesion_core	lymphocytes	24	0.0	0.0	SPP1
MS_lesion_core	neurons	1367	0.053401609363569864	0.06291149	SPP1
MS_lesion_core	oligodendrocytes	19	0.631578947368421	2.3157895	SPP1
MS_lesion_core	opc	132	0.030303030303030304	0.030303031	SPP1
MS_lesion_core	vascular_cells	459	0.023965141612200435	0.05664488	SPP1
MS_periplaque_white_matter	astrocytes	469	0.15991471215351813	0.18123667	SPP1
MS_periplaque_white_matter	immune	772	0.7435233160621761	6.5168395	SPP1
MS_periplaque_white_matter	lymphocytes	81	0.14814814814814814	0.17283951	SPP1
MS_periplaque_white_matter	neurons	120	0.2	0.275	SPP1
MS_periplaque_white_matter	oligodendrocytes	17563	0.5729658942094176	1.2679497	SPP1
MS_periplaque_white_matter	opc	645	0.13798449612403102	0.16899225	SPP1
MS_periplaque_white_matter	vascular_cells	120	0.13333333333333333	0.15833333	SPP1
chronic_active_MS_lesion_edge	astrocytes	4046	0.21774592189817105	0.33687592	SPP1
chronic_active_MS_lesion_edge	immune	2873	0.7782805429864253	8.626871	SPP1
chronic_active_MS_lesion_edge	lymphocytes	219	0.1963470319634703	0.53881276	SPP1
chronic_active_MS_lesion_edge	neurons	364	0.1620879120879121	0.24175824	SPP1
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.5950387106967926	1.387502	SPP1
chronic_active_MS_lesion_edge	opc	567	0.19047619047619047	0.31393299	SPP1
chronic_active_MS_lesion_edge	vascular_cells	795	0.16855345911949685	0.24150944	SPP1
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.13325401546698393	0.2266508	SPP1
chronic_inactive_MS_lesion_edge	immune	847	0.5785123966942148	3.9102716	SPP1
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.16666666666666666	0.3939394	SPP1
chronic_inactive_MS_lesion_edge	neurons	918	0.12854030501089325	0.17211328	SPP1
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.683998927901367	2.0261772	SPP1
chronic_inactive_MS_lesion_edge	opc	536	0.10261194029850747	0.15485075	SPP1
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.137546468401487	0.20817845	SPP1
control_white_matter	astrocytes	328	0.11280487804878049	0.19512194	SPP1
control_white_matter	immune	289	0.7370242214532872	4.799308	SPP1
control_white_matter	lymphocytes	16	0.125	0.5	SPP1
control_white_matter	neurons	34	0.11764705882352941	0.20588236	SPP1
control_white_matter	oligodendrocytes	4264	0.6444652908067542	1.566135	SPP1
control_white_matter	opc	295	0.10847457627118644	0.118644066	SPP1
control_white_matter	vascular_cells	65	0.26153846153846155	0.50769234	SPP1
MS_lesion_core	astrocytes	1687	0.01956135151155898	0.021932425	IRF1
MS_lesion_core	immune	651	0.07680491551459294	0.093701996	IRF1
MS_lesion_core	lymphocytes	24	0.16666666666666666	0.20833333	IRF1
MS_lesion_core	neurons	1367	0.005120702267739576	0.005120702	IRF1
MS_lesion_core	oligodendrocytes	19	0.0	0.0	IRF1
MS_lesion_core	opc	132	0.015151515151515152	0.015151516	IRF1
MS_lesion_core	vascular_cells	459	0.10021786492374728	0.108932465	IRF1
MS_periplaque_white_matter	astrocytes	469	0.0255863539445629	0.025586354	IRF1
MS_periplaque_white_matter	immune	772	0.04922279792746114	0.051813472	IRF1
MS_periplaque_white_matter	lymphocytes	81	0.1728395061728395	0.22222222	IRF1
MS_periplaque_white_matter	neurons	120	0.008333333333333333	0.008333334	IRF1
MS_periplaque_white_matter	oligodendrocytes	17563	0.021522518931845355	0.023458406	IRF1
MS_periplaque_white_matter	opc	645	0.009302325581395349	0.009302326	IRF1
MS_periplaque_white_matter	vascular_cells	120	0.1	0.125	IRF1
chronic_active_MS_lesion_edge	astrocytes	4046	0.020266930301532378	0.024962926	IRF1
chronic_active_MS_lesion_edge	immune	2873	0.054994778976679426	0.06056387	IRF1
chronic_active_MS_lesion_edge	lymphocytes	219	0.1095890410958904	0.12328767	IRF1
chronic_active_MS_lesion_edge	neurons	364	0.008241758241758242	0.008241759	IRF1
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.026070469268446833	0.02725549	IRF1
chronic_active_MS_lesion_edge	opc	567	0.019400352733686066	0.019400353	IRF1
chronic_active_MS_lesion_edge	vascular_cells	795	0.07547169811320754	0.09559748	IRF1
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.01903628792385485	0.021415824	IRF1
chronic_inactive_MS_lesion_edge	immune	847	0.03541912632821724	0.036599763	IRF1
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.07575757575757576	0.10606061	IRF1
chronic_inactive_MS_lesion_edge	neurons	918	0.0010893246187363835	0.0010893246	IRF1
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.01760028589296882	0.018851068	IRF1
chronic_inactive_MS_lesion_edge	opc	536	0.011194029850746268	0.01119403	IRF1
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.07434944237918216	0.08921933	IRF1
control_white_matter	astrocytes	328	0.003048780487804878	0.0030487804	IRF1
control_white_matter	immune	289	0.01384083044982699	0.013840831	IRF1
control_white_matter	lymphocytes	16	0.0625	0.0625	IRF1
control_white_matter	neurons	34	0.0	0.0	IRF1
control_white_matter	oligodendrocytes	4264	0.006097560975609756	0.0060975607	IRF1
control_white_matter	opc	295	0.023728813559322035	0.023728814	IRF1
control_white_matter	vascular_cells	65	0.03076923076923077	0.03076923	IRF1
MS_lesion_core	astrocytes	1687	0.046235921754593956	0.052756373	CD74
MS_lesion_core	immune	651	0.6513056835637481	1.7480799	CD74
MS_lesion_core	lymphocytes	24	0.20833333333333334	0.5	CD74
MS_lesion_core	neurons	1367	0.03950256035113387	0.040965617	CD74
MS_lesion_core	oligodendrocytes	19	0.21052631578947367	0.21052632	CD74
MS_lesion_core	opc	132	0.03787878787878788	0.053030305	CD74
MS_lesion_core	vascular_cells	459	0.0457516339869281	0.052287582	CD74
MS_periplaque_white_matter	astrocytes	469	0.014925373134328358	0.014925373	CD74
MS_periplaque_white_matter	immune	772	0.46113989637305697	1.2681347	CD74
MS_periplaque_white_matter	lymphocytes	81	0.04938271604938271	0.049382716	CD74
MS_periplaque_white_matter	neurons	120	0.008333333333333333	0.008333334	CD74
MS_periplaque_white_matter	oligodendrocytes	17563	0.008711495758127883	0.008882309	CD74
MS_periplaque_white_matter	opc	645	0.007751937984496124	0.007751938	CD74
MS_periplaque_white_matter	vascular_cells	120	0.025	0.033333335	CD74
chronic_active_MS_lesion_edge	astrocytes	4046	0.057834898665348494	0.067226894	CD74
chronic_active_MS_lesion_edge	immune	2873	0.6032022276366168	1.8924469	CD74
chronic_active_MS_lesion_edge	lymphocytes	219	0.0821917808219178	0.11872146	CD74
chronic_active_MS_lesion_edge	neurons	364	0.02197802197802198	0.021978023	CD74
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.025359456470216465	0.026939485	CD74
chronic_active_MS_lesion_edge	opc	567	0.021164021164021163	0.02116402	CD74
chronic_active_MS_lesion_edge	vascular_cells	795	0.08679245283018867	0.109433964	CD74
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.02795954788816181	0.030933969	CD74
chronic_inactive_MS_lesion_edge	immune	847	0.5938606847697757	1.6280992	CD74
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.06060606060606061	0.16666667	CD74
chronic_inactive_MS_lesion_edge	neurons	918	0.0196078431372549	0.02396514	CD74
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.01036362011971768	0.010631645	CD74
chronic_inactive_MS_lesion_edge	opc	536	0.03171641791044776	0.031716418	CD74
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.12267657992565056	0.16356878	CD74
control_white_matter	astrocytes	328	0.0	0.0	CD74
control_white_matter	immune	289	0.615916955017301	2.249135	CD74
control_white_matter	lymphocytes	16	0.0	0.0	CD74
control_white_matter	neurons	34	0.0	0.0	CD74
control_white_matter	oligodendrocytes	4264	0.006801125703564728	0.007270169	CD74
control_white_matter	opc	295	0.0	0.0	CD74
control_white_matter	vascular_cells	65	0.046153846153846156	0.046153847	CD74
MS_lesion_core	astrocytes	1687	0.0023710729104919974	0.002371073	AIF1
MS_lesion_core	immune	651	0.09370199692780339	0.11367127	AIF1
MS_lesion_core	lymphocytes	24	0.0	0.0	AIF1
MS_lesion_core	neurons	1367	0.000731528895391368	0.0007315289	AIF1
MS_lesion_core	oligodendrocytes	19	0.0	0.0	AIF1
MS_lesion_core	opc	132	0.0	0.0	AIF1
MS_lesion_core	vascular_cells	459	0.0	0.0	AIF1
MS_periplaque_white_matter	astrocytes	469	0.0	0.0	AIF1
MS_periplaque_white_matter	immune	772	0.08160621761658031	0.11658031	AIF1
MS_periplaque_white_matter	lymphocytes	81	0.0	0.0	AIF1
MS_periplaque_white_matter	neurons	120	0.0	0.0	AIF1
MS_periplaque_white_matter	oligodendrocytes	17563	0.0006263166884928543	0.0006263167	AIF1
MS_periplaque_white_matter	opc	645	0.0031007751937984496	0.004651163	AIF1
MS_periplaque_white_matter	vascular_cells	120	0.008333333333333333	0.008333334	AIF1
chronic_active_MS_lesion_edge	astrocytes	4046	0.007414730598121601	0.008156204	AIF1
chronic_active_MS_lesion_edge	immune	2873	0.09049773755656108	0.11486252	AIF1
chronic_active_MS_lesion_edge	lymphocytes	219	0.0045662100456621	0.00456621	AIF1
chronic_active_MS_lesion_edge	neurons	364	0.0	0.0	AIF1
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.0028440511929214724	0.0029230525	AIF1
chronic_active_MS_lesion_edge	opc	567	0.005291005291005291	0.005291005	AIF1
chronic_active_MS_lesion_edge	vascular_cells	795	0.005031446540880503	0.0050314465	AIF1
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.000594883997620464	0.000594884	AIF1
chronic_inactive_MS_lesion_edge	immune	847	0.06729634002361275	0.08618654	AIF1
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.015151515151515152	0.015151516	AIF1
chronic_inactive_MS_lesion_edge	neurons	918	0.0010893246187363835	0.0021786492	AIF1
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.0006253908692933083	0.00062539085	AIF1
chronic_inactive_MS_lesion_edge	opc	536	0.005597014925373134	0.0074626864	AIF1
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.0	0.0	AIF1
control_white_matter	astrocytes	328	0.0	0.0	AIF1
control_white_matter	immune	289	0.08304498269896193	0.10034602	AIF1
control_white_matter	lymphocytes	16	0.0	0.0	AIF1
control_white_matter	neurons	34	0.0	0.0	AIF1
control_white_matter	oligodendrocytes	4264	0.0016416510318949344	0.001641651	AIF1
control_white_matter	opc	295	0.0	0.0	AIF1
control_white_matter	vascular_cells	65	0.0	0.0	AIF1
MS_lesion_core	astrocytes	1687	0.013040901007705987	0.014226438	HLA-DRA
MS_lesion_core	immune	651	0.3425499231950845	0.59907836	HLA-DRA
MS_lesion_core	lymphocytes	24	0.041666666666666664	0.041666668	HLA-DRA
MS_lesion_core	neurons	1367	0.013167520117044623	0.01316752	HLA-DRA
MS_lesion_core	oligodendrocytes	19	0.0	0.0	HLA-DRA
MS_lesion_core	opc	132	0.015151515151515152	0.030303031	HLA-DRA
MS_lesion_core	vascular_cells	459	0.017429193899782137	0.017429193	HLA-DRA
MS_periplaque_white_matter	astrocytes	469	0.01279317697228145	0.014925373	HLA-DRA
MS_periplaque_white_matter	immune	772	0.29015544041450775	0.5751295	HLA-DRA
MS_periplaque_white_matter	lymphocytes	81	0.0	0.0	HLA-DRA
