design	analysis_route	n_per_outcome_group_per_compartment	n_unique_subjects	n_samples	interaction_effect_sd	paired_residual_correlation	composition_imbalance	composition_reliability	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	median_interaction_estimate_across_seeds	median_interaction_se_across_seeds	maximum_design_condition
paired	composition_adjusted	20	40	80	0.0	0.0	0.5	0.7	0.05	750	750	1.0	0.058666666666666666	0.04399005168763517	0.07784121368793924	0.052	0.068	0.1926807410995235	0.4755608698820498	15.59680551338016
paired	composition_adjusted	20	40	80	0.0	0.0	0.5	1.0	0.05	750	750	1.0	0.04533333333333334	0.03262003557583651	0.06268045231863743	0.032	0.06	0.05285842416285369	0.4633167990048451	14.525937771897691
paired	composition_adjusted	20	40	80	0.0	0.5	0.0	0.7	0.05	750	750	1.0	0.056	0.04169433607579553	0.07483077380355879	0.048	0.064	0.031076803068353642	0.3420403588691796	13.43626574863982
paired	composition_adjusted	20	40	80	0.0	0.5	0.0	1.0	0.05	750	750	1.0	0.042666666666666665	0.030382884716889838	0.059611447681364005	0.02	0.064	-0.011223017281292394	0.3195922008378009	10.854899203544921
paired	composition_adjusted	20	40	80	0.0	0.5	0.5	0.7	0.05	750	750	1.0	0.07066666666666667	0.054430439423321944	0.0912785256852429	0.044	0.104	0.14722181693534545	0.3490989690311547	16.460595392357998
paired	composition_adjusted	20	40	80	0.0	0.5	0.5	1.0	0.05	750	750	1.0	0.03866666666666667	0.027055203217622517	0.05497989593630119	0.032	0.044	0.022824900835033773	0.32487159481350614	12.106424867750432
paired	composition_adjusted	20	40	80	0.0	0.8	0.0	0.7	0.05	750	750	1.0	0.06	0.045141500207031705	0.07934284291665275	0.048	0.08	-0.0010746691125191436	0.23943734081354406	12.161264068570928
paired	composition_adjusted	20	40	80	0.0	0.8	0.0	1.0	0.05	750	750	1.0	0.06	0.045141500207031705	0.07934284291665275	0.048	0.076	0.013360148814061834	0.2011708496207622	9.990420995622113
paired	composition_adjusted	20	40	80	0.0	0.8	0.5	0.7	0.05	750	750	1.0	0.08133333333333333	0.06383762924562317	0.10309595784782202	0.072	0.096	0.1447710481215228	0.24244625572593015	16.252684109645777
paired	composition_adjusted	20	40	80	0.0	0.8	0.5	1.0	0.05	750	750	1.0	0.056	0.04169433607579553	0.07483077380355879	0.036	0.088	0.02405071992443586	0.20688742102713714	15.385696483448836
paired	composition_adjusted	20	40	80	0.4	0.0	0.0	0.7	0.05	750	750	1.0	0.12133333333333333	0.09987494226381735	0.14665097727292928	0.092	0.152	0.36530481929055053	0.4686762502213464	14.12506447815263
paired	composition_adjusted	20	40	80	0.4	0.0	0.0	1.0	0.05	750	750	1.0	0.12	0.09865830025020086	0.14521454153843572	0.112	0.124	0.4011901885469169	0.44829259678558175	13.383722288346352
paired	composition_adjusted	20	40	80	0.4	0.0	0.5	0.7	0.05	750	750	1.0	0.18533333333333332	0.15915253704684845	0.2147211143991804	0.176	0.196	0.5350561584111769	0.4754887728401913	15.932627579707354
paired	composition_adjusted	20	40	80	0.4	0.0	0.5	1.0	0.05	750	750	1.0	0.132	0.1096393858970402	0.15811115562458683	0.112	0.148	0.38650588604822117	0.4585433174405983	14.90046058996785
paired	composition_adjusted	20	40	80	0.4	0.5	0.0	0.7	0.05	750	750	1.0	0.19466666666666665	0.16791527750751548	0.22452991817528375	0.176	0.208	0.4089765985568814	0.3392682493780985	12.524204944513754
paired	composition_adjusted	20	40	80	0.4	0.5	0.0	1.0	0.05	750	750	1.0	0.248	0.21842959630705144	0.2801387093001496	0.224	0.28	0.3966952045054398	0.3199288440984611	10.51367792337272
paired	composition_adjusted	20	40	80	0.4	0.5	0.5	0.7	0.05	750	750	1.0	0.36	0.3264411039041393	0.3949857325443057	0.336	0.376	0.5703462922056177	0.3474052860338362	17.597772225490136
paired	composition_adjusted	20	40	80	0.4	0.5	0.5	1.0	0.05	750	750	1.0	0.224	0.19561118201236138	0.2552017241288589	0.216	0.228	0.42544191686976074	0.3256538768679903	13.278395807517045
paired	composition_adjusted	20	40	80	0.4	0.8	0.0	0.7	0.05	750	750	1.0	0.35333333333333333	0.3199500568385395	0.3882113908693553	0.32	0.392	0.37936048233212005	0.23962495443766085	13.085780260000657
paired	composition_adjusted	20	40	80	0.4	0.8	0.0	1.0	0.05	750	750	1.0	0.48533333333333334	0.44973076127811795	0.5210853834926715	0.452	0.54	0.39835420586237325	0.20196453328453046	10.688850948633506
