module	omitted_accession	estimate_rapid_minus_slow	same_sign_as_full
hla_regulatory	GSM7884839	0.30977391136995125	True
hla_regulatory	GSM7884840	0.0745544462360225	True
hla_regulatory	GSM7884841	0.10893876659555508	True
hla_regulatory	GSM7884842	0.2736780442008857	True
ifn_apc_unique	GSM7884843	0.2560776107365895	True
ifn_apc_unique	GSM7884844	0.32799139943273814	True
ifn_apc_unique	GSM7884845	0.26388395984693225	True
ifn_apc_unique	GSM7884846	0.19692458771286625	True
ifn_apc_unique	GSM7884847	0.19543242832706012	True
ifn_apc_unique	GSM7884848	0.27269111506246424	True
ifn_apc_unique	GSM7884849	0.17545956602679372	True
ifn_apc_unique	GSM7884850	0.2019398512161576	True
ifn_apc_unique	GSM7884851	0.291806908408764	True
ifn_apc_unique	GSM7884852	0.2184147121661783	True
ifn_apc_unique	GSM7884833	0.34553694790930367	True
ifn_apc_unique	GSM7884834	0.351607896608422	True
ifn_apc_unique	GSM7884835	0.04391091564719016	True
ifn_apc_unique	GSM7884836	0.1735015160357554	True
ifn_apc_unique	GSM7884837	0.24335133968430023	True
ifn_apc_unique	GSM7884838	0.3224451121021605	True
ifn_apc_unique	GSM7884839	0.26536616838279986	True
ifn_apc_unique	GSM7884840	0.31521952640825107	True
ifn_apc_unique	GSM7884841	0.07463608126509623	True
ifn_apc_unique	GSM7884842	0.26504663489326513	True
mif_ligand	GSM7884843	0.2152327729475973	True
mif_ligand	GSM7884844	-0.06869689414924127	False
mif_ligand	GSM7884845	0.23317463038396502	True
mif_ligand	GSM7884846	0.24123015598296027	True
mif_ligand	GSM7884847	0.07964194390248715	True
mif_ligand	GSM7884848	0.019590269820344453	True
mif_ligand	GSM7884849	0.132352843402931	True
mif_ligand	GSM7884850	0.02609100987237152	True
mif_ligand	GSM7884851	0.32628355126245334	True
mif_ligand	GSM7884852	0.16974142804995687	True
mif_ligand	GSM7884833	0.07032136527429417	True
mif_ligand	GSM7884834	0.01852351301481804	True
mif_ligand	GSM7884835	0.253784061937914	True
mif_ligand	GSM7884836	0.36320537590350177	True
mif_ligand	GSM7884837	0.16446585325972804	True
mif_ligand	GSM7884838	0.13536144209809386	True
mif_ligand	GSM7884839	0.03563047872515117	True
mif_ligand	GSM7884840	0.1414913829412465	True
mif_ligand	GSM7884841	0.014713439331869096	True
mif_ligand	GSM7884842	0.17714479898920918	True
lysosomal_unique	GSM7884843	-0.5275976129500837	True
lysosomal_unique	GSM7884844	-0.5566996940607618	True
lysosomal_unique	GSM7884845	-0.48506966541401747	True
lysosomal_unique	GSM7884846	-0.5909474417473668	True
lysosomal_unique	GSM7884847	-0.601919397308881	True
lysosomal_unique	GSM7884848	-0.4717139377377488	True
lysosomal_unique	GSM7884849	-0.7014885680497991	True
lysosomal_unique	GSM7884850	-0.5890452597036548	True
lysosomal_unique	GSM7884851	-0.6432247551616159	True
lysosomal_unique	GSM7884852	-0.49881513570038377	True
lysosomal_unique	GSM7884833	-0.5535928996376132	True
lysosomal_unique	GSM7884834	-0.4626488273045251	True
lysosomal_unique	GSM7884835	-0.6225160606113715	True
lysosomal_unique	GSM7884836	-0.6017841190979474	True
lysosomal_unique	GSM7884837	-0.5789309621053884	True
lysosomal_unique	GSM7884838	-0.4770102547444929	True
lysosomal_unique	GSM7884839	-0.7148607473048127	True
lysosomal_unique	GSM7884840	-0.5884435815397848	True
lysosomal_unique	GSM7884841	-0.48504676485833736	True
lysosomal_unique	GSM7884842	-0.5816872506300401	True
oxphos	GSM7884843	-0.04483770645529034	True
oxphos	GSM7884844	-0.20496200193983768	True
oxphos	GSM7884845	0.032653295251997345	False
oxphos	GSM7884846	-0.11245700461015959	True
oxphos	GSM7884847	-0.14024746290155884	True
oxphos	GSM7884848	-0.1693349012769862	True
oxphos	GSM7884849	-0.1633456807141137	True
oxphos	GSM7884850	-0.1543383522680266	True
oxphos	GSM7884851	-0.02362055067465659	True
oxphos	GSM7884852	-0.04916041076359026	True
oxphos	GSM7884833	-0.16293219753093674	True
oxphos	GSM7884834	-0.15619102896471937	True
oxphos	GSM7884835	-0.1836858234590491	True
oxphos	GSM7884836	0.011920049561605667	False
oxphos	GSM7884837	-0.08022957627225098	True
oxphos	GSM7884838	-0.02374758353675121	True
oxphos	GSM7884839	-0.1706383135575948	True
oxphos	GSM7884840	-0.12732634691584221	True
oxphos	GSM7884841	-0.08338125119657613	True
oxphos	GSM7884842	-0.0534387044801077	True
lipid_repair	GSM7884843	-0.2151180821336059	True
lipid_repair	GSM7884844	-0.2486383999534499	True
lipid_repair	GSM7884845	-0.31271998536502854	True
lipid_repair	GSM7884846	-0.1514421307105708	True
lipid_repair	GSM7884847	-0.1971157709656636	True
lipid_repair	GSM7884848	-0.24863130699461833	True
lipid_repair	GSM7884849	-0.21272569294630514	True
lipid_repair	GSM7884850	-0.1940537697526561	True
lipid_repair	GSM7884851	-0.14335165935557082	True
lipid_repair	GSM7884852	-0.202207422002193	True
lipid_repair	GSM7884833	-0.3019251492316104	True
lipid_repair	GSM7884834	-0.009769398890557668	True
lipid_repair	GSM7884835	-0.1789218238117446	True
lipid_repair	GSM7884836	-0.2397272154956001	True
lipid_repair	GSM7884837	-0.2742327832554627	True
lipid_repair	GSM7884838	-0.29799070961949425	True
lipid_repair	GSM7884839	-0.2533155374258088	True
lipid_repair	GSM7884840	-0.18258299091756847	True
lipid_repair	GSM7884841	-0.15722342771357323	True
lipid_repair	GSM7884842	-0.230315183818242	True
resolution_efferocytosis_proxy	GSM7884843	0.03629187749542785	False
resolution_efferocytosis_proxy	GSM7884844	-0.05172739193993988	True
resolution_efferocytosis_proxy	GSM7884845	-0.03737388608533343	True
resolution_efferocytosis_proxy	GSM7884846	0.016487026571567944	False
resolution_efferocytosis_proxy	GSM7884847	-0.020988420521662603	True
resolution_efferocytosis_proxy	GSM7884848	0.033848721472305235	False
resolution_efferocytosis_proxy	GSM7884849	-0.057068653422089	True
resolution_efferocytosis_proxy	GSM7884850	-0.02050004513758957	True
resolution_efferocytosis_proxy	GSM7884851	0.05820131655027056	False
resolution_efferocytosis_proxy	GSM7884852	0.0252077599174961	False
resolution_efferocytosis_proxy	GSM7884833	-0.04388894872974225	True
resolution_efferocytosis_proxy	GSM7884834	0.07749014975146834	False
resolution_efferocytosis_proxy	GSM7884835	0.00860508536318638	False
resolution_efferocytosis_proxy	GSM7884836	-0.028796833244570125	True
resolution_efferocytosis_proxy	GSM7884837	0.007514664056448052	False
resolution_efferocytosis_proxy	GSM7884838	-0.014183534133268035	True
resolution_efferocytosis_proxy	GSM7884839	-0.03252870262970719	True
resolution_efferocytosis_proxy	GSM7884840	-0.04030699892881891	True
resolution_efferocytosis_proxy	GSM7884841	0.03985455115334595	False
resolution_efferocytosis_proxy	GSM7884842	0.008618872242110935	False
mocci_inflammatory_switch	GSM7884843	-0.12162716070827508	False
mocci_inflammatory_switch	GSM7884844	0.18581755014727028	True
mocci_inflammatory_switch	GSM7884845	-0.1084670969984802	False
mocci_inflammatory_switch	GSM7884846	0.09980609749593065	True
mocci_inflammatory_switch	GSM7884847	0.1576913141971812	True
mocci_inflammatory_switch	GSM7884848	0.09262343089931954	True
mocci_inflammatory_switch	GSM7884849	0.06149622114563798	True
mocci_inflammatory_switch	GSM7884850	0.031724864852461454	True
mocci_inflammatory_switch	GSM7884851	-0.0427206945929646	False
mocci_inflammatory_switch	GSM7884852	-0.04079682388488627	False
mocci_inflammatory_switch	GSM7884833	0.0123359987113747	True
mocci_inflammatory_switch	GSM7884834	0.34258842075898205	True
mocci_inflammatory_switch	GSM7884835	0.13751636393833522	True
mocci_inflammatory_switch	GSM7884836	-0.31871059370391	False
mocci_inflammatory_switch	GSM7884837	-0.16816765455540222	False
mocci_inflammatory_switch	GSM7884838	-0.04225384673639926	False
mocci_inflammatory_switch	GSM7884839	0.23685827241233395	True
mocci_inflammatory_switch	GSM7884840	0.09787699858169388	True
mocci_inflammatory_switch	GSM7884841	0.08183843873485827	True
mocci_inflammatory_switch	GSM7884842	-0.06433469558867194	False
