compartment	confounder	n	raw_treated_ifn_auc	raw_exact_p	confounder_auc	confounder_exact_p	spearman_treated_ifn_confounder	residualized_auc	residualized_exact_p	auc_attenuation
myeloid_apc_like	delta_monocyte_myeloid_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.5952380952380953	0.8125	0.2	0.1875
myeloid_apc_like	delta_general_inflammatory_tone	8	1.0	0.02857142857142857	0.75	0.34285714285714286	0.6190476190476191	0.875	0.11428571428571428	0.125
myeloid_apc_like	delta_glycolysis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.6428571428571429	0.875	0.11428571428571428	0.125
myeloid_apc_like	baseline_glucocorticoid_response	8	1.0	0.02857142857142857	0.5	1.0	-0.19047619047619052	1.0	0.02857142857142857	0.0
myeloid_apc_like	delta_glucocorticoid_response	8	1.0	0.02857142857142857	0.5625	0.8857142857142857	0.1666666666666667	1.0	0.02857142857142857	0.0
myeloid_apc_like	delta_b_cell_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.30952380952380953	1.0	0.02857142857142857	0.0
stromal_endothelial_like	delta_t_cell_composition	8	0.875	0.11428571428571428	0.875	0.11428571428571428	0.3333333333333334	0.5625	0.8857142857142857	0.3125
stromal_endothelial_like	delta_stat1_axis	8	0.875	0.11428571428571428	0.9375	0.05714285714285714	0.5952380952380953	0.625	0.6857142857142857	0.25
stromal_endothelial_like	delta_ifn_suppression_inverse_isg	8	0.875	0.11428571428571428	0.875	0.11428571428571428	0.5476190476190477	0.625	0.6857142857142857	0.25
stromal_endothelial_like	delta_monocyte_myeloid_composition	8	0.875	0.11428571428571428	0.8125	0.2	0.38095238095238104	0.625	0.6857142857142857	0.25
stromal_endothelial_like	delta_general_inflammatory_tone	8	0.875	0.11428571428571428	0.75	0.34285714285714286	0.2380952380952381	0.6875	0.4857142857142857	0.1875
stromal_endothelial_like	baseline_glucocorticoid_response	8	0.875	0.11428571428571428	0.5	1.0	0.2380952380952381	0.8125	0.2	0.0625
stromal_endothelial_like	delta_glucocorticoid_response	8	0.875	0.11428571428571428	0.5625	0.8857142857142857	-0.04761904761904763	0.8125	0.2	0.0625
stromal_endothelial_like	delta_glycolysis	8	0.875	0.11428571428571428	0.9375	0.05714285714285714	0.5714285714285715	0.875	0.11428571428571428	0.0
stromal_endothelial_like	delta_b_cell_composition	8	0.875	0.11428571428571428	0.8125	0.2	0.0	1.0	0.02857142857142857	-0.125
t_cell_like	delta_t_cell_composition	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.6904761904761906	0.75	0.34285714285714286	0.25
t_cell_like	delta_stat1_axis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.7619047619047621	0.8125	0.2	0.1875
t_cell_like	delta_glycolysis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.7380952380952381	0.875	0.11428571428571428	0.125
t_cell_like	delta_b_cell_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.4285714285714286	0.875	0.11428571428571428	0.125
t_cell_like	delta_monocyte_myeloid_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.6904761904761906	0.875	0.11428571428571428	0.125
t_cell_like	delta_ifn_suppression_inverse_isg	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.880952380952381	0.9375	0.05714285714285714	0.0625
t_cell_like	delta_general_inflammatory_tone	8	1.0	0.02857142857142857	0.75	0.34285714285714286	0.5952380952380953	0.9375	0.05714285714285714	0.0625
t_cell_like	baseline_glucocorticoid_response	8	1.0	0.02857142857142857	0.5	1.0	-0.28571428571428575	1.0	0.02857142857142857	0.0
t_cell_like	delta_glucocorticoid_response	8	1.0	0.02857142857142857	0.5625	0.8857142857142857	0.11904761904761905	1.0	0.02857142857142857	0.0
