gene	wave87	wave122
GBP1	{'gene': 'GBP1', 'modules': 'ifn_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 2, 'fdr10_nonresponse_contexts': 2, 'weighted_mean_hedges_g_responder_minus_non': -0.8449835988760043, 'median_auc_high_score_nonresponse': 0.7319568452380952, 'min_p': 0.0078325601248904, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0078325601248904, 'best_context_effect': -1.1316035822416626, 'meta_rank_score': 20.0769404441141, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.2936764473412381, 'hedges_g_responder_minus_non': 0.3464803376930525, 'auc_high_score_response': 0.6316964285714286, 'auc_high_score_nonresponse': 0.3683035714285714, 'p': 0.1689332337765869, 'nonresponse_high_direction': False, 'fdr_ra': 0.2858870110065317, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0070657585093238, 'gse282122_min_raw_fdr': 0.6994804288380453, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0070657585093238, 'gse282122_best_raw_fdr': 0.6994804288380453, 'gse282122_best_raw_delta_remission_minus_non': -2.248565428360756, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'GBP1', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 0.1, 'support_channels': 1, 'ms': False, 'broad_cell_state': True, 'response': False, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.491428502182563, 'ms_p': 0.0681848307220474, 'ms_fdr': 0.8989378106274888, 'broad_positive_disease_count': 3, 'broad_positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'response_contexts': 1, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_IFN_MARKER_NOT_DRUGGABLE_CONTROLLER NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES   '}
APOE	{'gene': 'APOE', 'modules': 'lipid_loader_repair', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 3, 'responder_high_contexts': 1, 'nominal_nonresponse_contexts_p_lt_0_05': 1, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.4744409394597065, 'median_auc_high_score_nonresponse': 0.625, 'min_p': 0.0249460995415314, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 0.0249460995415314, 'best_context_effect': -0.9415390511558316, 'meta_rank_score': 11.099440939459706, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': -0.2542091572285778, 'hedges_g_responder_minus_non': -0.2777389332211223, 'auc_high_score_response': 0.4151785714285714, 'auc_high_score_nonresponse': 0.5848214285714286, 'p': 0.3507862477454925, 'nonresponse_high_direction': True, 'fdr_ra': 0.5512355321714882, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.008142698407955, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.008142698407955, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -1.7269286658980525, 'ra_replication_call': 'RA_BASELINE_SAME_DIRECTION_WEAK', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'APOE', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.5, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.3729255468001433, 'ms_p': 0.120208663256457, 'ms_fdr': 0.8989378106274888, 'broad_positive_disease_count': 0, 'broad_positive_diseases': nan, 'response_contexts': 2, 'strong_l2g_disease_count': 1, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 1, 'blocker_flag': True, 'blocker_text': 'NO_GO_SECRETED_LIPID_CARRIER_MARKER_CNS_AND_SYSTEMIC_LIPID_RISK NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
CXCL8	{'gene': 'CXCL8', 'modules': 'inflammatory_nfkb', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 3, 'weighted_mean_hedges_g_responder_minus_non': -1.7015926386898363, 'median_auc_high_score_nonresponse': 0.8848958333333333, 'min_p': 6.652270422766353e-07, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 6.652270422766353e-07, 'best_context_effect': -1.7061126291873334, 'meta_rank_score': 24.58648847202317, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': -0.2105142663737514, 'hedges_g_responder_minus_non': -0.236623045050809, 'auc_high_score_response': 0.4620535714285714, 'auc_high_score_nonresponse': 0.5379464285714286, 'p': 0.4309539083923327, 'nonresponse_high_direction': True, 'fdr_ra': 0.602993554573609, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.3158117613123888, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.3158117613123888, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': 0.3129230985219315, 'ra_replication_call': 'RA_BASELINE_SAME_DIRECTION_WEAK', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CXCL8', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 1.6, 'support_channels': 2, 'ms': False, 'broad_cell_state': True, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': -0.0879956974423397, 'ms_p': 0.8090528791592078, 'ms_fdr': 0.9761732664217524, 'broad_positive_disease_count': 3, 'broad_positive_diseases': 'Crohn disease;type 1 diabetes mellitus;ulcerative colitis', 'response_contexts': 3, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_GENERIC_NEUTROPHIL_CHEMOKINE_LOW_MS_ANCHOR NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
OSM	{'gene': 'OSM', 'modules': 'inflammatory_nfkb', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 2, 'fdr10_nonresponse_contexts': 2, 'weighted_mean_hedges_g_responder_minus_non': -1.431254442057994, 'median_auc_high_score_nonresponse': 0.8145833333333333, 'min_p': 0.0002320784273026, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0002320784273026, 'best_context_effect': -1.5269367748919318, 'meta_rank_score': 20.74583777539133, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': -0.2246765578424046, 'hedges_g_responder_minus_non': -0.2881959585113285, 'auc_high_score_response': 0.4397321428571428, 'auc_high_score_nonresponse': 0.5602678571428572, 'p': 0.4385407669626248, 'nonresponse_high_direction': True, 'fdr_ra': 0.602993554573609, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.2658859948291816, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.2658859948291816, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.4811553417838143, 'ra_replication_call': 'RA_BASELINE_SAME_DIRECTION_WEAK', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'OSM', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.5, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.0762340874548801, 'ms_p': 0.8590024396793193, 'ms_fdr': 0.9797533479060436, 'broad_positive_disease_count': 0, 'broad_positive_diseases': nan, 'response_contexts': 3, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_OSM_OSMR_IBD_RA_PRIOR_ART_AND_MS_DIRECTION_AMBIGUITY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
ACSL1	{'gene': 'ACSL1', 'modules': 'lipid_loader_repair', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 2, 'weighted_mean_hedges_g_responder_minus_non': -1.3279261929404635, 'median_auc_high_score_nonresponse': 0.8218005952380952, 'min_p': 0.0004432276564367, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0004432276564367, 'best_context_effect': -1.445752335426933, 'meta_rank_score': 22.64972678817856, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.1776676627289553, 'hedges_g_responder_minus_non': 0.1800704426100254, 'auc_high_score_response': 0.5491071428571429, 'auc_high_score_nonresponse': 0.4508928571428571, 'p': 0.5266539806543222, 'nonresponse_high_direction': False, 'fdr_ra': 0.6815522102585347, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0053651490931097, 'gse282122_min_raw_fdr': 0.6703550679744023, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0053651490931097, 'gse282122_best_raw_fdr': 0.6703550679744023, 'gse282122_best_raw_delta_remission_minus_non': -2.2731922369474944, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{}
SPP1	{'gene': 'SPP1', 'modules': 'lipid_loader_repair', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 2, 'fdr10_nonresponse_contexts': 2, 'weighted_mean_hedges_g_responder_minus_non': -1.2339279904417342, 'median_auc_high_score_nonresponse': 0.7854166666666667, 'min_p': 8.237265150149616e-05, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 8.237265150149616e-05, 'best_context_effect': -1.5727510965374505, 'meta_rank_score': 20.5193446571084, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.1236752021785862, 'hedges_g_responder_minus_non': 0.1177359948903511, 'auc_high_score_response': 0.4955357142857143, 'auc_high_score_nonresponse': 0.5044642857142857, 'p': 0.6475863862748958, 'nonresponse_high_direction': False, 'fdr_ra': 0.7568722645130643, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0122041512935881, 'gse282122_min_raw_fdr': 0.735902312729011, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0122041512935881, 'gse282122_best_raw_fdr': 0.735902312729011, 'gse282122_best_raw_delta_remission_minus_non': -3.0008018636105493, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{}
MERTK	{'gene': 'MERTK', 'modules': 'complement_phagocytosis;lipid_loader_repair', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 3, 'responder_high_contexts': 1, 'nominal_nonresponse_contexts_p_lt_0_05': 1, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.3858509746932523, 'median_auc_high_score_nonresponse': 0.5264136904761905, 'min_p': 0.013393151239282, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.013393151239282, 'best_context_effect': -1.047153121091177, 'meta_rank_score': 10.912264665169442, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.1039424346420979, 'hedges_g_responder_minus_non': 0.1196562650771037, 'auc_high_score_response': 0.5334821428571429, 'auc_high_score_nonresponse': 0.4665178571428571, 'p': 0.6641791210078086, 'nonresponse_high_direction': False, 'fdr_ra': 0.7568722645130643, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.1712782116277761, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.1712782116277761, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.9949901418632816, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'MERTK', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.5, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.2471109034794576, 'ms_p': 0.4292940108131474, 'ms_fdr': 0.9195199515584406, 'broad_positive_disease_count': 0, 'broad_positive_diseases': nan, 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'PARK_TAM_EFFEROCYTOSIS_RECEPTOR_DIRECTION_AND_AGONISM_ROUTE_UNRESOLVED NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION'}
IRF1	{'gene': 'IRF1', 'modules': 'ifn_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 1, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.5843905657803538, 'median_auc_high_score_nonresponse': 0.6434151785714286, 'min_p': 0.0265094289124788, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0265094289124788, 'best_context_effect': -0.9581280899818364, 'meta_rank_score': 16.22780574435178, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.1202800481317294, 'hedges_g_responder_minus_non': 0.1364709409829138, 'auc_high_score_response': 0.5245535714285714, 'auc_high_score_nonresponse': 0.4754464285714286, 'p': 0.6880656950118766, 'nonresponse_high_direction': False, 'fdr_ra': 0.7568722645130643, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0113159191230791, 'gse282122_min_raw_fdr': 0.9210541149887996, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.0113159191230791, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.9853876773402408, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'IRF1', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 0.2000000000000001, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': False, 'genetics': True, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': -0.0303981739668568, 'ms_p': 0.9222930745319916, 'ms_fdr': 0.9899194730321256, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'Crohn disease', 'response_contexts': 1, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 2, 'wave55_genetic_disease_count': 3, 'blocker_flag': True, 'blocker_text': 'UNSPECIFIED_ROUTE_NOT_AUDITED NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION'}
IFI30	{'gene': 'IFI30', 'modules': 'ifn_apc;lysosomal_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 2, 'weighted_mean_hedges_g_responder_minus_non': -0.9749187121510496, 'median_auc_high_score_nonresponse': 0.79453125, 'min_p': 0.0121547902094126, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0121547902094126, 'best_context_effect': -0.9975958907543748, 'meta_rank_score': 22.269449962151047, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.0624892902469194, 'hedges_g_responder_minus_non': 0.0810174244935318, 'auc_high_score_response': 0.5513392857142857, 'auc_high_score_nonresponse': 0.4486607142857143, 'p': 0.8008549960531537, 'nonresponse_high_direction': False, 'fdr_ra': 0.838990948246161, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0613527478640238, 'gse282122_min_raw_fdr': 0.9575655202109942, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0613527478640238, 'gse282122_best_raw_fdr': 0.9575655202109942, 'gse282122_best_raw_delta_remission_minus_non': 0.4549467240822629, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'IFI30', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 3.5999999999999996, 'support_channels': 3, 'ms': False, 'broad_cell_state': True, 'response': True, 'genetics': True, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.21016237009791, 'ms_p': 0.379946954952182, 'ms_fdr': 0.9141270983319502, 'broad_positive_disease_count': 3, 'broad_positive_diseases': 'psoriasis;type 1 diabetes mellitus;ulcerative colitis', 'response_contexts': 2, 'strong_l2g_disease_count': 1, 'strong_qtl_coloc_disease_count': 3, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_DIRECT_ANTIGEN_PROCESSING_HOST_DEFENSE_AND_POOR_DRUGGABILITY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
CXCL10	{'gene': 'CXCL10', 'modules': 'ifn_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 2, 'fdr10_nonresponse_contexts': 2, 'weighted_mean_hedges_g_responder_minus_non': -0.8555808106223287, 'median_auc_high_score_nonresponse': 0.7279761904761906, 'min_p': 0.0044056013660049, 'best_context': 'GSE14580_UC_Leuven_baseline', 'best_context_p': 0.0044056013660049, 'best_context_effect': -1.074679211872763, 'meta_rank_score': 20.08355700109852, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': -0.0384269974276699, 'hedges_g_responder_minus_non': -0.0436731078894534, 'auc_high_score_response': 0.4419642857142857, 'auc_high_score_nonresponse': 0.5580357142857143, 'p': 0.882306480160059, 'nonresponse_high_direction': True, 'fdr_ra': 0.882306480160059, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0114605604426972, 'gse282122_min_raw_fdr': 0.7247763606925659, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0114605604426972, 'gse282122_best_raw_fdr': 0.7247763606925659, 'gse282122_best_raw_delta_remission_minus_non': -3.5317587492056064, 'ra_replication_call': 'RA_BASELINE_SAME_DIRECTION_WEAK', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CXCL10', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.3, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 1.0833175761966238, 'ms_p': 0.0961728499382612, 'ms_fdr': 0.8989378106274888, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'Sjogren syndrome', 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_GENERIC_IFN_CHEMOKINE_AXIS NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
CCL4	{'gene': 'CCL4', 'modules': 'inflammatory_nfkb', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 3, 'weighted_mean_hedges_g_responder_minus_non': -1.533330874218231, 'median_auc_high_score_nonresponse': 0.8694010416666667, 'min_p': 0.0003529140606125, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 0.0003529140606125, 'best_context_effect': -1.7150940703210993, 'meta_rank_score': 24.402731915884896, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': nan, 'n_patients': nan, 'n_responders': nan, 'n_nonresponders': nan, 'covariates': nan, 'effect_responder_minus_non': nan, 'hedges_g_responder_minus_non': nan, 'auc_high_score_response': nan, 'auc_high_score_nonresponse': nan, 'p': nan, 'nonresponse_high_direction': nan, 'fdr_ra': nan, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.2406379468876999, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.2406379468876999, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.7061977354571318, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CCL4', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.1, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': -0.0981219137349036, 'ms_p': 0.8114413599753555, 'ms_fdr': 0.9761732664217524, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'Sjogren syndrome;ulcerative colitis', 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_BROAD_CHEMOKINE_REDUNDANCY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
CCL3	{'gene': 'CCL3', 'modules': 'inflammatory_nfkb', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 3, 'weighted_mean_hedges_g_responder_minus_non': -1.3914078199742883, 'median_auc_high_score_nonresponse': 0.8479166666666667, 'min_p': 8.3902184022792e-05, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 8.3902184022792e-05, 'best_context_effect': -1.6296133079502724, 'meta_rank_score': 24.239324486640957, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': nan, 'n_patients': nan, 'n_responders': nan, 'n_nonresponders': nan, 'covariates': nan, 'effect_responder_minus_non': nan, 'hedges_g_responder_minus_non': nan, 'auc_high_score_response': nan, 'auc_high_score_nonresponse': nan, 'p': nan, 'nonresponse_high_direction': nan, 'fdr_ra': nan, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.3523581215039993, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.3523581215039993, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.5413810672900885, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CCL3', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.1, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': -0.2101297312042689, 'ms_p': 0.5505093145587491, 'ms_fdr': 0.9390010612097776, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'Crohn disease;ulcerative colitis', 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_BROAD_CHEMOKINE_REDUNDANCY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
