analysis	dataset_path	disease_name	compartment	donor_id	disease	group	role	n_cells	cell_types	module	mean_score
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	endothelial_entry	0.11172583669172367
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	stromal_retention_fibrosis	0.4900906223521839
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	epithelial_chemokine_entry	1.9161975776623088
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	tls_lymphoid_niche	0.44374937582808055
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	tl1a_comparator	0.5140480064258156
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_ifn_apc	-0.007531655919945884
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_hla_ii_apc	-0.45750218838415274
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_lysosomal_apc	0.05488918117212674
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_mif_cd74_receptor_state	-0.1548695583637064
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_mixscale_validated_ifng_readout	0.14788498900450528
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_lipid_loader_repair	0.1626875060537997
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_complement_phagocytosis	-0.40788479519227366
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_hif_nampt_metabolic	1.117969908782916
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	target	647	myeloid cell	target_inflammatory_nfkb	2.2165234764749924
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	endothelial_entry	0.002140133764356934
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	stromal_retention_fibrosis	0.0436426001212799
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	epithelial_chemokine_entry	0.09958197292478015
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	tls_lymphoid_niche	0.2926764899311722
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	tl1a_comparator	0.04835430624963682
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_ifn_apc	0.6551480009808427
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_hla_ii_apc	0.3782426489036206
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_lysosomal_apc	0.14858379029428997
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_mif_cd74_receptor_state	0.3593031490984408
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_mixscale_validated_ifng_readout	0.3705087728674712
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_lipid_loader_repair	0.028320133907760257
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_complement_phagocytosis	0.10087604639860694
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_hif_nampt_metabolic	0.06279935898892548
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	target	438	myeloid cell	target_inflammatory_nfkb	0.0019745678838465576
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	endothelial_entry	0.03857338737926963
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	stromal_retention_fibrosis	-0.027729350774415882
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	epithelial_chemokine_entry	-0.15505252160669608
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	tls_lymphoid_niche	0.019255500252000977
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	tl1a_comparator	-0.09889239172742946
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_ifn_apc	0.3235846269802657
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_hla_ii_apc	0.17271771055041996
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_lysosomal_apc	0.026896249135192844
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_mif_cd74_receptor_state	0.17461282636681819
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_mixscale_validated_ifng_readout	0.16868346012738394
