seed	cluster_size	within_cluster_correlation	beta_shape	n_sequences	naive_arrivals	guarded_arrivals	naive_ever_crossing	naive_final_e_q90	naive_maximum_e_q95	guarded_ever_crossing	guarded_final_e_q90	guarded_maximum_e_q95
57142	4	0.5	1.0	50000	12	3	0.05562	2.533498888527829	24.032652949148364	2e-05	0.425231525367418	0.9579747751968353
57142	4	0.5	0.5	50000	12	3	0.50542	76461.1188217418	10880961.28062234	0.0031	1.1204834789905092	2.7508074634364914
57142	4	0.5	0.25	50000	12	3	0.91528	1.8224709847662944e+17	9.614332778402445e+20	0.0979	13.899170557705057	66.3801432222391
57142	4	0.75	1.0	50000	12	3	0.08018	3.7173247880316214	59.79664659328362	8e-05	0.5837728158214807	1.3169508125824587
57142	4	0.75	0.5	50000	12	3	0.49846	355403.7536570459	124100902.7154292	0.0176	2.4306455912037714	6.961617328991098
57142	4	0.75	0.25	50000	12	3	0.87544	4.11565207429243e+18	1.368600014526073e+23	0.21928	116.54957705333119	943.9800273315007
57143	1	0.0	1.0	50000	12	12	0.0093	0.9906254256638671	5.26933134430669	0.0093	0.9906254256638671	5.26933134430669
57143	1	0.0	0.5	50000	12	12	0.54006	2576.0429522510135	41283.07358119694	0.54006	2576.0429522510135	41283.07358119694
57143	1	0.0	0.25	50000	12	12	0.98404	83095636240686.5	1.1367452720178796e+16	0.98404	83095636240686.5	1.1367452720178796e+16
57143	2	0.25	1.0	50000	12	6	0.01732	1.1926891814766343	6.999925347091983	2e-05	0.29936251403786773	1.1940998437090535
57143	2	0.25	0.5	50000	12	6	0.5337	4656.90304325827	110568.1617442939	0.01944	2.1167728096626623	7.9966589454172174
57143	2	0.25	0.25	50000	12	6	0.97454	325450724346574.3	8.676908852282008e+16	0.39748	835.0046568882484	10822.222206044633
57143	2	0.5	1.0	50000	12	6	0.02756	1.4279522509724245	9.776612609269927	0.00012	0.38819718414347676	1.4963602897862227
57143	2	0.5	0.5	50000	12	6	0.52998	7949.372646897532	289161.9490364401	0.04694	4.192516480938143	18.46484661142823
57143	2	0.5	0.25	50000	12	6	0.96358	1668566631204468.2	8.35257726383421e+17	0.51456	8250.706391132911	147816.71262026115
57143	2	0.75	1.0	50000	12	6	0.0385	1.6614143132180759	13.571743935905635	0.00086	0.5395075592904791	1.9611910395513648
57143	2	0.75	0.5	50000	12	6	0.53016	17246.645773186727	1082308.7308271758	0.105	11.381412552819349	66.28981910370794
57143	2	0.75	0.25	50000	12	6	0.94952	7086535099546077.0	9.665749816500754e+18	0.64304	145443.31642470747	4185651.738428445
57143	3	0.25	1.0	50000	12	4	0.02358	1.380857975780687	8.589479496128385	0.0	0.30841769017153564	0.9009855369897743
57143	3	0.25	0.5	50000	12	4	0.52534	8032.50330739708	272527.84922599734	0.00172	0.8548676024712832	2.3441564464194786
57143	3	0.25	0.25	50000	12	4	0.96528	1265994400787472.5	6.386132660741489e+17	0.09938	12.706439503236723	61.53360987168465
57143	3	0.5	1.0	50000	12	4	0.04366	1.9131894249308188	16.33885593218699	0.0	0.3921210646260262	1.10801073025602
57143	3	0.5	0.5	50000	12	4	0.5195	30927.368424063963	2226944.442729715	0.01046	1.5782433592757148	4.925476340912346
57143	3	0.5	0.25	50000	12	4	0.93864	1.2716308519788394e+16	2.9197389346160636e+19	0.20568	70.81159375060659	584.0823916256387
57143	3	0.75	1.0	50000	12	4	0.06176	2.540162829587438	29.960612238133383	0.0002	0.5454282152471224	1.4931035948937124
57143	3	0.75	0.5	50000	12	4	0.51478	78937.21812513011	12267945.915689142	0.03776	3.6374550522584106	13.6346519974913
57143	3	0.75	0.25	50000	12	4	0.91354	2.000904015993545e+17	1.2086731030516688e+21	0.35816	892.6431812258859	11430.335728813205
57143	4	0.25	1.0	50000	12	3	0.0302	1.5978068669033636	10.649720759319104	0.0	0.34386841177113914	0.7954270724773103
57143	4	0.25	0.5	50000	12	3	0.52316	16037.927761093462	724499.0783914332	0.00026	0.6814984774936995	1.5083889647686655
57143	4	0.25	0.25	50000	12	3	0.954	4533972219578576.0	4.742564629039474e+18	0.03102	3.612132299972044	11.500085065231437
57143	4	0.5	1.0	50000	12	3	0.056	2.534969249194558	24.176171938225803	0.0	0.4277991782785649	0.9611174590257154
57143	4	0.5	0.5	50000	12	3	0.51128	71781.2998039679	11364802.747541826	0.00296	1.1141983980135228	2.789232535525187
57143	4	0.5	0.25	50000	12	3	0.91622	1.7200007419308643e+17	7.511281511769075e+20	0.09862	14.039983659209332	64.6918654804629
57143	4	0.75	1.0	50000	12	3	0.08106	3.9204245574012915	59.638675665217775	0.0002	0.5859208385008777	1.3109091548968894
57143	4	0.75	0.5	50000	12	3	0.49678	313636.51510345266	131044542.54472585	0.0189	2.395844571894963	6.891132546125567
57143	4	0.75	0.25	50000	12	3	0.87988	3.300511093130919e+18	1.1940713067423864e+23	0.21868	110.63932939028126	876.7651308676567
