truth	scenario	severity	replicate	seed	n	auc	hedges_g	receptor_auc	primary_pass	existing_guard_flag	calibrated_q10_guard_flag	calibrated_q20_guard_flag	existing_guarded_acceptable_pass	calibrated_q10_acceptable_pass	calibrated_q20_acceptable_pass
planted	batch_only	0.25	7	48332	60	0.83	1.3588592957918915	0.5644444444444444	True	True	False	False	False	True	True
planted	batch_only	0.25	8	48333	60	0.7722222222222223	1.0797230711712238	0.4288888888888889	True	True	False	False	False	True	True
planted	batch_only	0.25	9	48334	60	0.82	1.3269763600616493	0.4866666666666667	True	True	False	True	False	True	False
planted	batch_only	0.25	10	48335	60	0.8377777777777777	1.3771784912701814	0.48	True	False	False	False	True	True	True
planted	batch_only	0.25	11	48336	60	0.7966666666666666	1.0437164318968977	0.46	True	True	False	False	False	True	True
planted	batch_only	0.25	12	48337	60	0.6277777777777778	0.4851489188222871	0.4766666666666667	False	True	False	True	False	False	False
planted	batch_only	0.25	13	48338	60	0.7477777777777778	0.8358634763617869	0.5588888888888889	True	False	False	False	True	True	True
planted	batch_only	0.25	14	48339	60	0.8166666666666667	1.208914069942302	0.5644444444444444	True	True	False	False	False	True	True
planted	batch_only	0.25	15	48340	60	0.8044444444444444	1.1604495139492437	0.49777777777777776	True	False	False	False	True	True	True
planted	batch_only	0.25	16	48341	60	0.8288888888888889	1.2928275861050362	0.5022222222222222	True	False	False	False	True	True	True
planted	batch_only	0.25	17	48342	60	0.7833333333333333	1.1298475594071102	0.5844444444444444	True	True	False	False	False	True	True
planted	batch_only	0.25	18	48343	60	0.6277777777777778	0.5494578771462074	0.55	False	False	False	False	False	False	False
planted	batch_only	0.25	19	48344	60	0.7177777777777777	0.7343163907677066	0.5788888888888889	True	True	False	True	False	True	False
planted	batch_only	0.25	20	48345	60	0.7488888888888889	0.9269849155229115	0.4722222222222222	True	False	False	False	True	True	True
planted	batch_only	0.25	21	48346	60	0.6966666666666667	0.6872862829898965	0.47444444444444445	False	False	False	False	False	False	False
planted	batch_only	0.25	22	48347	60	0.7877777777777778	1.1498851901012432	0.4622222222222222	True	True	False	True	False	True	False
planted	batch_only	0.25	23	48348	60	0.7088888888888889	0.8239457996512224	0.5333333333333333	True	True	False	False	False	True	True
planted	batch_only	0.25	24	48349	60	0.7622222222222222	0.874009018381498	0.5	True	True	False	False	False	True	True
planted	batch_only	0.25	25	48350	60	0.7188888888888889	0.8693420936190269	0.4811111111111111	True	True	False	False	False	True	True
planted	batch_only	0.25	26	48351	60	0.6611111111111111	0.5969627207347579	0.5211111111111111	False	True	False	False	False	False	False
planted	batch_only	0.25	27	48352	60	0.8077777777777778	1.2036760721749407	0.46	True	True	False	False	False	True	True
planted	batch_only	0.25	28	48353	60	0.8311111111111111	1.2976687274688619	0.5133333333333333	True	False	False	False	True	True	True
planted	batch_only	0.25	29	48354	60	0.83	1.2953265907409064	0.43666666666666665	True	True	False	False	False	True	True
planted	batch_only	0.5	0	48405	60	0.9	1.7633933187489994	0.4	True	True	False	True	False	True	False
planted	batch_only	0.5	1	48406	60	0.8666666666666667	1.5913848234457133	0.4666666666666667	True	True	True	True	False	False	False
planted	batch_only	0.5	2	48407	60	0.7844444444444445	1.2540725267965767	0.41555555555555557	True	True	False	True	False	True	False
planted	batch_only	0.5	3	48408	60	0.7588888888888888	1.048477116812987	0.5488888888888889	True	True	True	True	False	False	False
planted	batch_only	0.5	4	48409	60	0.7577777777777778	0.9760505950390562	0.4888888888888889	True	True	False	True	False	True	False
planted	batch_only	0.5	5	48410	60	0.8322222222222222	1.3681265040100254	0.5433333333333333	True	True	True	True	False	False	False
planted	batch_only	0.5	6	48411	60	0.7466666666666667	0.8927028399887098	0.6111111111111112	True	True	True	True	False	False	False
planted	batch_only	0.5	7	48412	60	0.7755555555555556	1.0964846267258341	0.6577777777777778	True	True	False	False	False	True	True
planted	batch_only	0.5	8	48413	60	0.84	1.3440168638116703	0.48333333333333334	True	True	False	True	False	True	False
planted	batch_only	0.5	9	48414	60	0.8555555555555555	1.4078976729416064	0.4177777777777778	True	True	False	True	False	True	False
planted	batch_only	0.5	10	48415	60	0.7433333333333333	0.9872396609358937	0.5566666666666666	True	True	False	True	False	True	False
planted	batch_only	0.5	11	48416	60	0.7866666666666666	1.0971067728396833	0.4688888888888889	True	True	False	True	False	True	False
planted	batch_only	0.5	12	48417	60	0.8566666666666667	1.463069379718974	0.5322222222222223	True	True	True	True	False	False	False
planted	batch_only	0.5	13	48418	60	0.7955555555555556	1.159600780882763	0.5133333333333333	True	True	False	True	False	True	False
planted	batch_only	0.5	14	48419	60	0.8766666666666667	1.542479638741408	0.5277777777777778	True	True	True	True	False	False	False
planted	batch_only	0.5	15	48420	60	0.82	1.2190058557559917	0.4477777777777778	True	True	True	True	False	False	False
planted	batch_only	0.5	16	48421	60	0.9222222222222223	1.9041412590310332	0.49666666666666665	True	True	True	True	False	False	False
planted	batch_only	0.5	17	48422	60	0.7822222222222223	1.0371024877935273	0.5055555555555555	True	True	True	True	False	False	False
planted	batch_only	0.5	18	48423	60	0.7988888888888889	1.1875288912593895	0.43222222222222223	True	True	False	False	False	True	True
planted	batch_only	0.5	19	48424	60	0.6922222222222222	0.7099593884327626	0.6277777777777778	False	True	False	True	False	False	False
planted	batch_only	0.5	20	48425	60	0.6444444444444445	0.607979833212821	0.4722222222222222	False	True	False	False	False	False	False
planted	batch_only	0.5	21	48426	60	0.7822222222222223	1.0792668803397418	0.5055555555555555	True	True	True	True	False	False	False
planted	batch_only	0.5	22	48427	60	0.8622222222222222	1.4165458683360335	0.6522222222222223	True	True	False	True	False	True	False
planted	batch_only	0.5	23	48428	60	0.7433333333333333	0.8762250604040673	0.48333333333333334	True	True	False	True	False	True	False
planted	batch_only	0.5	24	48429	60	0.7711111111111111	1.1036430196531195	0.5911111111111111	True	True	True	True	False	False	False
planted	batch_only	0.5	25	48430	60	0.8055555555555556	1.2662044718863543	0.6288888888888889	True	True	False	False	False	True	True
planted	batch_only	0.5	26	48431	60	0.8077777777777778	1.162787368629617	0.5488888888888889	True	True	True	True	False	False	False
planted	batch_only	0.5	27	48432	60	0.8244444444444444	1.3829456517099294	0.4255555555555556	True	True	False	False	False	True	True
planted	batch_only	0.5	28	48433	60	0.8377777777777777	1.3551789049754972	0.3933333333333333	True	True	True	True	False	False	False
planted	batch_only	0.5	29	48434	60	0.6855555555555556	0.7631786685168325	0.5344444444444445	False	True	True	True	False	False	False
planted	batch_only	0.75	0	48485	60	0.8822222222222222	1.6096196589022782	0.5388888888888889	True	True	True	True	False	False	False
planted	batch_only	0.75	1	48486	60	0.8144444444444444	1.2502884786954893	0.49444444444444446	True	True	False	True	False	True	False
planted	batch_only	0.75	2	48487	60	0.74	0.9365226508415857	0.5588888888888889	True	True	True	True	False	False	False
planted	batch_only	0.75	3	48488	60	0.8688888888888889	1.4689786353848875	0.46444444444444444	True	True	True	True	False	False	False
planted	batch_only	0.75	4	48489	60	0.6955555555555556	0.7413348972664194	0.49777777777777776	False	True	True	True	False	False	False
planted	batch_only	0.75	5	48490	60	0.8344444444444444	1.393383039513925	0.4855555555555556	True	True	True	True	False	False	False
planted	batch_only	0.75	6	48491	60	0.79	1.052016993891321	0.5466666666666666	True	True	False	True	False	True	False
planted	batch_only	0.75	7	48492	60	0.7966666666666666	1.0329388440799807	0.4077777777777778	True	True	True	True	False	False	False
planted	batch_only	0.75	8	48493	60	0.8288888888888889	1.2635144897286237	0.55	True	True	True	True	False	False	False
planted	batch_only	0.75	9	48494	60	0.7833333333333333	1.0634663280556573	0.49666666666666665	True	True	True	True	False	False	False
planted	batch_only	0.75	10	48495	60	0.7388888888888889	0.8535827079506251	0.5044444444444445	True	True	True	True	False	False	False
planted	batch_only	0.75	11	48496	60	0.7877777777777778	1.1037013309148263	0.5333333333333333	True	True	True	True	False	False	False
planted	batch_only	0.75	12	48497	60	0.8222222222222222	1.2845589382072409	0.5422222222222223	True	True	True	True	False	False	False
planted	batch_only	0.75	13	48498	60	0.8677777777777778	1.5111971117436565	0.3688888888888889	True	True	True	True	False	False	False
planted	batch_only	0.75	14	48499	60	0.77	0.928459452323269	0.4588888888888889	True	True	True	True	False	False	False
planted	batch_only	0.75	15	48500	60	0.7077777777777777	0.7612981091605057	0.45555555555555555	True	True	True	True	False	False	False
planted	batch_only	0.75	16	48501	60	0.7055555555555556	0.6820349936853953	0.5744444444444444	True	True	True	True	False	False	False
planted	batch_only	0.75	17	48502	60	0.8122222222222222	1.1693494172361503	0.4855555555555556	True	True	False	False	False	True	True
planted	batch_only	0.75	18	48503	60	0.8366666666666667	1.3516401673705423	0.5922222222222222	True	True	True	True	False	False	False
planted	batch_only	0.75	19	48504	60	0.8622222222222222	1.4708214292888842	0.5944444444444444	True	True	True	True	False	False	False
planted	batch_only	0.75	20	48505	60	0.7688888888888888	1.0551387341084912	0.44333333333333336	True	True	True	True	False	False	False
planted	batch_only	0.75	21	48506	60	0.86	1.537462595811906	0.4255555555555556	True	True	True	True	False	False	False
planted	batch_only	0.75	22	48507	60	0.8966666666666666	1.7658601632516775	0.4533333333333333	True	True	True	True	False	False	False
planted	batch_only	0.75	23	48508	60	0.8577777777777778	1.5424778673626836	0.6188888888888889	True	True	True	True	False	False	False
planted	batch_only	0.75	24	48509	60	0.7277777777777777	0.9118880138451225	0.2911111111111111	True	True	False	True	False	True	False
planted	batch_only	0.75	25	48510	60	0.8255555555555556	1.339301641110119	0.6455555555555555	True	True	True	True	False	False	False
planted	batch_only	0.75	26	48511	60	0.83	1.263645060294683	0.43555555555555553	True	True	False	True	False	True	False
planted	batch_only	0.75	27	48512	60	0.8377777777777777	1.3518583756988916	0.5944444444444444	True	True	True	True	False	False	False
planted	batch_only	0.75	28	48513	60	0.8277777777777777	1.3574115141877443	0.6177777777777778	True	True	True	True	False	False	False
planted	batch_only	0.75	29	48514	60	0.89	1.6239247214478099	0.49	True	True	True	True	False	False	False
planted	batch_only	1.0	0	48565	60	0.8555555555555555	1.5129891363803136	0.48444444444444446	True	True	True	True	False	False	False
planted	batch_only	1.0	1	48566	60	0.8255555555555556	1.391799181316918	0.4711111111111111	True	True	True	True	False	False	False
planted	batch_only	1.0	2	48567	60	0.8	1.157899104246881	0.6177777777777778	True	True	True	True	False	False	False
planted	batch_only	1.0	3	48568	60	0.8566666666666667	1.3447364071981818	0.36777777777777776	True	True	True	True	False	False	False
planted	batch_only	1.0	4	48569	60	0.8555555555555555	1.4627346406909596	0.59	True	True	True	True	False	False	False
planted	batch_only	1.0	5	48570	60	0.8422222222222222	1.424075551594057	0.5166666666666667	True	True	False	True	False	True	False
planted	batch_only	1.0	6	48571	60	0.8188888888888889	1.1597968301766366	0.44333333333333336	True	True	True	True	False	False	False
planted	batch_only	1.0	7	48572	60	0.8266666666666667	1.2459593480818487	0.4533333333333333	True	True	True	True	False	False	False
planted	batch_only	1.0	8	48573	60	0.6977777777777778	0.7037539839897455	0.4444444444444444	False	True	True	True	False	False	False
planted	batch_only	1.0	9	48574	60	0.8333333333333334	1.3047299386353173	0.5833333333333334	True	True	True	True	False	False	False
planted	batch_only	1.0	10	48575	60	0.8533333333333334	1.395327031938059	0.4622222222222222	True	True	True	True	False	False	False
planted	batch_only	1.0	11	48576	60	0.8855555555555555	1.6032993187632516	0.5666666666666667	True	True	True	True	False	False	False
planted	batch_only	1.0	12	48577	60	0.7966666666666666	1.140531209184432	0.46555555555555556	True	True	True	True	False	False	False
planted	batch_only	1.0	13	48578	60	0.7988888888888889	1.1483195744487196	0.49777777777777776	True	True	True	True	False	False	False
planted	batch_only	1.0	14	48579	60	0.8044444444444444	1.1969537895269677	0.6011111111111112	True	True	True	True	False	False	False
planted	batch_only	1.0	15	48580	60	0.7888888888888889	1.0378837539533248	0.5333333333333333	True	True	True	True	False	False	False
planted	batch_only	1.0	16	48581	60	0.7822222222222223	1.110901981589006	0.51	True	True	True	True	False	False	False
planted	batch_only	1.0	17	48582	60	0.7611111111111111	0.9688912500935885	0.4822222222222222	True	True	True	True	False	False	False
planted	batch_only	1.0	18	48583	60	0.8344444444444444	1.329581840071596	0.37777777777777777	True	True	True	True	False	False	False
planted	batch_only	1.0	19	48584	60	0.8788888888888889	1.5776702391287851	0.4711111111111111	True	True	True	True	False	False	False
planted	batch_only	1.0	20	48585	60	0.7633333333333333	0.9607649708108763	0.5233333333333333	True	True	False	True	False	True	False
planted	batch_only	1.0	21	48586	60	0.9166666666666666	1.8125642309223349	0.47555555555555556	True	True	True	True	False	False	False
planted	batch_only	1.0	22	48587	60	0.8611111111111112	1.4737555982989445	0.4211111111111111	True	True	True	True	False	False	False
planted	batch_only	1.0	23	48588	60	0.8222222222222222	1.306069490566907	0.6366666666666667	True	True	True	True	False	False	False
planted	batch_only	1.0	24	48589	60	0.9333333333333333	1.9198890950158096	0.58	True	True	True	True	False	False	False
planted	batch_only	1.0	25	48590	60	0.8488888888888889	1.3640091906503657	0.5811111111111111	True	True	True	True	False	False	False
planted	batch_only	1.0	26	48591	60	0.7888888888888889	1.0535401414255634	0.5388888888888889	True	True	True	True	False	False	False
planted	batch_only	1.0	27	48592	60	0.88	1.6134782958462695	0.5755555555555556	True	True	True	True	False	False	False
planted	batch_only	1.0	28	48593	60	0.8355555555555556	1.3435384249459328	0.6077777777777778	True	True	True	True	False	False	False
planted	batch_only	1.0	29	48594	60	0.8044444444444444	1.196697121236246	0.5211111111111111	True	True	True	True	False	False	False
planted	distributed_weak_technical	0.0	0	48645	60	0.8622222222222222	1.5169018046263731	0.41333333333333333	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	1	48646	60	0.93	1.9453642170599668	0.62	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	2	48647	60	0.7088888888888889	0.7590843737833967	0.48777777777777775	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	3	48648	60	0.7288888888888889	0.7688127702011166	0.38	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	4	48649	60	0.8522222222222222	1.3780396217158473	0.45555555555555555	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	5	48650	60	0.7422222222222222	0.9344408650812138	0.5055555555555555	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	6	48651	60	0.8	1.1856589770336357	0.6044444444444445	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	7	48652	60	0.7533333333333333	0.9656130027554797	0.2777777777777778	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	8	48653	60	0.7211111111111111	0.7395180073176498	0.5455555555555556	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	9	48654	60	0.7955555555555556	1.1906037683688802	0.4022222222222222	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	10	48655	60	0.8033333333333333	1.217009111794264	0.65	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	11	48656	60	0.8322222222222222	1.289928799579858	0.33666666666666667	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	12	48657	60	0.8777777777777778	1.6549440696058004	0.41333333333333333	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	13	48658	60	0.7	0.7290986411457945	0.4866666666666667	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	14	48659	60	0.7888888888888889	1.1421283547923546	0.4533333333333333	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	15	48660	60	0.8155555555555556	1.3526170441012104	0.5644444444444444	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	16	48661	60	0.7555555555555555	0.9161894709099266	0.5144444444444445	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	17	48662	60	0.7588888888888888	0.8662370269483404	0.4622222222222222	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	18	48663	60	0.8211111111111111	1.3216689736234195	0.5311111111111111	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	19	48664	60	0.7877777777777778	1.085827320961765	0.46111111111111114	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	20	48665	60	0.8433333333333334	1.466957878778852	0.5488888888888889	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	21	48666	60	0.7588888888888888	0.926236692288484	0.43777777777777777	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	22	48667	60	0.7744444444444445	1.02317772639154	0.4955555555555556	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	23	48668	60	0.81	1.2038704930112905	0.3988888888888889	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	24	48669	60	0.7177777777777777	0.8063015336148331	0.4166666666666667	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	25	48670	60	0.83	1.351968000552243	0.5755555555555556	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	26	48671	60	0.6633333333333333	0.6007570889172315	0.49333333333333335	False	True	False	False	False	False	False
planted	distributed_weak_technical	0.0	27	48672	60	0.8844444444444445	1.696733088406277	0.7133333333333334	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.0	28	48673	60	0.8355555555555556	1.2778678784452469	0.4866666666666667	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.0	29	48674	60	0.8866666666666667	1.6451924076896824	0.52	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	0	48725	60	0.8444444444444444	1.407927645530914	0.5477777777777778	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	1	48726	60	0.66	0.6086209158949099	0.5255555555555556	False	False	False	False	False	False	False
planted	distributed_weak_technical	0.25	2	48727	60	0.8344444444444444	1.336161019818157	0.34444444444444444	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	3	48728	60	0.7366666666666667	0.8318014968596291	0.5277777777777778	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	4	48729	60	0.8133333333333334	1.1305176544957902	0.5866666666666667	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	5	48730	60	0.8311111111111111	1.303341387839508	0.46555555555555556	True	True	False	True	False	True	False
planted	distributed_weak_technical	0.25	6	48731	60	0.7844444444444445	1.0068024229665995	0.37777777777777777	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	7	48732	60	0.7777777777777778	0.9249348855147419	0.4122222222222222	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	8	48733	60	0.8966666666666666	1.7887854453119996	0.5633333333333334	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	9	48734	60	0.7833333333333333	1.1345916865323569	0.48444444444444446	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	10	48735	60	0.7511111111111111	0.8900131898704984	0.4255555555555556	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	11	48736	60	0.7711111111111111	1.012961089900889	0.67	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	12	48737	60	0.7977777777777778	1.100772159030498	0.4022222222222222	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	13	48738	60	0.7322222222222222	0.8899676107139226	0.53	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	14	48739	60	0.7755555555555556	1.104437737319112	0.6144444444444445	True	True	True	True	False	False	False
planted	distributed_weak_technical	0.25	15	48740	60	0.7344444444444445	0.8164596810065649	0.5188888888888888	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	16	48741	60	0.7722222222222223	1.1190884358068702	0.4477777777777778	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	17	48742	60	0.7033333333333334	0.787160464909649	0.5455555555555556	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	18	48743	60	0.8333333333333334	1.3121405232411043	0.4666666666666667	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	19	48744	60	0.7177777777777777	0.7054152427556711	0.5833333333333334	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	20	48745	60	0.7633333333333333	1.0009756314355513	0.57	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	21	48746	60	0.8288888888888889	1.2960148663528321	0.5922222222222222	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	22	48747	60	0.7966666666666666	1.1576646862175815	0.37666666666666665	True	True	False	True	False	True	False
planted	distributed_weak_technical	0.25	23	48748	60	0.87	1.5735957330838135	0.47555555555555556	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	24	48749	60	0.7044444444444444	0.7591893087747676	0.6088888888888889	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	25	48750	60	0.7655555555555555	1.0810454924584825	0.51	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	26	48751	60	0.7855555555555556	0.9534661513147846	0.5288888888888889	True	True	False	True	False	True	False
planted	distributed_weak_technical	0.25	27	48752	60	0.8288888888888889	1.277255201163262	0.5422222222222223	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.25	28	48753	60	0.7877777777777778	1.1488154368800823	0.5777777777777777	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.25	29	48754	60	0.7488888888888889	0.8956297132044719	0.4688888888888889	True	True	False	True	False	True	False
planted	distributed_weak_technical	0.5	0	48805	60	0.76	0.9921628771984032	0.46111111111111114	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	1	48806	60	0.8055555555555556	1.2270952318914643	0.5088888888888888	True	True	True	True	False	False	False
planted	distributed_weak_technical	0.5	2	48807	60	0.7544444444444445	0.9967425559267938	0.47333333333333333	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.5	3	48808	60	0.7655555555555555	1.0236313665260712	0.5388888888888889	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	4	48809	60	0.75	0.9244163940813669	0.5244444444444445	True	False	False	False	True	True	True
planted	distributed_weak_technical	0.5	5	48810	60	0.83	1.3008698030830783	0.4388888888888889	True	True	True	True	False	False	False
planted	distributed_weak_technical	0.5	6	48811	60	0.74	0.9048049408086901	0.6022222222222222	True	True	False	True	False	True	False
planted	distributed_weak_technical	0.5	7	48812	60	0.8466666666666667	1.4490431627042468	0.5422222222222223	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	8	48813	60	0.8733333333333333	1.534824093004221	0.5	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	9	48814	60	0.7455555555555555	1.010967819609426	0.4166666666666667	True	True	True	True	False	False	False
planted	distributed_weak_technical	0.5	10	48815	60	0.8177777777777778	1.244973433590876	0.5622222222222222	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	11	48816	60	0.8622222222222222	1.5611986761621828	0.3466666666666667	True	True	False	True	False	True	False
planted	distributed_weak_technical	0.5	12	48817	60	0.7488888888888889	0.9759150505696393	0.6011111111111112	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	13	48818	60	0.8266666666666667	1.3558600071289912	0.5055555555555555	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	14	48819	60	0.8233333333333334	1.3559587396852686	0.5588888888888889	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	15	48820	60	0.7666666666666667	1.0114209019551976	0.36333333333333334	True	True	True	True	False	False	False
planted	distributed_weak_technical	0.5	16	48821	60	0.7622222222222222	0.9829975440422551	0.4477777777777778	True	True	False	False	False	True	True
planted	distributed_weak_technical	0.5	17	48822	60	0.81	1.2693438417078549	0.3933333333333333	True	True	False	False	False	True	True
