kind	target	axis	n_genes	genes_present	mean_percent_change	median_percent_change	positive_fraction
state_predicted	TGF-beta1	lipid_loader	0				
state_predicted	TL1A	lysosomal_antigen_processing	0				
state_predicted	TL1A	interferon_apc	0				
state_predicted	TL1A	metabolic_hif_nampt	0				
state_predicted	TL1A	inflammatory_cytokine	0				
state_predicted	TL1A	complement_phagocytosis	0				
state_predicted	TL1A	lipid_loader	0				
state_predicted	TRAIL	lysosomal_antigen_processing	0				
state_predicted	TRAIL	interferon_apc	0				
state_predicted	TRAIL	metabolic_hif_nampt	0				
state_predicted	TRAIL	inflammatory_cytokine	0				
state_predicted	TRAIL	complement_phagocytosis	0				
state_predicted	TRAIL	lipid_loader	0				
state_predicted	TWEAK	lysosomal_antigen_processing	0				
state_predicted	TWEAK	interferon_apc	0				
state_predicted	TWEAK	metabolic_hif_nampt	0				
state_predicted	TWEAK	inflammatory_cytokine	0				
state_predicted	TWEAK	complement_phagocytosis	0				
state_predicted	TWEAK	lipid_loader	0				
state_predicted	VEGF	lysosomal_antigen_processing	0				
state_predicted	VEGF	interferon_apc	0				
state_predicted	VEGF	metabolic_hif_nampt	0				
state_predicted	VEGF	inflammatory_cytokine	0				
state_predicted	VEGF	complement_phagocytosis	0				
state_predicted	VEGF	lipid_loader	0				
real_observed	4-1BBL	lysosomal_antigen_processing	0				
real_observed	4-1BBL	interferon_apc	0				
real_observed	4-1BBL	metabolic_hif_nampt	0				
real_observed	4-1BBL	inflammatory_cytokine	0				
real_observed	4-1BBL	complement_phagocytosis	0				
real_observed	4-1BBL	lipid_loader	0				
real_observed	ADSF	lysosomal_antigen_processing	0				
real_observed	ADSF	interferon_apc	0				
real_observed	ADSF	metabolic_hif_nampt	0				
real_observed	ADSF	inflammatory_cytokine	0				
real_observed	ADSF	complement_phagocytosis	0				
real_observed	ADSF	lipid_loader	0				
real_observed	BAFF	lysosomal_antigen_processing	0				
real_observed	BAFF	interferon_apc	0				
real_observed	BAFF	metabolic_hif_nampt	0				
real_observed	BAFF	inflammatory_cytokine	0				
real_observed	BAFF	complement_phagocytosis	0				
real_observed	BAFF	lipid_loader	0				
real_observed	C5a	lysosomal_antigen_processing	0				
real_observed	C5a	interferon_apc	0				
real_observed	C5a	metabolic_hif_nampt	0				
real_observed	C5a	inflammatory_cytokine	0				
real_observed	C5a	complement_phagocytosis	0				
