gene	n_paired_donors	mean_delta	median_delta	sd_delta	dz	positive_fraction	wilcoxon_p	wilcoxon_fdr_bh	n_samples	n_donors	n_foamy	n_non_foamy	mean_foamy	mean_non_foamy	raw_mean_delta	gee_coef_foamy	gee_se	gee_p	model_status	modality	fdr_bh	adequate_reporting_coverage	passes_convergence_gate
UGGT1	10	-0.0509905534304036	-0.0441089293437693	0.0971547215838788	-0.524838655282243	0.2	0.126278928554698	0.629396089976903	32	20	17	15	22.5239940610385	22.3260955928799	0.197898468158577	0.190313763173721	0.0351566605950887	6.18716083832501e-08	ok	proteomics	5.31928611532753e-06	TRUE	FALSE
OTUD7B	10	0.00842074806927381	0.00368308175546855	0.0198775146236013	0.423631838724724	0.7	0.262192602406773	0.806593233815048	32	20	17	15	21.3269922461335	21.1061250074732	0.220867238660237	0.252265815346687	0.0465760109290267	6.08729741280136e-08	ok	proteomics	5.31928611532753e-06	TRUE	FALSE
VAT1	10	0.0180421544570267	0.0181983392892803	0.045983350680909	0.392362761518318	0.6	0.262192602406773	0.806593233815048	32	20	17	15	26.6332730680522	26.1711894661497	0.462083601902478	0.457329061182932	0.0851404554115574	7.80990965248328e-08	ok	proteomics	6.37008271911521e-06	TRUE	FALSE
FKBP15	10	-0.0198629065972014	-0.0300453301045126	0.0582089402192957	-0.341234637194392	0.3	0.22127181567247	0.742589494275625	32	20	17	15	19.6527813847944	19.1868284358293	0.465952948965082	0.484893914583698	0.0904722521444825	8.34123764361441e-08	ok	proteomics	6.63336923608436e-06	TRUE	FALSE
IQGAP2	10	0.452290900206459	0.358150733606097	0.294702320223195	1.53473817194216	1	0.00592153702414877	0.272182974860348	17	11	12	5	21.6315238282275	20.7394138682616	0.892109959965957	0.871825255419007	0.163317123653738	9.38555382244182e-08	ok	proteomics	7.28181627053352e-06	FALSE	FALSE
EML1	10	-0.151643830125402	-0.15229854291403	0.0572724265782545	-2.64776331623041	0	0.00592153702414871	0.272182974860348	5	5	2	3	21.5259583058736	21.1323058962589	0.393652409614685	0.499446299176251	0.0939198510123671	1.05033629426073e-07	ok	proteomics	7.95504702867469e-06	FALSE	FALSE
SNX3	10	0.0644274193184085	-0.00610782324388809	0.164709619303252	0.391157599604364	0.4	0.610298655976554	0.991220451757667	32	20	17	15	23.0465211509005	22.8423466656394	0.20417448526111	0.206621687034683	0.0398627281219158	2.17958528022153e-07	ok	proteomics	1.6123862270662e-05	TRUE	FALSE
MAP2K2	10	-0.0125935865612563	-0.00918949175836912	0.0507935755272549	-0.247936602818969	0.4	0.610298655976554	0.991220451757667	32	20	17	15	23.4821325621931	23.3283096347503	0.153822927442739	0.174223932878497	0.0336461399275157	2.24126526527819e-07	ok	proteomics	1.62033291110225e-05	TRUE	FALSE
SAR1A	10	0.000538966697154532	-0.0163901765640315	0.0460709878144086	0.0116986138722637	0.4	0.918812683274642	1	32	20	17	15	21.6143304864195	21.3752881570153	0.239042329404203	0.23245632765664	0.0450499004067948	2.46983763884356e-07	ok	proteomics	1.74590078425808e-05	TRUE	FALSE
PPP1R1B	10	0.00862825439479285	-0.00279096684974797	0.0210932329910717	0.409053197224199	0.4	0.610298655976554	0.991220451757667	32	20	17	15	23.5023707644573	24.1607719908022	-0.658401226344846	-0.662867651704616	0.12954331207179	3.10503177341879e-07	ok	proteomics	2.14719697200982e-05	TRUE	FALSE
RBM4	10	-0.0673636717389606	-0.0516618017573763	0.0620213180379591	-1.08613737775988	0.1	0.0108269212771313	0.293188890507795	32	20	17	15	19.2585678860381	18.9257351403054	0.33283274573272	0.317278671881748	0.0622495252602931	3.45287927314236e-07	ok	proteomics	2.33693807826933e-05	TRUE	FALSE
SUPT16H	10	-0.0333779646496132	-0.0202751482061667	0.0511600916085693	-0.652421909346666	0.1	0.0144328239388418	0.299322687687737	10	8	7	3	20.7144426364526	20.0570437199513	0.6573989165013	0.963927671987368	0.189575725976268	3.68289688214366e-07	ok	proteomics	2.44068645460396e-05	FALSE	FALSE
CMTM5	10	0.00290547732188136	0.00266347809700425	0.0356050212380435	0.0816030217327014	0.5	1	1	32	20	17	15	22.0528482100533	22.2230532177452	-0.17020500769187	-0.413934664535991	0.0818449188240822	4.24679949985075e-07	ok	proteomics	2.75695289980107e-05	TRUE	FALSE
RANBP1	10	-0.00061276139388567	-0.0102000485612267	0.0299216874319221	-0.0204788381430635	0.4	1	1	32	20	17	15	22.6094099388472	22.831083582407	-0.221673643559829	-0.217861253646608	0.0434463548220388	5.31746880677353e-07	ok	proteomics	3.38297365486932e-05	TRUE	FALSE
ACBD7	10	0.00586736277633512	0.00605789172212456	0.00901320302464062	0.650974216412824	0.7	0.0831311427008039	0.550231530657708	32	20	17	15	21.6409189381421	22.4336082210382	-0.792689282896053	-0.580752581304435	0.118577104340101	9.69753343712951e-07	ok	proteomics	6.04859879676646e-05	TRUE	FALSE
FBP2	10	-0.000822174188195765	0	0.00139185548365696	-0.590703702970358	0	0.18144920772142	0.704059519908048	25	18	15	10	20.9148184643682	19.9764841838329	0.938334280535262	0.91158919718856	0.186445886472938	1.01197039049275e-06	ok	proteomics	6.07373172105178e-05	TRUE	FALSE
UNC93B1	10	-0.0216925990026711	-0.0127108642155557	0.0559569005851499	-0.387666199804282	0.3	0.22127181567247	0.742589494275625	25	15	17	8	18.6842928332503	17.6969837766574	0.987309056592856	0.986309188504551	0.201588292168889	9.94665940960493e-07	ok	proteomics	6.07373172105178e-05	TRUE	FALSE
MYL6	10	0.0225096345759915	0.0169713810384042	0.0664858042045303	0.338563018757283	0.6	0.358951435852626	0.853658649396203	32	20	17	15	24.2838538798309	24.087422293824	0.196431586006828	0.197288999947142	0.0405222788035269	1.12360308089498e-06	ok	proteomics	6.61885444504986e-05	TRUE	FALSE
MYH9	10	-0.0941674081902363	-0.0939506879682026	0.088921696595717	-1.05899248209769	0.2	0.0144328239388418	0.299322687687737	32	20	17	15	24.642920935811	24.3884773659816	0.254443569829331	0.26040650740547	0.0538043278452938	1.29917343081764e-06	ok	proteomics	7.51394669714714e-05	TRUE	FALSE
PGLS	10	0.00870639036115099	0.00479728306318223	0.0235721608033874	0.369350541673712	0.6	0.414823067184775	0.867355401336879	32	20	17	15	24.9153106843388	25.0862397176435	-0.170929033304688	-0.174339233237975	0.0360852620535798	1.3563486681701e-06	ok	proteomics	7.70454484544483e-05	TRUE	FALSE
CLCN6	10	0.0231757334657176	0.0169355679517948	0.0758065677695064	0.305721973011422	0.6	0.475532659596901	0.905849723120519	31	20	17	14	19.2261446370102	18.8958766704231	0.330267966587083	0.409810958215535	0.0854818970153017	1.6338582011908e-06	ok	proteomics	9.11807532980342e-05	TRUE	FALSE
EXOC7	10	-0.00282144514770086	0.00809610599247824	0.0659320344134526	-0.0427932365928205	0.6	1	1	32	20	17	15	20.706677249621	20.52434726388	0.182329985741084	0.186279909482773	0.0388933073141597	1.67188527724715e-06	ok	proteomics	9.16942597745377e-05	TRUE	FALSE
DIAPH1	10	-0.00678092055308451	0.00149019085193956	0.0357608278561127	-0.189618668235764	0.5	0.759765825978067	1	27	18	13	14	19.6192949851528	20.0429879338171	-0.423692948664243	-0.496927598560402	0.104038602125557	1.78481534819855e-06	ok	proteomics	9.62287732647386e-05	TRUE	FALSE
PARP4	10	0.0198487256703952	-0.0140994365093051	0.106796857352781	0.185854960177612	0.4	0.918812683274642	1	16	12	14	2	19.7459051028748	19.0119028573357	0.734002245539145	0.765206233212394	0.16118203777053	2.05981070968308e-06	ok	proteomics	0.000109204297791698	FALSE	FALSE
SEC22B	10	0.0305455355822149	0.0186103184489137	0.0593851056494114	0.514363580702287	0.8	0.0831311427008039	0.550231530657708	32	20	17	15	23.3235345357569	23.1228322125824	0.200702323174507	0.167603105800818	0.0353364853579545	2.10512839514287e-06	ok	proteomics	0.000109777269261467	TRUE	FALSE
DHRS7	10	-0.0113603918498503	-0.0198684946096136	0.06627792365179	-0.171405367336722	0.4	0.262192602406773	0.806593233815048	32	20	17	15	21.8942342202423	21.6698427872743	0.22439143296797	0.186927054526624	0.0397948568157215	2.63666117451588e-06	ok	proteomics	0.00013527772896992	TRUE	FALSE
MLF2	10	0.0170698316550969	0.00657392743702558	0.0312764870734363	0.545772024045328	0.6	0.22127181567247	0.742589494275625	32	20	17	15	20.3776683964725	20.5116666309155	-0.133998234442998	-0.369067148909125	0.078828898603441	2.8426106149425e-06	ok	proteomics	0.000139112990248186	TRUE	FALSE
OSTF1	10	-0.0511835665627817	-0.0185866498835619	0.110294726719515	-0.464061774167535	0.4	0.262192602406773	0.806593233815048	27	17	15	12	22.4552477100514	22.1522186657	0.303029044351423	0.30473351949325	0.0650639063486749	2.8187544340731e-06	ok	proteomics	0.000139112990248186	TRUE	FALSE
MTFR1L	10	0.00637001194844996	0.00094891342387594	0.0284884067201456	0.223600147632876	0.6	0.838463781922464	1	32	20	17	15	19.3263785549843	19.7012716845918	-0.374893129607543	-0.378256563995857	0.0807386147796211	2.80025055013293e-06	ok	proteomics	0.000139112990248186	TRUE	FALSE
FABP5	10	0.0250909098279527	0.0122753675638037	0.0357634800277872	0.701579091532977	0.8	0.0414910873877314	0.44582820057862	32	20	17	15	26.7778338386767	27.3171220793238	-0.539288240647043	-0.507894671870869	0.108806876814571	3.04361277849557e-06	ok	proteomics	0.000146692912854461	TRUE	FALSE
ARHGAP35	10	-0.108898462728824	-0.0962751739515294	0.153763629970817	-0.708219900567457	0.1	0.0414910873877316	0.44582820057862	32	20	17	15	20.9316786086782	20.7396608840546	0.192017724623636	0.22997497928536	0.0494387307733887	3.29182795121268e-06	ok	proteomics	0.000156155105549071	TRUE	FALSE
SACM1L	10	-0.0339013083787275	-0.0443917284128315	0.0755577308614024	-0.448680869478645	0.3	0.185143724157873	0.704059519908048	32	20	17	15	21.4874237793617	21.2292495146959	0.258174264665818	0.253867988815269	0.0546089225712009	3.33811605700623e-06	ok	proteomics	0.000156155105549071	TRUE	FALSE
PLXNB3	10	-0.000340233727719142	0	0.00128945757005236	-0.263858024971947	0.1	0.422678074170635	0.867355401336879	26	19	13	13	20.0246891893468	20.3567041269301	-0.332014937583331	-0.910781770951199	0.196368616979839	3.51587782417697e-06	ok	proteomics	0.000162087063169666	TRUE	FALSE
PRKCD	10	-0.0919066211718603	-0.0808394638274376	0.0848582773143989	-1.08306018081592	0.1	0.00804523748656169	0.272182974860348	32	20	17	15	19.8205979964277	19.3415377384949	0.479060257932833	0.566612693720185	0.122421743260269	3.68561357403838e-06	ok	proteomics	0.000167484811128801	TRUE	FALSE
IPO7	10	-0.0190653911175324	-0.00953968226036769	0.0634403434997091	-0.300524714492125	0.4	0.475532659596901	0.905849723120519	32	20	17	15	21.8504024509822	21.9698941598798	-0.119491708897606	-0.188972544097548	0.0408943696496874	3.81909994425302e-06	ok	proteomics	0.000171106435530547	TRUE	FALSE
SLC14A1	10	0.00699350578486826	0.0096581499210462	0.0119965912889614	0.582957743280237	0.7	0.155131568727114	0.678424684837983	31	20	16	15	24.4786247450176	24.9921246580026	-0.51349991298499	-0.480046841347637	0.105091860246222	4.92685637411542e-06	ok	proteomics	0.000217671251750849	TRUE	FALSE
ITGA3	10	0.0222647458794345	0.00910349061500336	0.0336055002373103	0.662532791424279	0.6	0.0423152749057141	0.450133589478674	32	20	17	15	20.9952215004489	20.5346693738772	0.460552126571624	0.459525425386744	0.100884213399005	5.23909307432156e-06	ok	proteomics	0.000228295274923519	TRUE	FALSE
USP10	10	-0.0702965586315689	-0.0729087956771818	0.0637621438400718	-1.10248110239026	0.2	0.0190588916017305	0.338796700953688	7	7	4	3	20.5136504404644	20.6956055072719	-0.181955066807479	-0.287448937596174	0.0631845248993752	5.38101795758091e-06	ok	proteomics	0.000230185019911498	FALSE	FALSE
TMEM63A	10	-0.0318269234734256	-0.0307843643684726	0.0362945120438377	-0.876907325134555	0.3	0.0414910873877316	0.44582820057862	24	15	12	12	21.0956318979743	20.5736112137923	0.522020684182031	0.499326104969523	0.109800921018315	5.42718531699538e-06	ok	proteomics	0.000230185019911498	TRUE	FALSE
GLYR1	10	-0.0100775085324997	0.00459539310970856	0.0486602250355405	-0.20709950529697	0.5	0.759765825978067	1	22	14	14	8	20.9267187304797	20.6572482212146	0.269470509265126	0.284225820646599	0.0627277205590082	5.86762636271727e-06	ok	proteomics	0.000245591045523732	FALSE	FALSE
ILVBL	10	0.00265413366093588	-0.00370441561063444	0.0213948675389815	0.124054690037227	0.4	0.838463781922464	1	32	20	17	15	21.3331482473158	21.2389961192707	0.0941521280451525	0.119771935029742	0.0265725211971778	6.56390275089548e-06	ok	proteomics	0.000271165904553227	TRUE	FALSE
NDUFA9	10	-0.00207114115157993	-0.00117994634242737	0.031519771687139	-0.0657092688404533	0.5	0.838463781922464	1	32	20	17	15	23.2972940026631	23.4856656457713	-0.188371643108237	-0.200558544606309	0.0446924739875573	7.20557351191256e-06	ok	proteomics	0.000293858068479409	TRUE	FALSE
RLBP1	10	-0.00229160062119502	-0.000456378210984013	0.00491337887932144	-0.466400144885937	0.1	0.0934924836898357	0.588505606955251	32	20	17	15	21.2743844870223	20.7415269175142	0.532857569508124	0.618950667813883	0.138307145494954	7.63436161996536e-06	ok	proteomics	0.000307403852064681	TRUE	FALSE
GMPR	10	0.010249738534864	0.00935816057939077	0.0134177104340622	0.763896238872765	0.8	0.0665457213437162	0.514554351548001	32	20	17	15	22.7644021709927	23.1858574878402	-0.421455316847467	-0.479602559073028	0.108066718634673	9.07890125270374e-06	ok	proteomics	0.000356543023269761	TRUE	FALSE
TMEM205	10	0.0149523140895745	0.0145731521843454	0.0355910388688719	0.420114572790733	0.7	0.22127181567247	0.742589494275625	32	20	17	15	22.5621751511188	22.3209683453069	0.241206805811863	0.246742038577273	0.0557823104636646	9.72034483538578e-06	ok	proteomics	0.000372535143630869	TRUE	FALSE
BBOX1	10	-0.0019900907360381	-0.000728059397840568	0.00633618309725614	-0.314083527178989	0.3	0.441208519505878	0.896224567930836	32	20	17	15	22.782860434452	23.1114626723663	-0.328602237914264	-1.13365293389068	0.256270416384458	9.7043151335453e-06	ok	proteomics	0.000372535143630869	TRUE	FALSE
FBLN1	10	0.00417962360448952	0.00261760614181023	0.00679336790476089	0.615250588969335	0.6	0.0972010883062346	0.588505606955251	30	20	15	15	22.7622824071864	23.7594606647101	-0.997178257523611	-0.984938891722557	0.223357437129007	1.0351477293594e-05	ok	proteomics	0.000392000586558603	TRUE	FALSE
CTBP1	10	0.0107457037171085	0.00544627063675557	0.0626363664690825	0.171556945634971	0.5	0.683480902201426	1	32	20	17	15	21.9060012353994	22.0226390636278	-0.116637828228434	-0.177483029695953	0.0404962329800344	1.17214956614178e-05	ok	proteomics	0.000433559043011279	TRUE	FALSE
NDUFS7	10	0.0159636838079336	0.0177053589086788	0.0370330485689423	0.431065883712353	0.7	0.308063229907199	0.837780909563191	32	20	17	15	21.8927797492728	22.1075790209058	-0.214799271632991	-0.36029608002692	0.082267631525441	1.1891883365316e-05	ok	proteomics	0.000434805528564024	TRUE	FALSE
GOLGA7	10	0.0128975441248356	0.000865823097745917	0.0414088166793784	0.311468550881305	0.5	0.414823067184775	0.867355401336879	22	15	13	9	19.4616139478621	19.0351752929979	0.426438654864139	0.561607624454366	0.128539035426914	1.24725307071403e-05	ok	proteomics	0.000450853638402424	TRUE	FALSE
