cell_type	donor	gene	active_edge_log2_cpm1	inactive_edge_log2_cpm1	delta_active_minus_inactive	active_edge_n_cells	inactive_edge_n_cells
immune	12_078	C1QA	5.4084757135561246	6.077110845063128	-0.6686351315070036	742	84
immune	12_078	GPNMB	7.186702399253993	4.613264318641946	2.573438080612047	742	84
immune	12_078	PTGS1	6.852025868858451	6.7885834864384735	0.06344238241997768	742	84
immune	12_078	PTGS2	2.628570858166225	0.0	2.628570858166225	742	84
immune	12_078	TBXA2R	0.0	2.296480129446115	-2.296480129446115	742	84
immune	12_078	TBXAS1	7.818919357310554	6.377889410016459	1.441029947294095	742	84
immune	12_078	TREM2	3.9643823157733022	3.671036531065643	0.29334578470765926	742	84
immune	13_047	ALOX5AP	6.796831386955068	6.816723738192355	-0.01989235123728683	1807	128
immune	13_047	APOE	10.507000750526057	9.682354387267317	0.82464636325874	1807	128
immune	13_047	C1QA	7.8965399606467415	7.3808347348159185	0.515705225830823	1807	128
immune	13_047	GPNMB	8.786229664208749	8.473514243874499	0.3127154203342499	1807	128
immune	13_047	PTGS1	6.01232590936933	6.422240661528316	-0.4099147521589863	1807	128
immune	13_047	PTGS2	1.8328759271294357	0.0	1.8328759271294357	1807	128
immune	13_047	TBXA2R	1.0179119949126834	2.2788019356680604	-1.260889940755377	1807	128
immune	13_047	TBXAS1	10.472290493038853	10.64722739376617	-0.17493690072731738	1807	128
immune	13_047	TREM2	7.27138520758796	6.660658378296494	0.6107268292914654	1807	128
neurons	09_034	ALOX5AP	0.0	1.0275791740640818	-1.0275791740640818	105	553
neurons	09_034	APOE	4.315209457256569	5.182391232842435	-0.8671817755858662	105	553
neurons	09_034	C1QA	0.0	2.6306391810932843	-2.6306391810932843	105	553
neurons	09_034	GPNMB	0.0	1.621618805175779	-1.621618805175779	105	553
neurons	09_034	PTGS1	0.0	0.0	0.0	105	553
neurons	09_034	PTGS2	2.5177214389099305	2.0411735423309647	0.4765478965789658	105	553
neurons	09_034	TBXA2R	0.0	0.0	0.0	105	553
neurons	09_034	TBXAS1	0.0	2.3658052063890413	-2.3658052063890413	105	553
neurons	09_034	TREM2	0.0	2.0411735423309647	-2.0411735423309647	105	553
oligodendrocytes	09_034	ALOX5AP	0.37099645980657375	0.47637939273893143	-0.10538293293235768	1286	3058
oligodendrocytes	09_034	APOE	4.990537626837958	4.61322912790694	0.3773084989310185	1286	3058
oligodendrocytes	09_034	C1QA	0.37099645980657375	1.030920406562668	-0.6599239467560942	1286	3058
oligodendrocytes	09_034	GPNMB	1.6100954154899652	0.17685370034009373	1.4332417151498715	1286	3058
oligodendrocytes	09_034	PTGS1	0.0	0.0	0.0	1286	3058
oligodendrocytes	09_034	PTGS2	0.0	0.47637939273893143	-0.47637939273893143	1286	3058
oligodendrocytes	09_034	TBXA2R	0.665839807013211	0.47637939273893143	0.18946041427427956	1286	3058
oligodendrocytes	09_034	TBXAS1	4.073415035644869	3.3588928708194685	0.7145221648254005	1286	3058
oligodendrocytes	09_034	TREM2	1.4643935802179364	1.1201816212999407	0.3442119589179957	1286	3058
oligodendrocytes	12_078	ALOX5AP	1.6034347697233862	0.7475117402574092	0.855923029465977	3904	1356
oligodendrocytes	12_078	APOE	6.271833313307199	3.438821524728527	2.8330117885786716	3904	1356
oligodendrocytes	12_078	C1QA	1.9100363419136748	0.7475117402574092	1.1625246016562656	3904	1356
oligodendrocytes	12_078	GPNMB	1.9992885388866033	0.0	1.9992885388866033	3904	1356
oligodendrocytes	12_078	PTGS1	0.4433555876143414	0.0	0.4433555876143414	3904	1356
oligodendrocytes	12_078	PTGS2	0.31015655133013115	0.0	0.31015655133013115	3904	1356
oligodendrocytes	12_078	TBXA2R	1.05609101573633	1.8935869531883898	-0.8374959374520599	3904	1356
oligodendrocytes	12_078	TBXAS1	2.4106559262525398	1.602496823674179	0.8081591025783608	3904	1356
oligodendrocytes	12_078	TREM2	0.6777162184128265	0.0	0.6777162184128265	3904	1356
oligodendrocytes	13_047	ALOX5AP	1.5554401719188151	0.33078297466830253	1.2246571972505125	7221	3312
oligodendrocytes	13_047	APOE	5.631771112155532	3.287125897597665	2.3446452145578665	7221	3312
oligodendrocytes	13_047	C1QA	2.6335037621573973	0.33078297466830253	2.3027207874890947	7221	3312
oligodendrocytes	13_047	GPNMB	2.429962039373986	0.7174203735713754	1.7125416658026107	7221	3312
oligodendrocytes	13_047	PTGS1	0.4406623521065678	0.33078297466830253	0.10987937743826526	7221	3312
oligodendrocytes	13_047	PTGS2	0.0718072412909171	0.0	0.0718072412909171	7221	3312
oligodendrocytes	13_047	TBXA2R	0.4939134792315952	0.7174203735713754	-0.22350689433978027	7221	3312
oligodendrocytes	13_047	TBXAS1	3.2357818460574896	2.9448752722126046	0.29090657384488505	7221	3312
oligodendrocytes	13_047	TREM2	2.1100660607085215	0.7174203735713754	1.3926456871371462	7221	3312
opc	09_034	ALOX5AP	0.0	0.0	0.0	81	97
opc	09_034	APOE	5.258258854500395	4.042818811701083	1.2154400427993126	81	97
opc	09_034	C1QA	0.0	1.8400934504696378	-1.8400934504696378	81	97
opc	09_034	GPNMB	4.692021680847028	3.797185360235816	0.894836320611212	81	97
opc	09_034	PTGS1	0.0	0.0	0.0	81	97
opc	09_034	PTGS2	0.0	0.0	0.0	81	97
opc	09_034	TBXA2R	0.0	1.8400934504696378	-1.8400934504696378	81	97
opc	09_034	TBXAS1	2.8504360705951703	1.8400934504696378	1.0103426201255326	81	97
opc	09_034	TREM2	2.8504360705951703	0.0	2.8504360705951703	81	97
opc	12_078	ALOX5AP	2.282365440017686	0.0	2.282365440017686	167	122
opc	12_078	APOE	5.784150314415347	3.1420053594628525	2.642144954952495	167	122
opc	12_078	C1QA	1.5520694229886183	0.0	1.5520694229886183	167	122
opc	12_078	GPNMB	4.906198862781349	3.515595176465367	1.3906036863159823	167	122
opc	12_078	PTGS1	0.0	0.0	0.0	167	122
opc	12_078	PTGS2	0.0	0.0	0.0	167	122
opc	12_078	TBXA2R	1.5520694229886183	0.0	1.5520694229886183	167	122
opc	12_078	TBXAS1	1.5520694229886183	2.6365283740262724	-1.084458951037654	167	122
opc	12_078	TREM2	0.0	0.0	0.0	167	122
opc	13_047	ALOX5AP	1.5066106522784857	2.736691757721952	-1.2300811054434662	316	59
opc	13_047	APOE	5.813589194569789	4.169620735517793	1.6439684590519956	316	59
opc	13_047	C1QA	3.2151158817647896	0.0	3.2151158817647896	316	59
opc	13_047	GPNMB	3.795966393492548	4.564476066965151	-0.7685096734726029	316	59
opc	13_047	PTGS1	0.9416386403217354	0.0	0.9416386403217354	316	59
opc	13_047	PTGS2	0.0	0.0	0.0	316	59
opc	13_047	TBXA2R	0.9416386403217354	0.0	0.9416386403217354	316	59
opc	13_047	TBXAS1	2.486339271592215	3.6241948232304217	-1.1378555516382067	316	59
opc	13_047	TREM2	0.0	0.0	0.0	316	59
vascular_cells	09_034	ALOX5AP	3.46817853853059	0.0	3.46817853853059	105	39
vascular_cells	09_034	APOE	7.042968520896541	7.9465530435556255	-0.9035845226590844	105	39
vascular_cells	09_034	C1QA	0.0	3.9497523940630566	-3.9497523940630566	105	39
vascular_cells	09_034	GPNMB	3.46817853853059	3.9497523940630566	-0.4815738555324667	105	39
vascular_cells	09_034	PTGS1	0.0	0.0	0.0	105	39
vascular_cells	09_034	PTGS2	0.0	3.9497523940630566	-3.9497523940630566	105	39
vascular_cells	09_034	TBXA2R	0.0	0.0	0.0	105	39
vascular_cells	09_034	TBXAS1	3.46817853853059	3.9497523940630566	-0.4815738555324667	105	39
vascular_cells	09_034	TREM2	0.0	3.9497523940630566	-3.9497523940630566	105	39
vascular_cells	12_078	ALOX5AP	0.0	0.0	0.0	171	29
vascular_cells	12_078	APOE	7.37122649973317	6.120299538242987	1.2509269614901823	171	29
vascular_cells	12_078	C1QA	2.581766483604175	0.0	2.581766483604175	171	29
vascular_cells	12_078	GPNMB	3.455944703120278	0.0	3.455944703120278	171	29
