gene	n_paired_donors	mean_delta	median_delta	sd_delta	dz	positive_fraction	wilcoxon_p	wilcoxon_fdr_bh
AC100839.2	10	-0.0190354857701677	-0.0136067641372316	0.0178398662425983	-1.06701953430091	0	0.00592153702414871	0.272182974860348
ISY1	10	-0.0200824696463055	-0.0141405207360122	0.0192029647064155	-1.04580047681888	0	0.00592153702414871	0.272182974860348
AL845472.1	10	-0.0201121552481746	-0.0214618244463826	0.0113339957942312	-1.77449820992622	0	0.00592153702414871	0.272182974860348
PAOX	10	-0.0204604829828024	-0.0198498280047712	0.0156282730211078	-1.30919666908609	0	0.00592153702414871	0.272182974860348
AP005131.7	10	-0.0206811317874679	-0.0175039436336395	0.0185667793541473	-1.11387825497309	0	0.00592153702414871	0.272182974860348
AC024270.5	10	-0.0209890167456195	-0.0174788957102951	0.016236128388183	-1.29273532727764	0	0.00592153702414871	0.272182974860348
PITPNM1	10	-0.0222904646307908	-0.0178386519112725	0.0166244942302289	-1.34082061818514	0	0.00592153702414871	0.272182974860348
IL1A	10	-0.0232625341248546	-0.0237706528038439	0.016071836926811	-1.44740979085272	0	0.00592153702414871	0.272182974860348
POLR3D	10	-0.0237401096851606	-0.0144826353342188	0.0233910609432643	-1.01492231338899	0	0.00592153702414871	0.272182974860348
EMID1	10	-0.0245136797029517	-0.0160093844884024	0.0242930920994475	-1.00908026045433	0	0.00592153702414871	0.272182974860348
DCAF13	10	-0.0245836923733607	-0.0196822647402621	0.0171239654745945	-1.43563080700166	0	0.00592153702414871	0.272182974860348
MSMO1	10	-0.0257514257269063	-0.0289688552513096	0.0160191494079344	-1.60754014280879	0	0.00592153702414871	0.272182974860348
NF2	10	-0.0268954624176566	-0.0208030495167158	0.0271381499288729	-0.991057330295088	0	0.00592153702414871	0.272182974860348
MSH5	10	-0.0278796000087415	-0.0193805307687588	0.0284192680033018	-0.981010489274474	0	0.00592153702414871	0.272182974860348
AP005530.1	10	-0.0287189865278106	-0.0291158850847166	0.0138554321188754	-2.07276007571691	0	0.00592153702414871	0.272182974860348
TIMM23	10	-0.0287954365450018	-0.0234640202546845	0.0153362157425162	-1.87761029372931	0	0.00592153702414871	0.272182974860348
TOPBP1	10	-0.0302246314016367	-0.0235535252874806	0.02406482947048	-1.25596698861768	0	0.00592153702414871	0.272182974860348
DHX35	10	-0.0303827172175851	-0.0216682061351718	0.0294951910455461	-1.03009053817175	0	0.00592153702414871	0.272182974860348
ZNF670	10	-0.0310158077587831	-0.0254443170710338	0.0219482176565383	-1.41313560144796	0	0.00592153702414871	0.272182974860348
EBPL	10	-0.0312163060180286	-0.0290518838103956	0.0218524060873794	-1.42850658610345	0	0.00592153702414871	0.272182974860348
PLVAP	10	-0.031882453619966	-0.0282135971083333	0.0229341753190232	-1.39017222884489	0	0.00592153702414871	0.272182974860348
STARD4	10	-0.0319484840810966	-0.0158492256170689	0.0384116195202126	-0.831740095318942	0	0.00592153702414871	0.272182974860348
TMEM50B	10	-0.0322012063132621	-0.0216148192934892	0.0291099243969466	-1.10619340243425	0	0.00592153702414871	0.272182974860348
PCBP3	10	-0.0322190868369127	-0.0256853313063595	0.0303024444514326	-1.06325042154774	0	0.00592153702414871	0.272182974860348
COX18	10	-0.0326334130604354	-0.0206749266614474	0.0402153881421198	-0.811465823607373	0	0.00592153702414871	0.272182974860348
AC113414.1	10	-0.0332724423352116	-0.0326892269699236	0.0204147045739289	-1.62982727546805	0	0.00592153702414871	0.272182974860348
CLEC19A	10	-0.0354771109704964	-0.0351626048373238	0.0179387191139583	-1.97768362083841	0	0.00592153702414871	0.272182974860348
HACD3	10	-0.036331554128051	-0.0349499475850496	0.0253972738333601	-1.43052968465964	0	0.00592153702414871	0.272182974860348
NIPAL2	10	-0.0365212961746821	-0.0312531314295274	0.0275201340014773	-1.3270755212428	0	0.00592153702414871	0.272182974860348
AC002480.1	10	-0.0374023269987513	-0.0411622648971742	0.0241990563134008	-1.54561097401302	0	0.00592153702414871	0.272182974860348
BDH1	10	-0.0378105042809564	-0.0206537395763328	0.0331019038140205	-1.1422456089955	0	0.00592153702414871	0.272182974860348
TSEN2	10	-0.0378825114972783	-0.0267238704720802	0.0394827566662916	-0.959469771005642	0	0.00592153702414871	0.272182974860348
S100PBP	10	-0.0389666864036647	-0.0327710853829879	0.0285764146540523	-1.36359605903671	0	0.00592153702414871	0.272182974860348
AP005131.5	10	-0.0390658108420764	-0.0343184324324014	0.0318455088145824	-1.2267290521101	0	0.00592153702414871	0.272182974860348
CA8	10	-0.0400726582201491	-0.0250271586017805	0.0464845748333763	-0.862063563317281	0	0.00592153702414871	0.272182974860348
UCHL3	10	-0.0409357082277015	-0.0395020112649117	0.0254096976314905	-1.61102697172474	0	0.00592153702414871	0.272182974860348
GSTCD	10	-0.0419720388450142	-0.0286715871446924	0.0428050771323238	-0.980538797191407	0	0.00592153702414871	0.272182974860348
MMS19	10	-0.0423507988490311	-0.0446247329937118	0.025467988769304	-1.66290315394184	0	0.00592153702414871	0.272182974860348
IPO11	10	-0.0430625226184304	-0.0418275254115121	0.0242633605556332	-1.77479630324467	0	0.00592153702414871	0.272182974860348
ASTN1	10	-0.0432068903076197	-0.0418562566961684	0.036311810505923	-1.18988532121173	0	0.00592153702414871	0.272182974860348
AC022509.2	10	-0.0446689972829065	-0.0347608360649039	0.0365410097990365	-1.22243467075955	0	0.00592153702414871	0.272182974860348
CTCF	10	-0.0447620642324318	-0.0466256561677459	0.0348752185737083	-1.28349200558637	0	0.00592153702414871	0.272182974860348
CLEC17A	10	-0.0448516180376762	-0.0433726275314141	0.0226429047228242	-1.98082439451619	0	0.00592153702414871	0.272182974860348
BRI3BP	10	-0.045772921796074	-0.0383086019241838	0.0392224735572133	-1.16700752514513	0	0.00592153702414871	0.272182974860348
TTLL3	10	-0.0458542089830595	-0.0377205735610802	0.0341247951258836	-1.34372115096683	0	0.00592153702414871	0.272182974860348
MPHOSPH9	10	-0.0462315105988731	-0.0449379818580448	0.0237574650085327	-1.94597826755795	0	0.00592153702414871	0.272182974860348
IQCB1	10	-0.0463579113360616	-0.0469599374624086	0.0348683174111772	-1.32951386180743	0	0.00592153702414871	0.272182974860348
AP005131.6	10	-0.0473551079796867	-0.0303734543893259	0.0367404430957827	-1.28890955006263	0	0.00592153702414871	0.272182974860348
MEIS1	10	-0.0473802090356111	-0.0399720595607638	0.0442553501640161	-1.07060974232525	0	0.00592153702414871	0.272182974860348
CCDC130	10	-0.0474026471026039	-0.0401783417325008	0.0356356224359586	-1.33020398865747	0	0.00592153702414871	0.272182974860348
SPNS3	10	-0.0481776963356565	-0.030266228049803	0.050180691153442	-0.960084351734798	0	0.00592153702414871	0.272182974860348
ACPP	10	-0.0489278530903535	-0.0339651000342435	0.0402355516573521	-1.21603534871413	0	0.00592153702414871	0.272182974860348
CBWD5	10	-0.0491723185533186	-0.0385013030332812	0.0394357956692867	-1.24689556071554	0	0.00592153702414871	0.272182974860348
LY75	10	-0.0504394484132883	-0.0501287856037587	0.032043869955589	-1.57407480691922	0	0.00592153702414871	0.272182974860348
UEVLD	10	-0.0518993718156514	-0.0513443094160914	0.0347860076081954	-1.49196114714309	0	0.00592153702414871	0.272182974860348
CACNB2	10	-0.0520048392887097	-0.0372808135858035	0.0434872024417501	-1.19586536656086	0	0.00592153702414871	0.272182974860348
TPM1	10	-0.0528527170499294	-0.0457165264023084	0.0291573339552411	-1.81267317276205	0	0.00592153702414871	0.272182974860348
AC010201.3	10	-0.0540005232956786	-0.0514773619521361	0.0333351169924989	-1.61992901683321	0	0.00592153702414871	0.272182974860348
ADGRG5	10	-0.0543494808225115	-0.0536653151452883	0.037273660682899	-1.45812028726888	0	0.00592153702414871	0.272182974860348
FMNL1	10	-0.05498982114397	-0.0526581898670595	0.0454839615344214	-1.20899366037751	0	0.00592153702414871	0.272182974860348
RALGPS1	10	-0.0550810844554317	-0.0504098647257828	0.0415779204780737	-1.32476766086652	0	0.00592153702414871	0.272182974860348
ARPC3	10	-0.0555884682151432	-0.0477990314707928	0.0496915533753232	-1.11867036627493	0	0.00592153702414871	0.272182974860348
C6orf89	10	-0.0560148453197769	-0.037598608268696	0.0527331676360221	-1.06223175718185	0	0.00592153702414871	0.272182974860348
TNFRSF13C	10	-0.0561355634643101	-0.0451704580530846	0.0463878088349329	-1.21013613003502	0	0.00592153702414871	0.272182974860348
FCGR1B	10	-0.0569929756624494	-0.0397576544286464	0.0372019564954583	-1.5319886648813	0	0.00592153702414871	0.272182974860348
KIF3C	10	-0.058483467716255	-0.0584303392949619	0.0369511286739683	-1.5827247993498	0	0.00592153702414871	0.272182974860348
LST1	10	-0.0588204048987317	-0.0422868075844997	0.0419949624679916	-1.40065382707663	0	0.00592153702414871	0.272182974860348
C1RL	10	-0.0590472603965735	-0.0579110546082399	0.0357699571588985	-1.65075010110501	0	0.00592153702414871	0.272182974860348
ARID3A	10	-0.0590935095397697	-0.056179054682147	0.0446542577569661	-1.3233566631292	0	0.00592153702414871	0.272182974860348
SCAMP2	10	-0.0593888749156569	-0.0383377613887676	0.0490091308475496	-1.21179204545363	0	0.00592153702414871	0.272182974860348
GSTM2	10	-0.0598821281369687	-0.0663418137589789	0.0407436215779703	-1.469730127509	0	0.00592153702414871	0.272182974860348
DGKA	10	-0.0605792191692736	-0.0495271138640316	0.0467238819846754	-1.29653651614698	0	0.00592153702414871	0.272182974860348
HGSNAT	10	-0.0618535748088998	-0.065223391935415	0.0373732946935865	-1.65502065889616	0	0.00592153702414871	0.272182974860348
CHCHD7	10	-0.0622639690530389	-0.0536613062058409	0.0397683756547496	-1.56566538179948	0	0.00592153702414871	0.272182974860348
AC010378.2	10	-0.0629632166944586	-0.0510536941939007	0.0413492758955895	-1.52271630713549	0	0.00592153702414871	0.272182974860348
C3orf70	10	-0.0638274509080606	-0.0599592498990256	0.0397290571371285	-1.6065684792809	0	0.00592153702414871	0.272182974860348
GAL3ST4	10	-0.0639184945500821	-0.0455079030916171	0.0526335867563666	-1.21440506887649	0	0.00592153702414871	0.272182974860348
PLAGL1	10	-0.0648555957178223	-0.0637251672496806	0.0542961661713752	-1.19447836359419	0	0.00592153702414871	0.272182974860348
LRRC8C-DT	10	-0.0649209540138768	-0.0459412851706564	0.0712114073310342	-0.911665089163095	0	0.00592153702414871	0.272182974860348
AC027097.2	10	-0.0654639122336327	-0.0590737372819037	0.0414395935465261	-1.5797431063153	0	0.00592153702414871	0.272182974860348
ATP2A2	10	-0.066078830923507	-0.0543647633259707	0.05470556526209	-1.2078996096088	0	0.00592153702414871	0.272182974860348
AC097376.3	10	-0.0669021774855653	-0.0666220499504156	0.0341922039499798	-1.95665004757919	0	0.00592153702414871	0.272182974860348
MORC1	10	-0.0697669682763763	-0.0661505953909298	0.0299043003788637	-2.33300787487031	0	0.00592153702414871	0.272182974860348
HAVCR2	10	-0.0700903425928202	-0.0514478524178351	0.0602456905603889	-1.16340840217548	0	0.00592153702414871	0.272182974860348
LCLAT1	10	-0.0704435145960116	-0.0554293916916417	0.0367629492205315	-1.91615515320708	0	0.00592153702414871	0.272182974860348
RASAL3	10	-0.0711289521900772	-0.0601855711153213	0.0516121626608525	-1.37814322289634	0	0.00592153702414871	0.272182974860348
APMAP	10	-0.0715090282659881	-0.0724456950571669	0.032163422622164	-2.22330282153214	0	0.00592153702414871	0.272182974860348
MFSD11	10	-0.0727353616448848	-0.0572971075994439	0.0642733095371202	-1.13165732663692	0	0.00592153702414871	0.272182974860348
UBE3D	10	-0.0730504023941376	-0.0551969084229949	0.0715904829303881	-1.02039264723454	0	0.00592153702414871	0.272182974860348
AKNA	10	-0.0734612305392784	-0.0586872283721994	0.057592998318245	-1.27552363454581	0	0.00592153702414871	0.272182974860348
FAM126A	10	-0.0738755285834761	-0.0535222345550073	0.0608559876282677	-1.21394018013046	0	0.00592153702414871	0.272182974860348
FSCN1	10	-0.0748851158421955	-0.071320315512487	0.0378046375642919	-1.98084469702542	0	0.00592153702414871	0.272182974860348
TGIF2	10	-0.0750276764310142	-0.0532569764853581	0.0497487284616806	-1.50813254430824	0	0.00592153702414871	0.272182974860348
MICU3	10	-0.0764701133151447	-0.054222781186115	0.0516031176689515	-1.48188940454571	0	0.00592153702414871	0.272182974860348
SMAD6	10	-0.0765910233985809	-0.0721721348383025	0.0513765861843388	-1.49077681268609	0	0.00592153702414871	0.272182974860348
TRAF3IP3	10	-0.0769023272507698	-0.074217213370302	0.0502276173955016	-1.53107655187437	0	0.00592153702414871	0.272182974860348
ZNF33A	10	-0.0775272040811022	-0.0674721178645581	0.0449273272195228	-1.7256135381099	0	0.00592153702414871	0.272182974860348
RHOH	10	-0.0780651399491993	-0.0598745039934426	0.0596534049979157	-1.30864516370737	0	0.00592153702414871	0.272182974860348
LRBA	10	-0.0781712503478438	-0.0689904489925641	0.0672372574628776	-1.16261806768372	0	0.00592153702414871	0.272182974860348
NCOA6	10	-0.0787819375180909	-0.0816626610461427	0.0445316540324289	-1.76912219475882	0	0.00592153702414871	0.272182974860348
SOX5	10	-0.0790748868509041	-0.0704433152922593	0.0581541890465542	-1.35974532784908	0	0.00592153702414871	0.272182974860348
AC009950.1	10	-0.0811658312512606	-0.0707583272843167	0.0580538703394387	-1.39811231838097	0	0.00592153702414871	0.272182974860348
ERMAP	10	-0.0813597288473616	-0.0849742970887811	0.0669824095910942	-1.21464320773224	0	0.00592153702414871	0.272182974860348
SLC25A12	10	-0.0813996815355063	-0.0758696210728593	0.0356607256142043	-2.28261428037469	0	0.00592153702414871	0.272182974860348
YWHAH	10	-0.0818597229046556	-0.0649127177862338	0.0573060439751204	-1.42846578172793	0	0.00592153702414871	0.272182974860348
RPAP2	10	-0.0819836327709047	-0.0653046611647839	0.0532183144480346	-1.54051539627318	0	0.00592153702414871	0.272182974860348
AL392172.1	10	-0.0820618557100451	-0.0609142952787866	0.0606877165466647	-1.35219877068443	0	0.00592153702414871	0.272182974860348
HPGDS	10	-0.0831433609366199	-0.0799886297929625	0.0493984800993862	-1.68311577136263	0	0.00592153702414871	0.272182974860348
MCCC1	10	-0.0831505108247356	-0.0758599639493204	0.0557450120243449	-1.49162243948252	0	0.00592153702414871	0.272182974860348
NBEA	10	-0.0831612002289296	-0.0642179854655512	0.0808498082154651	-1.02858871362199	0	0.00592153702414871	0.272182974860348
SMAD2	10	-0.0837764016231535	-0.0697471123672517	0.060175868748495	-1.39219264076264	0	0.00592153702414871	0.272182974860348
SUFU	10	-0.0841959696505042	-0.0783009997550239	0.0569289770927851	-1.47896508860994	0	0.00592153702414871	0.272182974860348
FGL1	10	-0.0860110216086019	-0.074087788794667	0.0674036237154644	-1.27605931057485	0	0.00592153702414871	0.272182974860348
ACACA	10	-0.0869706365004158	-0.0652655040272704	0.0911738769503935	-0.953898632036185	0	0.00592153702414871	0.272182974860348
LIPC	10	-0.0869994658189836	-0.0862250888037062	0.0564299960800424	-1.54172376151826	0	0.00592153702414871	0.272182974860348
TRIM22	10	-0.0872666541528939	-0.0986088363004055	0.0260656156676806	-3.34796059550199	0	0.00592153702414871	0.272182974860348
RFFL	10	-0.0873955864068349	-0.0837756396918742	0.0643227831428617	-1.35870343502905	0	0.00592153702414871	0.272182974860348
MDM4	10	-0.0890788650685718	-0.0628476867918282	0.088333152580861	-1.00844204543734	0	0.00592153702414871	0.272182974860348
C4orf19	10	-0.0894896016063452	-0.086296038708488	0.0611375829001934	-1.46374124329443	0	0.00592153702414871	0.272182974860348
GATAD2B	10	-0.0899336606216734	-0.0890247224179272	0.0391254585912647	-2.29859697137843	0	0.00592153702414871	0.272182974860348
AZIN2	10	-0.0906950122548108	-0.0749628131616374	0.067877060419133	-1.33616588129745	0	0.00592153702414871	0.272182974860348
C2CD5	10	-0.0912921634325673	-0.0597349443402518	0.0768704808784398	-1.18761015137831	0	0.00592153702414871	0.272182974860348
AP000331.1	10	-0.0913552593486178	-0.0826558097960471	0.10047871142451	-0.909200148503631	0	0.00592153702414871	0.272182974860348
ZNF608	10	-0.0924752871761543	-0.0823377103203357	0.0490571169079518	-1.88505344392069	0	0.00592153702414871	0.272182974860348
KCNMB1	10	-0.0925151724693059	-0.0712280386459507	0.0934335578697953	-0.990170711450705	0	0.00592153702414871	0.272182974860348
ADAMTSL2	10	-0.0929242440853977	-0.0807533965578858	0.05142123784331	-1.80711799215248	0	0.00592153702414871	0.272182974860348
VGLL4	10	-0.0931452590857082	-0.081680384372687	0.0652732554176274	-1.42700495769288	0	0.00592153702414871	0.272182974860348
PRPF38B	10	-0.0937349352632087	-0.0863146218696261	0.0702698927250978	-1.33392739946122	0	0.00592153702414871	0.272182974860348
UBE2K	10	-0.0943643868947351	-0.0784000703288961	0.0654731280342006	-1.44126895610429	0	0.00592153702414871	0.272182974860348
ARHGAP32	10	-0.094621160662114	-0.0939014878189553	0.0346336372431343	-2.73205958698062	0	0.00592153702414871	0.272182974860348
MAP2K1	10	-0.0950433547598476	-0.0621214298034164	0.0987190750924167	-0.962765855239951	0	0.00592153702414871	0.272182974860348
ATXN7	10	-0.0965376628260902	-0.086759885867045	0.0519474042356686	-1.85837318046018	0	0.00592153702414871	0.272182974860348
NCOA5	10	-0.0968183071319712	-0.0643757509182692	0.0888631229815081	-1.0895217710514	0	0.00592153702414871	0.272182974860348
MTA3	10	-0.0977046612449903	-0.11145004763623	0.0553538494096309	-1.76509244229708	0	0.00592153702414871	0.272182974860348
HECA	10	-0.0982062142192827	-0.072333128208628	0.0992472489879505	-0.989510693955918	0	0.00592153702414871	0.272182974860348
SENP6	10	-0.0987764897703216	-0.102447461164248	0.0791885657817387	-1.24735798401213	0	0.00592153702414871	0.272182974860348
NXN	10	-0.0993365357025262	-0.0655465395105185	0.0738168721484149	-1.34571586158246	0	0.00592153702414871	0.272182974860348
ARMH4	10	-0.099415179943364	-0.0477196448187039	0.100828020894483	-0.985987615956509	0	0.00592153702414871	0.272182974860348
BAZ2B	10	-0.100268051082565	-0.103147459775864	0.0678553999106155	-1.47767239180147	0	0.00592153702414871	0.272182974860348
ATG10	10	-0.102180693672346	-0.0763391205307047	0.0892807461241138	-1.14448745231473	0	0.00592153702414871	0.272182974860348
METTL9	10	-0.103463352650454	-0.101412577596038	0.0526703440859019	-1.96435687759532	0	0.00592153702414871	0.272182974860348
EPC1	10	-0.103729579007382	-0.0957961379264036	0.0745056352664984	-1.39223803187978	0	0.00592153702414871	0.272182974860348
HK2	10	-0.104461607042726	-0.0987905512444522	0.0535330110129172	-1.95134936492774	0	0.00592153702414871	0.272182974860348
RNF111	10	-0.105022954614686	-0.0653915253131289	0.110895678140323	-0.947042809745879	0	0.00592153702414871	0.272182974860348
PMEPA1	10	-0.105262968922398	-0.110731848847101	0.0519131242893	-2.027675474429	0	0.00592153702414871	0.272182974860348
KIAA1328	10	-0.105472157191106	-0.105833676546996	0.0451779961880332	-2.33459130750566	0	0.00592153702414871	0.272182974860348
TLR10	10	-0.106363382284881	-0.0946258695319434	0.0487389988866411	-2.18230543742321	0	0.00592153702414871	0.272182974860348
AGPAT3	10	-0.106729470733432	-0.0737694595376976	0.0899920351938709	-1.18598796552944	0	0.00592153702414871	0.272182974860348
UST	10	-0.107020726751478	-0.0997667051096905	0.0578552317504275	-1.84980205788713	0	0.00592153702414871	0.272182974860348
PUM1	10	-0.10892277445607	-0.0864171243563236	0.0723626359263517	-1.50523502995286	0	0.00592153702414871	0.272182974860348
RAP1GAP2	10	-0.110298941498683	-0.103273189657153	0.0630108985521536	-1.75047402962186	0	0.00592153702414871	0.272182974860348
GAK	10	-0.110492172818804	-0.0975032267751516	0.0743422472152719	-1.48626355750121	0	0.00592153702414871	0.272182974860348
SUCLG2	10	-0.112835646928905	-0.0998760407067429	0.0868461277131239	-1.29925939014381	0	0.00592153702414871	0.272182974860348
DAP	10	-0.114149084530627	-0.0748444486492134	0.0840280198065042	-1.35846453115859	0	0.00592153702414871	0.272182974860348
CECR2	10	-0.114394751184626	-0.103562649309276	0.0671808759911503	-1.7027874301564	0	0.00592153702414871	0.272182974860348
RABGAP1L	10	-0.115634947263768	-0.0875611281926941	0.143856566813123	-0.803821124231218	0	0.00592153702414871	0.272182974860348
RAC1	10	-0.116452957281341	-0.11629544441032	0.0972655102160436	-1.19726876487543	0	0.00592153702414871	0.272182974860348
SUSD3	10	-0.116731300297064	-0.109761546531722	0.07124033951751	-1.63855620407834	0	0.00592153702414871	0.272182974860348
BABAM2	10	-0.117921798636149	-0.130397578267727	0.0629974780813936	-1.87184951251211	0	0.00592153702414871	0.272182974860348
TLR1	10	-0.119118223182047	-0.0988936242481559	0.0864469934418677	-1.37793367287145	0	0.00592153702414871	0.272182974860348
ACTR2	10	-0.119964064768881	-0.0965967179289309	0.0829824610505606	-1.44565566325862	0	0.00592153702414871	0.272182974860348
BCO2	10	-0.123116902615946	-0.068342370345921	0.12452934096085	-0.988657786719134	0	0.00592153702414871	0.272182974860348
STK32B	10	-0.123310194338001	-0.102727528960961	0.0970277444502865	-1.27087561435771	0	0.00592153702414871	0.272182974860348
ACSL4	10	-0.123547846258094	-0.0913623116821992	0.117091563095152	-1.05513875630557	0	0.00592153702414871	0.272182974860348
NLRP1	10	-0.1249506088211	-0.150533572706308	0.063173656321821	-1.977891040287	0	0.00592153702414871	0.272182974860348
GRB2	10	-0.125257862581141	-0.0996222386784249	0.101774790620221	-1.23073564502381	0	0.00592153702414871	0.272182974860348
HEATR5B	10	-0.125989619254507	-0.101116547537576	0.121744371817239	-1.03487017406966	0	0.00592153702414871	0.272182974860348
MMRN1	10	-0.126711145402973	-0.124408352274082	0.0876218196843106	-1.44611405993959	0	0.00592153702414871	0.272182974860348
STK17A	10	-0.126772036726223	-0.13658399855932	0.0535333062267604	-2.3680965302093	0	0.00592153702414871	0.272182974860348
GARNL3	10	-0.127062740682909	-0.126342430201472	0.0933315886225731	-1.36141195663928	0	0.00592153702414871	0.272182974860348
SOCS6	10	-0.127424074559881	-0.101514802586821	0.116657670810062	-1.09229057699385	0	0.00592153702414871	0.272182974860348
CASK	10	-0.12870283311866	-0.0763084054797362	0.15277902771533	-0.842411651934779	0	0.00592153702414871	0.272182974860348
PFKFB3	10	-0.129333255307948	-0.110351583505792	0.0753231466959333	-1.71704530388307	0	0.00592153702414871	0.272182974860348
ARL15	10	-0.129454560484446	-0.0709756053102605	0.132234905060988	-0.978974200682796	0	0.00592153702414871	0.272182974860348
OSBPL6	10	-0.130260932328852	-0.119124246243469	0.0525825283374422	-2.47726643140698	0	0.00592153702414871	0.272182974860348
SREBF2	10	-0.13042205700112	-0.116404733631432	0.060715619987676	-2.14808079086721	0	0.00592153702414871	0.272182974860348
OTULINL	10	-0.13230228685275	-0.125707508012453	0.085813826666078	-1.54173624452816	0	0.00592153702414871	0.272182974860348
GCNT2	10	-0.133341581928506	-0.150911015994968	0.0692016190089512	-1.926856392063	0	0.00592153702414871	0.272182974860348
ZNF652	10	-0.133798246607553	-0.115318318122962	0.0921848433478339	-1.45141263735408	0	0.00592153702414871	0.272182974860348
P2RY13	10	-0.133838687655564	-0.121878802185729	0.0921080616488243	-1.45306160242351	0	0.00592153702414871	0.272182974860348
SP140	10	-0.135649455362262	-0.121775702777217	0.0976731632522363	-1.38880989255927	0	0.00592153702414871	0.272182974860348
ZMAT3	10	-0.136076995108742	-0.138867153405622	0.0943105730954469	-1.44286044122567	0	0.00592153702414871	0.272182974860348
PLAT	10	-0.136200773569388	-0.111695471696264	0.109539107323086	-1.243398608021	0	0.00592153702414871	0.272182974860348
ALOX5	10	-0.136380776363536	-0.145550042414966	0.0505507550316939	-2.69789791028895	0	0.00592153702414871	0.272182974860348
SMURF1	10	-0.136919735036945	-0.131439533014363	0.079084900324433	-1.73130059562893	0	0.00592153702414871	0.272182974860348
TAL1	10	-0.138729545172612	-0.137297029934078	0.0656699691111204	-2.11252642646849	0	0.00592153702414871	0.272182974860348
MRC2	10	-0.139042915874077	-0.153994206967693	0.0716173880803039	-1.94146867961967	0	0.00592153702414871	0.272182974860348
LPAR5	10	-0.139130555774183	-0.137695909622214	0.0689464918115274	-2.01794974796558	0	0.00592153702414871	0.272182974860348
ADAM10	10	-0.139417456768329	-0.139797106619152	0.0641262753515236	-2.17410813280639	0	0.00592153702414871	0.272182974860348
IL1RAP	10	-0.139787796147643	-0.145960947780344	0.0673545215656839	-2.07540329733205	0	0.00592153702414871	0.272182974860348
TRIM44	10	-0.142454098239135	-0.100980882847404	0.113318290030251	-1.25711478880511	0	0.00592153702414871	0.272182974860348
ARHGEF6	10	-0.143715544114377	-0.153839063957362	0.0664456513554358	-2.16290368417948	0	0.00592153702414871	0.272182974860348
TRAPPC9	10	-0.143727349589745	-0.136737770262216	0.0761419375134532	-1.88762401225147	0	0.00592153702414871	0.272182974860348
ANKRD11	10	-0.14522409236904	-0.137368246807788	0.076644005019816	-1.89478736571102	0	0.00592153702414871	0.272182974860348
SETBP1	10	-0.145859727343115	-0.155451007121883	0.0871094328286302	-1.67444239511998	0	0.00592153702414871	0.272182974860348
RASAL2	10	-0.146904161272507	-0.139462408675946	0.0682042274241556	-2.15388644986657	0	0.00592153702414871	0.272182974860348
SSH1	10	-0.148494639623041	-0.153960378046591	0.0729753866553068	-2.0348592371897	0	0.00592153702414871	0.272182974860348
VASH1	10	-0.148858845649906	-0.136501809464492	0.10359492945337	-1.43693177296782	0	0.00592153702414871	0.272182974860348
RIN2	10	-0.149172466091416	-0.120325096598417	0.0966827457466444	-1.54290680244353	0	0.00592153702414871	0.272182974860348
CD53	10	-0.149223149401468	-0.14433491295141	0.142501894624757	-1.04716607308563	0	0.00592153702414871	0.272182974860348
TRAK1	10	-0.149629152733288	-0.138680990594554	0.103884378120556	-1.44034315303545	0	0.00592153702414871	0.272182974860348
