donor	reconstructed_state	n_samples	n_cells	mean_mims2_score	mean_hmg_score	mean_state_axis	EGLN1	GPNMB	APOE	P2RY12	CX3CR1	TMEM119	SALL1	LPL	SPP1	TREM2	CTSD	PLIN2	LGALS3	PPARG	FTL	HSPB1	MGLL	TBXAS1
ms16	MIMS2_like	1	160	0.46445337962335	-0.0684969247214279	0.532950304344778	0.360015326807309	0.761113709372657	1.89437620600704	1.50900142390671	0.402239200941527	0.0394791344328044	0.091579018704267	0.193224473279906	1.66102098022349	0.164515048126837	0.509432969920738	0.0907038458225349	0.070911683574456	0.653584824594886	1.84284723279286	0.205719035180466	0.460963450094022	2.21895098612443
ms4	HMG_like	2	485	-0.149749806063465	0.46203913099747	-0.611788937060936	0.203640671811879	0.0580996113417454	1.32876511657462	1.04358657865131	1.10939528510073	0.434375313291021	0.674412276596607	0.202084284605221	1.43405174816068	0.409175777403757	0.46495835541145	0.076176287432953	0.0990017904799717	0.592194329335631	2.4203485091737	1.73715265207476	0.459567465723423	1.59049936108399
ms4	MIMS2_like	2	875	1.48336842039512	-0.421201469596277	1.9045698899914	0.236296178409489	1.88642862962363	2.88882933235841	0.209794594399142	0.26007639319708	0.0217750495759492	0.0386404350951758	0.337565294967265	1.6753034701973	0.543456662198519	1.06230205917858	0.216030727690171	0.553746062603571	0.873640690546457	3.25696106393825	1.69505456674085	0.580778262607119	1.58850673712324
ms5	HMG_like	1	438	-0.675173095479514	0.364013284807218	-1.03918638028673	0.866210698133731	0.00509925293283196	0.092617688291207	1.62336689735816	0.863596825014743	0.255432760837924	0.509857253401602	0.0733849032573744	2.84504068347648	0.0737729338552714	0.235516584853509	0.0785488711027959	0.013597560541743	0.964258331629297	0.618589427294032	0.168498617464975	0.112001196426911	2.38930990310656
ms5	MIMS2_like	1	167	0.262999308607437	-0.248703050830162	0.511702359437599	0.857618112954652	0.626761891914209	1.57684917297093	0.792208466641325	0.264986833555148	0.017331395840494	0.141175645519777	0.173478954778853	2.81479875342733	0.0951184613897766	0.380714938508344	0.12614535511529	0.0254019972080548	0.976952046140129	0.820233995281324	0.167442877790176	0.12460711399085	2.14942280245413
ms6	HMG_like	1	183	0.364663830438748	0.44394367830685	-0.0792798478681018	0.671643223195054	0.615514023315275	1.8455300241202	0.782914996524086	0.688360289944621	0.754830497530842	0.586102530888812	0.111341657540511	3.18850416141523	0.480614186237292	0.945511199940236	0.188854110048509	0.164767408815769	0.937989601849955	2.56854954969691	0.134695830842427	0.38963801354929	2.34021359022282
ms6	MIMS2_like	1	407	1.71633796291749	-0.472704538039091	2.18904250095658	0.560749868474963	2.58485595353823	2.51106208884232	0.131103470242165	0.063986047697658	0.0262852298790019	0.0576739987424754	0.162118304671388	2.25769054072448	0.365753440734515	1.56722873386239	0.380215476987021	0.636490689024847	1.0223414131181	3.15475784260502	0.128543273865547	0.355664547933868	2.26006176877596
ms7	HMG_like	1	263	-0.670817201403089	0.740833392695809	-1.4116505940989	0.367256101733504	0.0218695942800448	0.0804628069977039	2.03105239311345	1.70517513787583	0.238676220420577	0.744370876662329	0.106517807228805	1.19980294731224	0.167656482723489	0.332757886448104	0.02898207559751	0.0986962733850432	0.529892977651698	0.612357275512618	0.235217402077883	0.63629845980062	2.1616766533164
ms7	MIMS2_like	1	184	0.508112307144782	-0.161856167409652	0.669968474554434	0.259079048077623	1.37440864240134	1.16181245293858	0.855026214025021	0.615351982385549	0.0467143579224648	0.0880388744045613	0.113343705463377	1.14207095785811	0.103195359126305	0.464056676146118	0.0754566457601917	0.182118640613503	0.646946894685969	0.903029392567753	0.257467840291761	0.536752206614049	1.94685364307077
ms8	HMG_like	1	218	-0.427521658363776	1.08461157915756	-1.51213323752133	0.514789063793878	0.0269654804413542	0.679532605980135	2.12400113567708	2.49708372850907	0.558613653341649	0.669894230233924	0.0870277607259966	0.749594667846406	0.188873701989126	0.263415178985979	0.0170909148411014	0.0131974899104078	0.279058670956948	1.66945308623711	0.0656717119695208	0.852359379996077	2.19847133361018
ms8	MIMS2_like	1	201	0.6347520156551	0.0102889484174567	0.624463067237644	0.31802487732529	0.809357170949962	2.25241736699578	0.96558004968397	1.20705886563341	0.0714010750765659	0.0850125558540411	0.232330636248092	1.28578999019804	0.383949559083428	0.482314065151331	0.0341791374200444	0.091166204825582	0.487195245473237	2.00762847285586	0.169257352307438	0.815617931270771	1.89816123552998
