source	analysis	dataset	disease_name	compartment	axis_family	module	metric	compartment_plausible	n_case	n_control	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	OSM_OSMR	osm_ligand_inflammatory	high_fraction	True	6	6	0.4708322249397519	0.25718647262033184	0.21364575231942007	1.100312968533488	2.064614462870848	0.08111277905866861	0.27882517801417334
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	OSM_OSMR	osm_ligand_inflammatory	mean_score	True	6	6	0.4379990545936456	0.006429535582995379	0.4315695190106502	1.2022844242587034	2.255952516961834	0.06626788720816335	0.24414484760902286
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	OSM_OSMR	osm_osmr_core	high_fraction	True	6	6	0.415806829606894	0.24475392116573347	0.17105290844116056	1.7094331353309953	3.207560462746302	0.009614107014371058	0.07553941225577261
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	OSM_OSMR	osm_osmr_core	mean_score	True	6	6	0.2390052153663683	-0.0006163681639789488	0.23962158353034724	1.980817447447281	3.716782831122384	0.005675613457172254	0.08495960720487966
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	OSM_OSMR	osmr_receptor_response	high_fraction	True	6	6	0.4307765515535742	0.2703217303642061	0.1604548211893681	0.9179592913678325	1.7224481429230927	0.12523229030532648	0.3826542203773865
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	OSM_OSMR	osmr_receptor_response	mean_score	True	6	6	0.2556516744077606	0.023269045644593877	0.23238262876316673	0.8036567875215964	1.5079722534879065	0.179969386540603	0.5463268283726327
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	C1Q_COMPLEMENT	c1q_core	high_fraction	False	6	6	0.004797889995258416	0.006235886161218076	-0.0014379961659596596	-0.19772324706274136	-0.37100560222934204	0.7196324209928822	0.7760741795021279
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	C1Q_COMPLEMENT	c1q_core	mean_score	False	6	6	-0.01781313279394871	-0.007885444710309828	-0.009927688083638883	-0.34495921551997755	-0.6472774618046788	0.5323964060690058	0.7705963490887286
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	C1Q_COMPLEMENT	c1q_phagolysosomal	high_fraction	False	6	6	0.1438635816500842	0.1194573549315119	0.024406226718572302	0.2639155198282871	0.49520801335259007	0.6352326027653538	0.7742967797065495
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	False	6	6	0.04199944794516285	0.005079781644552766	0.03691966630061009	1.0024071960636973	1.8809052095762289	0.10637371907096885	0.35457906356989616
