seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor	mean_unique_score_levels
57132	v42_plus_one_mc_tied	0.0	5	8	8	0.5153252214778523	9.999000099990002e-05	0.981868152939316	4.85986
57132	v42_plus_one_mc_tied	0.0	6	10	10	0.5113678612138786	9.999000099990002e-05	0.9861911697998701	4.9412
57132	v42_plus_one_mc_tied	0.0	7	4	5	0.5509829797020298	0.0051994800519948	0.9452434883145032	4.33222
57132	v42_plus_one_mc_tied	0.0	8	5	5	0.5417658014198581	0.0026997300269973002	0.9547916497870632	4.46264
57132	v42_plus_one_mc_tied	0.0	9	6	6	0.5317130326967303	0.0004999500049995	0.9655998222835128	4.65198
57132	v42_plus_one_mc_tied	0.0	10	7	7	0.5220150384961504	0.00029997000299970003	0.9748034834466385	4.77674
57132	v42_plus_one_mc_tied	0.0	11	8	8	0.5198352724727527	9.999000099990002e-05	0.9781551133838841	4.85724
57132	v42_plus_one_mc_tied	0.0	12	10	10	0.5130981621837817	9.999000099990002e-05	0.9874564859750699	4.9423
57132	v42_plus_one_mc_tied	0.5	1	4	5	0.36476518548145187	0.0058994100589941	1.208189520717683	4.2758
57132	v42_plus_one_mc_tied	0.5	2	5	5	0.3481526507349265	0.0020997900209979003	1.3069641572537878	4.38952
57132	v42_plus_one_mc_tied	0.5	3	6	6	0.31552304569543044	0.00039996000399960006	1.6944631326283692	4.5914
57132	v42_plus_one_mc_tied	0.5	4	7	7	0.2926000119988001	9.999000099990002e-05	2.16126025702798	4.7198
57132	v42_plus_one_mc_tied	0.5	5	8	8	0.27402875512448754	9.999000099990002e-05	2.574800577567609	4.80646
57132	v42_plus_one_mc_tied	0.5	6	10	10	0.24247218078192181	9.999000099990002e-05	3.5376752134737575	4.90968
57132	v42_plus_one_mc_tied	0.5	7	4	5	0.3642757604239577	0.0051994800519948	1.2145757007883105	4.27794
57132	v42_plus_one_mc_tied	0.5	8	5	5	0.3437211918808119	0.0020997900209979003	1.3203525786022987	4.3915
57132	v42_plus_one_mc_tied	0.5	9	6	6	0.3147699370062994	0.00039996000399960006	1.6761256729048568	4.58902
57132	v42_plus_one_mc_tied	0.5	10	7	7	0.2930631196880312	9.999000099990002e-05	2.1321751144907	4.71794
57132	v42_plus_one_mc_tied	0.5	11	8	8	0.2735622717728227	9.999000099990002e-05	2.6633275352850614	4.80756
57132	v42_plus_one_mc_tied	0.5	12	10	10	0.24248671732826718	9.999000099990002e-05	3.5340374694596535	4.90896
57132	v42_plus_one_mc_tied	0.9	1	4	5	0.24327474452554743	0.0052994700529947	1.7252431084340347	4.16846
57132	v42_plus_one_mc_tied	0.9	2	5	5	0.22134815118488155	0.0023997600239976003	2.186097238781652	4.25954
57132	v42_plus_one_mc_tied	0.9	3	6	6	0.18498605739426058	0.00039996000399960006	3.3201678823882776	4.46852
57132	v42_plus_one_mc_tied	0.9	4	7	7	0.15728376962303772	9.999000099990002e-05	4.886803160293774	4.61802
57132	v42_plus_one_mc_tied	0.9	5	8	8	0.13774208179182082	9.999000099990002e-05	6.887100620463209	4.7209
57132	v42_plus_one_mc_tied	0.9	6	10	10	0.10591801419858013	9.999000099990002e-05	11.463043937800249	4.8498
57132	v42_plus_one_mc_tied	0.9	7	4	5	0.2437930906909309	0.0052994700529947	1.7211470610884876	4.1635
57132	v42_plus_one_mc_tied	0.9	8	5	5	0.22010590540945904	0.001999800019998	2.185115622403098	4.25528
57132	v42_plus_one_mc_tied	0.9	9	6	6	0.18600767523247672	0.00039996000399960006	3.338569755447884	4.46418
57132	v42_plus_one_mc_tied	0.9	10	7	7	0.1599075112488751	9.999000099990002e-05	4.856010006546651	4.61776
57132	v42_plus_one_mc_tied	0.9	11	8	8	0.13667438456154385	9.999000099990002e-05	6.725744550129072	4.71736
57132	v42_plus_one_mc_tied	0.9	12	10	10	0.10532896510348966	9.999000099990002e-05	11.702067986139214	4.84856
57133	exact_tied	0.0	1	4	5	0.5522747619047619	0.007936507936507936	0.9435990173982202	4.32776
57133	exact_tied	0.0	2	5	5	0.5431950793650795	0.003968253968253968	0.9533075547129636	4.46274
57133	exact_tied	0.0	3	6	6	0.5325387662337662	0.0010822510822510823	0.9641275586838063	4.65192
57133	exact_tied	0.0	4	7	7	0.5254808624708625	0.0002913752913752914	0.9737521137491301	4.77956
57133	exact_tied	0.0	5	8	8	0.5186792245532245	0.0002331002331002331	0.9788172085640378	4.8582
57133	exact_tied	0.0	6	10	10	0.5142095917859231	8.118816168351773e-05	0.9838493916543947	4.9422
57133	exact_tied	0.0	7	4	5	0.5511568253968254	0.007936507936507936	0.9452547624047697	4.32282
57133	exact_tied	0.0	8	5	5	0.5453805555555555	0.003968253968253968	0.9523522769361705	4.46268
57133	exact_tied	0.0	9	6	6	0.5282047402597402	0.0010822510822510823	0.9686272524247126	4.6572
57133	exact_tied	0.0	10	7	7	0.5240954953379953	0.0002913752913752914	0.9738250931622608	4.7841
57133	exact_tied	0.0	11	8	8	0.5189984413364414	7.77000777000777e-05	0.9796170272389699	4.86326
57133	exact_tied	0.0	12	10	10	0.5117517473857411	0.00016237632336703545	0.9880298845749192	4.9406
57133	exact_tied	0.5	1	4	5	0.36250539682539684	0.007936507936507936	1.2255189803548037	4.27416
57133	exact_tied	0.5	2	5	5	0.34568309523809526	0.003968253968253968	1.3156752833866177	4.39192
57133	exact_tied	0.5	3	6	6	0.3164892207792208	0.0010822510822510823	1.682399718821272	4.59044
57133	exact_tied	0.5	4	7	7	0.29303178321678325	0.0002913752913752914	2.119030463786529	4.7203
57133	exact_tied	0.5	5	8	8	0.2727274545454546	7.77000777000777e-05	2.6482487070862843	4.80852
