n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	median_latent_events	median_confirmable_events	median_missed_confirmations	median_false_confirmations	seed
800	800	83	0.10375	0.08447870310535094	0.12680855628764734	0.01	0.09375	-0.6420603623062657	-0.10206200637640238	42.0	404.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	67.0	52.0	5.0	0.0	55401
800	800	258	0.3225	0.2910237379714875	0.3556727630815276	0.3225	0.0	1.4999679788641602	0.2322041103015647	43.0	405.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	68.0	53.0	5.0	0.0	55401
800	800	122	0.1525	0.12925287612926012	0.17906844283368478	0.00125	0.15125	-0.9099362868427555	-0.09734244227081074	88.0	405.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	134.0	108.0	10.0	0.0	55401
800	800	393	0.49125	0.456732374818066	0.5258512555155335	0.49125	0.0	1.9351227473134909	0.211147116295272	88.0	405.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	109.0	11.0	0.0	55401
800	800	100	0.125	0.10385954425092685	0.14972461290333025	0.00375	0.12125	-0.7783704043388027	-0.08640813677585557	85.0	810.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	134.0	105.0	10.0	0.0	55401
800	800	438	0.5475	0.5128638732045729	0.5816821335558877	0.5475	0.0	2.0564310382924447	0.22266128254252227	85.0	810.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	135.0	105.0	10.0	0.0	55401
800	800	221	0.27625	0.2463901216016828	0.30824842550035725	0.0	0.27625	-1.4264699931127676	-0.10777350982781436	175.0	810.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	270.0	216.0	22.0	0.0	55401
800	800	616	0.77	0.7395891979124052	0.7978302089365299	0.77	0.0	2.756598793412597	0.20663883211502176	177.0	811.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	270.0	218.0	22.0	0.0	55401
800	800	158	0.1975	0.1713863684253791	0.22650485167905496	0.0	0.1975	-1.1085945442313503	-0.09365451323149368	140.0	1351.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	224.0	173.0	17.0	0.0	55401
800	800	610	0.7625	0.7318007106404107	0.7906903793516094	0.7625	0.0	2.6757521270405724	0.2245600568513768	141.0	1350.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	225.0	174.5	17.0	0.0	55401
