stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_z_across_seeds	median_one_step_log_hr_across_seeds	median_events_across_seeds	median_usable_n_across_seeds	median_latent_events	median_confirmable_events	median_missed_confirmations	median_false_confirmations
complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	101	0.042083333333333334	0.034755540966182205	0.05087467315021728	0.0375	0.05	0.020416666666666666	0.021666666666666667	-0.013610045679938834	-0.0007603955400571451	324.0	1350.0	450.0	360.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	2400	2400	2399	0.9995833333333334	0.9976435040691644	0.9999264443152188	0.99875	1.0	0.9995833333333334	0.0	5.558239174581367	0.30887488033154936	327.0	1349.5	450.0	363.0	0.0	0.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	130	0.05416666666666667	0.04580279198779465	0.06395546925383178	0.04375	0.06875	0.024166666666666666	0.03	0.04345024098112981	0.005840749683094828	54.0	405.5	67.0	52.0	0.0	8.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	1315	0.5479166666666667	0.5279441333647187	0.5677360535111814	0.54375	0.5525	0.5479166666666667	0.0	2.0708519806845103	0.28423387304110576	55.0	405.0	67.0	52.0	0.0	8.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	127	0.05291666666666667	0.04465342711256278	0.06260882925404015	0.045	0.05875	0.024166666666666666	0.02875	-0.001090779391090033	-0.00010952415443697985	103.0	405.0	135.0	108.0	0.0	7.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	1989	0.82875	0.8131555750701763	0.8432937070609982	0.81875	0.8475	0.82875	0.0	2.9253767111418227	0.2917386955774887	104.0	405.0	136.0	109.0	0.0	7.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	106	0.04416666666666667	0.036649271846520746	0.05314095039491786	0.0375	0.0525	0.022916666666666665	0.02125	0.002478970489840131	0.00024364697593245028	108.0	810.0	135.0	104.0	0.0	16.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	2004	0.835	0.8196168273653085	0.8493124791409833	0.82625	0.84375	0.835	0.0	2.910807572397066	0.27946486585663805	109.0	810.0	135.0	105.0	0.0	16.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	106	0.04416666666666667	0.036649271846520746	0.05314095039491786	0.04375	0.045	0.02125	0.022916666666666665	-0.026787789294224415	-0.0018419600820892518	207.0	810.0	270.0	216.0	0.0	14.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	2369	0.9870833333333333	0.9817244759508225	0.9908854236833259	0.98	0.99125	0.9870833333333333	0.0	4.17620257293565	0.29036847137731925	208.0	810.0	270.0	218.0	0.0	13.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	145	0.06041666666666667	0.05156879378731482	0.07066949182942898	0.05625	0.065	0.03125	0.029166666666666667	0.020572914119786595	0.0015437670377647622	181.0	1350.0	225.0	174.5	0.0	26.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	2301	0.95875	0.9500332973981344	0.9660004917354817	0.9425	0.9725	0.95875	0.0	3.7279102656853733	0.2777412155745844	181.0	1350.0	225.0	175.0	0.0	26.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	124	0.051666666666666666	0.04350543887790849	0.06126081261367097	0.0425	0.06125	0.03	0.021666666666666667	0.03607382172478817	0.0019590485283823675	346.0	1351.0	451.0	361.0	0.0	23.0
independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	2400	2400	2400	1.0	0.9984019500093908	0.9999999999999998	1.0	1.0	1.0	0.0	5.350494241881435	0.28888596731800037	347.0	1350.0	450.0	363.0	0.0	23.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	109	0.04541666666666667	0.037787901216132236	0.05449832590032985	0.04	0.05125	0.019583333333333335	0.025833333333333333	0.009470116274208034	0.0014177417341520349	42.0	405.0	67.0	52.0	5.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	1312	0.5466666666666666	0.5266913909769482	0.5664927910239284	0.49875	0.58625	0.5466666666666666	0.0	2.066411635636376	0.3245144614042487	43.0	405.0	68.0	53.0	5.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	123	0.05125	0.04312309010690729	0.06081115975966435	0.04625	0.06	0.027916666666666666	0.023333333333333334	0.01482115813664275	0.0015960599496076073	88.0	405.0	135.0	108.0	11.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	1960	0.8166666666666667	0.8006841940927583	0.8316370409131892	0.81375	0.81875	0.8166666666666667	0.0	2.8513712313399604	0.30483747960030244	88.0	405.0	135.0	109.0	11.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	117	0.04875	0.04083242307898277	0.05810981703754192	0.0375	0.06	0.022916666666666665	0.025833333333333333	-0.015295558242449141	-0.0016527853920669281	85.0	810.0	135.0	104.0	10.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	1987	0.8279166666666666	0.812294631593024	0.8424906472881348	0.81875	0.84375	0.8279166666666666	0.0	2.9544542704722057	0.3204992994139605	85.0	810.0	135.0	105.0	11.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	115	0.04791666666666667	0.040070219356026275	0.057208017510482774	0.035	0.05625	0.020833333333333332	0.027083333333333334	0.03561037576093083	0.00265386343384562	176.0	810.0	270.0	216.0	21.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	2356	0.9816666666666667	0.9754791037926237	0.9863147747164228	0.97875	0.98375	0.9816666666666667	0.0	4.002576066755413	0.30508984379170934	177.0	810.0	269.0	218.0	22.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	114	0.0475	0.0396893802591921	0.05675685498230911	0.03875	0.055	0.025	0.0225	0.030713217012734925	0.00255803895960156	141.0	1350.0	225.0	175.0	17.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	2313	0.96375	0.9555003360508425	0.9705174725828676	0.95625	0.96875	0.96375	0.0	3.765237193990914	0.31861011363515174	142.0	1350.0	225.0	175.0	17.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	143	0.059583333333333335	0.050798245786234916	0.06977603658049325	0.05625	0.06375	0.030416666666666668	0.029166666666666667	-0.026753187455595268	-0.0015808001350291442	292.0	1351.0	450.0	361.0	36.0	0.0
independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	2400	2400	2400	1.0	0.9984019500093908	0.9999999999999998	1.0	1.0	1.0	0.0	5.201471538337785	0.30328583622232475	294.0	1350.0	450.0	362.5	36.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	246	0.1025	0.09099380312747325	0.11527664661506097	0.0975	0.10625	0.00375	0.09875	-0.6420603623062657	-0.10206200637640238	42.0	405.0	67.0	52.0	5.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	731	0.3045833333333333	0.2864949611079111	0.3232962767634186	0.295	0.3225	0.3045833333333333	0.0	1.4879269688738825	0.226604757839808	42.0	405.0	68.0	52.0	5.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	415	0.17291666666666666	0.15831254110435136	0.1885661832645054	0.1525	0.185	0.00125	0.17166666666666666	-0.9532395249101024	-0.10135242087091846	88.0	405.0	135.0	108.0	11.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	1127	0.46958333333333335	0.4496810914159033	0.48958278995852544	0.4425	0.49125	0.46958333333333335	0.0	1.8957196526309041	0.2053382918948632	88.0	405.0	135.0	109.0	11.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	338	0.14083333333333334	0.1274899587690483	0.15532464047420588	0.125	0.15	0.0033333333333333335	0.1375	-0.89972220469839	-0.09868904776218126	85.0	810.0	135.0	105.0	10.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	1325	0.5520833333333334	0.5321208551703036	0.5718793479556747	0.5475	0.56	0.5520833333333334	0.0	2.1135547952175386	0.22887081333051185	85.0	810.0	135.0	105.0	10.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	645	0.26875	0.2513941197577888	0.28684497836286793	0.24625	0.28375	0.0004166666666666667	0.2683333333333333	-1.3525720363513107	-0.10292525963946891	175.0	810.0	270.0	216.0	22.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	1858	0.7741666666666667	0.7570077913241736	0.7904492779309756	0.76125	0.79125	0.7741666666666667	0.0	2.690497506694924	0.2047929136340968	177.0	810.0	270.0	218.0	22.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	470	0.19583333333333333	0.18044800500959177	0.2121908087346954	0.18	0.21	0.0	0.19583333333333333	-1.1085945442313503	-0.09365451323149368	141.0	1351.0	225.0	174.0	17.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	1809	0.75375	0.7361171911551696	0.7705717984745963	0.73625	0.7625	0.75375	0.0	2.6643023831984527	0.2229636573783333	142.0	1350.0	225.0	175.0	17.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	976	0.4066666666666667	0.38717876239643867	0.4264528736018084	0.3925	0.41625	0.0004166666666666667	0.40625	-1.717114126850634	-0.10009955449753591	292.0	1351.0	449.0	360.0	36.0	0.0
joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	2400	2400	2264	0.9433333333333334	0.933355205495577	0.9518945235127495	0.9375	0.94625	0.9433333333333334	0.0	3.4838540641063904	0.20446646232167848	294.0	1350.0	450.0	362.0	36.0	0.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	172	0.07166666666666667	0.06201735173715296	0.08268497775480217	0.07	0.07375	0.056666666666666664	0.015	0.26739869129206384	0.03897209377624094	49.0	405.0	67.0	52.0	5.0	8.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	1426	0.5941666666666666	0.5743854766478487	0.6136468906039199	0.5925	0.59625	0.5941666666666666	0.0	2.174690088348035	0.31195813854964893	50.0	405.0	68.0	52.0	5.0	8.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	148	0.06166666666666667	0.0527255656379856	0.0720087248537817	0.04875	0.0725	0.007916666666666667	0.05375	-0.2837935027871322	-0.029070020877001643	94.0	405.0	135.0	108.0	11.0	7.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	1537	0.6404166666666666	0.6210075310898743	0.6593770165377629	0.6125	0.655	0.6404166666666666	0.0	2.3461350700039407	0.24034144170926242	94.0	405.0	135.0	109.0	11.0	7.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	195	0.08125	0.07097661786083195	0.09286174900630317	0.07125	0.0875	0.06708333333333333	0.014166666666666666	0.36486747817045556	0.036294672847631916	99.0	810.0	135.0	105.0	10.0	16.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	2067	0.86125	0.8468416615631034	0.8745037473186814	0.8575	0.8675	0.86125	0.0	3.043584445954364	0.3044481363820615	100.0	810.0	135.0	105.0	10.5	16.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	215	0.08958333333333333	0.07880398315540887	0.10167441621188275	0.07375	0.10625	0.00875	0.08083333333333333	-0.5502389546325699	-0.040676143237945696	188.0	810.0	270.0	217.0	22.0	13.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	2180	0.9083333333333333	0.89612719674991	0.9192343957577591	0.9025	0.9175	0.9083333333333333	0.0	3.315349279647898	0.24136403418551478	188.0	810.0	270.0	218.0	22.0	13.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	230	0.09583333333333334	0.08469417555327059	0.10826424818913842	0.08875	0.10125	0.08625	0.009583333333333333	0.5055393193360673	0.03920404453479205	165.0	1351.0	225.0	174.0	17.0	26.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	2342	0.9758333333333333	0.9688871011514398	0.9812587546074972	0.97125	0.98125	0.9758333333333333	0.0	3.9355505344463655	0.3060832267906143	166.0	1350.0	225.0	175.0	17.0	27.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	250	0.10416666666666667	0.09257123881284512	0.11702721742972041	0.09375	0.11375	0.00875	0.09541666666666666	-0.6245213625291579	-0.03556123547028711	313.0	1350.0	449.0	361.0	36.0	23.0
mixed_joint_miss_score_false	joint	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	2400	2400	2368	0.9866666666666667	0.9812383490224228	0.9905395489867177	0.98375	0.99	0.9866666666666667	0.0	4.330173769472941	0.2446394649712147	314.0	1350.0	449.0	362.0	36.0	23.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	91	0.03791666666666667	0.030984340383834567	0.04632585748248665	0.0325	0.0475	0.02125	0.016666666666666666	0.029358565982171396	0.004719944942945441	42.0	405.0	67.0	52.0	5.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	1372	0.5716666666666667	0.5517703842230693	0.5913338952782766	0.55625	0.5925	0.5716666666666667	0.0	2.1145386468771195	0.32628140673810024	42.0	405.0	68.0	52.0	5.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	107	0.044583333333333336	0.03702862104523895	0.05359360282120748	0.03875	0.05125	0.020416666666666666	0.024166666666666666	-0.006055708138905884	-0.0006243397856407333	88.0	406.0	135.0	108.0	11.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	1975	0.8229166666666666	0.8071316463712995	0.8376696130097653	0.81625	0.83125	0.8229166666666666	0.0	2.840324011458713	0.3066443279654374	88.0	405.0	135.0	109.0	11.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	127	0.05291666666666667	0.04465342711256278	0.06260882925404015	0.04875	0.0575	0.025	0.027916666666666666	-0.0130908024413082	-0.001467009612159465	85.0	810.0	135.0	105.0	10.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	1991	0.8295833333333333	0.8140166479094699	0.8440966374717203	0.815	0.84625	0.8295833333333333	0.0	2.9601261654099877	0.32425356313240694	85.0	810.0	135.0	105.0	11.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	125	0.052083333333333336	0.04388794581462335	0.061710307301963946	0.03875	0.06625	0.02375	0.028333333333333332	-0.0013282851336646815	-9.699268042787954e-05	176.0	810.0	270.0	217.0	22.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	2367	0.98625	0.98075332261828	0.9901925737658527	0.98	0.99	0.98625	0.0	4.039995701063063	0.307763547482542	176.0	810.0	270.0	218.0	22.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	112	0.04666666666666667	0.0389282385121976	0.05585399347928797	0.0425	0.05125	0.025	0.021666666666666667	0.015528965132004646	0.0013259978038007913	141.0	1350.0	225.0	175.0	17.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	2335	0.9729166666666667	0.9656279680726783	0.9786938763112039	0.97125	0.97625	0.9729166666666667	0.0	3.8123988421022146	0.3222608677371929	142.0	1350.0	224.0	175.0	17.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	111	0.04625	0.038547940372746545	0.05540228999373119	0.03875	0.05375	0.022916666666666665	0.023333333333333334	-0.02098085683437436	-0.001202664608767868	292.0	1350.0	450.0	360.0	36.0	0.0
risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	2400	2400	2399	0.9995833333333334	0.9976435040691644	0.9999264443152188	0.99875	1.0	0.9995833333333334	0.0	5.2897436108660685	0.31290330620191276	294.0	1350.0	450.0	362.0	36.0	0.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	353	0.14708333333333334	0.13347716129467468	0.16181746232369687	0.1425	0.15625	0.145	0.0020833333333333333	0.8604316379529557	0.11712614147738568	54.0	405.0	67.0	52.0	0.0	8.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	1933	0.8054166666666667	0.789095539568585	0.8207616515621512	0.78625	0.825	0.8054166666666667	0.0	2.8926264882968535	0.3916135066435268	54.0	405.0	68.0	53.0	0.0	8.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	210	0.0875	0.07684421251002062	0.09947417873223187	0.0675	0.1025	0.08166666666666667	0.005833333333333334	0.5695736980837587	0.05627528041398125	104.0	405.0	135.0	108.5	0.0	7.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	2244	0.935	0.9244253379357993	0.9441843585723709	0.9275	0.945	0.935	0.0	3.4895764948781904	0.34680594244596347	104.0	405.0	135.0	109.0	0.0	7.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	529	0.22041666666666668	0.20428643460341586	0.23744047501633306	0.21	0.22625	0.21958333333333332	0.0008333333333333334	1.163193223155865	0.11375512117800893	108.0	810.0	135.0	105.0	0.0	16.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	2353	0.9804166666666667	0.974056827062857	0.9852410465711662	0.97875	0.98125	0.9804166666666667	0.0	4.039812385300131	0.3907176823519207	109.0	810.0	136.0	105.0	0.0	16.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	329	0.13708333333333333	0.12390203975781124	0.1514245448603725	0.13125	0.14	0.13125	0.005833333333333334	0.8041731149073674	0.056221045668487374	207.0	810.0	270.0	216.0	0.0	14.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	2394	0.9975	0.9945562007937974	0.9988537394655466	0.9975	0.9975	0.9975	0.0	4.935433958486576	0.348582555293098	208.0	810.0	270.0	218.0	0.0	13.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	803	0.33458333333333334	0.31598354599160017	0.3537118088802931	0.31625	0.345	0.33458333333333334	0.0	1.5329345591322765	0.11465547706112447	181.0	1351.0	225.0	175.0	0.0	26.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	2400	1.0	0.9984019500093908	0.9999999999999998	1.0	1.0	1.0	0.0	5.295092376645522	0.39666785606270627	181.0	1351.0	225.0	175.0	0.0	26.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	416	0.17333333333333334	0.15871418330336312	0.18899654269050148	0.1625	0.1825	0.17083333333333334	0.0025	1.0048987282514652	0.05408181305610392	344.0	1350.0	450.0	360.0	0.0	23.0
score_false_2pct	none	score	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	2400	2400	2400	1.0	0.9984019500093908	0.9999999999999998	1.0	1.0	1.0	0.0	6.290167086328794	0.34363310180432205	347.0	1350.0	450.0	363.0	0.0	22.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	188	0.07833333333333334	0.06824479712710832	0.08976955836497202	0.07375	0.0825	0.009166666666666667	0.06916666666666667	-0.5305942426408671	-0.08251991563190116	42.0	405.0	68.0	52.0	5.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	882	0.3675	0.3484373657059764	0.386986117541535	0.3375	0.38625	0.36666666666666664	0.0008333333333333334	1.6366445930623892	0.2541417320174847	43.0	405.0	67.0	52.0	5.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	308	0.12833333333333333	0.11554382077523764	0.14231072971778172	0.115	0.135	0.0025	0.12583333333333332	-0.7816391783929904	-0.0844999297074508	87.0	405.0	135.0	108.0	11.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	1244	0.5183333333333333	0.4983296463066198	0.5382784251937245	0.495	0.5325	0.5183333333333333	0.0	2.055778860559495	0.21874325144877704	88.0	405.0	135.0	109.0	11.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	253	0.10541666666666667	0.09375495224926683	0.11833950886832217	0.08875	0.11625	0.0020833333333333333	0.10333333333333333	-0.7116960691587899	-0.07702835382399745	84.0	810.0	135.0	105.0	10.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	1428	0.595	0.5752238854110234	0.6144724850907608	0.58	0.605	0.595	0.0	2.197136077874596	0.2389651160377813	85.0	810.0	135.0	105.0	10.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	506	0.21083333333333334	0.19498282402300807	0.22760804822156086	0.18125	0.235	0.0008333333333333334	0.21	-1.1424442898154372	-0.08568983429120713	175.0	810.0	270.0	217.0	21.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	1939	0.8079166666666666	0.7916689908155801	0.823180210065203	0.79375	0.8175	0.8079166666666666	0.0	2.825442671646627	0.21319731453048968	177.0	810.0	270.0	218.0	22.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	385	0.16041666666666668	0.14627857100037497	0.175640104618247	0.14875	0.17375	0.002916666666666667	0.1575	-0.9610415690306755	-0.07925450036714243	141.0	1350.0	225.0	175.0	17.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	1969	0.8204166666666667	0.8045518419613212	0.8352574076696967	0.80375	0.83375	0.8204166666666667	0.0	2.8754880084692473	0.24187133463848395	141.0	1350.0	225.0	175.0	18.0	0.0
score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	2400	2400	790	0.32916666666666666	0.3106527168428843	0.3482266169039071	0.315	0.345	0.0	0.32916666666666666	-1.4906560059381047	-0.0872997186337306	292.0	1350.0	450.0	360.0	36.0	0.0
