query_id	source	status	count	top_ids	query
ms_gafson_dmf_neda	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_dmf_geo_accession	ncbi_gds	ok	7	200255952;200063361;200063343;200130494;200130478;200098241;200039886	"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	ncbi_pubmed	ok	0		"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	ncbi_sra	ok	0		"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	europe_pmc	ok	8	41998301;41948457;40838804;40266880;41339376;39684792;39859234;39315953	"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	biostudies_arrayexpress	ok	1	S-EPMC12297339	"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	zenodo	ok	0		"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	figshare	ok	5	14481249;32414622;32660742;32660856;32660817	"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_dmf_geo_accession	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""dimethyl fumarate"" AND ""multiple sclerosis"" AND ""GEO"" AND (GSE OR accession))"
ms_fingolimod_response_transcriptome	ncbi_gds	ok	0		"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	ncbi_pubmed	ok	20	42039602;40288545;39201568;38338652;36931169;35183994;35068175;34504491	"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	ncbi_sra	ok	50	30998070;30998069;30998068;30998067;30998066;30998065;30998064;30998063	"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	europe_pmc	ok	8	PMC13040110;41981407;42189307;41300779;40994054;10.64898/2026.03.20.713174;41948457;42066758	"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	biostudies_arrayexpress	ok	11	S-EPMC6068231;S-EPMC10263182;S-EPMC8551071;S-EPMC6490155;S-EPMC7884771	"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	zenodo	ok	0		"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	figshare	ok	5	14481249;32414622;32660862;32660856;32660817	"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_fingolimod_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""multiple sclerosis"" AND fingolimod AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	ncbi_gds	ok	2	200255952;200230064	"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	ncbi_pubmed	ok	7	42278461;42162633;41373455;40727939;39933126;38152407;37168665	"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	ncbi_sra	ok	0		"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	europe_pmc	ok	8	42278461;10.64898/2026.03.20.713174;41373455;PMC13040110;40510879;40537080;40819018;40454471	"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	biostudies_arrayexpress	ok	1	S-EPMC11600310	"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	zenodo	ok	0		"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	figshare	ok	5	14481249;32414622;32660862;32660856;32660817	"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_ocrelizumab_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""multiple sclerosis"" AND ocrelizumab AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	ncbi_gds	ok	5	200292997;200261258;200255952;200044966;200044964	"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	ncbi_pubmed	ok	8	42250325;40727939;38917802;38838284;37533036;34479997;33574821;31180553	"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	ncbi_sra	ok	0		"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	europe_pmc	ok	8	PMC13040110;41981407;42189307;41698162;41578339;41871309;10.21203/rs.3.rs-8544428/v1;41776163	"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	biostudies_arrayexpress	ok	4	S-EPMC10394872;S-EPMC7870993;E-GEOD-44964;E-GEOD-44966	"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	zenodo	ok	0		"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	figshare	ok	5	31093330;14481249;32414622;32660862;32660856	"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_natalizumab_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""multiple sclerosis"" AND natalizumab AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	ncbi_gds	ok	3	200292997;200255952;200230064	"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	ncbi_pubmed	ok	11	42278461;42193097;40614039;39963134;38152407;38084102;37559720;37533036	"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	ncbi_sra	ok	0		"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	europe_pmc	ok	8	41981407;PMC13040110;42193097;42278461;41990287;10.64898/2026.03.20.713174;41406407;40327539	"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	biostudies_arrayexpress	ok	5	S-EPMC10028280;S-EPMC10394872;S-EPMC4811964;S-EPMC4338369;S-EPMC3446986	"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	zenodo	ok	1	17778156	"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	figshare	ok	5	31093330;32407530;14481249;32414622;32660862	"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ms_teriflunomide_cladribine_alemtuzumab_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""multiple sclerosis"" AND (teriflunomide OR cladribine OR alemtuzumab) AND (response OR responder) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	ncbi_gds	ok	2	200266310;200143443	"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	ncbi_pubmed	ok	10	41841677;41668767;41440263;41388589;40798883;40388487;39488916;31872186	"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	ncbi_sra	ok	40	42547793;42547649;42546951;42546563;42546335;42545366;42545237;42544969	"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	europe_pmc	ok	8	41437385;41841677;42123319;42045784;41909652;41766878;41668767;42094618	"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	biostudies_arrayexpress	ok	8	E-MTAB-16533;S-EPMC6917316;S-EPMC8700278;S-EPMC8185103;S-EPMC9313893	"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	zenodo	ok	0		"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	figshare	ok	5	31093330;32407530;14481249;32414622;32660862	"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ra_jak_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""rheumatoid arthritis"" AND (tofacitinib OR upadacitinib OR baricitinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))"
ibd_jak_response_transcriptome	ncbi_gds	ok	1	200105417	((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	ncbi_pubmed	ok	17	42009642;41879068;41826961;41569324;40869955;39656830;39656426;39435148	((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	ncbi_sra	ok	23	31335865;31335864;31335863;31335862;31335861;31335860;31335859;31335858	((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	europe_pmc	ok	8	42045784;42223054;39860613;41871904;40630470;41569324;40986406;41879068	((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	biostudies_arrayexpress	ok	5	S-EPMC8277522;S-EPMC8700278;S-EPMC8185103;S-EPMC7012494;S-EPMC3446986	((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	zenodo	ok	0		((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	figshare	ok	5	31093330;32407530;14481249;32414622;32660862	((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_jak_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		((ulcerative colitis OR Crohn OR IBD) AND (tofacitinib OR upadacitinib OR filgotinib) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	ncbi_gds	ok	5	200247146;200206285;200191328;200171770;200112366	((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	ncbi_pubmed	ok	26	41697021;40614748;40488582;40067082;39969502;39656426;39438660;38401525	((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	ncbi_sra	ok	222	33372585;33372583;33372581;33372579;33372577;33372575;33372573;33372571	((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	europe_pmc	ok	8	42045784;PMC13232209;42171375;41930211;41595725;41675494;41479866;41547753	((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	biostudies_arrayexpress	ok	5	E-MTAB-7845;E-MTAB-7914;S-EPMC7143962;E-GEOD-23597;E-MTAB-3732	((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	zenodo	ok	0		((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	figshare	ok	5	31093330;32407530;14481249;32414622;32660862	((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
ibd_biologic_paired_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		((ulcerative colitis OR Crohn OR IBD) AND (vedolizumab OR ustekinumab OR infliximab OR adalimumab) AND (paired OR longitudinal OR baseline) AND (response OR responder OR remission) AND (transcriptome OR RNA-seq OR microarray))
psoriasis_response_transcriptome	ncbi_gds	ok	4	200287022;200217552;200106992;100000570	(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	ncbi_pubmed	ok	52	42196396;42191094;41987562;41821126;41565778;41107119;40943056;40172874	(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	ncbi_sra	ok	0		(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	europe_pmc	ok	8	42140907;41684030;41312187;40785801;41565778;37108251;41987562;41445854	(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	biostudies_arrayexpress	ok	19	S-EPMC8515260;S-EPMC11172747;S-EPMC8299604;S-EPMC9214344;S-EPMC9510771	(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	zenodo	ok	0		(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	figshare	ok	5	31093330;32407530;14481249;32414622;32660862	(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
psoriasis_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		(psoriasis AND (adalimumab OR methotrexate OR ustekinumab OR secukinumab) AND (response OR PASI75 OR responder) AND (transcriptome OR microarray OR RNA-seq))
