sample	gsm	treatment	donor	module	score	n_genes_present
Sample4	GSM5617149	Unstimulated	D	mif_cd74_receptor_state	0.20109819349048966	7
Sample5	GSM5617150	anti-SLAMF7	A	mif_cd74_receptor_state	-0.24188979108229278	7
Sample6	GSM5617151	anti-SLAMF7	C	mif_cd74_receptor_state	0.7560814691045993	7
Sample7	GSM5617152	anti-SLAMF7	D	mif_cd74_receptor_state	0.3171880875661263	7
Sample8	GSM5617153	r-SLAMF7	A	mif_cd74_receptor_state	-0.367001150310878	7
Sample9	GSM5617154	r-SLAMF7	B	mif_cd74_receptor_state	-1.050360706702184	7
Sample10	GSM5617155	r-SLAMF7	C	mif_cd74_receptor_state	0.3950057411276257	7
Sample11	GSM5617156	r-SLAMF7	D	mif_cd74_receptor_state	-0.09501616864464309	7
Sample1	GSM5617146	Unstimulated	A	mixscale_validated_ifng_readout	0.7503253346171189	8
Sample2	GSM5617147	Unstimulated	B	mixscale_validated_ifng_readout	0.46184938336601267	8
Sample3	GSM5617148	Unstimulated	C	mixscale_validated_ifng_readout	0.6551453826134539	8
Sample4	GSM5617149	Unstimulated	D	mixscale_validated_ifng_readout	0.8719153758291907	8
Sample5	GSM5617150	anti-SLAMF7	A	mixscale_validated_ifng_readout	-0.04473915959108595	8
Sample6	GSM5617151	anti-SLAMF7	C	mixscale_validated_ifng_readout	-0.04429694803677764	8
Sample7	GSM5617152	anti-SLAMF7	D	mixscale_validated_ifng_readout	0.2968251902693164	8
Sample8	GSM5617153	r-SLAMF7	A	mixscale_validated_ifng_readout	-0.3907304513396315	8
Sample9	GSM5617154	r-SLAMF7	B	mixscale_validated_ifng_readout	-1.711278013422779	8
Sample10	GSM5617155	r-SLAMF7	C	mixscale_validated_ifng_readout	-0.5342299156619622	8
Sample11	GSM5617156	r-SLAMF7	D	mixscale_validated_ifng_readout	-0.31078617864287045	8
Sample1	GSM5617146	Unstimulated	A	lipid_loader_repair	0.48219834150170465	12
Sample2	GSM5617147	Unstimulated	B	lipid_loader_repair	-0.016449448234934754	12
Sample3	GSM5617148	Unstimulated	C	lipid_loader_repair	0.9337736029513807	12
Sample4	GSM5617149	Unstimulated	D	lipid_loader_repair	0.3392687940422649	12
Sample5	GSM5617150	anti-SLAMF7	A	lipid_loader_repair	0.028058015998408025	12
Sample6	GSM5617151	anti-SLAMF7	C	lipid_loader_repair	0.3200704725180723	12
Sample7	GSM5617152	anti-SLAMF7	D	lipid_loader_repair	-0.38804692384499706	12
Sample8	GSM5617153	r-SLAMF7	A	lipid_loader_repair	-0.2199123552306739	12
Sample9	GSM5617154	r-SLAMF7	B	lipid_loader_repair	-0.711490713052835	12
Sample10	GSM5617155	r-SLAMF7	C	lipid_loader_repair	-0.10400127108201206	12
Sample11	GSM5617156	r-SLAMF7	D	lipid_loader_repair	-0.6634685155663793	12
Sample1	GSM5617146	Unstimulated	A	complement_phagocytosis	0.48609064503781213	7
Sample2	GSM5617147	Unstimulated	B	complement_phagocytosis	0.1399279074779328	7
Sample3	GSM5617148	Unstimulated	C	complement_phagocytosis	1.0049944784024885	7
Sample4	GSM5617149	Unstimulated	D	complement_phagocytosis	1.3961701515295653	7
Sample5	GSM5617150	anti-SLAMF7	A	complement_phagocytosis	-0.36007349826104373	7
Sample6	GSM5617151	anti-SLAMF7	C	complement_phagocytosis	0.1478634853706013	7
Sample7	GSM5617152	anti-SLAMF7	D	complement_phagocytosis	0.06166419034072477	7
Sample8	GSM5617153	r-SLAMF7	A	complement_phagocytosis	-0.7237804153643763	7
Sample9	GSM5617154	r-SLAMF7	B	complement_phagocytosis	-1.1888644984560073	7
Sample10	GSM5617155	r-SLAMF7	C	complement_phagocytosis	-0.28389184693398456	7
Sample11	GSM5617156	r-SLAMF7	D	complement_phagocytosis	-0.6801005991437099	7
Sample1	GSM5617146	Unstimulated	A	hif_nampt_metabolic	-0.21997621187853034	8
Sample2	GSM5617147	Unstimulated	B	hif_nampt_metabolic	-0.7076384347700184	8
Sample3	GSM5617148	Unstimulated	C	hif_nampt_metabolic	-0.3306812126171044	8
Sample4	GSM5617149	Unstimulated	D	hif_nampt_metabolic	-0.6971217578871705	8
Sample5	GSM5617150	anti-SLAMF7	A	hif_nampt_metabolic	0.2546300561119041	8
Sample6	GSM5617151	anti-SLAMF7	C	hif_nampt_metabolic	0.24342488164058018	8
Sample7	GSM5617152	anti-SLAMF7	D	hif_nampt_metabolic	0.24707289550837905	8
Sample8	GSM5617153	r-SLAMF7	A	hif_nampt_metabolic	0.5875255579618806	8
Sample9	GSM5617154	r-SLAMF7	B	hif_nampt_metabolic	0.03225345496885211	8
Sample10	GSM5617155	r-SLAMF7	C	hif_nampt_metabolic	0.5113503114338682	8
Sample11	GSM5617156	r-SLAMF7	D	hif_nampt_metabolic	0.07916045952735973	8
Sample1	GSM5617146	Unstimulated	A	inflammatory_nfkb	-0.8797829917162096	9
Sample2	GSM5617147	Unstimulated	B	inflammatory_nfkb	-0.4267255015256698	9
Sample3	GSM5617148	Unstimulated	C	inflammatory_nfkb	-1.039520419693333	9
Sample4	GSM5617149	Unstimulated	D	inflammatory_nfkb	-1.5968333704850144	9
Sample5	GSM5617150	anti-SLAMF7	A	inflammatory_nfkb	0.7039764719625287	9
Sample6	GSM5617151	anti-SLAMF7	C	inflammatory_nfkb	0.7563111646095317	9
Sample7	GSM5617152	anti-SLAMF7	D	inflammatory_nfkb	0.42661200637454494	9
Sample8	GSM5617153	r-SLAMF7	A	inflammatory_nfkb	0.4851783564954548	9
Sample9	GSM5617154	r-SLAMF7	B	inflammatory_nfkb	0.5059327095926954	9
Sample10	GSM5617155	r-SLAMF7	C	inflammatory_nfkb	0.5881892480943506	9
Sample11	GSM5617156	r-SLAMF7	D	inflammatory_nfkb	0.4766623262911234	9
Sample1	GSM5617146	Unstimulated	A	slamf7_receptor_axis	0.2779587454208964	8
Sample2	GSM5617147	Unstimulated	B	slamf7_receptor_axis	0.1770145785760633	8
Sample3	GSM5617148	Unstimulated	C	slamf7_receptor_axis	0.30218934624851257	8
Sample4	GSM5617149	Unstimulated	D	slamf7_receptor_axis	0.3957544037673887	8
Sample5	GSM5617150	anti-SLAMF7	A	slamf7_receptor_axis	-0.078575891884867	8
Sample6	GSM5617151	anti-SLAMF7	C	slamf7_receptor_axis	-0.0005355730811827872	8
Sample7	GSM5617152	anti-SLAMF7	D	slamf7_receptor_axis	0.34311471063292776	8
Sample8	GSM5617153	r-SLAMF7	A	slamf7_receptor_axis	-0.09254849786887132	8
Sample9	GSM5617154	r-SLAMF7	B	slamf7_receptor_axis	-0.8030354141294214	8
Sample10	GSM5617155	r-SLAMF7	C	slamf7_receptor_axis	-0.3091164181119935	8
Sample11	GSM5617156	r-SLAMF7	D	slamf7_receptor_axis	-0.21221998956944182	8
Sample1	GSM5617146	Unstimulated	A	tnf_autocrine_nfkb	-1.0141733732309548	12
Sample2	GSM5617147	Unstimulated	B	tnf_autocrine_nfkb	-0.5955237901738518	12
Sample3	GSM5617148	Unstimulated	C	tnf_autocrine_nfkb	-0.939256895258567	12
Sample4	GSM5617149	Unstimulated	D	tnf_autocrine_nfkb	-1.4964218160537988	12
Sample5	GSM5617150	anti-SLAMF7	A	tnf_autocrine_nfkb	0.6441326856471424	12
Sample6	GSM5617151	anti-SLAMF7	C	tnf_autocrine_nfkb	0.7895214019776281	12
Sample7	GSM5617152	anti-SLAMF7	D	tnf_autocrine_nfkb	0.4167527731333412	12
Sample8	GSM5617153	r-SLAMF7	A	tnf_autocrine_nfkb	0.532025809645816	12
Sample9	GSM5617154	r-SLAMF7	B	tnf_autocrine_nfkb	0.46159482666559776	12
Sample10	GSM5617155	r-SLAMF7	C	tnf_autocrine_nfkb	0.7521516300141955	12
Sample11	GSM5617156	r-SLAMF7	D	tnf_autocrine_nfkb	0.44919674763345546	12
Sample1	GSM5617146	Unstimulated	A	host_defense_cost	-0.6933129868285376	8
Sample2	GSM5617147	Unstimulated	B	host_defense_cost	-0.5125663766982973	8
Sample3	GSM5617148	Unstimulated	C	host_defense_cost	-0.9167544831024715	8
Sample4	GSM5617149	Unstimulated	D	host_defense_cost	-1.0493693277284022	8
Sample5	GSM5617150	anti-SLAMF7	A	host_defense_cost	0.4724060279388674	8
Sample6	GSM5617151	anti-SLAMF7	C	host_defense_cost	0.5262087099980157	8
Sample7	GSM5617152	anti-SLAMF7	D	host_defense_cost	0.6052696954003897	8
Sample8	GSM5617153	r-SLAMF7	A	host_defense_cost	0.3729001402900843	8
Sample9	GSM5617154	r-SLAMF7	B	host_defense_cost	0.28087015636913676	8
Sample10	GSM5617155	r-SLAMF7	C	host_defense_cost	0.34518030787241216	8
Sample11	GSM5617156	r-SLAMF7	D	host_defense_cost	0.5691681364888039	8
