predictor	analysis	disease_name	compartment	role	n_case	rho	p
osm_ligand_inflammatory_myeloid	ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	18	-0.025799793601651185	0.9190604851409846
osm_ligand_inflammatory_myeloid	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	-0.48333333333333334	0.18746985521554216
osm_ligand_inflammatory_myeloid	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.5454545454545455	0.08265095734417502
osm_ligand_inflammatory_myeloid	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	-0.11515151515151514	0.7514196523258484
osm_ligand_inflammatory_myeloid	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.3	0.623837664781073
osm_ligand_inflammatory_myeloid	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
osm_ligand_inflammatory_myeloid	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	-0.09999999999999999	0.8728885715695384
osm_ligand_inflammatory_myeloid	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.0	1.0
osm_ligand_inflammatory_myeloid	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.39999999999999997	0.6
osmr_receptor_core	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.5428571428571429	0.26570262390670546
osmr_receptor_core	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.14285714285714288	0.7871720116618076
osmr_receptor_core	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.2	0.7040000000000001
osmr_receptor_core	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.48571428571428577	0.3287230320699708
osmr_receptor_core	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	-0.3142857142857143	0.5440932944606415
osmr_receptor_core	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.6	0.208
osmr_receptor_core	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-1.0	0.0
osmr_receptor_core	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	-0.5	0.6666666666666666
osmr_receptor_core	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	1.0	0.0
osmr_receptor_core	ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	18	0.30443756449948395	0.21933066080450503
osmr_receptor_core	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.7166666666666667	0.02981803569584528
osmr_receptor_core	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.7636363636363637	0.006233059747904752
osmr_receptor_core	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.28484848484848485	0.4250381548921453
osmr_receptor_core	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.49999999999999994	0.3910022189557703
