predictor	analysis	disease_name	compartment	n_case	n_control	delta_case_minus_control_z	p	positive_nominal
gene:NAMPT	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.47834785199904994	0.6948880781792374	False
gene:NAMPT	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.7473276353093598	0.2424839767393219	False
gene:NAMPT	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.6868377645684646	0.30432012821186993	False
gene:NAMPT	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.1763782995472258	0.25337234099800104	False
gene:NMI	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.8372037474971809	0.16797542579621882	False
gene:NMI	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.2064456616444117	0.0423313982901086	True
gene:NMI	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.596670423696611	0.33839591669453484	False
gene:NMI	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.4036649550119737	0.5243507729081351	False
gene:NMI	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.560526630701695	0.0017820855433929323	True
gene:NMI	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.09417397478941278	0.8809218429576174	False
gene:NMI	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.6875124380858832	0.035859583432749545	True
gene:NMI	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.6850367957183991	0.02964757886293775	True
gene:NMI	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.451833675963793	0.09238477416918943	True
gene:NMI	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.22198974885162304	0.5891210243281814	False
gene:NMI	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.3348531106041825	0.4106507216558695	False
gene:NMI	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.00026886980802153236	0.9994828639711334	False
gene:NMI	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.9961802527839205	0.2397408327749794	False
gene:NMI	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.6188339642655387	0.3501732490577204	False
gene:NMI	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.0194330475468678	0.1313347104381339	False
gene:NMI	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.6202353169640505	0.33344198034867134	False
gene:NMI	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.5349938564237138	0.45733547690357595	False
gene:ATOX1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.26210496972737773	0.6727445974878961	False
gene:ATOX1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.1160186892125385	0.8516290268007041	False
gene:ATOX1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.3811137793706902	0.015956662268397544	True
gene:ATOX1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-0.5592093114463327	0.3627082523739921	False
gene:ATOX1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.11687734894372734	0.8511043025469522	False
gene:ATOX1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.7004503790935834	0.0003575671965820812	True
gene:ATOX1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.5217827511170416	0.07402080903778681	True
gene:ATOX1	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.502468207107776	0.09212062232087215	True
gene:ATOX1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.569704545381532	0.02812084033289943	True
gene:ATOX1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.7289498999589927	0.08017611468260967	True
gene:ATOX1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.03251881848898375	0.9361641535504763	False
gene:ATOX1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.6787286597253306	0.08838231436041948	True
gene:ATOX1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.9565376601434181	0.05195052312153688	True
gene:ATOX1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.5664094765346634	0.500178686285345	False
gene:ATOX1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.18545875946555854	0.7077505172606354	False
gene:ATOX1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.3720269689060244	0.5134172289802303	False
gene:ATOX1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.16353742244296132	0.766469795326007	False
gene:LRRC59	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.670680698099792	0.00045562872186271193	True
gene:LRRC59	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.3377222539563457	0.5853221335956055	False
gene:LRRC59	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.3489501597265445	0.016752339457731483	True
gene:LRRC59	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.1763927777174366	0.043371563662461816	True
gene:LRRC59	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.03085776416627145	0.9604638653648114	False
gene:LRRC59	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.8922793171615813	0.1378314009541525	False
gene:LRRC59	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.3321047587276116	0.13791543233704537	False
gene:LRRC59	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.2313359301642932	0.14194150615486745	False
gene:LRRC59	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.5110871816242657	0.04263450842494531	True
gene:LRRC59	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.4585708801632946	0.2658685862236145	False
gene:LRRC59	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.4958664856159193	0.19981111168855611	False
gene:LRRC59	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.23919203022235883	0.5667449359045386	False
gene:LRRC59	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.4584717537434711	0.48423966494076665	False
gene:LRRC59	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.3383924952413894	0.7305470451109494	False
gene:LRRC59	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.29693050544415844	0.42858643363555954	False
gene:LRRC59	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.8798688613223868	0.027958970331437343	True
gene:LRRC59	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.8042497176086953	0.0691504742017657	True
c1q_phagocytic_myeloid	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.2722032376868158	0.026336942283091396	True
c1q_phagocytic_myeloid	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.564147646751298	0.352963477350812	False
c1q_phagocytic_myeloid	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.5518148010238524	0.3637470843156748	False
c1q_phagocytic_myeloid	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.3003457861630885	0.025379653513743244	True
c1q_phagocytic_myeloid	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.8772633163095183	0.15209476594926102	False
c1q_phagocytic_myeloid	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-1.4323517169653437	0.006327859212378166	False
c1q_phagocytic_myeloid	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-1.3187777502680755	0.12771286615735886	False
c1q_phagocytic_myeloid	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.02680331709643698	0.9789528227392608	False
c1q_phagocytic_myeloid	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.37620938715221036	0.7038287572217329	False
c1q_phagocytic_myeloid	ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	18	18	0.07146520912950566	0.8338635568179331	False
c1q_phagocytic_myeloid	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.4413646095980974	0.2853554836240645	False
c1q_phagocytic_myeloid	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.5321649920631041	0.20399247767848364	False
c1q_phagocytic_myeloid	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.08686129347082958	0.8256115024329566	False
c1q_phagocytic_myeloid	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.0630861876194897	0.011643226984164453	True
c1q_phagocytic_myeloid	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.9184028622355563	0.5159416808009962	False
c1q_phagocytic_myeloid	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.03789413615333623	0.9144042300361587	False
c1q_phagocytic_myeloid	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.22798867575333592	0.7190712166352577	False
c1q_phagocytic_myeloid	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.3959927192008892	0.37540471930686276	False
gene:TMEM167A	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.3330086962527336	0.591865513989043	False
gene:TMEM167A	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.2029271302953666	0.04265556665458266	True
gene:TMEM167A	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.40568879785774226	0.5201303907706402	False
gene:TMEM167A	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.12524055545238194	0.8404593013651015	False
gene:TMEM167A	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.4957228515953318	0.008267510673325658	True
gene:TMEM167A	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.4040585096313394	0.006771828931108403	True
gene:TMEM167A	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4826493971139114	0.06901913475759232	True
gene:TMEM167A	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.4878649440566436	0.060781472982014806	True
gene:TMEM167A	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.3965981588727008	0.12944918708958475	False
gene:TMEM167A	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.15621145218796376	0.7094857405177007	False
gene:TMEM167A	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.3367884830622247	0.40140553656483624	False
gene:TMEM167A	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.13563025864584338	0.753011178607043	False
gene:TMEM167A	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.8042464971925154	0.2021905752106663	False
gene:TMEM167A	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.3561265222056251	0.5675957509285209	False
gene:TMEM167A	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.05289922033471231	0.9270195374414275	False
gene:TMEM167A	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.3211269757502641	0.5203928151872054	False
gene:TMEM167A	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.9778678585307725	0.1923724064435381	False
gene:IFI16	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.4559211892735715	0.011559006920748618	True
gene:IFI16	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.443551279802144	0.007724264671344532	True
gene:IFI16	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.36245031297702857	0.5622226656513848	False
gene:IFI16	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.21087393880945	0.048908730072812726	True
gene:IFI16	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.7765303609993723	0.20566856559731808	False
gene:IFI16	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.28185980830586704	0.6481416002560957	False
gene:IFI16	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4463955317678172	0.0947196802982813	True
gene:IFI16	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.448353383658857	0.647052236469398	False
gene:IFI16	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.1268460416720723	0.19648288841336822	False
gene:IFI16	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.2901918652582845	0.47873381344298	False
gene:IFI16	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.05124514140628356	0.8996237270917496	False
gene:IFI16	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.27334232255722485	0.5321426642652587	False
gene:IFI16	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.2098401962364398	0.20780892134627182	False
gene:IFI16	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.5772963856997737	0.23879877918310422	False
gene:IFI16	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.03461607772960367	0.9304274360508784	False
gene:IFI16	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.046297342584515025	0.9439851289768081	False
gene:IFI16	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.247866220819926	0.7472757133589364	False
gene:RAB11A	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.8322422614860454	0.1634471913544451	False
gene:RAB11A	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.119197764195108	0.847856873779767	False
gene:RAB11A	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.5400912195754568	0.0016644915451298036	True
gene:RAB11A	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.34820093295874	0.5797815658997605	False
gene:RAB11A	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.10956170448091504	0.8606994889825742	False
gene:RAB11A	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.0694203935377526	0.08147442404963938	True
gene:RAB11A	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.8062040531754069	0.38068829188593756	False
gene:RAB11A	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.3284061904780449	0.10121919985243241	False
gene:RAB11A	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.1099118232394642	0.2573881967032929	False
gene:RAB11A	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.10106472515708839	0.8153161361811663	False
gene:RAB11A	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.27696929981226837	0.48229483628657577	False
gene:RAB11A	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.1354240359669242	0.743566820032532	False
gene:RAB11A	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.1580315188931272	0.09169850657135102	True
gene:RAB11A	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.07199828149811817	0.9224907538821331	False
gene:RAB11A	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.8946941840131593	0.1394018461225053	False
gene:RAB11A	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.9299427117674588	0.10989781852673539	False
gene:RAB11A	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.5659496360268292	0.45454105417534874	False
gene:FCGR2B	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.8151897041611076	0.19199899386090089	False
gene:FCGR2B	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.07889005129705663	0.8990883649141244	False
gene:FCGR2B	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.12977374549187987	0.8342412529045057	False
gene:FCGR2B	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.3427383748351981	0.5882330276204352	False
gene:FCGR2B	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.7500715665489763	0.20906973162470835	False
gene:FCGR2B	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-1.2821648926802531	0.028567118896193778	False
gene:FCGR2B	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-0.6596307132158383	0.48896457582047786	False
gene:FCGR2B	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.7837260193015212	0.4179086908010749	False
gene:FCGR2B	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.4430188224630597	0.6467804812702438	False
gene:FCGR2B	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.17864373392958707	0.6760500174230772	False
gene:FCGR2B	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.8520944067069588	0.050742166074207146	True
gene:FCGR2B	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.7427102023286855	0.05862259448426064	False
gene:FCGR2B	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.2451315529962557	0.6636949841594346	False
gene:FCGR2B	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.5088814661134895	0.43547570024188087	False
gene:FCGR2B	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.7755052640583754	0.27341166739289235	False
gene:FCGR2B	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.2695632761738729	0.3321949846529792	False
gene:STAB1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.9407467329043309	0.11342447379948306	False
gene:STAB1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.888819381263416	0.13006793140111225	False
gene:STAB1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.8965716502318477	0.1396486955322826	False
gene:STAB1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-1.294488410629901	0.03374652715803664	False
gene:STAB1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-1.3579202166798399	0.023759274193520148	False
gene:STAB1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.9252584941542882	0.13433967607535705	False
gene:STAB1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.0639536724279108	0.26379332263397964	False
gene:STAB1	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.7223729083487154	0.47428410799648124	False
gene:STAB1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6700395342772745	0.020635352307476547	True
gene:STAB1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.2152672855308495	0.6350033363250612	False
gene:STAB1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.4054205798253804	0.27558070067225915	False
gene:STAB1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.20519536540242075	0.6187405721414898	False
gene:STAB1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.2837508920297864	0.6229599456550992	False
gene:STAB1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.8668204874635936	0.5838290094173466	False
gene:STAB1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.979172770391639	0.03188123313885197	True
gene:STAB1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.48130196145300314	0.35858751813428325	False
gene:STAB1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.40860606266867605	0.22085069251864517	False
gene:PSMA1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.7926465708367125	0.1833983709937404	False
gene:PSMA1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.6395304092106475	0.28880334869153	False
gene:PSMA1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.9468994632948051	0.11609887845638023	False
gene:PSMA1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.910922880170926	0.1241985246465058	False
gene:PSMA1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.2916798155605127	0.020583786732099832	True
gene:PSMA1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.0587847624550013	0.08125766271639767	True
gene:PSMA1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-1.1613322532056065	0.174635187111714	False
gene:PSMA1	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.5660038002558245	0.5533556843833961	False
gene:PSMA1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6025670133390537	0.024543436498330885	True
gene:PSMA1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.11015719076549682	0.8052062619368795	False
gene:PSMA1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.2497729805200592	0.5317716539429866	False
gene:PSMA1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.004368936953337929	0.9914500546736676	False
gene:PSMA1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.0575479046429437	0.08073897531490137	True
gene:PSMA1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.4554623913313534	0.6082878389663061	False
gene:PSMA1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.7801032938541208	0.10020070751549759	False
