source	query	status	mode	hit_count	top_titles	url
EuropePMC	"""SP140"" degrader"	200	cache	8	Bromodomain-Driven Regulation of Stem Cells: A Potential Target for Cancer Therapeutic Intervention. || Bromodomain proteins as potential therapeutic targets for B-cell non-Hodgkin lymphoma. || Functional Roles of Bromodomain Proteins in Cancer.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+degrader&format=json&pageSize=5
EuropePMC	"""IL12A"" ""multiple sclerosis"" therapeutic"	200	cache	405	Interferon regulatory factor 8 Drives Autoimmune Neuroinflammation in Experimental Autoimmune Encephalomyelitis || Aberrant long-chain fatty acids metabolism and its interplay with immuno-inflammatory responses in relapsing-remitting multiple sclerosis. || Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL12A%22+%22multiple+sclerosis%22+therapeutic&format=json&pageSize=5
EuropePMC	"""IL12A"" autoimmune therapeutic target"	200	cache	884	Interferon regulatory factor 8 Drives Autoimmune Neuroinflammation in Experimental Autoimmune Encephalomyelitis || Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach. || METTL3 Potentiates Corneal Allograft Rejection via Increased Pro-Inflammatory Cytokine Production and Aerobic Glycolysis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL12A%22+autoimmune+therapeutic+target&format=json&pageSize=5
EuropePMC	"""GALC"" autoimmune multiple sclerosis therapeutic"	200	cache	410	Very late-onset Krabbe disease with concomitant dementia: case description and a critical review of the literature. || Regulatory B cell CCL3 competency promotes disease resolution and oligodendrogenesis in experimental autoimmune encephalomyelitis. || The Elusive B Cell Antigen in Multiple Sclerosis: Time to Rethink CNS B Cell Functions.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GALC%22+autoimmune+multiple+sclerosis+therapeutic&format=json&pageSize=5
ClinicalTrials.gov	SP140	200	cache	1	The Heart Failure With Preserved Ejection Fraction (HFpEF) Pathophysiology Study.	https://clinicaltrials.gov/api/v2/studies?query.term=SP140&pageSize=10&format=json
ClinicalTrials.gov	SP140 autoimmune	200	cache	0		https://clinicaltrials.gov/api/v2/studies?query.term=SP140+autoimmune&pageSize=10&format=json
ClinicalTrials.gov	SP140 Crohn	200	cache	0		https://clinicaltrials.gov/api/v2/studies?query.term=SP140+Crohn&pageSize=10&format=json
ClinicalTrials.gov	IL12A multiple sclerosis	200	cache	4	Immunoadsorption vs. Plasmapheresis in the Escalation Therapy of Relapse in Multiple Sclerosis || Multimodal Exploration of Patients With Multiple Sclerosis for an Early Detection of Subtle Progression || Immunoadsorption Versus High-dose Intravenous Corticosteroids in Relapsing Multiple Sclerosis	https://clinicaltrials.gov/api/v2/studies?query.term=IL12A+multiple+sclerosis&pageSize=10&format=json
ClinicalTrials.gov	IL12A autoimmune	200	cache	10	Immunoadsorption vs. Plasmapheresis in the Escalation Therapy of Relapse in Multiple Sclerosis || Multimodal Exploration of Patients With Multiple Sclerosis for an Early Detection of Subtle Progression || Immunological Profile and Microbial Markers in Evaluating the Effectiveness of Probiotic Therapy in RA Patients	https://clinicaltrials.gov/api/v2/studies?query.term=IL12A+autoimmune&pageSize=10&format=json
ClinicalTrials.gov	GALC multiple sclerosis	200	cache	1	Early Check: Expanded Screening in Newborns	https://clinicaltrials.gov/api/v2/studies?query.term=GALC+multiple+sclerosis&pageSize=10&format=json
