gene	query_gene	approved_symbol	ensembl	disease	disease_id	max_score	evidence_count	pmids	note
TASL_CXorf21	TASL	TASL	ENSG00000120280	AS	EFO_0003898	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	AITD	EFO_0006812	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	Celiac	EFO_0001060	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	PBC	EFO_1001486	0.0	0		
IRF5	IRF5	IRF5	ENSG00000128604	MS	MONDO_0005301	0.8702490925788879	1	31604244	
IRF5	IRF5	IRF5	ENSG00000128604	RA	EFO_0000685	0.9114173650741576	23	23143596;24390342;24532676;27193031;30423114;30573655;32514122;33310728;34594039;35470158;36333501;36653562;36762574;38368726;40262193	
IRF5	IRF5	IRF5	ENSG00000128604	SLE	MONDO_0007915	0.9155219197273254	27	18204098;19838193;19838195;21408207;23053960;23273568;23740937;24871463;26502338;26606652;27193031;27399966;28714469;30573655;33272962;33536424;35167971;36327221;36750564;36762574;39024449	
IRF5	IRF5	IRF5	ENSG00000128604	Crohn	EFO_0000384	0.8875870108604431	3	26974007;36653562	
IRF5	IRF5	IRF5	ENSG00000128604	UC	EFO_0000729	0.9188385009765624	7	23128233;26974007;28067908;36653562;37156999	
IRF5	IRF5	IRF5	ENSG00000128604	Psoriasis	EFO_0000676	0.8752970695495605	2	26974007;40021644	
IRF5	IRF5	IRF5	ENSG00000128604	T1D	MONDO_0005147	0.0	0		
IRF5	IRF5	IRF5	ENSG00000128604	Sjogren	EFO_0000699	0.8931877017021179	6	24097067;28076899;34594039;36653562	
IRF5	IRF5	IRF5	ENSG00000128604	AS	EFO_0003898	0.8657761216163635	1	26974007	
IRF5	IRF5	IRF5	ENSG00000128604	AITD	EFO_0006812	0.0	0		
IRF5	IRF5	IRF5	ENSG00000128604	Celiac	EFO_0001060	0.0	0		
IRF5	IRF5	IRF5	ENSG00000128604	PBC	EFO_1001486	0.8544211983680725	6	22936693;22961000;26394269;34033851;36653562	
TLR7	TLR7	TLR7	ENSG00000196664	MS	MONDO_0005301	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	RA	EFO_0000685	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	SLE	MONDO_0007915	0.0808219164609909	1	33272962	
TLR7	TLR7	TLR7	ENSG00000196664	Crohn	EFO_0000384	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	UC	EFO_0000729	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	Psoriasis	EFO_0000676	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	T1D	MONDO_0005147	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	Sjogren	EFO_0000699	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	AS	EFO_0003898	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	AITD	EFO_0006812	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	Celiac	EFO_0001060	0.0	0		
TLR7	TLR7	TLR7	ENSG00000196664	PBC	EFO_1001486	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	MS	MONDO_0005301	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	RA	EFO_0000685	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	SLE	MONDO_0007915	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	Crohn	EFO_0000384	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	UC	EFO_0000729	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	Psoriasis	EFO_0000676	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	T1D	MONDO_0005147	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	Sjogren	EFO_0000699	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	AS	EFO_0003898	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	AITD	EFO_0006812	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	Celiac	EFO_0001060	0.0	0		
TLR8	TLR8	TLR8	ENSG00000101916	PBC	EFO_1001486	0.0	0		
TLR9						0.0	0		not_in_wave13_opentargets_input
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	MS	MONDO_0005301	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	RA	EFO_0000685	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	SLE	MONDO_0007915	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	Crohn	EFO_0000384	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	UC	EFO_0000729	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	Psoriasis	EFO_0000676	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	T1D	MONDO_0005147	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	Sjogren	EFO_0000699	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	AS	EFO_0003898	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	AITD	EFO_0006812	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	Celiac	EFO_0001060	0.0	0		
UNC93B1	UNC93B1	UNC93B1	ENSG00000110057	PBC	EFO_1001486	0.0	0		
