source_domain	check	status	detail
datadryad.org	n_records_matches_expected	PASS	expected=1 actual=1
datadryad.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
datadryad.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
datadryad.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
datadryad.org	has_convergence_matches_expected	PASS	expected=no actual=no
datadryad.org	has_contradiction_matches_expected	PASS	expected=no actual=no
disgenet.com	domain_present_in_rollup	PASS	disgenet.com
disgenet.com	n_records_matches_expected	PASS	expected=1 actual=1
disgenet.com	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
disgenet.com	n_matrix_rows_matches_expected	PASS	expected=1 actual=1
disgenet.com	matrix_relationship_counts_matches_expected	PASS	expected=insufficient-overlap:1 actual=insufficient-overlap:1
disgenet.com	has_convergence_matches_expected	PASS	expected=no actual=no
disgenet.com	has_contradiction_matches_expected	PASS	expected=no actual=no
ebi.ac.uk	domain_present_in_rollup	PASS	ebi.ac.uk
ebi.ac.uk	n_records_matches_expected	PASS	expected=4 actual=4
ebi.ac.uk	record_relationship_counts_matches_expected	PASS	expected=orthogonal:4 actual=orthogonal:4
ebi.ac.uk	n_matrix_rows_matches_expected	PASS	expected=1 actual=1
ebi.ac.uk	matrix_relationship_counts_matches_expected	PASS	expected=insufficient-overlap:1 actual=insufficient-overlap:1
ebi.ac.uk	has_convergence_matches_expected	PASS	expected=no actual=no
ebi.ac.uk	has_contradiction_matches_expected	PASS	expected=no actual=no
ega-archive.org	domain_present_in_rollup	PASS	ega-archive.org
ega-archive.org	n_records_matches_expected	PASS	expected=1 actual=1
ega-archive.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
ega-archive.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
ega-archive.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
ega-archive.org	has_convergence_matches_expected	PASS	expected=no actual=no
ega-archive.org	has_contradiction_matches_expected	PASS	expected=no actual=no
ema.europa.eu	domain_present_in_rollup	PASS	ema.europa.eu
ema.europa.eu	n_records_matches_expected	PASS	expected=1 actual=1
ema.europa.eu	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
ema.europa.eu	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
ema.europa.eu	matrix_relationship_counts_matches_expected	PASS	expected= actual=
ema.europa.eu	has_convergence_matches_expected	PASS	expected=no actual=no
ema.europa.eu	has_contradiction_matches_expected	PASS	expected=no actual=no
england.nhs.uk	domain_present_in_rollup	PASS	england.nhs.uk
england.nhs.uk	n_records_matches_expected	PASS	expected=1 actual=1
england.nhs.uk	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
england.nhs.uk	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
england.nhs.uk	matrix_relationship_counts_matches_expected	PASS	expected= actual=
england.nhs.uk	has_convergence_matches_expected	PASS	expected=no actual=no
england.nhs.uk	has_contradiction_matches_expected	PASS	expected=no actual=no
europepmc.org	domain_present_in_rollup	PASS	europepmc.org
europepmc.org	n_records_matches_expected	PASS	expected=1 actual=1
europepmc.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
europepmc.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
europepmc.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
europepmc.org	has_convergence_matches_expected	PASS	expected=no actual=no
europepmc.org	has_contradiction_matches_expected	PASS	expected=no actual=no
fda.gov	domain_present_in_rollup	PASS	fda.gov
fda.gov	n_records_matches_expected	PASS	expected=1 actual=1
fda.gov	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
fda.gov	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
fda.gov	matrix_relationship_counts_matches_expected	PASS	expected= actual=
fda.gov	has_convergence_matches_expected	PASS	expected=no actual=no
fda.gov	has_contradiction_matches_expected	PASS	expected=no actual=no
imsgc.net	domain_present_in_rollup	PASS	imsgc.net
imsgc.net	n_records_matches_expected	PASS	expected=1 actual=1
imsgc.net	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
imsgc.net	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
imsgc.net	matrix_relationship_counts_matches_expected	PASS	expected= actual=
imsgc.net	has_convergence_matches_expected	PASS	expected=no actual=no
imsgc.net	has_contradiction_matches_expected	PASS	expected=no actual=no
info.figshare.com	domain_present_in_rollup	PASS	info.figshare.com
info.figshare.com	n_records_matches_expected	PASS	expected=1 actual=1
info.figshare.com	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
info.figshare.com	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
info.figshare.com	matrix_relationship_counts_matches_expected	PASS	expected= actual=
info.figshare.com	has_convergence_matches_expected	PASS	expected=no actual=no
info.figshare.com	has_contradiction_matches_expected	PASS	expected=no actual=no
msbase.org	domain_present_in_rollup	PASS	msbase.org
msbase.org	n_records_matches_expected	PASS	expected=1 actual=1
msbase.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
msbase.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
msbase.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
msbase.org	has_convergence_matches_expected	PASS	expected=no actual=no
msbase.org	has_contradiction_matches_expected	PASS	expected=no actual=no
msda.emif-catalogue.eu	domain_present_in_rollup	PASS	msda.emif-catalogue.eu
msda.emif-catalogue.eu	n_records_matches_expected	PASS	expected=1 actual=1
msda.emif-catalogue.eu	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
msda.emif-catalogue.eu	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
msda.emif-catalogue.eu	matrix_relationship_counts_matches_expected	PASS	expected= actual=
msda.emif-catalogue.eu	has_convergence_matches_expected	PASS	expected=no actual=no
msda.emif-catalogue.eu	has_contradiction_matches_expected	PASS	expected=no actual=no
mssociety.org.uk	domain_present_in_rollup	PASS	mssociety.org.uk
mssociety.org.uk	n_records_matches_expected	PASS	expected=2 actual=2
mssociety.org.uk	record_relationship_counts_matches_expected	PASS	expected=orthogonal:2 actual=orthogonal:2
mssociety.org.uk	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
mssociety.org.uk	matrix_relationship_counts_matches_expected	PASS	expected= actual=
mssociety.org.uk	has_convergence_matches_expected	PASS	expected=no actual=no
mssociety.org.uk	has_contradiction_matches_expected	PASS	expected=no actual=no
narcoms.org	domain_present_in_rollup	PASS	narcoms.org
narcoms.org	n_records_matches_expected	PASS	expected=1 actual=1
narcoms.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
narcoms.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
narcoms.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
narcoms.org	has_convergence_matches_expected	PASS	expected=no actual=no
narcoms.org	has_contradiction_matches_expected	PASS	expected=no actual=no
nationalmssociety.org	domain_present_in_rollup	PASS	nationalmssociety.org
nationalmssociety.org	n_records_matches_expected	PASS	expected=4 actual=4
nationalmssociety.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:4 actual=orthogonal:4
nationalmssociety.org	n_matrix_rows_matches_expected	PASS	expected=1 actual=1
nationalmssociety.org	matrix_relationship_counts_matches_expected	PASS	expected=insufficient-overlap:1 actual=insufficient-overlap:1
nationalmssociety.org	has_convergence_matches_expected	PASS	expected=no actual=no
nationalmssociety.org	has_contradiction_matches_expected	PASS	expected=no actual=no
nature.com	domain_present_in_rollup	PASS	nature.com
nature.com	n_records_matches_expected	PASS	expected=2 actual=2
nature.com	record_relationship_counts_matches_expected	PASS	expected=supports:2 actual=supports:2
nature.com	n_matrix_rows_matches_expected	PASS	expected=3 actual=3
nature.com	matrix_relationship_counts_matches_expected	PASS	expected=converges:2;insufficient-overlap:1 actual=converges:2;insufficient-overlap:1
nature.com	has_convergence_matches_expected	PASS	expected=yes actual=yes
nature.com	has_contradiction_matches_expected	PASS	expected=no actual=no
ncbi.nlm.nih.gov	domain_present_in_rollup	PASS	ncbi.nlm.nih.gov
ncbi.nlm.nih.gov	n_records_matches_expected	PASS	expected=2 actual=2
ncbi.nlm.nih.gov	record_relationship_counts_matches_expected	PASS	expected=orthogonal:2 actual=orthogonal:2
ncbi.nlm.nih.gov	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
ncbi.nlm.nih.gov	matrix_relationship_counts_matches_expected	PASS	expected= actual=
ncbi.nlm.nih.gov	has_convergence_matches_expected	PASS	expected=no actual=no
ncbi.nlm.nih.gov	has_contradiction_matches_expected	PASS	expected=no actual=no
ngdc.cncb.ac.cn	domain_present_in_rollup	PASS	ngdc.cncb.ac.cn
ngdc.cncb.ac.cn	n_records_matches_expected	PASS	expected=1 actual=1
ngdc.cncb.ac.cn	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
ngdc.cncb.ac.cn	n_matrix_rows_matches_expected	PASS	expected=2 actual=2
ngdc.cncb.ac.cn	matrix_relationship_counts_matches_expected	PASS	expected=insufficient-overlap:2 actual=insufficient-overlap:2
ngdc.cncb.ac.cn	has_convergence_matches_expected	PASS	expected=no actual=no
ngdc.cncb.ac.cn	has_contradiction_matches_expected	PASS	expected=no actual=no
nice.org.uk	domain_present_in_rollup	PASS	nice.org.uk
nice.org.uk	n_records_matches_expected	PASS	expected=1 actual=1
nice.org.uk	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
nice.org.uk	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
nice.org.uk	matrix_relationship_counts_matches_expected	PASS	expected= actual=
nice.org.uk	has_convergence_matches_expected	PASS	expected=no actual=no
nice.org.uk	has_contradiction_matches_expected	PASS	expected=no actual=no
platform-docs.opentargets.org	domain_present_in_rollup	PASS	platform-docs.opentargets.org
platform-docs.opentargets.org	n_records_matches_expected	PASS	expected=1 actual=1
platform-docs.opentargets.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
platform-docs.opentargets.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
platform-docs.opentargets.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
platform-docs.opentargets.org	has_convergence_matches_expected	PASS	expected=no actual=no
platform-docs.opentargets.org	has_contradiction_matches_expected	PASS	expected=no actual=no
pubmed.ncbi.nlm.nih.gov	domain_present_in_rollup	PASS	pubmed.ncbi.nlm.nih.gov
pubmed.ncbi.nlm.nih.gov	n_records_matches_expected	PASS	expected=1 actual=1
pubmed.ncbi.nlm.nih.gov	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
pubmed.ncbi.nlm.nih.gov	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
pubmed.ncbi.nlm.nih.gov	matrix_relationship_counts_matches_expected	PASS	expected= actual=
pubmed.ncbi.nlm.nih.gov	has_convergence_matches_expected	PASS	expected=no actual=no
pubmed.ncbi.nlm.nih.gov	has_contradiction_matches_expected	PASS	expected=no actual=no
