dataset	module	n_present	n_requested	present_genes	missing_genes
GSE253577_mouse_efferocytosis_timecourse	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE253577_mouse_efferocytosis_timecourse	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE253577_mouse_efferocytosis_timecourse	generic_ifn	13	15	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1
GSE253577_mouse_efferocytosis_timecourse	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE253577_mouse_efferocytosis_timecourse	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
GSE325329_ifng_il10_phagocytic_macrophages	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE325329_ifng_il10_phagocytic_macrophages	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE325329_ifng_il10_phagocytic_macrophages	generic_ifn	13	15	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1
GSE325329_ifng_il10_phagocytic_macrophages	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE325329_ifng_il10_phagocytic_macrophages	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
GSE100260_human_LIPA_KO_iPSC_macrophages	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE100260_human_LIPA_KO_iPSC_macrophages	lipid_lysosomal_apc	22	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1
GSE100260_human_LIPA_KO_iPSC_macrophages	generic_ifn	14	15	CXCL10;GBP1;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1;STAT1	OAS1A
GSE100260_human_LIPA_KO_iPSC_macrophages	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE100260_human_LIPA_KO_iPSC_macrophages	fibrosis_profibrotic	7	7	ACTA2;COL1A1;COL1A2;COL3A1;CTGF;FN1;TGFB1	
GSE243117_mouse_LipaOE_peritoneal_macrophages	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE243117_mouse_LipaOE_peritoneal_macrophages	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE243117_mouse_LipaOE_peritoneal_macrophages	generic_ifn	13	15	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1
GSE243117_mouse_LipaOE_peritoneal_macrophages	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE243117_mouse_LipaOE_peritoneal_macrophages	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
GSE285961_mouse_LipaOE_plaque_macrophages	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE285961_mouse_LipaOE_plaque_macrophages	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE285961_mouse_LipaOE_plaque_macrophages	generic_ifn	12	15	CXCL10;IFI44;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;IFI44L;OAS1
GSE285961_mouse_LipaOE_plaque_macrophages	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE285961_mouse_LipaOE_plaque_macrophages	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
GSE274954_GpnmbR150X_BMDM_OxLDL	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE274954_GpnmbR150X_BMDM_OxLDL	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE274954_GpnmbR150X_BMDM_OxLDL	generic_ifn	13	15	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1
GSE274954_GpnmbR150X_BMDM_OxLDL	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE274954_GpnmbR150X_BMDM_OxLDL	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
GSE287142_RXR_bexarotene_CNS_myeloid	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE287142_RXR_bexarotene_CNS_myeloid	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE287142_RXR_bexarotene_CNS_myeloid	generic_ifn	13	15	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1
GSE287142_RXR_bexarotene_CNS_myeloid	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE287142_RXR_bexarotene_CNS_myeloid	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
GSE302857_Trem2KO_cuprizone_microglia	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE302857_Trem2KO_cuprizone_microglia	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE302857_Trem2KO_cuprizone_microglia	generic_ifn	13	15	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1
GSE302857_Trem2KO_cuprizone_microglia	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE302857_Trem2KO_cuprizone_microglia	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
