seed	donors	effect_scale	method	truth_class	candidate_selection_probability
57063	12	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000000
57063	12	0.80	replicated_broad_rescue	tradeoff	0.000000
57063	12	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57063	12	0.80	replicated_broad_rescue	null	0.000000
57063	12	1.00	averaged_endpoint	broad_rescue	0.999875
57063	12	1.00	averaged_endpoint	narrow_one_endpoint	0.460750
57063	12	1.00	averaged_endpoint	tradeoff	0.297750
57063	12	1.00	averaged_endpoint	toxic_pseudorescue	0.000000
57063	12	1.00	averaged_endpoint	null	0.004875
57063	12	1.00	replicated_broad_rescue	broad_rescue	0.531500
57063	12	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000125
57063	12	1.00	replicated_broad_rescue	tradeoff	0.000000
57063	12	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57063	12	1.00	replicated_broad_rescue	null	0.000000
57063	14	0.80	averaged_endpoint	broad_rescue	0.999625
57063	14	0.80	averaged_endpoint	narrow_one_endpoint	0.352625
57063	14	0.80	averaged_endpoint	tradeoff	0.228250
57063	14	0.80	averaged_endpoint	toxic_pseudorescue	0.000000
57063	14	0.80	averaged_endpoint	null	0.004313
57063	14	0.80	replicated_broad_rescue	broad_rescue	0.664250
57063	14	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000250
57063	14	0.80	replicated_broad_rescue	tradeoff	0.000000
57063	14	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57063	14	0.80	replicated_broad_rescue	null	0.000000
57063	14	1.00	averaged_endpoint	broad_rescue	0.999250
57063	14	1.00	averaged_endpoint	narrow_one_endpoint	0.581000
57063	14	1.00	averaged_endpoint	tradeoff	0.380000
57063	14	1.00	averaged_endpoint	toxic_pseudorescue	0.000000
57063	14	1.00	averaged_endpoint	null	0.004063
57063	14	1.00	replicated_broad_rescue	broad_rescue	0.668625
57063	14	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000000
57063	14	1.00	replicated_broad_rescue	tradeoff	0.000000
57063	14	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57063	14	1.00	replicated_broad_rescue	null	0.000000
57063	16	0.80	averaged_endpoint	broad_rescue	1.000000
57063	16	0.80	averaged_endpoint	narrow_one_endpoint	0.434875
57063	16	0.80	averaged_endpoint	tradeoff	0.278750
57063	16	0.80	averaged_endpoint	toxic_pseudorescue	0.000000
57063	16	0.80	averaged_endpoint	null	0.004812
57063	16	0.80	replicated_broad_rescue	broad_rescue	0.759625
57063	16	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000250
57063	16	0.80	replicated_broad_rescue	tradeoff	0.000000
57063	16	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57063	16	0.80	replicated_broad_rescue	null	0.000000
57063	16	1.00	averaged_endpoint	broad_rescue	1.000000
57063	16	1.00	averaged_endpoint	narrow_one_endpoint	0.679125
57063	16	1.00	averaged_endpoint	tradeoff	0.464625
57063	16	1.00	averaged_endpoint	toxic_pseudorescue	0.000000
57063	16	1.00	averaged_endpoint	null	0.005125
57063	16	1.00	replicated_broad_rescue	broad_rescue	0.749875
57063	16	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000125
57063	16	1.00	replicated_broad_rescue	tradeoff	0.000000
57063	16	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57063	16	1.00	replicated_broad_rescue	null	0.000000
