gene	geneformer_sources	geneformer_source_count	total_support_contexts	total_strong_support_contexts	max_support_contexts_in_source	max_strong_support_contexts_in_source	total_disease_cells_with_token	max_contexts_with_token_in_source	best_mean_projection_shift	best_mean_cosine_z_vs_random	best_context_cosine_z	best_context_projection_minus_random	best_geneformer_source	best_geneformer_context	best_context_cells_with_token	stronger_than_ctsh_geneformer	geneformer_rescue_rank	best_direct_source	best_direct_dataset	best_direct_perturbation	best_direct_pathway	best_direct_rank	best_direct_target_module_effect	best_direct_generic_ifn_effect	best_direct_target_vs_ifn_margin	best_direct_selectivity_score	best_direct_evidence_call	best_direct_control_class	mixscale_transition_pathway	mixscale_transition_perturbation	mixscale_transition_rank	transition_suppression_score	n_modules_suppressed	hla_ii_apc_mean_log2fc	ifn_apc_mean_log2fc	mif_cd74_receptor_state_mean_log2fc	gilt_lysosomal_apc_mean_log2fc	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_rank_required_low_vs_high	MHCII_fdr	CD40_median_low_vs_high_log2	PDL1_median_low_vs_high_log2	gse162463_screen_stronger_than_ctsh	gse162463_mhcii_direction_call	readout_sources	readout_min_log2fc	readout_best_source	readout_best_condition	readout_negative_records	readout_total_records	real_perturbation_alignment_call	foundation_rescue_recommendation	alignment_priority	wave18_rank
MTHFD2	broad_residual_delete	1	3	3	3	3	40	9	0.0036003625007449674	0.26798450384386435	0.8337601547880462	0.0404594157201547	broad_residual_delete	sjogren_APC	3	True	3																					4.0	0.1280119010306453	0.2241303143389091	0.5	5793.0	0.9835908529681504	0.4369014999740948	-1.5994253591961325	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	14
RPL17	broad_residual_delete	1	3	2	3	2	39	8	0.006029057782143339	1.2297099803540263	0.9734422345484012	0.0287629646171504	broad_residual_delete	t1d_stellate	3	True	10																					4.0	0.0	-1.0466285193251916	0.0	6553.0	0.9291302535167016	0.0	0.0	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	15
SNX10	broad_residual_delete;candidate_delete;unrestricted_survivor_delete;wave15_loader_dependency_delete	4	8	2	4	1	73	8	0.005847341996351529	-0.031965438409850666	0.7686074383232124	0.0235297163534494	unrestricted_survivor_delete	t1d_acinar	3	True	5																					4.0	0.1293034331005373	0.2121807640442573	0.5	5782.0	0.980133921503196	0.1685957396861701	0.4349467324633298	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	16
ACSL3	broad_residual_delete;pivot_panel_delete	2	2	2	1	1	58	12	-0.010607309173792575	-0.04536972952519405	0.5530527485496555	0.0286503549587601	broad_residual_delete	sjogren_duct	3	True	16																					4.0	0.5614611623580376	-0.1421370233321041	0.75	3415.0	0.987801512633531	-0.1225835704690304	0.1284066040142006	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	17
CFB	broad_residual_delete;candidate_delete	2	2	2	1	1	22	5	0.022645343095064146	1.1214706127878213	1.0434641725102949	0.0072956315590999	broad_residual_delete	t1d_ductal	5	True	14																																					model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	18
FMNL2	broad_residual_delete;candidate_delete;unrestricted_survivor_delete	3	3	1	1	1	32	5	0.02570615957180657	0.20323694024000585	0.6153629314801833	0.0538320074711616	broad_residual_delete	psoriasis_macrophage	7	True	23	Mixscale_CRISPRi	GSE281048_Zenodo14035992	FMNL2	IFNG	42.0	0.0241404854735195	0.0270987642263828	0.0	-0.0034002539524828	null_or_wrong_direction	candidate_or_other_control																										model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	19
BIRC3	unrestricted_survivor_delete	1	2	1	2	1	39	9	0.007192063766221188	0.06944249930986945	0.8034038828943404	0.023929368383445	unrestricted_survivor_delete	IBD_epithelial	5	True	30	Mixscale_CRISPRi	GSE281048_Zenodo14035992	BIRC3	TNFA	164.0	0.0030709631616321	-0.0999312268202109	-0.0999312268202109	-0.1039163547543835	null_or_wrong_direction	candidate_or_other_control										4.0	0.3587350298732164	0.1244092616762751	0.75	4419.0	0.9860184337269402	0.2542057804271731	0.6850217332269108	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	20
TNFAIP3	wave14_narrowed_delete	1	2	1	2	1	35	5	0.0177673326805234	0.3651713399465516	1.7254577793493462	0.0933323558937344	wave14_narrowed_delete	IBD_myeloid	9	True	28																					4.0	0.9455706096394072	1.3260618310653165	0.5	1897.0	0.9291302535167016	-0.6972336090282212	-0.3341194584472987	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	21
SEL1L3	broad_residual_delete;unrestricted_survivor_delete	2	1	1	1	1	15	4	0.01966467360034583	0.4773651805201125	1.4454993546651167	0.0722864363905198	broad_residual_delete	IBD_epithelial	3	True	35																					4.0	0.5710540713369701	0.1851918488715364	0.75	3371.0	0.9757112213964096	-1.0301402557151298	0.6505831242278048	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	22
TGM2	candidate_delete	1	1	1	1	1	8	5	0.045590567961335114	1.0417667842724974	1.4255702761095392	0.032413805298145	candidate_delete	IBD_stromal	4	True	36																					4.0	0.575961723406788	0.1594495786617736	0.75	3340.0	0.977693171409912	0.4181914183935324	-0.3711780917002867	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	23
TPM4	broad_residual_delete	1	5	1	5	1	69	11	0.01986132977022363	0.3240390872913523	1.180128863300692	0.009220145761113	broad_residual_delete	IBD_epithelial	5	True	17																					4.0	0.4822264072268533	0.2456565000715508	0.5	3803.0	0.9670399311755666	0.3507403851547442	0.6041112475939695	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	24
CD300LF	pivot_panel_delete	1	1	1	1	1	7	2	-0.02704787813127045	0.05119679104641928	0.7899827353940465	0.0091394875955302	pivot_panel_delete	IBD_myeloid	4	True	40																					4.0	0.6306443856723214	0.4090764798328626	0.75	3122.0	0.9418581239802388	-0.13991546139079	-1.040203339273031	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	25
SDC4	broad_residual_delete;unrestricted_survivor_delete	2	4	1	3	1	87	11	0.019426978973735246	0.4023806600588179	0.6981428302282626	0.0215138252455895	unrestricted_survivor_delete	psoriasis_keratinocyte	4	True	21																					4.0	0.1714360071316198	0.1499041610820914	0.5	5533.0	0.9820696293091938	-0.8204793682272529	0.2858848616191189	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	26
SH2B3	wave14_narrowed_delete	1	2	1	2	1	23	5	-0.002599390782415881	-0.14561321186877824	0.6504513861407107	0.0089701172481808	wave14_narrowed_delete	IBD_myeloid	4	True	32																					4.0	0.4458331313876129	0.4183753571089785	0.75	3974.0	0.9291302535167016	-0.1517750174345214	-1.4177740055651804	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	27
MMADHC	unrestricted_survivor_delete	1	3	1	3	1	43	10	0.00914256311953066	0.20665682069576308	0.6336317866543429	0.0524425800986741	unrestricted_survivor_delete	t1d_endothelial	4	True	22																					4.0	0.5429033030421979	0.3373485021335842	0.5	3518.0	0.9765822045568522	-0.1783743279099656	-0.492740354845099	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	28
LIMS1	unrestricted_survivor_delete	1	3	1	3	1	47	11	-0.004399559227749681	0.03639188316636669	0.539681409189993	0.0180318633938441	unrestricted_survivor_delete	IBD_stromal	7	True	25																					4.0	1.121276343341553	0.9261910974428522	0.75	1427.0	0.9291302535167016	0.9654078371682564	-0.9472002706774286	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	29
CXCL8	broad_residual_delete	1	1	1	1	1	24	7	-0.016716241304363513	0.47473358271235916	3.660171164213907	0.1846306889366436	broad_residual_delete	IBD_myeloid	7	True	33																																					model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	30
SERPINA1	candidate_delete	1	1	1	1	1	11	5	-0.0027166779153048994	0.08792901280630516	1.599006114008607	0.0683998731482359	candidate_delete	IBD_myeloid	5	True	34																																					model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	31
CHI3L1	broad_residual_delete;candidate_delete;pivot_panel_delete	3	2	1	1	1	44	5	0.044097425416111946	0.17063192468689004	1.2581482831466964	0.1490765013020588	candidate_delete	IBD_stromal	6	True	29																																					model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	32
TASL	wave14_narrowed_delete	1	1	1	1	1	6	3	0.01650845538824797	0.12931059515194643	0.6077588693959135	0.0409984682369718	wave14_narrowed_delete	sjogren_APC	4	True	44																																					model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	33
PPIB	broad_residual_delete	1	6	0	6	0	60	12	0.03244663980634259	0.09790574185448024	0.4549186841315948	0.0710731559685277	broad_residual_delete	IBD_epithelial	4	True	46																					4.0	0.6597958020319548	0.7340030585334183	1.0	2983.0	0.9248624482023996	0.0782386568705718	-1.4784810352236986	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	34
HIF1A	broad_residual_delete;candidate_delete	2	7	3	5	2	102	13	0.012123540908630373	0.44803584794293144	1.3007536389385863	0.050414412579913	broad_residual_delete	t1d_ductal	6	True	2																					4.0	-0.3457569937768427	-0.1929595124966064	0.25	8435.0	0.945728146365119	-0.0714031354856342	-1.5996996008002022	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	35
IFITM3	broad_residual_delete;candidate_delete	2	8	2	5	2	104	9	0.02392956963740286	0.4339603168392537	1.8893004121354364	0.0616092733107506	candidate_delete	IBD_epithelial	3	True	4																					4.0	-0.1741280715277282	0.2498937874365287	0.5	7606.0	0.965786086206702	-0.463511812269529	-0.4969010213709178	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	36
IFITM2	broad_residual_delete;candidate_delete	2	2	2	1	1	47	7	0.03056552447378633	0.6992429291872189	1.831005504560255	0.0567826759865661	broad_residual_delete	t1d_endothelial	3	True	11																					4.0	-0.0561113524704501	0.1552770558436745	0.5	6929.0	0.9757112213964096	-0.86552711869598	-0.8421988946671345	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	37
LIPA	candidate_delete;wave15_loader_dependency_delete	2	2	2	2	2	13	5	-0.0045194975100458	1.2860612190027743	1.3404439778691708	0.0048556561264881	candidate_delete	sjogren_APC	3	True	13																					4.0	-0.5351023017733222	-0.084249171274134	0.25	9288.0	0.990118184466794	-1.55231300661631	-1.3372797109486791	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	38
CTSB	broad_residual_delete;pivot_panel_delete;wave15_loader_dependency_delete	3	7	2	4	1	238	11	0.054401591928167785	0.2611564536777028	1.1901557534756693	0.0884617837178262	pivot_panel_delete	IBD_myeloid	25	True	6																					4.0	-0.0717302386759098	-0.3932852072300076	0.5	7028.0	0.9331841288339487	0.0447359806730974	-0.1097977172741351	False	mhcii_low_enrichment_contradictory	Mixscale_GSE281048	-0.1105634103457387	Mixscale_GSE281048	IFNG:IFNGR1	8.0	22.0	model_contradicted_by_gse162463_screen	do_not_promote	7	39
DAP	broad_residual_delete;unrestricted_survivor_delete	2	7	2	4	1	102	10	0.00913953238632529	0.09552275227020014	0.805471850924442	0.0583467521956967	broad_residual_delete	IBD_epithelial	3	True	7																					4.0	-0.0942880861204922	-0.1672523892192076	0.5	7152.0	0.9858156422902006	-0.2706657531519374	0.1596885246233013	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	40
LGALS3	wave15_loader_dependency_delete	1	2	2	2	2	37	9	-0.02854308475636772	-0.03373468313174313	0.7065284342456292	0.06823460478659	wave15_loader_dependency_delete	IBD_myeloid	6	True	15																					4.0	-1.0647764189724531	-1.3460856648993864	0.0	10774.0	0.9248624482023996	-0.9435520858830834	0.1020653658750312	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	41
CTSL	broad_residual_delete;pivot_panel_delete;wave15_loader_dependency_delete	3	4	1	2	1	116	9	0.003751126376705021	0.4379369360101481	2.052005533382139	0.0529267780521573	pivot_panel_delete	sjogren_APC	6	True	19																					4.0	-0.2242634724501657	-0.4670624471942919	0.25	7848.0	0.9291302535167016	0.2247503472076684	-0.1452576800906664	False	mhcii_low_enrichment_contradictory	Mixscale_GSE281048	-0.4626524158243787	Mixscale_GSE281048	IFNG:JAK1	14.0	24.0	model_contradicted_by_gse162463_screen	do_not_promote	7	42
CBX3	broad_residual_delete;candidate_delete	2	4	1	3	1	64	10	0.010737664822954688	0.10882467268737124	1.9767254488788943	0.1314032992425685	candidate_delete	sjogren_APC	3	True	20																					4.0	-1.621553550486855	-1.7554928253688966	0.5	11385.0	0.9291302535167016	-0.8745217115586559	-0.4982821549137184	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	43
ATOX1	broad_residual_delete	1	1	1	1	1	64	12	-0.0017630722528944244	-0.05370051243924851	0.7649455171353233	0.0268685768707654	broad_residual_delete	t1d_ductal	5	True	41																					4.0	-0.3105815083085354	0.0627446992598622	0.25	8267.0	0.9894129941697212	-0.0366012342291962	0.3114006345377393	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	44
TRIQK	unrestricted_survivor_delete	1	1	1	1	1	12	8	0.01341930450871585	0.2246705045622271	0.5999917424031237	0.0234722409649595	unrestricted_survivor_delete	t1d_ductal	3	True	45																					4.0	-0.5849997668489079	-0.4331505865023971	0.25	9502.0	0.958011903951122	-0.8316649574227355	0.642737638206544	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	45
SQLE	broad_residual_delete	1	3	1	3	1	33	11	0.002961501860144472	0.03643238252390219	0.5166089720180714	0.01659818746654	broad_residual_delete	t1d_endothelial	4	True	26																					4.0	-0.1807779419095411	-0.3736118790094513	0.5	7636.0	0.9477263229093772	0.5247756144243436	-0.0514232091725606	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7	46
GSK3B	wave14_narrowed_delete	1	0	0	0	0	7	5	0.0163735507056117	-0.351227578881297	0.7018532671248244	0.0059762010868224	wave14_narrowed_delete	IBD_myeloid	1	False	91	mouse_macrophage_RNAseq	GSE162464	Gsk3b_KO		2.0	-1.6223580114004137	-0.7952007387801626	0.8271572726202511	0.7779563820432978	selective_target_suppression	candidate_or_other_control										4.0	3.3858043855877193	2.3746084201987827	0.75	39.0	0.9248624482023996	-0.9632403186320064	1.1063126843460018	True	mhcii_low_enrichment_supportive							real_perturbation_support_but_geneformer_not_rescued	use_real_perturbation_not_foundation_model	4	47
RFX5	wave14_narrowed_delete	1	0	0	0	0	2	2	-0.0003208201378584012	0.5031273630618915	0.5070760579349937	0.0595786404899423	wave14_narrowed_delete	psoriasis_dendritic	1	False	96	Mixscale_CRISPRi	GSE281048_Zenodo14035992	RFX5	IFNG	4.0	-0.5517938735080701	0.0831528667577198	0.5517938735080701	0.5231987939104686	weak_selective_target_suppression	candidate_or_other_control	IFNG	RFX5	9.0	0.5010993757509019	3.0	-0.7056800000439202	-0.0498128556828418	-0.5727040200987046	0.0316084522950787	4.0	2.543181911929091	2.1352211132195675	1.0	153.0	0.9248624482023996	0.8131166794769786	0.2783088871392949	True	mhcii_low_enrichment_supportive	GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048	-1.4850165969019382	Mixscale_GSE281048	IFNG:RFX5	16.0	28.0	real_perturbation_support_but_geneformer_not_rescued	use_real_perturbation_not_foundation_model	4	48
IRF5	wave14_narrowed_delete	1	0	0	0	0	3	2	0.00518576800823215	0.34953104310086475	0.6544190173162906	0.0318330955277714	wave14_narrowed_delete	IBD_myeloid	1	False	93	Mixscale_CRISPRi	GSE281048_Zenodo14035992	IRF5	IFNG	44.0	0.1330570213314568	0.0089906754812881	0.0	-0.0036262518537249	null_or_wrong_direction	candidate_or_other_control										4.0	-0.4478331730780858	-0.3843958638745074	0.25	8923.0	0.9291302535167016	0.9959988699593718	-0.6169329759198448	False	mhcii_low_enrichment_contradictory							no_rescue	do_not_promote	8	49
RAB5A	wave15_loader_dependency_delete	1	0	0	0	0	14	8	-0.000805120682343851	0.15279709272477573	0.7836081379560963	0.0239133366218691	wave15_loader_dependency_delete	psoriasis_dendritic	2	False	85																					4.0	1.185379266489231	1.2247545377221234	1.0	1267.0	0.9248624482023996	0.1637953788406015	0.1199562399554484	True	mhcii_low_enrichment_supportive							no_rescue	do_not_promote	8	50
PSME1	broad_residual_delete	1	2	0	2	0	25	8	0.03714462387142702	-0.35246949143057	0.4675747554916685	0.110733539686771	broad_residual_delete	sjogren_acinar	5	False	50																					4.0	1.5075544516343704	1.5898202696142751	1.0	726.0	0.9248624482023996	-0.7281751406847294	-0.1437259672287126	True	mhcii_low_enrichment_supportive							no_rescue	do_not_promote	8	51
UGCG	pivot_panel_delete	1	3	0	3	0	62	11	0.0005720691300335895	-0.0401887596057065	0.3915213025854623	0.0193730950452542	pivot_panel_delete	sjogren_duct	3	False	47																					4.0	2.7438983989885988	1.9827727001461048	0.75	111.0	0.9248624482023996	0.2114441358261752	0.399490001267505	True	mhcii_low_enrichment_supportive							no_rescue	do_not_promote	8	52
CNN3	broad_residual_delete	1	1	0	1	0	26	7	-0.0038133019115775416	0.7212505124936676	0.3555771594706205	0.0161841323987271	broad_residual_delete	t1d_stellate	8	False	64																					4.0	2.134350470452517	1.7987979944873602	0.75	258.0	0.9248624482023996	-0.9354104722523298	-0.0571134036344587	True	mhcii_low_enrichment_supportive							no_rescue	do_not_promote	8	53
FKBP1A	broad_residual_delete	1	1	0	1	0	45	10	-0.00955256251618265	-0.2526515408463023	0.3493386923296723	0.022720932859617	broad_residual_delete	psoriasis_macrophage	8	False	65																					4.0	1.4063861015167105	1.0586207900190208	0.75	865.0	0.9248624482023996	-0.0739782896436043	1.7242765234964277	True	mhcii_low_enrichment_supportive							no_rescue	do_not_promote	8	54
CIITA	wave14_narrowed_delete	1	0	0	0	0	12	6	0.00792966146642965	-0.1474089788048465	0.1793039905391943	-0.0078677748226456	wave14_narrowed_delete	psoriasis_dendritic	5	False	105																					4.0	3.220407024440332	2.856261573174288	0.75	53.0	0.9248624482023996	-0.2128111117255442	-0.0402817569009457	True	mhcii_low_enrichment_supportive	GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048	-3.3427175736895443	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	14.0	18.0	no_rescue	do_not_promote	8	55
DCLRE1B	unrestricted_survivor_delete	1	0	0	0	0	8	6	0.0157603796881934	0.08233616563893516	1.4607105531489788	0.0317810308343421	unrestricted_survivor_delete	psoriasis_dendritic	1	False	77																					4.0	-0.0919936901026326	0.7311072516783226	0.5	7137.0	0.9724039300900836	-0.6444595281693308	0.0	False	mhcii_low_enrichment_contradictory							no_rescue	do_not_promote	8	56
