gene	stronger_than_ctsh_geneformer	best_direct_source	best_direct_dataset	best_direct_perturbation	best_direct_rank	best_direct_selectivity_score	best_direct_evidence_call	mixscale_transition_rank	transition_suppression_score	gse162463_screen_stronger_than_ctsh	MHCII_rank_required_low_vs_high	MHCII_median_low_vs_high_log2	MHCII_positive_sgrna_fraction	gse162463_mhcii_direction_call	real_perturbation_alignment_call
LTA4H	False									False	3203.0	0.6148905903004009	0.75	mhcii_low_enrichment_supportive	no_rescue
SLC15A4	False									False	5105.0	0.2363838108278662	0.5	mixed_or_weak	no_rescue
TNFAIP8L1	False									False	3171.0	0.620215572110178	0.5	mixed_or_weak	no_rescue
KRTCAP3	False									False	5527.0	0.1722800084397275	0.5	mixed_or_weak	no_rescue
IL2RG	False									False	4666.0	0.3143785521950017	0.5	mixed_or_weak	no_rescue
NCK1	False									False	2408.0	0.8015995134474547	0.75	mhcii_low_enrichment_supportive	no_rescue
GPNMB	False									False	4386.0	0.3638218919809666	0.5	mixed_or_weak	no_rescue
TLR7	False									False	3693.0	0.5078739787156292	0.75	mhcii_low_enrichment_supportive	no_rescue
IL7R	False									False	4929.0	0.2674951942394635	0.5	mixed_or_weak	no_rescue
PPP3CA	False									False	11465.0	-1.8257125434949943	0.0	mhcii_low_enrichment_contradictory	no_rescue
PTPRE	False									False	9089.0	-0.4868071711028341	0.25	mhcii_low_enrichment_contradictory	no_rescue
CALR	False									False	4490.0	0.3444188711533333	0.75	mhcii_low_enrichment_supportive	no_rescue
CLEC16A	False									False	9489.0	-0.5812403485384001	0.0	mhcii_low_enrichment_contradictory	no_rescue
AQR	False									False	10013.0	-0.7387324147628216	0.25	mhcii_low_enrichment_contradictory	no_rescue
SCARB2	False									False	3214.0	0.6107195346804808	1.0	mhcii_low_enrichment_supportive	no_rescue
MSR1	False									False	6034.0	0.0882312466842487	0.75	mhcii_low_enrichment_supportive	no_rescue
LDLRAD3	False									False	8540.0	-0.366564946764507	0.25	mhcii_low_enrichment_contradictory	no_rescue
CD44	False									False	9853.0	-0.6873804459950468	0.5	mhcii_low_enrichment_contradictory	no_rescue
UNC93B1	False									False	6434.0	0.0178939922886293	0.5	mixed_or_weak	no_rescue
GPR65	False									False	5454.0	0.1820293117302078	0.5	mixed_or_weak	no_rescue
TLR8	False									False	4066.0	0.427545242226965	0.5	mixed_or_weak	no_rescue
VPS35	False									False	11655.0	-2.779236867413882	0.25	mhcii_low_enrichment_contradictory	no_rescue
TNFAIP8	False									False	9786.0	-0.6665897266925883	0.25	mhcii_low_enrichment_contradictory	no_rescue
STARD10	False									False	8684.0	-0.3981471919445712	0.25	mhcii_low_enrichment_contradictory	no_rescue
PPIL3	False									False	2756.0	0.7119530010256122	0.75	mhcii_low_enrichment_supportive	no_rescue
CTSH	False									False	1383.0	1.139098841088071	0.75	mhcii_low_enrichment_supportive	no_rescue
LGALS8	False									False	8025.0	-0.2634573575952494	0.25	mhcii_low_enrichment_contradictory	no_rescue
PDLIM7	False									False	4369.0	0.3664282594091818	0.75	mhcii_low_enrichment_supportive	no_rescue
COL4A1	False									False	11145.0	-1.3116641036954275	0.25	mhcii_low_enrichment_contradictory	no_rescue
FABP5	False									False	6787.0	-0.0287587240283779	0.5	mhcii_low_enrichment_contradictory	no_rescue
PLIN2	False									False	3841.0	0.4744002393454247	0.5	mixed_or_weak	no_rescue
MYO1E	False									False	9679.0	-0.6298425533085054	0.25	mhcii_low_enrichment_contradictory	no_rescue
LGALS9	False									False	8064.0	-0.2696462617586651	0.5	mhcii_low_enrichment_contradictory	no_rescue
NME1	False									False	3959.0	0.4498747182442193	0.75	mhcii_low_enrichment_supportive	no_rescue
ABHD2	False									False	8948.0	-0.453105143489465	0.5	mhcii_low_enrichment_contradictory	no_rescue
GBA2	False									False	8592.0	-0.375045825489898	0.25	mhcii_low_enrichment_contradictory	no_rescue
MPHOSPH6	False									False	2249.0	0.8446883514041215	0.75	mhcii_low_enrichment_supportive	no_rescue
PDPN	False									False	3540.0	0.539680415270595	1.0	mhcii_low_enrichment_supportive	no_rescue
APOC1	False									False	6055.0	0.0846261042371092	0.5	mixed_or_weak	no_rescue
HAPLN3	False														no_rescue
APOE	False														no_rescue
PLEK2	False														no_rescue
HLA-DRA	False														no_rescue
C1QTNF1	False														no_rescue
HLA-DMA	False														no_rescue
HLA-B	False														no_rescue
TIMP1	False														no_rescue
CASP4	False														no_rescue
MMP7	False														no_rescue
LAPTM5	False														no_rescue
REG1A	False														no_rescue
