required_target	check	status	detail
synthesis/V37_UNCOVERED_FINDING_RATIONALE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/V37_EXTERNAL_COVERAGE_GAP_PRIORITY_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/FUTURE_GROUNDING_QUEUE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
