cell_state	gene	n	remission_adjusted_delta	remission_adjusted_p	formula	remission_adjusted_fdr
DC	AC098613.1	29	-1.3195872949620824	0.057433233458636414	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07095241990588037
DC	AC099518.1	29	-0.4636400276762409	0.040639411385712955	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05623016739005011
DC	AC100788.1	29	-0.7144405915876213	0.0418063241880642	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05727203007581793
DC	AC104806.2	29	-0.6148710570245477	0.06454616397974124	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07778247155753457
DC	AC104971.3	29	-0.3738415020543665	0.10995089540165273	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.12030572451568329
DC	AC109460.2	29	-0.23088462246886243	0.053789970282008534	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0678279492702709
DC	AC120049.1	29	-0.43402070364019885	0.10332567134552986	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.11404037112972912
DC	AC141586.2	29	-1.2043195078719864	0.01848757363246545	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.036028280497583116
DC	AC239803.1	29	-0.44623723391995473	0.05281226819564261	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06697778068458236
DC	AC245014.3	29	-0.6920245496725549	0.1589677985777124	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.16583206952383706
DC	AC245128.3	29	-2.1583963351443365	0.006874960102320626	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023511212213918005
DC	ACP2	29	-1.4390209609631381	0.04003508050587622	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05585095557281724
DC	ACSL1	29	-1.0445497247897313	0.01509771625315622	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.032814041424872854
DC	ACSL3	29	-1.5641822682979054	0.001708929140733227	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.013975041500400534
DC	ADCK2	29	1.5721796461218593	0.006450312590556109	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023424289638223246
DC	AF117829.1	29	-1.101201041196453	0.059220305913347544	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07251271568794446
DC	AFF3	29	1.5623332539632724	0.003721929393735171	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.020318925630482515
DC	AKAP7	29	-0.9283708446771077	0.08684787997555761	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.09827693183851204
DC	AL022238.2	29	-1.19431896992468	0.011165104393885744	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02879000901625507
DC	AL031666.2	29	-0.28891000339062345	0.1444141049687843	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.1525317611120678
DC	AL138963.3	29	-0.39132041596932376	0.22438474426862728	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.22813198448687425
DC	AL157786.1	29	-0.6834470751488193	0.05426107561079738	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06836536182088875
DC	AL157832.1	29	-0.3511299247804379	0.11344427282021671	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.12341828679940661
DC	AL160272.1	29	-1.2046586513175446	0.0146083141273437	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.032269744705104665
DC	AL359541.1	29	-1.7568738549701641	0.0036477391630210603	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.020188578204065652
DC	AL592148.3	29	-0.9243046386581852	0.004961386919525085	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.022325055423400533
DC	AL683813.1	29	-1.5943866061420862	0.026551016661610114	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04364000794705248
DC	ALKBH8	29	1.425985320636993	0.029448136174923128	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04602719435954644
DC	ALPK1	29	-1.2560595730529105	0.06547838299776262	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07853278086886896
DC	AMACR	29	0.5303019789877903	0.016681839335159623	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.034266007920675655
DC	ANGEL2	29	-1.2361258717208323	0.011688792941211635	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.029175317770613152
DC	ANKRD10	29	-0.6677405644604014	0.015662786903922487	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0334563663633408
DC	ANKRD22	29	-2.0550271646506433	0.020181553834392355	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0376455289445389
DC	ANKRD23	29	0.8185282030686962	0.04024955834440707	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05599618628901971
DC	ANKRD36B	29	-0.9639258044553973	0.14526152316492455	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.15310805973477504
DC	ANKRD46	29	-1.5384324269474627	0.03195592734584189	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04808687178091472
DC	ANKRD49	29	-1.5513185406875016	0.006721937169127771	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023511212213918005
DC	ANLN	29	-1.0256642291716505	0.009673285532291668	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.027257050672191932
DC	AOAH	29	0.502437922777996	0.03346364442202021	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04925693115117482
DC	AP002358.1	29	-0.9003491209466452	0.007442254450566063	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.024049068521786728
DC	AP003774.3	29	1.0550458170710584	0.1034025994828201	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.11404257711076246
DC	AP5M1	29	-0.8366923273507926	0.1048867631483379	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.11517868218742444
DC	APBA1	29	2.1457455066850213	0.0018929051512548162	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.014643169963925262
DC	APLP1	29	-1.4800933246987653	0.05171479026703858	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0662541336586134
DC	APOC1	29	-1.5128966563283073	0.0684451922165112	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.08137853175446513
DC	APOE	29	-1.7647209691413754	0.014426020251125268	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03205314280614987
DC	APP	29	-1.33284541730848	0.006847189621442547	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023511212213918005
DC	ARAP2	29	-0.6190443485160613	0.25312967011146964	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.25632957944754275
DC	AREG	29	-0.6310642364508835	0.1403297097461447	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.14842377917556096
DC	ARF4	29	-0.6636315152561234	0.007197571908573373	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023676136961150777
DC	ARHGAP32	29	1.4058326336707694	0.04439969124345522	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05938166087217824
DC	ARHGEF3	29	-1.5074610828827666	0.0013693116660328925	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.013328937995177202
DC	ARL4A	29	0.48810634653945206	0.03242029282379011	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.048471204005705835
DC	ARMH1	29	-1.5053809170224568	0.09074462201668759	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.10185992961241279
DC	ARNTL2	29	-2.2073617755452717	0.00030196089278136787	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008376547124301003
DC	ARRDC5	29	-0.7795939328420913	0.04387447441734038	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.059054832718516984
DC	ASCC1	29	-0.8246029041625866	0.14520133301531485	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.15310805973477504
DC	ASNSD1	29	-1.5832659317574	0.0009155191803019724	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.012015838368909999
DC	ATAD2	29	-1.8972371225806768	0.0099437004174175	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02761735772866685
DC	ATOH8	29	-0.5623873423710569	0.1890816772081831	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.19418509629612327
DC	ATP13A2	29	-1.485944602506761	0.01350519473595865	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03134009351884425
DC	ATP5MD	29	-0.5134409842825036	0.0003137077438141637	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008376547124301003
DC	ATP6V0E1	29	-0.3359849700745845	0.006083383747127642	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02323304285557702
DC	ATP6V1G1	29	-0.4008716095843213	0.01668596512255298	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.034266007920675655
DC	AVP	29	-1.2725846133343688	0.005214398191592398	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.022414244655359346
DC	AXIN1	29	-1.3819473937178004	0.017826792909372394	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0354338707823494
DC	B2M	29	-0.47752337743531836	0.002364927090549074	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.016511096476218765
DC	B3GNT2	29	-1.3071357520430507	0.005545728184891764	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02302616948799433
DC	BASP1-AS1	29	-0.4990769635503912	0.06887722894348972	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0817078273203362
DC	BCAS4	29	-1.010261361233832	0.18247799047513957	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.18778330054304423
DC	BCKDHA	29	-0.585747896079305	0.02611817102997297	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04325555637390518
DC	BCL2L14	29	-1.966570736569321	0.023992553289073154	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04140224432484562
DC	BSDC1	29	-1.0572054894924041	0.03963671457047266	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.055477402678053275
DC	BTN3A2	29	-0.7523668558495398	0.13295334253207694	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.14121073784635108
DC	BX539320.1	29	-0.6237208298481769	0.1631276212577577	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.16982232527654392
DC	C11ORF86	29	-0.8032457834172697	0.015034436587190513	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.032814041424872854
DC	C11ORF95	29	-1.7614260537620428	0.022860576003033237	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0403185131089303
DC	C18ORF54	29	-1.1372634411773355	0.019690947054975105	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03704526751257368
DC	C1D	29	-1.0276886626495263	0.0002257609259782108	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008181145936638972
DC	C1ORF21	29	-2.3630424669506214	0.005885725901392399	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02323304285557702
DC	C2ORF81	29	1.3027486241055013	0.014047579878053659	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03180805262468133
DC	C2ORF92	29	-1.1610514118033688	0.020094770133660025	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.037572776588981026
DC	C3AR1	29	-1.813012113766056	0.006620410261101421	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023437292946584275
DC	C4ORF46	29	-1.256438090489349	0.04461673435889155	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05956364205392477
DC	C5ORF34	29	-0.34910463536045605	0.34732427674637695	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.3498527790919826
DC	C7ORF50	29	0.5776042988414303	0.043920307972144856	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.059054832718516984
DC	C9ORF16	29	0.35190367038377124	0.024766685793778987	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04225885176920585
DC	CAGE1	29	-0.9756326988170421	0.014192585497222403	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03180805262468133
DC	CALHM6	29	-0.9177685094673447	0.018689951483400045	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03617474408196336
DC	CAMK1D	29	1.0557433314826636	0.014694862860648479	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03241388590421302
DC	CAMSAP1	29	1.2343582873205863	0.022336561280395503	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03985491942410546
DC	CANX	29	-0.5329979202700443	0.00710278885689017	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023676136961150777
DC	CAPNS2	29	-0.4620904417163368	0.22378365539442333	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.22767294352293602
DC	CARMN	29	-0.5533702051028467	0.07446474308372825	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.08718102997956492
DC	CASP5	29	-1.0869593118440035	0.16158870543325643	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.1684506915543947
DC	CBLL1	29	-0.919300493505525	0.08027860758900345	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.09193682524489334
DC	CCDC186	29	-0.787381554924264	0.1530307910304471	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.16040830850436671
DC	CCDC32	29	-1.148208754257559	0.02328576809767574	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04068994149789033
DC	CCL18	29	-2.022731826510532	0.05434974882582537	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0684204447584005
DC	CCL22	29	-2.3601415464537894	0.038673126936564536	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.054500462219862246
DC	CCNT1	29	0.8294899030998925	0.053202225552332505	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06730988137211144
DC	CD274	29	-1.9104622692258961	0.007609012994014453	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.024334786218650317
DC	CD33	29	0.500479114205335	0.1287503666000033	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.13741799296297688
DC	CD38	29	-1.434240225443431	0.009689646952412076	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.027257050672191932
DC	CD47	29	-0.763661315615495	0.004998620655340372	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.022325055423400533
DC	CD74	29	0.2689730376883178	0.024581199037703387	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04203661228694894
DC	CD80	29	-1.641309378081225	0.013886528772906564	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03159237188694139
DC	CDC40	29	-0.2973417946061323	0.0988277105492242	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.10979253682913813
DC	CDH17	29	1.2750187758849494	0.17574764028697315	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.18171732915541652
DC	CDKL1	29	-0.5601135424940157	0.027427808435267834	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04436541742947818
DC	CDKL2	29	-0.5323059017762171	0.027458753757272303	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04436541742947818
DC	CDKN2AIPNL	29	-0.9960970512444924	0.02588575782179784	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04310516783892376
DC	CDYL	29	-0.8353177203437385	0.043339793019615845	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.058678431101047854
DC	CEACAM6	29	-1.460404285457121	0.00406430794709909	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02081276652755856
DC	CELF5	29	-1.0758953598082468	0.009731222367605624	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0272760965810235
DC	CENPH	29	-1.7132764577210093	0.0343765782175541	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.050164095922451905
DC	CEP104	29	-1.466427215030273	0.0403659747399204	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.056106861693295755
DC	CFLAR	29	-0.41968342813377096	0.011313305717053341	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.028909129707522848
DC	CFP	29	0.38624710872857504	0.07976739485971314	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.09155805051016846
DC	CHML	29	-1.041613653778193	0.011487694848162273	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02896546353711122
DC	CHRNA1	29	-0.8818916208475835	0.029988252499710818	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04638426860219498
DC	CHST11	29	-0.4261889677912195	0.14452630061695396	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.15254440328641047
DC	CHSY1	29	-1.5495382744206385	0.005589263486676689	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02302909647375249
DC	CIITA	29	0.12028832434656464	0.5905846534199884	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.5933134273961864
DC	CIP2A	29	1.3012419432292734	0.08023752666597204	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.09193682524489334
DC	CISH	29	-1.4824493996638857	0.05942726711815207	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07270763710114747
DC	CKS1B	29	-1.389504556137486	0.06163115452387457	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0747431212632168
DC	CLDN11	29	-0.8370898336301835	0.01721463468064038	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03482321943969258
DC	CLEC10A	29	0.7665827720426828	0.029715053430658122	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.046196436487703434
DC	CLEC18A	29	0.5786600341141162	0.05061954680463901	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06540148576966093
DC	CLECL1	29	-1.6582324120039469	0.04101560046852224	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.056594740740982884
DC	CLIC3	29	-1.7396734612748537	0.15424220519320198	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.16145573335904637
DC	CLIP4	29	-2.782124422019928	0.00029824650364555463	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008376547124301003
DC	CLK4	29	-0.7266068205853411	0.05968834208956945	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07296839892395558
DC	CMKLR1	29	-2.446117850906152	0.009635036588444822	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.027257050672191932
DC	CMTR2	29	-0.8468754223231685	0.05629880906606149	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07000554526024966
DC	CNFN	29	1.7796009870513556	0.035056757766811136	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05091258141325052
DC	COBLL1	29	-2.0912450135609206	0.017251450366312884	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03482321943969258
DC	COCH	29	-0.9264875850129981	0.013424894857446188	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.031290490004644865
DC	COPG1	29	-2.057479036980645	0.0018953380308102997	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.014643169963925262
DC	COQ6	29	-0.8450407096154318	0.1881383490968114	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.19334677064506883
DC	CORO2A	29	-1.0280383169330984	0.008164030357330331	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.025275060450117084
DC	COX17	29	-0.5525717014545546	0.005056253887535604	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.022414244655359346
