cell_state	gene	n_patient_units	n_remission	n_non_remission	mean_delta_remission	mean_delta_non_remission	raw_delta_remission_minus_non	raw_t	raw_p	raw_fdr	mean_delta	paired_p	paired_fdr	n	remission_adjusted_delta	remission_adjusted_p	formula	remission_adjusted_fdr	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	ms_max_l2g_score	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_relevant_qtl_h4	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave55_score	wave55_genetic_diseases_ge_0_25	has_cross_autoimmune_genetics	has_any_druggability_flag	manual_or_prior_blocked	wave68_posthoc_blocker	perturbation_strength	integrated_score	wave68_call	wave68_call_priority
Mono_macro	TNFRSF9	29	13	16	-1.218472914305181	-0.3974173315420403	-0.8210555827631406	-1.5850989072386796	0.12750954800885356	1.0	-0.7423351664094383	0.004682060604847765	0.5577921752198287						TNF receptor superfamily member 9	1.5721772417352613	NO_GO_WAVE62_TARGET_RESOLUTION			0.0746538788080215	UC	0.0		0.0	3.0	Celiac;Psoriasis;T1D	0.0	0.9975233629272398	0.0	6.0		0.0	0.0		True	False	False		3.2240202627933296	4.01010888366096	PARK_GENETIC_PERTURBATION_INTERSECTION	1
DC	DCLRE1B	29	13	16	0.0669884982059091	-0.9328259706230854	0.9998144688289945	2.348620886028018	0.026477297437000325	1.0	-0.5312698761396282	0.03156807280849091	1.0	29.0	1.2245896392649733	0.019896683098467736	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03729402915747278	DNA cross-link repair 1B	1.58201694859611	NO_GO_WAVE62_TARGET_RESOLUTION			0.1069625243544578	T1D	0.0		0.0	5.0	AITD;Crohn;RA;SLE;T1D	1.0	0.975054424241652	0.0	2.0		0.0	11.0	RA;T1D	True	False	False		3.0778782762575636	3.8688867505556184	PARK_GENETIC_PERTURBATION_INTERSECTION	1
Mono_macro	FCGR2A	29	13	16	0.13601241886474577	0.5565676392576737	-0.4205552203929279	-1.5836835994185092	0.12507258723676395	1.0	0.35279241566901764	0.005716467918692285	0.5890098953605836						Fc gamma receptor IIa	2.4112932356329155	NO_GO_WAVE62_TARGET_RESOLUTION	Fc_receptor_directionality_and_safety		0.9122352600097656	UC	4.0	AS;Crohn;SLE;UC	0.0	7.0	AS;Celiac;Crohn;Psoriasis;RA;SLE;UC	1.0	0.99905797562315	0.0	16.0		0.0	19.0	AS;Crohn;RA;SLE;UC	True	False	True		3.1457100957599264	2.3513567135763846	PARK_GENETIC_PERTURBATION_INTERSECTION	1
Mono_macro	LINC01857	29	13	16	-3.0885388915384433	-1.1502183668575319	-1.9383205246809114	-3.4477167272621974	0.0019562967368259286	0.5984736235424485	-1.8658289520310944	2.8221872111458855e-06	0.023335960502162544	29.0	-1.836638018727396	0.0090291383274674	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02664324841810445		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		8.257979449984035	8.257979449984035	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	ATOX1	29	13	16	-0.7825636361273798	-0.5390241260654385	-0.2435395100619413	-1.2270087311160989	0.2306421865051668	1.0	-0.6460144164455098	2.2681179337798522e-07	0.0075018000659768614							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		7.281395620934512	7.281395620934512	DESCRIPTIVE_GENE_SIGNAL	2
DC	ATOX1	29	13	16	-0.6932088756246488	-0.3273698277782318	-0.365839047846417	-2.1011856930371744	0.0459709219380397	1.0	-0.5298195559709626	1.1992901761977695e-06	0.019833261288870616							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		7.258592510231252	7.258592510231252	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	IKBKE	29	13	16	-2.2837880307593577	-0.21995325658041176	-2.063834774178946	-3.6781290023333817	0.0017073044162270383	0.5984736235424485	-1.0318287162957724	0.0013581526733954777	0.3756443204901507	29.0	-2.0967901961620643	0.0017277392894639158	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.013987336162574894	inhibitor of nuclear factor kappa B kinase subunit epsilon	2.4480231135209713	NO_GO_WAVE62_TARGET_RESOLUTION			0.9487642049789428	Psoriasis	2.0	Psoriasis;SLE	0.0	2.0	Psoriasis;SLE	1.0	0.9992589085420286	0.0	2.0		0.0	9.0	Psoriasis;SLE	False	False	False		5.634740443459892	6.8587520002203775	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	ERH	29	13	16	-0.5794079367830833	-0.20274625472374544	-0.3766616820593379	-2.626851134565552	0.015295785935878242	0.7417124806231342	-0.3762154309641221	1.2219634848888692e-05	0.050520552828374185	29.0	-0.4877523649249579	0.0020054384595129637	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.015158068115404244		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.728369974594118	6.728369974594118	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	MT-CYB	29	13	16	0.45300261765881494	0.25040781255351374	0.2025948051053012	1.572717429065607	0.13042626333212598	1.0	0.3566513297754587	1.4376432307419328e-06	0.021397343837743825							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.726983824154115	6.726983824154115	DESCRIPTIVE_GENE_SIGNAL	2
DC	EBI3	29	13	16	-3.031307221401559	0.05166556670945266	-3.0829727881110114	-4.7939543053853715	5.3621808310167884e-05	0.891790736281697	-1.3622088653229556	0.003696000516816191	0.7066197519866793	29.0	-3.181062682678587	4.418100683674588e-05	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.006724349240552724		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.702926520939788	6.702926520939788	DESCRIPTIVE_GENE_SIGNAL	2
DC	EPCAM	29	13	16	1.5129025726671788	2.0507244997898884	-0.5378219271227096	-1.3078975790196326	0.20201810167236062	1.0	1.7930281437504894	1.0054340553348231e-06	0.019833261288870616							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.6922561229463176	6.6922561229463176	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	UBE2D1	29	13	16	-0.7608975202997906	0.010074618367738403	-0.770972138667529	-4.423694019768655	0.00016079923857994485	0.4058609347295835	-0.32536890583615646	0.002668164711949004	0.4434650645613734	29.0	-0.811507053411765	0.00020867835335682311	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008181145936638972		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.36750337599333	6.36750337599333	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	KRT18	29	13	16	2.2749560889818734	0.8543827661393743	1.420573322842499	2.663886709602444	0.013938332276504494	0.735902312729011	1.439781250634083	3.1616392167806804e-05	0.08043939776540077	29.0	1.5549181315342417	0.008981856114393302	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02664324841810445		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.355876876624522	6.355876876624522	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	MT-ATP6	29	13	16	0.46875944790056717	0.19554997681586372	0.27320947108470345	2.063559777972789	0.05122772643639508	0.9367121734520096	0.3426316619612087	9.411584226012562e-06	0.050520552828374185							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.316832185165916	6.316832185165916	DESCRIPTIVE_GENE_SIGNAL	2
DC	IL32	29	13	16	-2.1740531601863813	-0.6602856183863977	-1.5137675417999836	-2.234755922775585	0.03450323270654085	1.0	-1.5086524361993776	2.118295212238898e-05	0.14012522828960308							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.136153728103295	6.136153728103295	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	TNFRSF4	29	13	16	-2.4036664351736565	-0.32466099492811357	-2.079005440245543	-3.323941696088884	0.004076932935641448	0.6331135906475382	-1.339818824372021	0.00018584235982579676	0.15760861669841608	29.0	-2.062288269908209	0.004970103343837304	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.022325055423400533		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.120521721009354	6.120521721009354	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	MT-CO3	29	13	16	0.5358800816472845	0.24658185999111132	0.2892982216561732	1.9002968970735343	0.07140548373189479	0.9844670172707045	0.37625434179367395	1.0701447826166418e-05	0.050520552828374185							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.116825895931364	6.116825895931364	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	PIGR	29	13	16	1.594428717705089	1.1557530250636665	0.4386756926414226	0.8408598571794006	0.4078602938716882	1.0	1.2984446337106295	1.940802162153635e-06	0.021397343837743825							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.101507304832538	6.101507304832538	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	EHF	29	13	16	2.2286339990037694	-0.5156837865744811	2.7443177855782506	5.455396981281337	9.812992077418471e-06	0.14843317396279496	0.5210854744909689	0.08134415176607503	1.0	29.0	2.84573130042118	1.0872260968607522e-05	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.004136895298555162		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		6.097872216971526	6.097872216971526	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	MRPL33	29	13	16	-0.670248998758825	-0.07168905328478535	-0.5985599454740397	-3.20099040284291	0.004005743885167204	0.6331135906475382	-0.3172538081682136	0.0005651801867287621	0.2459649299480764	29.0	-0.7432687956561994	0.0011523035327701966	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.012737330849103454	mitochondrial ribosomal protein L33	0.5640145167708397	NO_GO_WAVE62_TARGET_RESOLUTION			0.0640145167708396	Celiac	0.0		0.0	0.0		0.0	0.0	0.0	3.0		0.0	2.0		False	False	False		5.6451298930219345	5.927137151407354	DESCRIPTIVE_GENE_SIGNAL	2
DC	GRN	29	13	16	0.416127801958283	0.07891256366481852	0.33721523829346445	3.133344926457155	0.004644296914880278	1.0	0.22985756273288432	0.0002741149658075629	0.4513871356812807	29.0	0.30012565725135554	0.020535699840091567	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.038074978824917526		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.895147275846326	5.895147275846326	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	GPX4	29	13	16	-0.4428209841377614	-0.279035250543254	-0.16378573359450738	-1.0469073354852763	0.306038521106251	1.0	-0.35951154634396043	2.480860348277465e-05	0.08043939776540077						glutathione peroxidase 4	1.5414290773450736	NO_GO_WAVE62_TARGET_RESOLUTION			0.0524014309048652	Crohn	0.0		0.0	1.0	Crohn	0.0	0.9890276464402084	0.0	2.0		0.0	0.0		False	False	False		5.119621587570734	5.8903361262432705	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	ELOB	29	13	16	-0.5284123114335	-0.11672723601135473	-0.4116850754221453	-3.0375380692139227	0.0063049074432389145	0.6951160456170903	-0.3013414264002415	0.00027178240801734347	0.18695203959643453	29.0	-0.45186197299617525	0.006137208689327345	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.02323304285557702		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.766099942325095	5.766099942325095	DESCRIPTIVE_GENE_SIGNAL	2
DC	ARNTL2	29	13	16	-2.0193747974001264	0.12252909093051598	-2.1419038883306425	-4.218130482453174	0.00032416957669239926	0.9293895952441369	-0.8534867680748291	0.005614947198338535	0.762133045828471	29.0	-2.2073617755452717	0.00030196089278136787	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008376547124301003		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.7398820694904735	5.7398820694904735	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	GHRL	29	13	16	-1.6656812897669961	-0.7054757083325061	-0.9602055814344901	-1.933009650367349	0.06546730487677624	0.9672146390869628	-1.1358833540550253	3.068264774449026e-05	0.08043939776540077							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.697082703384704	5.697082703384704	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	CSTA	29	13	16	-0.7273409798371914	-0.10068026292732096	-0.6266607169098704	-3.1329505900973036	0.004186298795631684	0.6331135906475382	-0.35724550741851624	0.0017961520240694503	0.4213314056460785	29.0	-0.7079356723152631	0.006727288728750243	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023511212213918005	cystatin A	1.0692320838570597	NO_GO_WAVE62_TARGET_RESOLUTION			0.0692320838570594	Psoriasis	0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0		False	False	False		5.1238266852414975	5.658442727170027	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	FABP2	29	13	16	1.3926712409261266	0.6768623342109902	0.7158089067151364	1.754641483132462	0.09444029093228122	1.0	0.8585619173990259	2.331813941090889e-05	0.08043939776540077							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.6571487892403365	5.6571487892403365	DESCRIPTIVE_GENE_SIGNAL	2
DC	PTMA	29	13	16	-0.12629578495525948	-0.16189960259076414	0.03560381763550466	0.5668961040676197	0.5761608909044902	1.0	-0.14696621422066353	3.9691516030772536e-06	0.03281992231794504							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.640758537185165	5.640758537185165	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	DAG1	29	13	16	1.4110211144298046	0.5782476481627359	0.8327734662670687	2.172120208347324	0.039389050225486874	0.8973997331940738	1.0117120451256567	7.014213915957525e-05	0.09332475111933647							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.558645484415417	5.558645484415417	DESCRIPTIVE_GENE_SIGNAL	2
DC	RELB	29	13	16	-0.8492162252924729	-0.22144862804063611	-0.6277675972518367	-2.288099551792515	0.030949575016016657	1.0	-0.49915291184283306	9.051948662460258e-05	0.3011381835980688							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.5526032278994215	5.5526032278994215	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	NDUFB3	29	13	16	-0.7613064053987292	-0.15482514017991367	-0.6064812652188155	-2.9539503127993174	0.008261526590356935	0.7107543455496845	-0.36809492561327767	0.0003395998552719512	0.21302773938789243	29.0	-0.5987387993685545	0.014141527263187322	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03180805262468133		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.55197219850311	5.55197219850311	DESCRIPTIVE_GENE_SIGNAL	2
DC	KLF6	29	13	16	-0.4336796414409918	-0.39945661820581946	-0.034223023235172345	-0.18683308570837856	0.8532235565563349	1.0	-0.3873979680707039	3.5174240299400895e-06	0.03281992231794504							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.52271243644297	5.52271243644297	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	H3F3A	29	13	16	-0.30905953665670644	0.07471705849636415	-0.3837765951530706	-4.864576924117355	4.3846576315129754e-05	0.266736931152233	-0.08404434784629547	0.07105046103632887	1.0	29.0	-0.3777611196224119	0.000282886340026445	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008376547124301003		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.506497411767698	5.506497411767698	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	INAVA	29	13	16	0.0960116012878416	0.51463898096619	-0.4186273796783484	-1.3174941640892486	0.20003878680392975	1.0	0.3374228722286848	0.04944713342319328	1.0	29.0	-0.5087068122539152	0.17079966985381098	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.17700004825023552	innate immunity activator	6.872153629325313	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.8847459554672241	UC	4.0	AS;Crohn;MS;UC	0.6894342303276062	5.0	AS;Crohn;MS;PBC;UC	0.0	0.9874076738580888	0.9828462411264802	15.0		0.0	23.0	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	True	False	False		2.004744668526419	5.440821483189076	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	H2AFJ	29	13	16	-0.3682591505539005	-0.45783902563259793	0.08957987507869741	0.45165782968938045	0.6551272804560878	1.0	-0.4304891764039204	5.599182061481726e-06	0.037038589336701615							0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.435549726409574	5.435549726409574	DESCRIPTIVE_GENE_SIGNAL	2
DC	PSMA1	29	13	16	-0.4313463010474348	0.015608093305340149	-0.44695439435277495	-3.8950135481902937	0.0006213106731094737	0.9293895952441369	-0.2006647873951376	0.006095536024551394	0.7675364188046103	29.0	-0.5191219017567311	0.00022474299432931	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.008181145936638972		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.4216792835608265	5.4216792835608265	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	SNX10	29	13	16	-1.1710858148482612	0.39898581644255837	-1.5700716312908196	-5.204425815333855	1.7951101915379586e-05	0.14843317396279496	-0.22512311102712887	0.22033669018229046	1.0	29.0	-1.5454373274817537	3.9116581807156024e-05	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.006615048612276829		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.402822066084217	5.402822066084217	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	NBN	29	13	16	-0.9765984732389378	-0.0991226707459707	-0.8774758024929671	-3.1346287715308403	0.004361830744968939	0.6334927177604623	-0.5119980186136976	0.0009335245590265442	0.31188206858386813	29.0	-0.9975502685481679	0.006540123554138854	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.023424289638223246		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.390205442858525	5.390205442858525	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	IQCK	29	13	16	-1.0373688996899981	-0.5477422170390882	-0.4896266826509099	-1.4076581082228516	0.17202281143747364	1.0	-0.7386355648061504	5.8656512072068615e-05	0.08974935263939267						IQ motif containing K	0.7506269812583923	NO_GO_WAVE62_TARGET_RESOLUTION			0.7506269812583923	Sjogren	1.0	Sjogren	0.0	0.0		0.0	0.0	0.0	0.0		0.0	3.0	Sjogren	False	False	False		4.996097724068978	5.371411214698174	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	GSTT2B	29	13	16	-1.0749787885110023	-0.1618003849229339	-0.9131784035880683	-2.7914929499523775	0.010468524983201711	0.7200047656765034	-0.5671451615676941	0.00048272624565357154	0.23471626352939515	29.0	-1.01273454934894	0.012294525303850333	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.029678420155284043		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.296413594274126	5.296413594274126	DESCRIPTIVE_GENE_SIGNAL	2
Mono_macro	LTC4S	29	13	16	2.107120986012502	-0.250699094787706	2.357820080800208	4.1854174151358805	0.0003523627557242986	0.5067129628513555	0.7552683070528783	0.014849761470598645	0.7601636676423256	29.0	2.770265834936277	2.7841003984958664e-05	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.006053429723586727		0.0						0.0			0.0		0.0					0.0	0.0		False	False	False		5.281290524479821	5.281290524479821	DESCRIPTIVE_GENE_SIGNAL	2
