path	record_id	relationship_to_project_findings	check	status	detail
knowledge_external/catalogs/resources/msda_catalogue.json	resource.msda.catalogue.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/msda_catalogue.json	resource.msda.catalogue.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/msgd_database_commons.json	resource.msgd.database_commons.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/msgd_database_commons.json	resource.msgd.database_commons.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/msgd_database_commons.json	resource.msgd.database_commons.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/msif_atlas_of_ms.json	resource.msif.atlas_of_ms.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/msif_atlas_of_ms.json	resource.msif.atlas_of_ms.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/msif_atlas_of_ms.json	resource.msif.atlas_of_ms.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/narcoms_registry.json	resource.narcoms.registry.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/narcoms_registry.json	resource.narcoms.registry.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/narcoms_registry.json	resource.narcoms.registry.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json	resource.national_ms_society.dmt_reference.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json	resource.national_ms_society.dmt_reference.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json	resource.national_ms_society.dmt_reference.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/national_ms_society_types.json	resource.national_ms_society.types_of_ms.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/national_ms_society_types.json	resource.national_ms_society.types_of_ms.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/national_ms_society_types.json	resource.national_ms_society.types_of_ms.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	resource.nhs_england.ms_dmt_algorithm.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	resource.nhs_england.ms_dmt_algorithm.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	resource.nhs_england.ms_dmt_algorithm.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	resource.nice.ng220_ms_management.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	resource.nice.ng220_ms_management.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	resource.nice.ng220_ms_management.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	resource.ninds.ms_common_data_elements.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	resource.ninds.ms_common_data_elements.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	resource.ninds.ms_common_data_elements.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/open_targets_platform.json	resource.open_targets.platform.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/open_targets_platform.json	resource.open_targets.platform.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/open_targets_platform.json	resource.open_targets.platform.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/osf_repository.json	resource.osf.repository.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/osf_repository.json	resource.osf.repository.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/osf_repository.json	resource.osf.repository.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/pubmed_literature.json	resource.pubmed.literature.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/pubmed_literature.json	resource.pubmed.literature.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/pubmed_literature.json	resource.pubmed.literature.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/sra_sequence_read_archive.json	resource.sra.sequence_read_archive.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/sra_sequence_read_archive.json	resource.sra.sequence_read_archive.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/sra_sequence_read_archive.json	resource.sra.sequence_read_archive.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/zenodo_repository.json	resource.zenodo.repository.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/zenodo_repository.json	resource.zenodo.repository.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/zenodo_repository.json	resource.zenodo.repository.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/dmt_natalizumab_mechanism_label_context.json	claim.dailymed.natalizumab_mechanism_context.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/dmt_natalizumab_mechanism_label_context.json	claim.dailymed.natalizumab_mechanism_context.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/dmt_natalizumab_mechanism_label_context.json	claim.dailymed.natalizumab_mechanism_context.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/ebv_ms_longitudinal_risk_context.json	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/ebv_ms_longitudinal_risk_context.json	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ebv_ms_longitudinal_risk_context.json	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/gpr25_ms_ibd_shared_genetics_context.json	claim.nature.ms_ibd_gpr25_context.2026-06-14	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/gpr25_ms_ibd_shared_genetics_context.json	claim.nature.ms_ibd_gpr25_context.2026-06-14	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/gpr25_ms_ibd_shared_genetics_context.json	claim.nature.ms_ibd_gpr25_context.2026-06-14	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	supports	relationship_allowed	PASS	supports
knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	supports	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	supports	supports_or_contradicts_has_grounded_reference	PASS	supports/contradicts require project_finding_reference.finding_id and .artifact
knowledge_external/records/method_prediction_model_validation_context.json	claim.probast_tripod.prediction_model_validation_context.2026-06-14	supports	relationship_allowed	PASS	supports
knowledge_external/records/method_prediction_model_validation_context.json	claim.probast_tripod.prediction_model_validation_context.2026-06-14	supports	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
