pathway	perturbation	cell_type	module	n_genes	genes_present	mean_log2fc	median_log2fc	negative_fraction	sig_negative_fdr05	sig_positive_fdr05
IFNB	IFNAR1	MCF7	hla_ii_apc	1	RFX5	-0.197158637291852	-0.197158637291852	1.0	1	0
IFNB	IFNAR1	MCF7	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,LAMP1,LAMP2,LAMP3	-0.08197026828853547	0.1076794790982461	0.3333333333333333	2	0
IFNB	IFNAR1	MCF7	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.6869602590618344	-0.711621449696382	1.0	7	0
IFNB	IFNAR1	MCF7	mif_cd74_receptor_state	1	CD44	-0.162851512482503	-0.162851512482503	1.0	1	0
IFNB	IRF1	A549	hla_ii_apc	1	RFX5	0.188655579540688	0.188655579540688	0.0	0	0
IFNB	IRF1	A549	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	-0.11797769594038485	-0.143205737863726	0.7142857142857143	1	0
IFNB	IRF1	A549	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.24053827207180295	-0.128767100403435	0.7142857142857143	2	0
IFNB	IRF1	A549	mif_cd74_receptor_state	1	CD44	0.180575572592238	0.180575572592238	0.0	0	0
IFNB	IRF1	BXPC3	hla_ii_apc	0					0	0
IFNB	IRF1	BXPC3	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	-0.09578229295491762	-0.104816739733318	0.7142857142857143	2	0
IFNB	IRF1	BXPC3	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.20411069668874118	-0.197135941698734	1.0	7	0
IFNB	IRF1	BXPC3	mif_cd74_receptor_state	1	CD44	0.062215104663683	0.062215104663683	0.0	0	0
IFNB	IRF1	HAP1	hla_ii_apc	1	RFX5	0.0800205194088099	0.0800205194088099	0.0	0	0
IFNB	IRF1	HAP1	gilt_lysosomal_apc	3	CTSB,LAMP1,LAMP2	-0.056334175163633836	-0.0421865152174032	1.0	0	0
IFNB	IRF1	HAP1	ifn_apc	5	B2M,NLRC5,STAT1,TAP1,TAP2	-0.1762621791531611	-0.191661551252597	0.8	3	0
IFNB	IRF1	HAP1	mif_cd74_receptor_state	0					0	0
IFNB	IRF1	HT29	hla_ii_apc	0					0	0
IFNB	IRF1	HT29	gilt_lysosomal_apc	5	CTSB,CTSD,LAMP1,LAMP2,LAMP3	0.1114231886451336	0.159358465310238	0.2	0	1
IFNB	IRF1	HT29	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.04619966024660981	-0.0468339010201082	0.7142857142857143	5	1
IFNB	IRF1	HT29	mif_cd74_receptor_state	1	CD44	0.151089786178647	0.151089786178647	0.0	0	0
IFNB	IRF1	K562	hla_ii_apc	0					0	0
IFNB	IRF1	K562	gilt_lysosomal_apc	5	CTSB,CTSL,CTSS,LAMP1,LAMP2	0.10014772151514281	0.11382702868975	0.2	0	0
IFNB	IRF1	K562	ifn_apc	5	B2M,IRF1,STAT1,TAP1,TAP2	0.019781576804358002	0.157289282151346	0.4	0	0
IFNB	IRF1	K562	mif_cd74_receptor_state	1	CD44	0.253322507223138	0.253322507223138	0.0	0	1
IFNB	IRF1	MCF7	hla_ii_apc	1	RFX5	0.227301933721701	0.227301933721701	0.0	0	0
IFNB	IRF1	MCF7	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,LAMP1,LAMP2,LAMP3	0.26214360687617794	0.2636524321151945	0.0	0	1
IFNB	IRF1	MCF7	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.11696403954176092	0.162627887850125	0.42857142857142855	3	0
IFNB	IRF1	MCF7	mif_cd74_receptor_state	1	CD44	0.317681719452702	0.317681719452702	0.0	0	0
IFNB	JAK1	A549	hla_ii_apc	1	RFX5	0.113275858241141	0.113275858241141	0.0	0	0
IFNB	JAK1	A549	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	-0.2350973625924579	-0.187508000632023	1.0	4	0
IFNB	JAK1	A549	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.10119107955119601	-0.065648561958382	0.8571428571428571	6	1
IFNB	JAK1	A549	mif_cd74_receptor_state	1	CD44	0.179968267320498	0.179968267320498	0.0	0	0
IFNB	JAK1	BXPC3	hla_ii_apc	0					0	0
IFNB	JAK1	BXPC3	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	0.045172069725203656	0.0435365886010544	0.14285714285714285	1	2
IFNB	JAK1	BXPC3	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.17258673580983735	-0.120646814848428	0.8571428571428571	6	1
IFNB	JAK1	BXPC3	mif_cd74_receptor_state	1	CD44	0.384127699115616	0.384127699115616	0.0	0	1
IFNB	JAK1	HAP1	hla_ii_apc	0					0	0
IFNB	JAK1	HAP1	gilt_lysosomal_apc	3	CTSB,LAMP1,LAMP2	-0.07687039296178579	-0.0662631384464766	1.0	0	0
IFNB	JAK1	HAP1	ifn_apc	5	B2M,NLRC5,STAT1,TAP1,TAP2	-0.5745037315713374	-0.591743183867827	1.0	5	0
IFNB	JAK1	HAP1	mif_cd74_receptor_state	0					0	0
IFNB	JAK1	HT29	hla_ii_apc	0					0	0
IFNB	JAK1	HT29	gilt_lysosomal_apc	5	CTSB,CTSD,LAMP1,LAMP2,LAMP3	-0.2162969580756792	0.114601803091665	0.2	1	0
IFNB	JAK1	HT29	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-1.4065086576285073	-1.44832139128034	1.0	7	0
IFNB	JAK1	HT29	mif_cd74_receptor_state	1	CD44	0.144006323645392	0.144006323645392	0.0	0	1
IFNB	JAK1	K562	hla_ii_apc	0					0	0
IFNB	JAK1	K562	gilt_lysosomal_apc	5	CTSB,CTSL,CTSS,LAMP1,LAMP2	0.11683627641186856	0.105025308065242	0.2	0	0
IFNB	JAK1	K562	ifn_apc	5	B2M,IRF1,STAT1,TAP1,TAP2	-0.588470736183743	-0.661010990739891	1.0	5	0
IFNB	JAK1	K562	mif_cd74_receptor_state	1	CD44	-0.198625724092849	-0.198625724092849	1.0	0	0
IFNB	JAK1	MCF7	hla_ii_apc	1	RFX5	0.258551081422893	0.258551081422893	0.0	0	0
IFNB	JAK1	MCF7	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,LAMP1,LAMP2,LAMP3	0.18830608105480706	0.2076141375727105	0.0	0	2
IFNB	JAK1	MCF7	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	0.12062480035361259	0.134875738114084	0.0	0	6
IFNB	JAK1	MCF7	mif_cd74_receptor_state	1	CD44	0.188753461086393	0.188753461086393	0.0	0	0
IFNB	NFKB1	A549	hla_ii_apc	0					0	0
IFNB	NFKB1	A549	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	0.17127559967524156	0.207377285050026	0.2857142857142857	0	0
IFNB	NFKB1	A549	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	0.2344959503007827	0.214109415899922	0.0	0	0
IFNB	NFKB1	A549	mif_cd74_receptor_state	1	CD44	0.119354190494883	0.119354190494883	0.0	0	0
IFNB	NFKB1	BXPC3	hla_ii_apc	0					0	0
IFNB	NFKB1	BXPC3	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	0.08414047869713949	0.126430212661948	0.14285714285714285	0	0
IFNB	NFKB1	BXPC3	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	0.09212331522129225	0.0596627825711711	0.2857142857142857	0	0
IFNB	NFKB1	BXPC3	mif_cd74_receptor_state	1	CD44	0.253086247114365	0.253086247114365	0.0	0	0
IFNB	NFKB1	HAP1	hla_ii_apc	0					0	0
IFNB	NFKB1	HAP1	gilt_lysosomal_apc	3	CTSB,LAMP1,LAMP2	-0.037967403381226277	-0.0072723636314958	0.6666666666666666	0	0
IFNB	NFKB1	HAP1	ifn_apc	5	B2M,NLRC5,STAT1,TAP1,TAP2	0.05998587102347919	0.0457608149792258	0.2	0	0
IFNB	NFKB1	HAP1	mif_cd74_receptor_state	0					0	0
IFNB	NFKB1	HT29	hla_ii_apc	0					0	0
IFNB	NFKB1	HT29	gilt_lysosomal_apc	6	CTSB,CTSD,CTSS,LAMP1,LAMP2,LAMP3	0.05645495167311926	0.09129195573291671	0.3333333333333333	0	0
IFNB	NFKB1	HT29	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.06683124496071459	0.002244163210499	0.42857142857142855	0	0
IFNB	NFKB1	HT29	mif_cd74_receptor_state	1	CD44	0.102572860905629	0.102572860905629	0.0	0	0
IFNB	NFKB1	K562	hla_ii_apc	0					0	0
IFNB	NFKB1	K562	gilt_lysosomal_apc	5	CTSB,CTSL,CTSS,LAMP1,LAMP2	0.2165910799934819	0.280257942109778	0.0	0	0
IFNB	NFKB1	K562	ifn_apc	5	B2M,IRF1,STAT1,TAP1,TAP2	0.1776997987155302	0.300974438145901	0.2	0	0
IFNB	NFKB1	K562	mif_cd74_receptor_state	1	CD44	1.80421405464134	1.80421405464134	0.0	0	1
IFNB	NFKB1	MCF7	hla_ii_apc	1	RFX5	0.290923081172435	0.290923081172435	0.0	0	0
IFNB	NFKB1	MCF7	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,LAMP1,LAMP2,LAMP3	0.23926025765010725	0.257991571819989	0.0	0	0
IFNB	NFKB1	MCF7	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	0.18764438434016156	0.192435432933945	0.0	0	2
IFNB	NFKB1	MCF7	mif_cd74_receptor_state	1	CD44	0.0627264075133391	0.0627264075133391	0.0	0	0
IFNB	SOCS1	A549	hla_ii_apc	1	RFX5	0.236376841667512	0.236376841667512	0.0	0	0
IFNB	SOCS1	A549	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	0.04141157769854139	0.0054581269813143	0.2857142857142857	0	0
IFNB	SOCS1	A549	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	0.17974155742122194	0.22950567514193	0.0	0	1
IFNB	SOCS1	A549	mif_cd74_receptor_state	1	CD44	0.0399324837468149	0.0399324837468149	0.0	0	0
IFNB	SOCS1	BXPC3	hla_ii_apc	0					0	0
IFNB	SOCS1	BXPC3	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	0.0436671824784165	0.0714184522389993	0.2857142857142857	2	2
IFNB	SOCS1	BXPC3	ifn_apc	8	B2M,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	0.15486850981425154	0.108396688148233	0.0	0	5
IFNB	SOCS1	BXPC3	mif_cd74_receptor_state	1	CD44	-0.0044269870353739	-0.0044269870353739	1.0	0	0
IFNB	SOCS1	HAP1	hla_ii_apc	1	RFX5	0.0469290969017573	0.0469290969017573	0.0	0	0
IFNB	SOCS1	HAP1	gilt_lysosomal_apc	4	CTSB,LAMP1,LAMP2,LAMP3	0.22070208221232152	0.1433977721983385	0.0	0	0
IFNB	SOCS1	HAP1	ifn_apc	6	B2M,IRF1,NLRC5,STAT1,TAP1,TAP2	0.34068499934676916	0.3073094597741795	0.0	0	2
IFNB	SOCS1	HAP1	mif_cd74_receptor_state	1	CD44	0.230766068178519	0.230766068178519	0.0	0	0
IFNB	SOCS1	HT29	hla_ii_apc	0					0	0
IFNB	SOCS1	HT29	gilt_lysosomal_apc	6	CTSB,CTSD,CTSS,LAMP1,LAMP2,LAMP3	0.1657187728089552	0.166223654431254	0.16666666666666666	0	0
IFNB	SOCS1	HT29	ifn_apc	8	B2M,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	0.1377037706762723	0.1744127772772875	0.125	0	0
IFNB	SOCS1	HT29	mif_cd74_receptor_state	1	CD44	0.0840220524266714	0.0840220524266714	0.0	0	0
IFNB	SOCS1	K562	hla_ii_apc	0					0	0
IFNB	SOCS1	K562	gilt_lysosomal_apc	5	CTSB,CTSL,CTSS,LAMP1,LAMP2	0.20236506178482028	0.212038442208259	0.2	0	0
IFNB	SOCS1	K562	ifn_apc	5	B2M,IRF1,STAT1,TAP1,TAP2	0.16257046848049136	0.225673413322072	0.2	0	1
IFNB	SOCS1	K562	mif_cd74_receptor_state	1	CD44	0.445431137134681	0.445431137134681	0.0	0	1
IFNB	SOCS1	MCF7	hla_ii_apc	1	RFX5	0.467264168344911	0.467264168344911	0.0	0	0
IFNB	SOCS1	MCF7	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,LAMP1,LAMP2,LAMP3	0.25345210551780023	0.261180052682041	0.0	0	1
IFNB	SOCS1	MCF7	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	0.33287791576768244	0.329981402145994	0.0	0	0
IFNB	SOCS1	MCF7	mif_cd74_receptor_state	1	CD44	0.380060073161264	0.380060073161264	0.0	0	0
IFNB	STAT1	A549	hla_ii_apc	1	RFX5	0.418488684554887	0.418488684554887	0.0	0	0
IFNB	STAT1	A549	gilt_lysosomal_apc	6	CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	-0.09463922281196457	-0.11302557010492291	0.6666666666666666	2	0
IFNB	STAT1	A549	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.2269401713241102	-0.0816144152897627	0.8571428571428571	1	0
IFNB	STAT1	A549	mif_cd74_receptor_state	1	CD44	0.0353185909192339	0.0353185909192339	0.0	0	1
IFNB	STAT1	BXPC3	hla_ii_apc	0					0	0
IFNB	STAT1	BXPC3	gilt_lysosomal_apc	6	CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	-0.12390812839231008	-0.07255927155086825	0.5	3	1
IFNB	STAT1	BXPC3	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.4767916685030849	-0.25885205214482	1.0	7	0
IFNB	STAT1	BXPC3	mif_cd74_receptor_state	1	CD44	0.201891188193432	0.201891188193432	0.0	0	1
IFNB	STAT1	HAP1	hla_ii_apc	0					0	0
IFNB	STAT1	HAP1	gilt_lysosomal_apc	2	LAMP1,LAMP2	-0.05870446922702785	-0.05870446922702785	0.5	0	0
IFNB	STAT1	HAP1	ifn_apc	5	B2M,NLRC5,STAT1,TAP1,TAP2	-1.5785009025419459	-1.42544378982337	1.0	5	0
IFNB	STAT1	HAP1	mif_cd74_receptor_state	1	CD44	0.300778564422789	0.300778564422789	0.0	0	1
IFNB	STAT1	HT29	hla_ii_apc	0					0	0
IFNB	STAT1	HT29	gilt_lysosomal_apc	4	CTSD,LAMP1,LAMP2,LAMP3	0.04165138182613992	0.10009098755866985	0.25	1	0
IFNB	STAT1	HT29	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.6788383650964616	-0.53697080851397	1.0	7	0
IFNB	STAT1	HT29	mif_cd74_receptor_state	1	CD44	0.189360808408724	0.189360808408724	0.0	0	0
IFNB	STAT1	K562	hla_ii_apc	0					0	0
IFNB	STAT1	K562	gilt_lysosomal_apc	4	CTSL,CTSS,LAMP1,LAMP2	0.030079298902880226	0.005038709159295699	0.5	0	0
IFNB	STAT1	K562	ifn_apc	5	B2M,IRF1,STAT1,TAP1,TAP2	-0.7516329882268679	-0.508802382355177	1.0	4	0
IFNB	STAT1	K562	mif_cd74_receptor_state	1	CD44	-0.482546743039507	-0.482546743039507	1.0	0	0
IFNB	STAT1	MCF7	hla_ii_apc	1	RFX5	0.285034507753435	0.285034507753435	0.0	0	0
IFNB	STAT1	MCF7	gilt_lysosomal_apc	5	CTSD,CTSL,LAMP1,LAMP2,LAMP3	0.1839214595066616	0.152937207535443	0.0	0	1
IFNB	STAT1	MCF7	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	0.13116733472791223	0.166639955170191	0.14285714285714285	1	4
IFNB	STAT1	MCF7	mif_cd74_receptor_state	1	CD44	0.139951723775524	0.139951723775524	0.0	0	0
IFNB	TYK2	A549	hla_ii_apc	0					0	0
IFNB	TYK2	A549	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP3	-0.5111918824965939	-0.29990136704823295	0.6666666666666666	4	0
IFNB	TYK2	A549	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.7197555155015368	-0.702001662351564	1.0	7	0
IFNB	TYK2	A549	mif_cd74_receptor_state	1	CD44	0.406974793106396	0.406974793106396	0.0	0	1
IFNB	TYK2	BXPC3	hla_ii_apc	0					0	0
IFNB	TYK2	BXPC3	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP3	-0.7326820472781437	-0.3953142165993335	0.8333333333333334	5	0
IFNB	TYK2	BXPC3	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-1.2828119069200372	-1.20223502612357	1.0	7	0
IFNB	TYK2	BXPC3	mif_cd74_receptor_state	1	CD44	0.382207266707042	0.382207266707042	0.0	0	1
IFNB	TYK2	HAP1	hla_ii_apc	0					0	0
IFNB	TYK2	HAP1	gilt_lysosomal_apc	2	CTSB,LAMP1	-0.135422119592728	-0.135422119592728	1.0	0	0
IFNB	TYK2	HAP1	ifn_apc	5	B2M,NLRC5,STAT1,TAP1,TAP2	-1.1485106342343034	-1.2358768238697	1.0	5	0
IFNB	TYK2	HAP1	mif_cd74_receptor_state	0					0	0
IFNB	TYK2	HT29	hla_ii_apc	0					0	0
IFNB	TYK2	HT29	gilt_lysosomal_apc	4	CTSB,CTSD,LAMP1,LAMP3	-0.565310435976039	-0.004959405516446802	0.5	1	0
IFNB	TYK2	HT29	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-1.3564204037503749	-1.26699773451981	1.0	7	0
IFNB	TYK2	HT29	mif_cd74_receptor_state	1	CD44	0.10493853859924	0.10493853859924	0.0	0	0
IFNB	TYK2	K562	hla_ii_apc	0					0	0
IFNB	TYK2	K562	gilt_lysosomal_apc	4	CTSB,CTSL,CTSS,LAMP1	-0.04568618615303788	-0.03968449773154174	0.5	0	0
IFNB	TYK2	K562	ifn_apc	5	B2M,IRF1,STAT1,TAP1,TAP2	-0.7130004982326834	-0.562825830303194	1.0	5	0
IFNB	TYK2	K562	mif_cd74_receptor_state	1	CD44	0.183071846342528	0.183071846342528	0.0	0	0
IFNB	TYK2	MCF7	hla_ii_apc	1	RFX5	0.0445702602441309	0.0445702602441309	0.0	0	1
IFNB	TYK2	MCF7	gilt_lysosomal_apc	5	CTSB,CTSD,CTSL,LAMP1,LAMP3	0.0633775887247092	0.227126956006226	0.2	1	1
IFNB	TYK2	MCF7	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.5910204975442797	-0.647702319465007	1.0	7	0
IFNB	TYK2	MCF7	mif_cd74_receptor_state	1	CD44	0.149467027764742	0.149467027764742	0.0	0	0
IFNG	HLA-DQB1	A549	hla_ii_apc	3	CD74,CIITA,RFX5	0.024808969161130335	0.059523356933143	0.3333333333333333	0	0
IFNG	HLA-DQB1	A549	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2	0.1591803571221157	0.1283473461482843	0.16666666666666666	0	0
IFNG	HLA-DQB1	A549	ifn_apc	10	B2M,CD74,CIITA,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	0.028835038052475597	0.0482905250689242	0.3	0	0
IFNG	HLA-DQB1	A549	mif_cd74_receptor_state	2	CD44,CD74	-0.018349750794597504	-0.018349750794597504	0.5	0	0
IFNG	HLA-DQB1	BXPC3	hla_ii_apc	1	CIITA	0.283034749942053	0.283034749942053	0.0	0	0
IFNG	HLA-DQB1	BXPC3	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2	0.28030884671634265	0.303486305947287	0.0	0	0
IFNG	HLA-DQB1	BXPC3	ifn_apc	10	B2M,CIITA,CXCL10,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	0.3029516438324813	0.2857572443316245	0.0	0	4
IFNG	HLA-DQB1	BXPC3	mif_cd74_receptor_state	1	CD44	0.278962296779245	0.278962296779245	0.0	0	0
IFNG	HLA-DQB1	HAP1	hla_ii_apc	0					0	0
IFNG	HLA-DQB1	HAP1	gilt_lysosomal_apc	3	CTSB,LAMP1,LAMP2	-0.07255923527450293	0.0124241892603107	0.3333333333333333	0	0
IFNG	HLA-DQB1	HAP1	ifn_apc	8	B2M,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	0.06041715502519435	0.08183332456304576	0.25	0	0
IFNG	HLA-DQB1	HAP1	mif_cd74_receptor_state	0					0	0
IFNG	HLA-DQB1	HT29	hla_ii_apc	3	CD74,CIITA,RFX5	0.009912453798835234	-0.0139171591947234	0.6666666666666666	0	0
IFNG	HLA-DQB1	HT29	gilt_lysosomal_apc	6	CTSB,CTSD,CTSS,IFI30,LAMP1,LAMP2	0.08664447206996596	0.0925017325908917	0.16666666666666666	0	0
IFNG	HLA-DQB1	HT29	ifn_apc	12	B2M,CD74,CIITA,CXCL10,GBP1,GBP2,IFI30,IRF1,NLRC5,STAT1,TAP1,TAP2	0.005178023866744783	0.01001232398566455	0.5	0	0
IFNG	HLA-DQB1	HT29	mif_cd74_receptor_state	2	CD44,CD74	0.009587588278725748	0.009587588278725748	0.5	0	0
IFNG	HLA-DQB1	K562	hla_ii_apc	0					0	0
IFNG	HLA-DQB1	K562	gilt_lysosomal_apc	4	CTSB,CTSL,LAMP1,LAMP2	-0.09308449980683312	-0.1076324315489845	0.75	0	0
IFNG	HLA-DQB1	K562	ifn_apc	6	B2M,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.09201175680398661	-0.09167028944488224	0.6666666666666666	0	0
IFNG	HLA-DQB1	K562	mif_cd74_receptor_state	0					0	0
IFNG	HLA-DQB1	MCF7	hla_ii_apc	3	CD74,CIITA,RFX5	0.0964192873191419	0.130275579739381	0.3333333333333333	0	0
IFNG	HLA-DQB1	MCF7	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,IFI30,LAMP1,LAMP2	0.11222211558359989	0.0643072895462284	0.16666666666666666	0	0
IFNG	HLA-DQB1	MCF7	ifn_apc	11	B2M,CD74,CIITA,GBP1,GBP2,IFI30,IRF1,NLRC5,STAT1,TAP1,TAP2	0.10985303849344806	0.0921345081496376	0.18181818181818182	0	0
IFNG	HLA-DQB1	MCF7	mif_cd74_receptor_state	2	CD44,CD74	0.2091323219952585	0.2091323219952585	0.0	0	0
IFNG	IFNGR1	A549	hla_ii_apc	2	CD74,CIITA	-1.614870138401445	-1.614870138401445	1.0	2	0
IFNG	IFNGR1	A549	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2	-0.4658123994094802	-0.327476573308297	0.8333333333333334	3	0
IFNG	IFNGR1	A549	ifn_apc	10	B2M,CD74,CIITA,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	-1.359938165915286	-1.442491055772545	1.0	10	0
IFNG	IFNGR1	A549	mif_cd74_receptor_state	2	CD44,CD74	-0.713997426269442	-0.713997426269442	0.5	1	1
IFNG	IFNGR1	BXPC3	hla_ii_apc	1	CIITA	-1.42906285721732	-1.42906285721732	1.0	1	0
IFNG	IFNGR1	BXPC3	gilt_lysosomal_apc	6	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2	-0.33035808512824244	-0.1794905730164567	0.6666666666666666	2	0
IFNG	IFNGR1	BXPC3	ifn_apc	10	B2M,CIITA,CXCL10,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	-1.4796085057919839	-1.5048750707656748	1.0	10	0
IFNG	IFNGR1	BXPC3	mif_cd74_receptor_state	1	CD44	-0.0665001566782608	-0.0665001566782608	1.0	0	0
IFNG	IFNGR1	HAP1	hla_ii_apc	0					0	0
IFNG	IFNGR1	HAP1	gilt_lysosomal_apc	3	CTSB,LAMP1,LAMP2	-0.2262058017705125	-0.333897910735863	0.6666666666666666	0	0
IFNG	IFNGR1	HAP1	ifn_apc	8	B2M,GBP1,GBP2,IRF1,NLRC5,STAT1,TAP1,TAP2	-1.4735892379974276	-1.442950543871095	1.0	8	0
IFNG	IFNGR1	HAP1	mif_cd74_receptor_state	0					0	0
