nominal_enrolled_per_group	missing_or_dropout_fraction	expected_analyzable_per_group	scenario	description	mapped_grid_n_per_group	pass_rate	conclusive_rate	decision_band	planning_note
20	0.4	12	large_clean	large effect, clean labels, no confounder	10	0.5416666666666667	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 12/group; using nearest lower simulated grid n=10.
20	0.4	12	large_noisy_immune	large effect, 10% label noise, immune-tone structure	10	0.4166666666666667	0.4166666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 12/group; using nearest lower simulated grid n=10.
20	0.4	12	moderate_clean	moderate effect, clean labels, no confounder	10	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 12/group; using nearest lower simulated grid n=10.
20	0.4	12	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	10	0.3333333333333333	0.3333333333333333	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 12/group; using nearest lower simulated grid n=10.
20	0.5	10	large_clean	large effect, clean labels, no confounder	10	0.5416666666666667	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 10/group; using nearest lower simulated grid n=10.
20	0.5	10	large_noisy_immune	large effect, 10% label noise, immune-tone structure	10	0.4166666666666667	0.4166666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 10/group; using nearest lower simulated grid n=10.
20	0.5	10	moderate_clean	moderate effect, clean labels, no confounder	10	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 10/group; using nearest lower simulated grid n=10.
20	0.5	10	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	10	0.3333333333333333	0.3333333333333333	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 10/group; using nearest lower simulated grid n=10.
30	0.0	30	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 30/group to about 30/group; using nearest lower simulated grid n=30.
30	0.0	30	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 30/group to about 30/group; using nearest lower simulated grid n=30.
30	0.0	30	moderate_clean	moderate effect, clean labels, no confounder	30	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 30/group; using nearest lower simulated grid n=30.
30	0.0	30	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	30	0.375	0.625	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 30/group; using nearest lower simulated grid n=30.
30	0.1	27	large_clean	large effect, clean labels, no confounder	20	0.625	0.6666666666666666	promising_but_not_decision_grade	Attrition maps nominal 30/group to about 27/group; using nearest lower simulated grid n=20.
30	0.1	27	large_noisy_immune	large effect, 10% label noise, immune-tone structure	20	0.375	0.5833333333333333	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 27/group; using nearest lower simulated grid n=20.
30	0.1	27	moderate_clean	moderate effect, clean labels, no confounder	20	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 30/group to about 27/group; using nearest lower simulated grid n=20.
30	0.1	27	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	20	0.3333333333333333	0.7916666666666667	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 27/group; using nearest lower simulated grid n=20.
30	0.2	24	large_clean	large effect, clean labels, no confounder	20	0.625	0.6666666666666666	promising_but_not_decision_grade	Attrition maps nominal 30/group to about 24/group; using nearest lower simulated grid n=20.
30	0.2	24	large_noisy_immune	large effect, 10% label noise, immune-tone structure	20	0.375	0.5833333333333333	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 24/group; using nearest lower simulated grid n=20.
30	0.2	24	moderate_clean	moderate effect, clean labels, no confounder	20	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 30/group to about 24/group; using nearest lower simulated grid n=20.
30	0.2	24	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	20	0.3333333333333333	0.7916666666666667	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 24/group; using nearest lower simulated grid n=20.
30	0.3	21	large_clean	large effect, clean labels, no confounder	20	0.625	0.6666666666666666	promising_but_not_decision_grade	Attrition maps nominal 30/group to about 21/group; using nearest lower simulated grid n=20.
30	0.3	21	large_noisy_immune	large effect, 10% label noise, immune-tone structure	20	0.375	0.5833333333333333	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 21/group; using nearest lower simulated grid n=20.
30	0.3	21	moderate_clean	moderate effect, clean labels, no confounder	20	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 30/group to about 21/group; using nearest lower simulated grid n=20.
30	0.3	21	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	20	0.3333333333333333	0.7916666666666667	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 21/group; using nearest lower simulated grid n=20.
30	0.4	18	large_clean	large effect, clean labels, no confounder	15	0.5416666666666666	0.5416666666666666	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 18/group; using nearest lower simulated grid n=15.
30	0.4	18	large_noisy_immune	large effect, 10% label noise, immune-tone structure	15	0.3333333333333333	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 18/group; using nearest lower simulated grid n=15.
30	0.4	18	moderate_clean	moderate effect, clean labels, no confounder	15	0.2499999999999999	0.4583333333333333	mostly_inconclusive	Attrition maps nominal 30/group to about 18/group; using nearest lower simulated grid n=15.
30	0.4	18	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	15	0.1249999999999999	0.5	mostly_inconclusive	Attrition maps nominal 30/group to about 18/group; using nearest lower simulated grid n=15.
30	0.5	15	large_clean	large effect, clean labels, no confounder	15	0.5416666666666666	0.5416666666666666	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 15/group; using nearest lower simulated grid n=15.
30	0.5	15	large_noisy_immune	large effect, 10% label noise, immune-tone structure	15	0.3333333333333333	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 30/group to about 15/group; using nearest lower simulated grid n=15.
30	0.5	15	moderate_clean	moderate effect, clean labels, no confounder	15	0.2499999999999999	0.4583333333333333	mostly_inconclusive	Attrition maps nominal 30/group to about 15/group; using nearest lower simulated grid n=15.
30	0.5	15	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	15	0.1249999999999999	0.5	mostly_inconclusive	Attrition maps nominal 30/group to about 15/group; using nearest lower simulated grid n=15.
45	0.0	45	large_clean	large effect, clean labels, no confounder	45	0.7083333333333333	0.7083333333333333	promising_but_not_decision_grade	Attrition maps nominal 45/group to about 45/group; using nearest lower simulated grid n=45.
45	0.0	45	large_noisy_immune	large effect, 10% label noise, immune-tone structure	45	0.2916666666666666	0.4166666666666667	mostly_inconclusive	Attrition maps nominal 45/group to about 45/group; using nearest lower simulated grid n=45.
45	0.0	45	moderate_clean	moderate effect, clean labels, no confounder	45	0.375	0.4166666666666666	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 45/group; using nearest lower simulated grid n=45.
45	0.0	45	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	45	0.2499999999999999	0.2916666666666666	mostly_inconclusive	Attrition maps nominal 45/group to about 45/group; using nearest lower simulated grid n=45.
45	0.1	40	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 45/group to about 40/group; using nearest lower simulated grid n=30.
45	0.1	40	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 45/group to about 40/group; using nearest lower simulated grid n=30.
45	0.1	40	moderate_clean	moderate effect, clean labels, no confounder	30	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 40/group; using nearest lower simulated grid n=30.
45	0.1	40	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	30	0.375	0.625	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 40/group; using nearest lower simulated grid n=30.
45	0.2	36	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 45/group to about 36/group; using nearest lower simulated grid n=30.
45	0.2	36	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 45/group to about 36/group; using nearest lower simulated grid n=30.
45	0.2	36	moderate_clean	moderate effect, clean labels, no confounder	30	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 36/group; using nearest lower simulated grid n=30.
45	0.2	36	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	30	0.375	0.625	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 36/group; using nearest lower simulated grid n=30.
45	0.3	31	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 45/group to about 31/group; using nearest lower simulated grid n=30.
45	0.3	31	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 45/group to about 31/group; using nearest lower simulated grid n=30.
45	0.3	31	moderate_clean	moderate effect, clean labels, no confounder	30	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 31/group; using nearest lower simulated grid n=30.
45	0.3	31	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	30	0.375	0.625	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 31/group; using nearest lower simulated grid n=30.
45	0.4	27	large_clean	large effect, clean labels, no confounder	20	0.625	0.6666666666666666	promising_but_not_decision_grade	Attrition maps nominal 45/group to about 27/group; using nearest lower simulated grid n=20.
45	0.4	27	large_noisy_immune	large effect, 10% label noise, immune-tone structure	20	0.375	0.5833333333333333	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 27/group; using nearest lower simulated grid n=20.
45	0.4	27	moderate_clean	moderate effect, clean labels, no confounder	20	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 45/group to about 27/group; using nearest lower simulated grid n=20.
45	0.4	27	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	20	0.3333333333333333	0.7916666666666667	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 27/group; using nearest lower simulated grid n=20.
45	0.5	22	large_clean	large effect, clean labels, no confounder	20	0.625	0.6666666666666666	promising_but_not_decision_grade	Attrition maps nominal 45/group to about 22/group; using nearest lower simulated grid n=20.
45	0.5	22	large_noisy_immune	large effect, 10% label noise, immune-tone structure	20	0.375	0.5833333333333333	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 22/group; using nearest lower simulated grid n=20.
45	0.5	22	moderate_clean	moderate effect, clean labels, no confounder	20	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 45/group to about 22/group; using nearest lower simulated grid n=20.
45	0.5	22	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	20	0.3333333333333333	0.7916666666666667	directional_or_often_inconclusive	Attrition maps nominal 45/group to about 22/group; using nearest lower simulated grid n=20.
60	0.0	60	large_clean	large effect, clean labels, no confounder	60	0.8333333333333333	0.8333333333333333	decision_grade_pass_probability	Attrition maps nominal 60/group to about 60/group; using nearest lower simulated grid n=60.
60	0.0	60	large_noisy_immune	large effect, 10% label noise, immune-tone structure	60	0.2916666666666666	0.3333333333333333	mostly_inconclusive	Attrition maps nominal 60/group to about 60/group; using nearest lower simulated grid n=60.
60	0.0	60	moderate_clean	moderate effect, clean labels, no confounder	60	0.3333333333333333	0.375	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 60/group; using nearest lower simulated grid n=60.
60	0.0	60	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	60	0.0833333333333333	0.2499999999999999	mostly_inconclusive	Attrition maps nominal 60/group to about 60/group; using nearest lower simulated grid n=60.
60	0.1	54	large_clean	large effect, clean labels, no confounder	45	0.7083333333333333	0.7083333333333333	promising_but_not_decision_grade	Attrition maps nominal 60/group to about 54/group; using nearest lower simulated grid n=45.
60	0.1	54	large_noisy_immune	large effect, 10% label noise, immune-tone structure	45	0.2916666666666666	0.4166666666666667	mostly_inconclusive	Attrition maps nominal 60/group to about 54/group; using nearest lower simulated grid n=45.
60	0.1	54	moderate_clean	moderate effect, clean labels, no confounder	45	0.375	0.4166666666666666	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 54/group; using nearest lower simulated grid n=45.
60	0.1	54	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	45	0.2499999999999999	0.2916666666666666	mostly_inconclusive	Attrition maps nominal 60/group to about 54/group; using nearest lower simulated grid n=45.
60	0.2	48	large_clean	large effect, clean labels, no confounder	45	0.7083333333333333	0.7083333333333333	promising_but_not_decision_grade	Attrition maps nominal 60/group to about 48/group; using nearest lower simulated grid n=45.
60	0.2	48	large_noisy_immune	large effect, 10% label noise, immune-tone structure	45	0.2916666666666666	0.4166666666666667	mostly_inconclusive	Attrition maps nominal 60/group to about 48/group; using nearest lower simulated grid n=45.
60	0.2	48	moderate_clean	moderate effect, clean labels, no confounder	45	0.375	0.4166666666666666	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 48/group; using nearest lower simulated grid n=45.
60	0.2	48	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	45	0.2499999999999999	0.2916666666666666	mostly_inconclusive	Attrition maps nominal 60/group to about 48/group; using nearest lower simulated grid n=45.
60	0.3	42	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 60/group to about 42/group; using nearest lower simulated grid n=30.
60	0.3	42	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 60/group to about 42/group; using nearest lower simulated grid n=30.
60	0.3	42	moderate_clean	moderate effect, clean labels, no confounder	30	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 42/group; using nearest lower simulated grid n=30.
60	0.3	42	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	30	0.375	0.625	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 42/group; using nearest lower simulated grid n=30.
60	0.4	36	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 60/group to about 36/group; using nearest lower simulated grid n=30.
60	0.4	36	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 60/group to about 36/group; using nearest lower simulated grid n=30.
60	0.4	36	moderate_clean	moderate effect, clean labels, no confounder	30	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 36/group; using nearest lower simulated grid n=30.
60	0.4	36	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	30	0.375	0.625	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 36/group; using nearest lower simulated grid n=30.
60	0.5	30	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 60/group to about 30/group; using nearest lower simulated grid n=30.
60	0.5	30	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 60/group to about 30/group; using nearest lower simulated grid n=30.
60	0.5	30	moderate_clean	moderate effect, clean labels, no confounder	30	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 30/group; using nearest lower simulated grid n=30.
60	0.5	30	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	30	0.375	0.625	directional_or_often_inconclusive	Attrition maps nominal 60/group to about 30/group; using nearest lower simulated grid n=30.
80	0.0	80	large_clean	large effect, clean labels, no confounder	80	0.8333333333333333	0.8333333333333333	decision_grade_pass_probability	Attrition maps nominal 80/group to about 80/group; using nearest lower simulated grid n=80.
80	0.0	80	large_noisy_immune	large effect, 10% label noise, immune-tone structure	80	0.2916666666666666	0.3333333333333333	mostly_inconclusive	Attrition maps nominal 80/group to about 80/group; using nearest lower simulated grid n=80.
80	0.0	80	moderate_clean	moderate effect, clean labels, no confounder	80	0.375	0.375	directional_or_often_inconclusive	Attrition maps nominal 80/group to about 80/group; using nearest lower simulated grid n=80.
80	0.0	80	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	80	0.0416666666666666	0.2083333333333333	mostly_inconclusive	Attrition maps nominal 80/group to about 80/group; using nearest lower simulated grid n=80.
80	0.1	72	large_clean	large effect, clean labels, no confounder	60	0.8333333333333333	0.8333333333333333	decision_grade_pass_probability	Attrition maps nominal 80/group to about 72/group; using nearest lower simulated grid n=60.
80	0.1	72	large_noisy_immune	large effect, 10% label noise, immune-tone structure	60	0.2916666666666666	0.3333333333333333	mostly_inconclusive	Attrition maps nominal 80/group to about 72/group; using nearest lower simulated grid n=60.
80	0.1	72	moderate_clean	moderate effect, clean labels, no confounder	60	0.3333333333333333	0.375	directional_or_often_inconclusive	Attrition maps nominal 80/group to about 72/group; using nearest lower simulated grid n=60.
80	0.1	72	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	60	0.0833333333333333	0.2499999999999999	mostly_inconclusive	Attrition maps nominal 80/group to about 72/group; using nearest lower simulated grid n=60.
80	0.2	64	large_clean	large effect, clean labels, no confounder	60	0.8333333333333333	0.8333333333333333	decision_grade_pass_probability	Attrition maps nominal 80/group to about 64/group; using nearest lower simulated grid n=60.
80	0.2	64	large_noisy_immune	large effect, 10% label noise, immune-tone structure	60	0.2916666666666666	0.3333333333333333	mostly_inconclusive	Attrition maps nominal 80/group to about 64/group; using nearest lower simulated grid n=60.
80	0.2	64	moderate_clean	moderate effect, clean labels, no confounder	60	0.3333333333333333	0.375	directional_or_often_inconclusive	Attrition maps nominal 80/group to about 64/group; using nearest lower simulated grid n=60.
80	0.2	64	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	60	0.0833333333333333	0.2499999999999999	mostly_inconclusive	Attrition maps nominal 80/group to about 64/group; using nearest lower simulated grid n=60.
80	0.3	56	large_clean	large effect, clean labels, no confounder	45	0.7083333333333333	0.7083333333333333	promising_but_not_decision_grade	Attrition maps nominal 80/group to about 56/group; using nearest lower simulated grid n=45.
80	0.3	56	large_noisy_immune	large effect, 10% label noise, immune-tone structure	45	0.2916666666666666	0.4166666666666667	mostly_inconclusive	Attrition maps nominal 80/group to about 56/group; using nearest lower simulated grid n=45.
80	0.3	56	moderate_clean	moderate effect, clean labels, no confounder	45	0.375	0.4166666666666666	directional_or_often_inconclusive	Attrition maps nominal 80/group to about 56/group; using nearest lower simulated grid n=45.
80	0.3	56	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	45	0.2499999999999999	0.2916666666666666	mostly_inconclusive	Attrition maps nominal 80/group to about 56/group; using nearest lower simulated grid n=45.
80	0.4	48	large_clean	large effect, clean labels, no confounder	45	0.7083333333333333	0.7083333333333333	promising_but_not_decision_grade	Attrition maps nominal 80/group to about 48/group; using nearest lower simulated grid n=45.
80	0.4	48	large_noisy_immune	large effect, 10% label noise, immune-tone structure	45	0.2916666666666666	0.4166666666666667	mostly_inconclusive	Attrition maps nominal 80/group to about 48/group; using nearest lower simulated grid n=45.
80	0.4	48	moderate_clean	moderate effect, clean labels, no confounder	45	0.375	0.4166666666666666	directional_or_often_inconclusive	Attrition maps nominal 80/group to about 48/group; using nearest lower simulated grid n=45.
80	0.4	48	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	45	0.2499999999999999	0.2916666666666666	mostly_inconclusive	Attrition maps nominal 80/group to about 48/group; using nearest lower simulated grid n=45.
80	0.5	40	large_clean	large effect, clean labels, no confounder	30	0.9166666666666666	0.9166666666666666	decision_grade_pass_probability	Attrition maps nominal 80/group to about 40/group; using nearest lower simulated grid n=30.
80	0.5	40	large_noisy_immune	large effect, 10% label noise, immune-tone structure	30	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 80/group to about 40/group; using nearest lower simulated grid n=30.
