gene	wave21_call	wave21_residual_modality_score	wave21_failures	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	retained_positive_disease_count	ms_wm_delta_log2_broad	ms_wm_p_broad	ot_n_diseases_score_ge_0_5	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_nM_activity_count	uniprot_location	wave21_modality_read	wave21_manual_class	wave21_direction	wave21_prior_flag	prior_exclusion_reason
NMI	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.1366878120920951	0.5370361570982254					0	Cytoplasm;Nucleus;Secreted	accessible_biologic_or_surface				
MSRB1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	0.0476228372838241	0.8145296396169516		CHEMBL3509600	Methionine-R-sulfoxide reductase B1	SINGLE PROTEIN	0	Cytoplasm;Nucleus;Cytoplasm, cytoskeleton	none_detected				
SCD	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.3699574700771606	0.1572805657312676		CHEMBL5555	Stearoyl-CoA desaturase	SINGLE PROTEIN	1320	Endoplasmic reticulum membrane	accessible_biologic_or_surface				
CYTOR	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3							0		none_detected				
SERPINA1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.2970372840590478	0.334044421696787		CHEMBL1795142	Alpha-1-antiproteinase	SINGLE PROTEIN	0	Secreted, extracellular space, extracellular matrix	accessible_biologic_or_surface				
CXCL3	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.004094684426982	0.993312536598802					0	Secreted	accessible_biologic_or_surface				
S100A9	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-1.408029161012294	0.2499891152292659		CHEMBL4296265	Protein S100-A9	SINGLE PROTEIN	59	Secreted;Cytoplasm;Cytoplasm, cytoskeleton;Cell membrane	accessible_biologic_or_surface				
CXCL1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	1.2680322005771751	0.1506253392240219					0	Secreted	accessible_biologic_or_surface				
PDE4B	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.429544411286491	0.2820953249716317		CHEMBL275	3',5'-cyclic-AMP phosphodiesterase 4B	SINGLE PROTEIN	3812	Cytoplasm;Cell membrane	accessible_biologic_or_surface				
CXCL2	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.5504440262199104	0.2523563033377436		CHEMBL3286076	C-X-C motif chemokine 2	SINGLE PROTEIN	3	Secreted	accessible_biologic_or_surface				
OLFM4	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3							0	Secreted, extracellular space;Mitochondrion	accessible_biologic_or_surface				
ARPC5	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	0.1591591141179691	0.2177922488849154		CHEMBL4295658	Actin-related protein 2/3 complex subunit 5	SINGLE PROTEIN	4	Cytoplasm, cytoskeleton;Cell projection;Nucleus	none_detected				
TTYH3	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.3792362363776007	0.1845335127721597					0	Cell membrane	accessible_biologic_or_surface				
RAB10	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.0127326088185011	0.9341460586882564		CHEMBL4105971	Ras-related protein Rab-10	SINGLE PROTEIN	240	Cytoplasmic vesicle membrane;Golgi apparatus membrane;Golgi apparatus, trans-Golgi network membrane;Endosome membrane;Recycling endosome membrane;Cytoplasmic vesicle, phagosome membrane;Cytoplasm, cytoskeleton, cilium basal body;Endoplasmic reticulum membrane;Cytoplasm, perinuclear region;Lysosome	accessible_biologic_or_surface				
S100A8	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-2.8735647302284484	0.0618526869677346		CHEMBL5725128	Protein S100-A8	SINGLE PROTEIN	1	Secreted;Cytoplasm;Cytoplasm, cytoskeleton;Cell membrane	accessible_biologic_or_surface				
GBP4	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.405019017634137	0.0775354784129323					0	Golgi apparatus membrane;Cytoplasm;Nucleus;Cytoplasm, perinuclear region	accessible_biologic_or_surface				
CSGALNACT1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.3755440485743797	0.1745940191208913		CHEMBL2040705	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	SINGLE PROTEIN	33	Golgi apparatus, Golgi stack membrane	accessible_biologic_or_surface				
RAB24	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.4718470923170326	0.2316258965705408					0	Cytoplasm, cytosol;Membrane;Cytoplasmic vesicle, autophagosome membrane;Cytoplasm, perinuclear region;Cytoplasm, cytoskeleton, spindle	accessible_biologic_or_surface				
LRG1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.2380702563143817	0.6702536111918803					0	Secreted	accessible_biologic_or_surface				
SERPINB1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.025950166986302	0.8686302203659795		CHEMBL6066509	Leukocyte elastase inhibitor	SINGLE PROTEIN	2	Secreted;Cytoplasm;Cytolytic granule;Early endosome	accessible_biologic_or_surface				
SBNO2	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	-0.3898123533746496	0.3337161519905203					0		none_detected				
KCNJ2	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.0024263976862091	0.9930959415390695		CHEMBL1914276	Inward rectifier potassium channel 2	SINGLE PROTEIN	23	Cell membrane;Cell membrane, sarcolemma, T-tubule	accessible_biologic_or_surface				
CCL20	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	1.1469018183892334	0.0611072952242856					0	Secreted	accessible_biologic_or_surface				
PI3	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3				CHEMBL2189144	Phosphoinositide 3-kinase regulatory subunit 4	SINGLE PROTEIN	2	Secreted	accessible_biologic_or_surface				
NLRC5	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	-0.1754720644354748	0.4867392295596717					0	Cytoplasm	none_detected				
TMSB10	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	0.1355995347879997	0.2921719507155929		CHEMBL6067186	Thymosin beta-10	SINGLE PROTEIN	2	Cytoplasm, cytoskeleton	none_detected				
CALR	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.3627605322732279	0.0595887198784885		CHEMBL6066425	Calreticulin	SINGLE PROTEIN	4	Endoplasmic reticulum lumen;Cytoplasm, cytosol;Secreted, extracellular space, extracellular matrix;Cell surface;Sarcoplasmic reticulum lumen;Cytoplasmic vesicle, secretory vesicle, Cortical granule;Cytolytic granule	accessible_biologic_or_surface				
CNN3	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	-0.4698433852675929	0.4900943375716319					0		none_detected				
P4HB	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.1078198500006752	0.5193269228408691		CHEMBL5422	Protein disulfide-isomerase	SINGLE PROTEIN	702	Endoplasmic reticulum;Endoplasmic reticulum lumen;Melanosome;Cell membrane	accessible_biologic_or_surface				
IL2RG	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.7679981961613978	0.0170189770238671		CHEMBL4665588	IL-2R beta/gamma	PROTEIN COMPLEX	0	Cell membrane;Cell surface	accessible_biologic_or_surface				
OSM	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.0762340874548801	0.8590024396793193		CHEMBL4794	Transient receptor potential cation channel subfamily V member 1	SINGLE PROTEIN	7347	Secreted	accessible_biologic_or_surface				
LIPA	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.4580110941773352	0.2725305004844303		CHEMBL4184	Lysosomal acid lipase/cholesteryl ester hydrolase	SINGLE PROTEIN	12	Lysosome	chembl_single_target_activity				
FXYD5	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.3524746864413863	0.0587113391653537					0	Cell membrane;Basolateral cell membrane	accessible_biologic_or_surface				
PDE4D	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.0249633764705032	0.9730170701178064		CHEMBL288	3',5'-cyclic-AMP phosphodiesterase 4D	SINGLE PROTEIN	4945	Apical cell membrane;Cytoplasm;Membrane;Cytoplasm, cytoskeleton;Cytoplasm, cytoskeleton, microtubule organizing center, centrosome	accessible_biologic_or_surface				
LYZ	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.0562800383572401	0.8529867596187362		CHEMBL2297	Lysozyme C	SINGLE PROTEIN	8	Secreted	accessible_biologic_or_surface				
S100P	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	-0.9432265448886435	0.3979188540487969		CHEMBL6066932	Protein S100-P	SINGLE PROTEIN	2	Nucleus;Cytoplasm;Cell projection, microvillus membrane	accessible_biologic_or_surface				
GSTO1	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.2862699043732082	0.1871428268819449		CHEMBL3174	Glutathione S-transferase omega-1	SINGLE PROTEIN	123	Cytoplasm, cytosol	chembl_single_target_activity				
PKM	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	0.2079528837975353	0.3934173353018323		CHEMBL1075189	Pyruvate kinase PKM	SINGLE PROTEIN	14174	Cytoplasm	chembl_single_target_activity				
CCL19	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	-1.29003978913952	0.3974902111744002					0	Secreted	accessible_biologic_or_surface				
GALE	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		2	-1.0780208820228463	0.2144225112003847		CHEMBL5843	UDP-glucose 4-epimerase	SINGLE PROTEIN	6		none_detected				
MMP15	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases	0		2	-1.812501370281954	0.0728459543548149		CHEMBL2963	Matrix metalloproteinase-15	SINGLE PROTEIN	42	Membrane	accessible_biologic_or_surface				
DNAJB11	DEMOTE_WAVE21	2.5	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		2	-0.527981077152857	0.1109266021735256		CHEMBL6067236	DnaJ homolog subfamily B member 11	SINGLE PROTEIN	2	Endoplasmic reticulum lumen	none_detected				
ATOX1	PARK_LOCAL_RESIDUAL_ONLY	11.75	breadth_below_4_diseases;weak_external_modality	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	0.5235633697570927	0.5641167566536998					0		none_detected;manual_class=intracellular copper chaperone/transcriptional cofactor	intracellular copper chaperone/transcriptional cofactor	inhibit copper-chaperone/redox signaling only if causal	modality immature; copper homeostasis safety risk	
TPM4	PARK_LOCAL_RESIDUAL_ONLY	11.75	breadth_below_4_diseases;weak_external_modality	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	-0.0374723547260309	0.9001013429967964		CHEMBL4295789	Tropomyosin alpha-4 chain	SINGLE PROTEIN	2	Cytoplasm, cytoskeleton	none_detected				
LDLRAD3	PARK_LOCAL_RESIDUAL_ONLY	11.75	breadth_below_4_diseases	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	0.174502585370285	0.8376004526982199					0	Cell membrane	accessible_biologic_or_surface;manual_class=membrane LDL-receptor-repeat protein	membrane LDL-receptor-repeat protein	unknown	biology and modality unclear	
SQLE	PARK_LOCAL_RESIDUAL_ONLY	11.75	breadth_below_4_diseases	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	-0.3408177110309154	0.3307572199460259		CHEMBL3592	Squalene monooxygenase	SINGLE PROTEIN	99	Microsome membrane;Endoplasmic reticulum membrane	accessible_biologic_or_surface;manual_class=sterol-biosynthesis enzyme	sterol-biosynthesis enzyme	inhibit SQLE only if sterol synthesis is causal, not repair	existing antifungal SQLE inhibitors; autoimmune novelty uncertain	
CFB	PARK_LOCAL_RESIDUAL_ONLY	9.0	breadth_below_4_diseases	1	ibd_crohn_stromal:Crohn disease	4	-0.9822682065524936	0.2868607768107353		CHEMBL5731	Complement factor B	SINGLE PROTEIN	341	Cell surface	chembl_single_target_activity				
TIMP1	PARK_LOCAL_RESIDUAL_ONLY	7.75	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	3	-0.5836919250703687	0.415232450290228					0	Secreted	accessible_biologic_or_surface				
COL4A1	PARK_LOCAL_RESIDUAL_ONLY	7.75	breadth_below_4_diseases	1	ibd_crohn_stromal:Crohn disease	3	0.1822153154682535	0.8835701022678253		CHEMBL2364188	Collagen	PROTEIN COMPLEX GROUP	0	Secreted, extracellular space, extracellular matrix, basement membrane	accessible_biologic_or_surface				
CBX3	PARK_LOCAL_RESIDUAL_ONLY	3.75	breadth_below_4_diseases;weak_external_modality;previously_excluded_or_demoted	1	ibd_uc_stromal:ulcerative colitis	3	0.3505111291715241	0.0165873089490037		CHEMBL3826866	Chromobox protein homolog 3	SINGLE PROTEIN	4	Nucleus	none_detected				ADJACENT_HOLD_GENERIC
