analysis	dataset_path	disease_name	compartment	role	donor_id	disease	group	gene	n_cells	mean_log_norm	detection_fraction
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_1	normal	control	CD74	60	2.956166441155913	0.65
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	GSK3B	112	0.040047269206040244	0.044642857142857144
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	GSK3A	112	0.07363785077585826	0.08035714285714286
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	MED16	112	0.09533248991287616	0.08035714285714286
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	CIITA	112	0.11186192904221617	0.11607142857142858
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	RFX5	112	0.122281412066616	0.125
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	CD74	112	1.0361556099133784	0.3482142857142857
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_3	normal	control	GSK3B	135	0.04695643654412518	0.037037037037037035
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_3	normal	control	GSK3A	135	0.08517882457539346	0.07407407407407407
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_3	normal	control	MED16	135	0.026925783147774583	0.02962962962962963
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_3	normal	control	CIITA	135	0.05396096012079408	0.05925925925925926
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_3	normal	control	RFX5	135	0.06271737581904407	0.037037037037037035
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_3	normal	control	CD74	135	2.426385266512124	0.6592592592592592
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_4	normal	control	GSK3B	75	0.04405121471351334	0.06666666666666667
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_4	normal	control	GSK3A	75	0.09348499673961531	0.09333333333333334
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_4	normal	control	MED16	75	0.02713971488751027	0.02666666666666667
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_4	normal	control	CIITA	75	0.35571409878078103	0.29333333333333333
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_4	normal	control	RFX5	75	0.0903538392599177	0.08
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_4	normal	control	CD74	75	2.604175858037329	0.6133333333333333
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_5	normal	control	GSK3B	192	0.05796386478631449	0.057291666666666664
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_5	normal	control	GSK3A	192	0.06610648703871762	0.057291666666666664
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_5	normal	control	MED16	192	0.019418392349881592	0.026041666666666668
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_5	normal	control	CIITA	192	0.20048624188372166	0.18229166666666666
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_5	normal	control	RFX5	192	0.014345017275695754	0.026041666666666668
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_5	normal	control	CD74	192	2.0725980252401204	0.484375
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_6	normal	control	GSK3B	103	0.04807634511518452	0.05825242718446602
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_6	normal	control	GSK3A	103	0.08447696893127295	0.11650485436893204
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_6	normal	control	MED16	103	0.012811768473047663	0.02912621359223301
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_6	normal	control	CIITA	103	0.1831935452219846	0.1941747572815534
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_6	normal	control	RFX5	103	0.09057926468699293	0.13592233009708737
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_6	normal	control	CD74	103	2.346148559652183	0.5436893203883495
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_1	normal	control	GSK3B	60	0.053562501962563305	0.05
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_1	normal	control	GSK3A	60	0.10252997219860888	0.05
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_1	normal	control	MED16	60	0.040775959465092465	0.016666666666666666
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_1	normal	control	CIITA	60	0.09470221062950186	0.1
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_1	normal	control	RFX5	60	0.07411933371443137	0.08333333333333333
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_1	normal	control	CD74	60	2.956166441155913	0.65
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_2	normal	control	GSK3B	112	0.040047269206040244	0.044642857142857144
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_2	normal	control	GSK3A	112	0.07363785077585826	0.08035714285714286
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_2	normal	control	MED16	112	0.09533248991287616	0.08035714285714286
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_2	normal	control	CIITA	112	0.11186192904221617	0.11607142857142858
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_2	normal	control	RFX5	112	0.122281412066616	0.125
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_2	normal	control	CD74	112	1.0361556099133784	0.3482142857142857
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_3	normal	control	GSK3B	135	0.04695643654412518	0.037037037037037035
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_3	normal	control	GSK3A	135	0.08517882457539346	0.07407407407407407
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_3	normal	control	MED16	135	0.026925783147774583	0.02962962962962963
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_3	normal	control	CIITA	135	0.05396096012079408	0.05925925925925926
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_3	normal	control	RFX5	135	0.06271737581904407	0.037037037037037035
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_3	normal	control	CD74	135	2.426385266512124	0.6592592592592592
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_4	normal	control	GSK3B	75	0.04405121471351334	0.06666666666666667
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_4	normal	control	GSK3A	75	0.09348499673961531	0.09333333333333334
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_4	normal	control	MED16	75	0.02713971488751027	0.02666666666666667
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_4	normal	control	CIITA	75	0.35571409878078103	0.29333333333333333
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_4	normal	control	RFX5	75	0.0903538392599177	0.08
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_4	normal	control	CD74	75	2.604175858037329	0.6133333333333333
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_5	normal	control	GSK3B	192	0.05796386478631449	0.057291666666666664
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_5	normal	control	GSK3A	192	0.06610648703871762	0.057291666666666664
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_5	normal	control	MED16	192	0.019418392349881592	0.026041666666666668
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_5	normal	control	CIITA	192	0.20048624188372166	0.18229166666666666
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_5	normal	control	RFX5	192	0.014345017275695754	0.026041666666666668
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_5	normal	control	CD74	192	2.0725980252401204	0.484375
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_6	normal	control	GSK3B	103	0.04807634511518452	0.05825242718446602
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_6	normal	control	GSK3A	103	0.08447696893127295	0.11650485436893204
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_6	normal	control	MED16	103	0.012811768473047663	0.02912621359223301
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_6	normal	control	CIITA	103	0.1831935452219846	0.1941747572815534
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_6	normal	control	RFX5	103	0.09057926468699293	0.13592233009708737
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	HC_6	normal	control	CD74	103	2.346148559652183	0.5436893203883495
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_1	ulcerative colitis	case	GSK3B	49	0.04547525157318162	0.04081632653061224
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_1	ulcerative colitis	case	GSK3A	49	0.1677923437439988	0.10204081632653061
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_1	ulcerative colitis	case	MED16	49	0.06714065591860367	0.061224489795918366
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_1	ulcerative colitis	case	CIITA	49	0.27088925730861496	0.1836734693877551
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_1	ulcerative colitis	case	RFX5	49	0.09606333583752989	0.061224489795918366
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_1	ulcerative colitis	case	CD74	49	2.9311327772090863	0.7346938775510204
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_2	ulcerative colitis	case	GSK3B	138	0.07758665253010585	0.06521739130434782
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_2	ulcerative colitis	case	GSK3A	138	0.0695911403881398	0.07246376811594203
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_2	ulcerative colitis	case	MED16	138	0.10319496644734143	0.07971014492753623
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_2	ulcerative colitis	case	CIITA	138	0.2680505429226154	0.1956521739130435
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_2	ulcerative colitis	case	RFX5	138	0.02931393749804504	0.036231884057971016
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_2	ulcerative colitis	case	CD74	138	2.4802028842634467	0.6739130434782609
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_3	ulcerative colitis	case	GSK3B	275	0.08318477098865762	0.07272727272727272
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_3	ulcerative colitis	case	GSK3A	275	0.12231221044497584	0.11272727272727273
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_3	ulcerative colitis	case	MED16	275	0.05113773444595466	0.04
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_3	ulcerative colitis	case	CIITA	275	0.28428907574244405	0.2545454545454545
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_3	ulcerative colitis	case	RFX5	275	0.05829383983965328	0.05818181818181818
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_3	ulcerative colitis	case	CD74	275	2.145830387601669	0.6909090909090909
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_4	ulcerative colitis	case	GSK3B	189	0.0654380934950526	0.0582010582010582
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_4	ulcerative colitis	case	GSK3A	189	0.0980680902226072	0.10582010582010581
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_4	ulcerative colitis	case	MED16	189	0.027590791692890682	0.031746031746031744
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_4	ulcerative colitis	case	CIITA	189	0.2909782702337078	0.24867724867724866
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_4	ulcerative colitis	case	RFX5	189	0.04129648999353611	0.05291005291005291
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_4	ulcerative colitis	case	CD74	189	2.5031352656338197	0.8148148148148148
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_5	ulcerative colitis	case	GSK3B	329	0.07778778498399186	0.07598784194528875
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_5	ulcerative colitis	case	GSK3A	329	0.07194028351999665	0.07598784194528875
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_5	ulcerative colitis	case	MED16	329	0.09952577750830545	0.10638297872340426
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_5	ulcerative colitis	case	CIITA	329	0.18954918198952517	0.182370820668693
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_5	ulcerative colitis	case	RFX5	329	0.06462829013140275	0.0729483282674772
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_5	ulcerative colitis	case	CD74	329	1.9728420612441457	0.60790273556231
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	UC_6	ulcerative colitis	case	GSK3B	181	0.0642636471503762	0.0718232044198895
