gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	opposing_contexts	strong_opposing_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	most_negative_context	most_negative_n_nonremission_cells_with_token	most_negative_cosine_shift_z_vs_random	most_negative_projection_minus_random	supporting_contexts	strong_supporting_contexts	opposing_context_names	strong_opposing_context_names	geneformer_direction_priority_score	route	wave70_call	wave70_score	evidence_count	manual_blocker	gse282122_support	broad_support	ms_support	ra_support	ra_response_support	genetics_support	eff_support	model_support	real_pert_support	wave68_best_call	wave68_min_adjusted_fdr	wave68_min_raw_fdr	wave68_min_paired_fdr	direction_model_call	direction_model_call_priority	directional_interpretation
LILRB3	6	4	2	0	2	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	3	0.3852185140533372	0.02125746157253161	GSE282122_DC_post_nonremission_to_remission_UC_only	3	-0.22256533018645613	-0.007145375825671686	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only		8.0	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	2.0	1.0		True	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0384318074930293	0.6813192886233125	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	no_clear_directional_model_support
LILRB1	6	2	1	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	4	0.6653870531582302	0.024949449638370425	GSE282122_Mono_macro_post_nonremission_to_remission	2	-0.5801941724415989	-0.024043231004098845	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only			7.5	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	2.0	1.0		True	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0120158383689099	0.6233257017163979	0.9871932004204595	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
LILRB2	6	4	2	0	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	4	0.3225362855265282	0.049858953457118736	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	-0.3260078175458227	-0.03204106366675761	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		6.5	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	3.0	2.0		True	True	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0224142446553593	0.997014962124125	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
CD80	6	3	2	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	3	0.3991072055596009	0.019273864902142022	GSE282122_DC_post_nonremission_to_remission_UC_only	4	-0.3019175453050188	-0.016988540414927734	GSE282122_DC_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		GSE282122_DC_post_nonremission_to_remission_UC_only		6.25															DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0315923718869413	1.0	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
CD274	6	4	1	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.32991746843081415	0.0032775367487273693	GSE282122_DC_post_nonremission_to_remission	5	-0.0024277502540641497	-0.0009712444042735214	GSE282122_Mono_macro_post_nonremission_to_remission		GSE282122_DC_post_nonremission_to_remission		4.5															DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0243347862186503	0.9393807787077808	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	no_clear_directional_model_support
INPP5D	6	1	1	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.44204017497320913	0.007479716349755311	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.44204017497320913	0.007479716349755311	GSE282122_DC_post_nonremission_to_remission_CD_only				2.25	SHIP1 inhibitory Fc/PI3K lipid phosphatase	NO_GO_INSUFFICIENT_CONVERGENCE	1.282679662108421	1.0		False	False	False	True	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	0.9925557906097598	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
PTPN6	6	1	1	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	6	0.11170169578364084	0.015264933582188354	GSE282122_DC_post_nonremission_to_remission_CD_only	2	-0.5283216831403161	0.002848742787157082	GSE282122_DC_post_nonremission_to_remission_UC_only				2.25	SHP1 inhibitory receptor phosphatase	NO_GO_INSUFFICIENT_CONVERGENCE	1.0	1.0		False	False	False	True	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		0.9381413353940796	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
LILRB4	6	1	0	0	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	1	2.7784685775087596	-0.012616397228298916	GSE282122_Mono_macro_post_nonremission_to_remission	3	-0.32153633650384933	-0.0021379342891224146			GSE282122_Mono_macro_post_nonremission_to_remission		1.75	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	1.5	1.0		True	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0113374916142918	0.6233257017163979	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_away_from_remission_centroid; restoration_or_agonism_direction
BTK	6	2	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	2	0.30201800424748787	-0.007160371576901525	GSE282122_DC_post_nonremission_to_remission_UC_only	1	-0.16477686746429326	-0.06289264966940714					0.5	B-cell/myeloid Fc receptor kinase	NO_GO_BLOCKED_OR_BROAD_CLASS	-1.5	1.0	BTK_MS_and_autoimmune_prior_art_clinical_saturation	False	False	False	True	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	no_clear_directional_model_support
AXL	6	1	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	2	0.8534747740906484	0.027377178218577887	GSE282122_DC_post_nonremission_to_remission_UC_only	2	-0.6575733142522343	-0.01361832057332827					0.25	TAM inflammatory-resolution receptor	NO_GO_BLOCKED_OR_BROAD_CLASS	-1.5	1.0	TAM_oncology_fibrosis_thrombosis_context_risk	True	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0361858575875385	0.7178207758121948	0.7275675419493579	NO_GO_MODEL_DIRECTION_SCREEN	3	no_clear_directional_model_support
LAIR1	6	1	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	6	0.36533910756674337	-0.02173531096195802	GSE282122_DC_post_nonremission_to_remission_CD_only	1	-0.46947615889360567	0.02275760776958325					0.25	collagen-binding inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	1.5	1.0		False	False	False	True	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		0.90663855872292	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	no_clear_directional_model_support
MERTK	6	0	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	2.2335929119711304	0.07149042308964353	GSE282122_Mono_macro_post_nonremission_to_remission	1	2.2335929119711304	0.07149042308964353					0.0	TAM efferocytosis receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.388791099190712	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
GAS6	6	0	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	2	1.752695255507842	-0.06768482803664584	GSE282122_DC_post_nonremission_to_remission	2	-0.5145356819822053	-0.014963536395872425					0.0	TAM ligand	NO_GO_INSUFFICIENT_CONVERGENCE	0.5	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
CD300LF	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	2	0.784182956913811	0.035492419849874245	GSE282122_DC_post_nonremission_to_remission	2	-0.9129826659630687	0.005367281042789627					0.0	CD300 inhibitory/immune receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.5	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
SYK	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	1	0.704743772311171	-0.021296037233615707	GSE282122_DC_post_nonremission_to_remission_UC_only	1	-0.39565853607067003	0.051849454294683205					0.0	Fc receptor kinase comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	0.6384710222482681	2.0	SYK_prior_art_broad_immunosuppression	False	False	False	True	False	False	False	True	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
CD300A	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	2	0.48301012846137975	0.024958774100782143	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	1	-0.08450069533911143	0.011595982650760561					0.0	lipid-sensing inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.0	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
PROS1	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0	TAM ligand	NO_GO_INSUFFICIENT_CONVERGENCE	0.0	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
SH2D1B	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0	Fc receptor signaling adaptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.0	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
TYRO3	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0	TAM receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.3905218541622162	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_LOW_TOKEN_SUPPORT	4	insufficient_token_support
