gene	source_count	sources	best_source_rank
PLSCR4	1	wave37_efferocytosis_crispr	0.6893870135379143
POC5	1	wave37_efferocytosis_crispr	0.804487896071381
POU2F1	1	wave15_direct_perturbation	6.0
PPARG	1	wave15_direct_perturbation	6.0
PRDM1	1	wave15_direct_perturbation	6.0
PRKCB	1	wave57_geneformer	0.0
PRKDC	1	wave69d_geneformer	0.25
PROS1	1	wave70c_geneformer	0.0
PSAP	1	wave57_geneformer	3.5
PTGES3	1	wave15_direct_perturbation	6.0
PTGS2	1	wave15_direct_perturbation	6.0
PTPN11	2	wave15_direct_perturbation;wave70c_geneformer	6.0
PTPN2	1	wave57_geneformer	0.75
PTPN6	1	wave70c_geneformer	2.25
PYDC3	1	wave37_efferocytosis_crispr	1.192668828893351
RAP1GAP	1	wave15_direct_perturbation	6.0
RAPGEF1	1	wave15_direct_perturbation	6.0
RARRES3	1	wave15_direct_perturbation	6.0
RECQL4	1	wave37_efferocytosis_crispr	0.8545654357562431
RELB	1	wave15_direct_perturbation	6.0
REPIN1	1	wave15_direct_perturbation	6.0
RFX5	1	wave15_direct_perturbation	7.0
RGS14	1	wave69d_geneformer	0.0
RNF114	1	wave15_direct_perturbation	6.0
RNF14	1	wave15_direct_perturbation	6.0
RUNX1	1	wave15_direct_perturbation	6.0
RYK	1	wave37_efferocytosis_crispr	1.059316314841792
SCGB1C1	1	wave37_efferocytosis_crispr	0.7884808330220432
SEMA4G	1	wave37_efferocytosis_crispr	0.7332074846621264
SH2D1B	1	wave70c_geneformer	0.0
SIGLEC10	1	wave70c_geneformer	9.5
SLC38A9	1	wave37_efferocytosis_crispr	0.839036932213384
SLC39A3	1	wave37_efferocytosis_crispr	0.7973819035726755
SMARCA5	1	wave15_direct_perturbation	6.0
SMPD1	1	wave57_geneformer	0.0
SOCS1	1	wave15_direct_perturbation	6.0
SOX2	1	wave15_direct_perturbation	6.0
SOX4	1	wave15_direct_perturbation	6.0
SOX9	1	wave15_direct_perturbation	6.0
SP100	1	wave15_direct_perturbation	6.0
SP110	1	wave15_direct_perturbation	6.0
SP140	2	wave57_geneformer;wave69d_geneformer	0.0
SRC	2	wave15_direct_perturbation;wave69d_geneformer	6.0
STAT1	1	wave15_direct_perturbation	7.0
STAT2	1	wave15_direct_perturbation	6.0
STAT3	1	wave15_direct_perturbation	6.0
STAT4	3	wave15_direct_perturbation;wave57_geneformer;wave69d_geneformer	6.0
STAT5A	1	wave15_direct_perturbation	6.0
STAT6	1	wave15_direct_perturbation	6.0
SYK	2	wave69d_geneformer;wave70c_geneformer	2.75
TAGAP1	1	wave37_efferocytosis_crispr	0.7333646644709861
TAPBPL	1	wave15_direct_perturbation	6.0
TAS2R106	1	wave37_efferocytosis_crispr	0.8127042676625387
TBX21	1	wave15_direct_perturbation	6.0
TBX6	1	wave37_efferocytosis_crispr	0.7058020963375626
TDRD1	1	wave37_efferocytosis_crispr	0.667572709720756
TIAL1	1	wave37_efferocytosis_crispr	0.7822771961462163
TNFRSF1A	1	wave15_direct_perturbation	6.0
TNFRSF1B	1	wave15_direct_perturbation	6.0
TNFSF15	1	wave69d_geneformer	0.0
TPX2	1	wave37_efferocytosis_crispr	0.832988507912001
TRAF1	1	wave15_direct_perturbation	6.0
TRAF2	1	wave15_direct_perturbation	6.0
TRAF3	1	wave15_direct_perturbation	6.0
TRAFD1	1	wave15_direct_perturbation	6.0
TRIB2	1	wave57_geneformer	0.0
TRIM21	1	wave15_direct_perturbation	6.0
TRIM22	1	wave15_direct_perturbation	6.0
TRIM46	1	wave37_efferocytosis_crispr	0.8291055128406355
TSC1	1	wave37_efferocytosis_crispr	1.1788476545613715
TSC22D1	1	wave15_direct_perturbation	6.0
TYK2	1	wave15_direct_perturbation	5.0
TYRO3	1	wave70c_geneformer	0.0
UBA7	1	wave15_direct_perturbation	6.0
UBE2L6	1	wave15_direct_perturbation	6.0
USP18	1	wave15_direct_perturbation	6.0
VAV1	1	wave15_direct_perturbation	6.0
VMN1R142	1	wave37_efferocytosis_crispr	0.9751204018760492
VMN2R87	1	wave37_efferocytosis_crispr	1.0970815686567217
VMN2R98	1	wave37_efferocytosis_crispr	0.8120747727621225
YTHDF2	1	wave37_efferocytosis_crispr	0.8747315389922106
YWHAE	1	wave37_efferocytosis_crispr	1.2679260684680216
ZBP1	1	wave15_direct_perturbation	6.0
ZC3H3	1	wave15_direct_perturbation	6.0
ZCCHC6	1	wave37_efferocytosis_crispr	0.7954482334386943
ZFP36	1	wave15_direct_perturbation	6.0
ZFP36L1	1	wave15_direct_perturbation	6.0
ZFP385A	1	wave37_efferocytosis_crispr	0.7141892442557852
ZFP598	1	wave37_efferocytosis_crispr	0.8846439794835519
ZFP775	1	wave37_efferocytosis_crispr	0.9565179349957516
ZNF22	1	wave15_direct_perturbation	6.0
ZNF267	1	wave15_direct_perturbation	6.0
ZNFX1	1	wave15_direct_perturbation	6.0
ZSWIM7	1	wave37_efferocytosis_crispr	0.994070445341208
