gene	positive_disease_count	positive_diseases	negative_disease_count	negative_diseases	best_p	max_abs_delta
CEBPB	0		0		0.0729198806739817	1.1231149608348234
CEBPE	0		0		0.1634325049449964	0.9335087475450794
CEBPG	0		0		0.0740305191882663	1.23647750051318
CHST11	2	Crohn disease;Sjogren syndrome	1	Sjogren syndrome	0.0167480242158238	1.5098792509484302
CHUK	2	Crohn disease;psoriasis	0		0.0084013839235296	1.2112768889072218
CIITA	2	Crohn disease;type 1 diabetes mellitus	0		0.0257422995322927	2.3562767096362727
CLEC7A	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0081802762450774	3.663783669788851
CLK1	1	type 1 diabetes mellitus	0		0.0024478027728577	0.8243147886437097
COQ4	1	Crohn disease	0		0.0002124087855124	0.9609521635396848
CREB1	0		1	psoriasis	0.0268190135088475	1.2089511982909409
CRKL	1	Crohn disease	1	type 1 diabetes mellitus	0.0026508372777627	1.2092299884314262
CRTC2	1	Crohn disease	1	type 1 diabetes mellitus	0.0128533959099482	1.1451190156408426
CSF1	0		1	ulcerative colitis	0.0014257396090007	1.4585472523947818
CSF2	0		0		0.1058585510808649	2.6101405552346235
CTSB	2	psoriasis;ulcerative colitis	0		0.0252638099093947	1.8839747063622552
CTSD	0		2	Crohn disease;ulcerative colitis	0.0031819012921243	1.882045130896472
CTSS	1	type 1 diabetes mellitus	0		0.004628796457552	2.6498908339776883
CUL1	2	Crohn disease;ulcerative colitis	0		0.0114853272664003	1.4088291402597433
CXCR2	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0111878892935531	3.4029015183177234
CYBA	2	Crohn disease;psoriasis	0		0.0153322384374051	3.4553789311990215
CYBB	0		1	ulcerative colitis	0.0161042751307971	2.3625135083870297
DAB2	0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0026989827017581	2.616269136034033
DAP	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0022367147001041	0.8894639476448338
DNAH9	0		1	psoriasis	0.011131198485451	1.893930399966142
DNM1L	0		0		0.0743845803214154	1.0075838692387995
DRAP1	0		1	psoriasis	0.0003325199543172	0.7217641971304349
DTX3L	2	Crohn disease;ulcerative colitis	0		0.0027112652635062	1.273224384736428
EFR3A	1	Crohn disease	0		0.0260062737686466	0.7865418735571712
EHF	1	ulcerative colitis	1	type 1 diabetes mellitus	0.0020086301840482	1.234570488340399
ELK1	1	Crohn disease	0		0.0236720002866508	0.7880649093827232
ETS1	2	Crohn disease;ulcerative colitis	1	type 1 diabetes mellitus	0.0002145092077464	1.7356801315737798
ETS2	2	Crohn disease;ulcerative colitis	0		0.0002169108406527	1.972336498380402
ETV7	3	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	0		0.0098186617072935	2.120998904854126
FADD	1	psoriasis	0		0.0211769720460282	0.9757770428666132
FAM49B	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0032668493854675	1.1065720539452557
FBXO16	2	Crohn disease;Sjogren syndrome	1	psoriasis	0.0119407806854679	1.644130787631088
FBXO6	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		0.0002830063694114	1.7399251289550004
FCGR2A	1	Sjogren syndrome	1	psoriasis	0.0366343032457273	1.2336487358442287
FCGR2B	0		1	ulcerative colitis	0.0088692330685497	1.9336392204694344
FCGRT	0		3	Crohn disease;psoriasis;ulcerative colitis	0.0019805095464197	1.4149154522267162
FMNL2	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		0.0028762020248056	1.458620390779716
FOS	0		3	Crohn disease;psoriasis;ulcerative colitis	0.0066811295895097	1.4835112460805764
FOXN3	0		2	Sjogren syndrome;ulcerative colitis	0.0028847441357755	1.6978443107959182
FYN	1	Crohn disease	0		0.0117480762511944	1.443031765663437
FZD4	1	psoriasis	1	Sjogren syndrome	0.0196428854044487	1.4525513301793749
GABPA	1	Crohn disease	0		0.0400418694551824	1.844255489171498
GALC	3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		0.0126855885792545	1.308346610653559
GAS6	1	Crohn disease	0		0.0225486165186834	2.1469999362625303
GBA1	1	type 1 diabetes mellitus	0		0.0101117399035578	1.2123707276727202
GLA	1	type 1 diabetes mellitus	2	Crohn disease;type 1 diabetes mellitus	0.0083645480907346	1.2040186729551363
GSK3B	1	Crohn disease	0		0.001280921120369	1.1562459100362172
GUK1	1	Crohn disease	0		0.001343524969529	1.602481306652055
H1F0	0		1	Crohn disease	0.0002092942161844	1.4482656234823177
HADHB	0		1	Crohn disease	0.0036762556038817	0.7826808571233084
HDAC7	2	Crohn disease;psoriasis	1	Sjogren syndrome	0.0052526081754782	0.927312708015578
HERC5	0		1	type 1 diabetes mellitus	0.0141956457130449	1.796396766874334
HERC6	0		0		0.0834464356965174	2.516829483767897
HES4	0		0		0.122014471541123	1.6443516040198745
HEXA	1	Crohn disease	0		0.0120465998768706	0.9135122702261405
HEXB	0		2	Crohn disease;ulcerative colitis	0.0115601768822797	0.9020599603821812
HLX	0		1	Sjogren syndrome	0.0453497577859451	1.1100978744994614
ICAM2	1	ulcerative colitis	0		0.0463096271591858	1.4746251260867762
ID1	1	Sjogren syndrome	0		0.0187276644432401	1.439600596405822
ID2	0		2	Crohn disease;ulcerative colitis	0.0017897977980143	1.6689175947452943
ID3	1	Sjogren syndrome	0		0.0372302191992432	1.1841142755921863
IFI16	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		0.0024575575559608	2.0666109248540954
IFNAR1	0		0		0.0727566503092764	0.7808983370130109
IFNAR2	2	psoriasis;type 1 diabetes mellitus	0		0.0026569814331633	1.0396875754545594
IFNGR1	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0070855343954944	0.8629478850944343
IFNGR2	1	type 1 diabetes mellitus	0		0.0166220656832801	0.7001009111369072
IFT52	1	type 1 diabetes mellitus	0		0.0040141876637834	1.191214507781695
IGLON5	1	ulcerative colitis	0		0.0067925897186223	2.182740220145976
IKBKB	1	type 1 diabetes mellitus	0		0.0422924596136841	0.6907385203542553
IKBKE	1	psoriasis	0		0.0349003224922195	2.3939927853780993
IKBKG	0		0		0.0653436510630233	1.5162490369082486
IL12RB1	0		0		0.051237821732762	1.2762548322513316
IL7R	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		4.390851964127251e-05	6.766605239117763
INPP5D	0		0		0.0752318138372423	0.9623315716997364
INTS7	1	type 1 diabetes mellitus	0		0.0114135230712741	1.9345941973822156
IRF1	1	Crohn disease	0		0.0040339212126499	1.4688384553387328
IRF2	1	type 1 diabetes mellitus	0		0.019131906879522	1.6604245997250024
IRF3	1	psoriasis	1	ulcerative colitis	0.0047190246642538	1.0462499353516534
IRF5	0		0		0.0747895941725529	1.1725912852609124
IRF7	2	Crohn disease;type 1 diabetes mellitus	1	ulcerative colitis	0.0029715049821034	2.217561931524873
IRF9	0		1	ulcerative colitis	0.0446055365068492	1.365215519185217
ITCH	1	psoriasis	1	type 1 diabetes mellitus	0.0080919803095595	1.5770980723484005
JAK1	2	Crohn disease;ulcerative colitis	2	psoriasis;type 1 diabetes mellitus	0.000161667876014	1.0935745747563148
JAK2	1	Crohn disease	0		0.0055811424247115	1.6522454870976633
JUN	0		2	psoriasis;ulcerative colitis	0.018561659585395	1.6368670308412954
JUNB	0		2	psoriasis;ulcerative colitis	0.0150840376450107	1.267626364010571
KIF24	1	Crohn disease	0		0.0427389677815106	0.9324652517484564
KIN	0		0		0.0917244910264936	0.5623191530072154
KLF4	0		2	psoriasis;ulcerative colitis	0.0143341883796536	1.196857635219593
KLF6	2	Crohn disease;ulcerative colitis	0		0.0012753514852471	1.0333584200488026
KLHL33	0		0		0.0235997778359251	0.3808517473470995
